,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
619736,27.69,-4.411063195715865,1.0,1.0,-1.0,1.0
619737,28.15,-3.9779542792179328,-1.0,1.0,-1.0,1.0
619738,27.97,-4.1848453627200035,-1.0,1.0,1.0,1.0
619739,27.36,-4.821736446222077,-1.0,1.0,1.0,1.0
619740,27.22,-4.988627529724148,1.0,1.0,-1.0,1.0
619741,28.33,-3.9055186132262207,1.0,1.0,1.0,1.0
619742,28.48,-3.7824096967282905,-1.0,1.0,-1.0,1.0
619743,28.44,-3.8493007802303545,-1.0,1.0,1.0,1.0
619744,27.0,-5.316191863732428,1.0,1.0,1.0,1.0
619745,27.24,-5.103082947234501,-1.0,1.0,-1.0,1.0
619746,27.19,-5.17997403073657,1.0,1.0,-1.0,1.0
619747,27.41,-4.986865114238643,-1.0,1.0,1.0,1.0
619748,27.19,-5.233756197740714,1.0,1.0,1.0,1.0
619749,28.03,-4.420647281242778,-1.0,1.0,-1.0,1.0
619750,27.86,-4.617538364744854,1.0,1.0,1.0,1.0
619751,28.54,-3.964429448246925,1.0,1.0,1.0,1.0
619752,28.78,-3.7513205317489953,1.0,1.0,1.0,1.0
619753,29.18,-3.3782116152510686,-1.0,1.0,-1.0,1.0
619754,29.12,-3.465102698753139,-1.0,1.0,-1.0,1.0
619755,29.01,-3.601993782255203,-1.0,1.0,-1.0,1.0
619756,27.99,-4.648884865757278,1.0,1.0,1.0,1.0
619757,28.28,-4.385775949259346,-1.0,1.0,-1.0,1.0
619758,28.14,-4.55266703276142,-1.0,1.0,-1.0,1.0
619759,28.05,-4.6695581162634925,1.0,1.0,-1.0,1.0
619760,28.63,-4.116449199765565,1.0,1.0,1.0,1.0
619761,28.75,-4.023340283267629,1.0,1.0,1.0,1.0
619762,29.35,-3.4502313667696995,1.0,1.0,1.0,1.0
619763,29.88,-2.947122450271774,1.0,1.0,1.0,-1.0
619764,30.27,-2.584013533773845,-1.0,1.0,-1.0,-1.0
619765,30.01,-2.870904617275915,1.0,1.0,1.0,-1.0
619766,30.21,-2.6977957007779882,1.0,1.0,1.0,-1.0
619767,30.36,-2.574686784280061,1.0,1.0,1.0,1.0
619768,30.62,-2.3415778677821244,1.0,1.0,1.0,1.0
619769,30.76,-2.228468951284196,0.0,1.0,1.0,1.0
619770,30.76,-2.255360034786268,-1.0,-1.0,-1.0,-1.0
619771,30.61,-2.4322511182883417,1.0,1.0,1.0,1.0
619772,30.72,-2.349142201790414,-1.0,1.0,-1.0,1.0
619773,30.2,-2.8960332852924857,-1.0,-1.0,-1.0,-1.0
619774,29.97,-3.1529243687945514,1.0,1.0,1.0,1.0
619775,30.0,-3.1498154522966217,1.0,-1.0,1.0,-1.0
619776,30.17,-3.006706535798692,1.0,-1.0,1.0,-1.0
619777,30.7,-2.5035976193007663,-1.0,-1.0,-1.0,-1.0
619778,28.9,-4.330488702802839,-1.0,-1.0,-1.0,-1.0
619779,28.39,-4.867379786304909,-1.0,1.0,-1.0,1.0
619780,28.16,-5.124270869806973,1.0,1.0,1.0,1.0
619781,28.93,-4.381161953309047,1.0,1.0,1.0,1.0
619782,29.27,-4.068053036811119,1.0,1.0,1.0,1.0
619783,29.94,-3.4249441203131887,1.0,1.0,1.0,1.0
619784,30.36,-3.0318352038152625,1.0,1.0,-1.0,-1.0
619785,30.39,-3.0287262873173333,-1.0,-1.0,-1.0,-1.0
619786,30.34,-3.105617370819399,1.0,-1.0,1.0,-1.0
619787,30.48,-2.99250845432147,1.0,-1.0,1.0,-1.0
619788,30.81,-2.6893995378235442,0.0,-1.0,1.0,-1.0
619789,30.81,-2.716290621325616,1.0,-1.0,1.0,-1.0
619790,31.16,-2.3931817048276858,1.0,-1.0,1.0,-1.0
619791,32.09,-1.4900727883297549,-1.0,-1.0,-1.0,-1.0
619792,31.67,-1.9369638718318212,-1.0,-1.0,-1.0,-1.0
619793,31.1,-2.5338549553338936,-1.0,-1.0,1.0,-1.0
619794,30.7,-2.960746038835968,1.0,-1.0,1.0,-1.0
619795,31.03,-2.6576371223380377,1.0,-1.0,1.0,-1.0
619796,31.1,-2.6145282058401094,1.0,-1.0,1.0,-1.0
619797,31.29,-2.451419289342184,1.0,-1.0,1.0,-1.0
619798,31.46,-2.3083103728442538,1.0,-1.0,1.0,-1.0
619799,31.54,-2.2552014563463203,-1.0,-1.0,-1.0,-1.0
619800,30.75,-3.072092539848392,-1.0,-1.0,-1.0,-1.0
619801,30.62,-3.2289836233504623,1.0,-1.0,1.0,-1.0
619802,30.78,-3.0958747068525336,-1.0,1.0,-1.0,1.0
619803,29.87,-4.032765790354606,1.0,1.0,1.0,1.0
619804,30.6,-3.3296568738566776,-1.0,1.0,-1.0,1.0
619805,29.7,-4.2565479573587455,-1.0,1.0,1.0,1.0
619806,29.51,-4.473439040860813,-1.0,1.0,-1.0,1.0
619807,28.2,-5.8103301243628875,-1.0,1.0,-1.0,1.0
619808,27.49,-6.54722120786496,1.0,1.0,1.0,1.0
619809,28.9,-5.164112291367033,1.0,1.0,1.0,1.0
619810,29.33,-4.761003374869105,1.0,1.0,1.0,1.0
619811,30.12,-3.9978944583711673,1.0,1.0,1.0,1.0
619812,30.76,-3.3847855418732387,-1.0,1.0,-1.0,1.0
619813,30.4,-3.7716766253753136,1.0,1.0,1.0,1.0
619814,30.52,-3.678567708877385,-1.0,-1.0,-1.0,-1.0
619815,30.05,-4.175458792379455,-1.0,-1.0,-1.0,-1.0
619816,29.36,-4.8923498758815285,-1.0,-1.0,-1.0,-1.0
619817,28.26,-6.019240959383591,1.0,1.0,-1.0,1.0
619818,29.22,-5.086132042885666,0.0,1.0,-1.0,1.0
619819,29.22,-5.113023126387738,-1.0,1.0,-1.0,1.0
619820,28.92,-5.439914209889807,0.0,1.0,-1.0,1.0
619821,28.92,-5.466805293391879,1.0,1.0,1.0,1.0
619822,29.93,-4.4836963768939535,-1.0,1.0,1.0,1.0
619823,29.31,-5.130587460396018,-1.0,1.0,-1.0,1.0
619824,28.43,-6.037478543898089,1.0,1.0,1.0,1.0
619825,28.84,-5.654369627400161,1.0,1.0,-1.0,1.0
619826,30.07,-4.4512607109022335,-1.0,1.0,-1.0,1.0
619827,28.62,-5.928151794404304,-1.0,1.0,1.0,1.0
619828,27.96,-6.615042877906376,1.0,1.0,1.0,1.0
619829,28.7,-5.901933961408442,1.0,1.0,1.0,1.0
619830,29.02,-5.608825044910513,1.0,1.0,-1.0,1.0
619831,30.07,-4.585716128412585,1.0,1.0,1.0,1.0
619832,31.35,-3.3326072119146564,-1.0,1.0,-1.0,1.0
619833,31.25,-3.4594982954167293,1.0,1.0,1.0,1.0
619834,32.0,-2.7363893789188007,1.0,-1.0,1.0,-1.0
619835,32.23,-2.533280462420869,-1.0,-1.0,-1.0,-1.0
619836,32.13,-2.660171545922936,-1.0,1.0,-1.0,1.0
619837,31.92,-2.897062629425008,-1.0,1.0,1.0,1.0
619838,31.58,-3.2639537129270835,-1.0,1.0,-1.0,1.0
619839,30.86,-4.010844796429153,1.0,1.0,1.0,1.0
619840,31.36,-3.5377358799312257,-1.0,1.0,-1.0,1.0
619841,30.78,-4.144626963433296,1.0,1.0,1.0,1.0
619842,31.07,-3.8815180469353616,-1.0,1.0,-1.0,1.0
619843,30.99,-3.9884091304374363,-1.0,1.0,-1.0,1.0
619844,29.39,-5.615300213939506,-1.0,1.0,-1.0,1.0
619845,28.94,-6.092191297441577,1.0,1.0,-1.0,1.0
619846,29.2,-5.859082380943652,-1.0,1.0,-1.0,1.0
619847,28.91,-6.175973464445722,1.0,1.0,1.0,1.0
619848,29.44,-5.6728645479477855,1.0,1.0,1.0,1.0
619849,30.71,-4.429755631449859,-1.0,1.0,-1.0,1.0
619850,30.55,-4.616646714951929,1.0,1.0,-1.0,1.0
619851,30.64,-4.553537798454002,1.0,1.0,-1.0,1.0
619852,30.86,-4.360428881956075,1.0,1.0,1.0,1.0
619853,31.59,-3.6573199654581465,1.0,1.0,1.0,1.0
619854,32.22,-3.0542110489602123,1.0,1.0,1.0,1.0
619855,32.47,-2.8311021324622843,-1.0,1.0,-1.0,1.0
619856,31.58,-3.7479932159643568,1.0,1.0,1.0,1.0
619857,31.82,-3.5348842994664267,1.0,1.0,1.0,1.0
619858,32.03,-3.3517753829684978,-1.0,1.0,-1.0,1.0
619859,31.61,-3.7986664664705714,1.0,1.0,1.0,1.0
619860,32.34,-3.0955575499726318,1.0,1.0,1.0,1.0
619861,33.21,-2.2524486334747067,1.0,1.0,1.0,1.0
619862,33.22,-2.2693397169767806,-1.0,1.0,-1.0,1.0
619863,32.4,-3.116230800478853,-1.0,1.0,-1.0,1.0
619864,31.8,-3.7431218839809226,1.0,1.0,1.0,1.0
619865,32.01,-3.560012967482997,1.0,1.0,1.0,1.0
619866,32.15,-3.446904050985061,1.0,1.0,1.0,1.0
619867,32.62,-3.0037951344871345,-1.0,1.0,-1.0,1.0
