,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
627204,46.63,-8.969262396612727,-1.0,1.0,-1.0,1.0
627205,46.16,-9.483437043903207,1.0,1.0,1.0,1.0
627206,50.84,-4.847611691193676,-1.0,1.0,-1.0,1.0
627207,49.94,-5.791786338484164,-1.0,1.0,-1.0,1.0
627208,48.24,-7.535960985774636,1.0,1.0,1.0,1.0
627209,49.75,-6.070135633065113,-1.0,1.0,-1.0,1.0
627210,49.68,-6.184310280355589,-1.0,1.0,-1.0,1.0
627211,49.23,-6.678484927646076,-1.0,1.0,-1.0,1.0
627212,47.91,-8.04265957493655,1.0,1.0,1.0,1.0
627213,48.51,-7.486834222227023,-1.0,1.0,1.0,1.0
627214,47.71,-8.331008869517497,1.0,1.0,1.0,1.0
627215,49.5,-6.58518351680798,1.0,1.0,1.0,1.0
627216,49.71,-6.419358164098455,1.0,1.0,-1.0,1.0
627217,50.72,-5.453532811388931,1.0,1.0,1.0,1.0
627218,51.43,-4.787707458679414,1.0,1.0,1.0,1.0
627219,52.83,-3.4318821059698905,1.0,1.0,1.0,1.0
627220,53.09,-3.2160567532603617,1.0,1.0,1.0,1.0
627221,53.78,-2.5702314005508384,1.0,1.0,1.0,1.0
627222,54.31,-2.08440604784132,-1.0,1.0,-1.0,1.0
627223,54.04,-2.3985806951317983,-1.0,1.0,-1.0,1.0
627224,53.25,-3.2327553424222732,1.0,1.0,1.0,1.0
627225,53.78,-2.7469299897127475,-1.0,1.0,-1.0,1.0
627226,53.52,-3.0511046370032275,1.0,1.0,1.0,1.0
627227,54.09,-2.525279284293702,1.0,1.0,1.0,1.0
627228,55.13,-1.5294539315841789,1.0,1.0,-1.0,1.0
627229,55.65,-1.0536285788746582,-1.0,1.0,-1.0,1.0
627230,55.26,-1.4878032261651413,-1.0,1.0,-1.0,1.0
627231,55.0,-1.7919778734556149,1.0,1.0,1.0,1.0
627232,55.98,-0.8561525207460932,1.0,1.0,1.0,1.0
627233,56.14,-0.7403271680365648,-1.0,1.0,-1.0,1.0
627234,56.05,-0.8745018153270507,1.0,1.0,1.0,1.0
627235,56.16,-0.8086764626175267,-1.0,1.0,1.0,1.0
627236,55.84,-1.1728511099079952,-1.0,1.0,-1.0,1.0
627237,55.36,-1.6970257571984746,-1.0,1.0,1.0,1.0
627238,54.99,-2.1112004044889545,1.0,1.0,1.0,1.0
627239,55.33,-1.8153750517794336,-1.0,1.0,-1.0,1.0
627240,55.23,-1.9595496990699104,-1.0,1.0,-1.0,1.0
627241,55.13,-2.1037243463603867,1.0,1.0,1.0,1.0
627242,55.37,-1.907898993650868,1.0,1.0,1.0,1.0
627243,55.86,-1.4620736409413408,1.0,1.0,1.0,1.0
627244,56.78,-0.5862482882318147,-1.0,1.0,-1.0,1.0
627245,55.82,-1.5904229355222983,1.0,1.0,1.0,1.0
627246,55.92,-1.534597582812772,-1.0,1.0,-1.0,1.0
627247,55.43,-2.0687722301032494,1.0,1.0,1.0,1.0
627248,55.55,-1.9929468773937276,1.0,1.0,-1.0,1.0
627249,56.16,-1.4271215246842104,1.0,1.0,1.0,1.0
627250,56.36,-1.2712961719746827,1.0,1.0,-1.0,1.0
627251,56.64,-1.0354708192651572,1.0,1.0,1.0,1.0
627252,57.32,-0.3996454665556328,1.0,1.0,1.0,1.0
627253,58.04,0.2761798861538836,-1.0,-1.0,-1.0,-1.0
627254,57.61,-0.19799476113659156,1.0,-1.0,1.0,-1.0
627255,58.98,1.1278305915729303,1.0,-1.0,1.0,-1.0
627256,59.14,1.2436559442824588,1.0,-1.0,1.0,-1.0
627257,59.61,1.6694812969919752,-1.0,-1.0,-1.0,-1.0
627258,59.13,1.145306649701503,1.0,-1.0,1.0,1.0
627259,60.38,2.351132002411028,1.0,-1.0,1.0,-1.0
627260,60.8,2.726957355120547,-1.0,-1.0,-1.0,-1.0
627261,60.01,1.8927827078300647,-1.0,-1.0,-1.0,1.0
