,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
630938,11.09,2.057491438304364,1.0,1.0,1.0,1.0
630939,11.3,2.237601694830847,1.0,1.0,1.0,1.0
630940,11.5,2.407711951357328,1.0,1.0,-1.0,1.0
630941,11.51,2.3878222078838096,-1.0,1.0,-1.0,1.0
630942,11.48,2.3279324644102903,1.0,1.0,1.0,1.0
630943,11.62,2.438042720936771,1.0,1.0,1.0,1.0
630944,11.71,2.4981529774632545,-1.0,1.0,-1.0,1.0
630945,11.55,2.3082632339897358,-1.0,1.0,-1.0,1.0
630946,11.3,2.028373490516218,1.0,1.0,1.0,1.0
630947,11.49,2.1884837470426994,-1.0,1.0,-1.0,1.0
630948,11.3,1.9685940035691816,1.0,1.0,1.0,1.0
630949,11.38,2.018704260095664,-1.0,1.0,-1.0,1.0
630950,11.33,1.9388145166221449,1.0,1.0,1.0,1.0
630951,11.55,2.1289247731486274,1.0,1.0,1.0,1.0
630952,11.61,2.1590350296751084,1.0,1.0,1.0,1.0
630953,11.65,2.169145286201589,1.0,1.0,1.0,1.0
630954,11.77,2.2592555427280696,1.0,1.0,1.0,1.0
630955,11.78,2.239365799254552,0.0,1.0,0.0,1.0
630956,11.78,2.2094760557810336,1.0,1.0,1.0,1.0
630957,11.79,2.1895863123075148,-1.0,1.0,1.0,1.0
630958,11.76,2.1296965688339977,1.0,1.0,1.0,1.0
630959,12.04,2.379806825360479,1.0,1.0,1.0,1.0
630960,12.22,2.5299170818869623,1.0,1.0,1.0,1.0
630961,12.23,2.510027338413444,1.0,1.0,1.0,1.0
630962,12.32,2.5701375949399257,0.0,1.0,1.0,1.0
630963,12.32,2.5402478514664075,1.0,1.0,1.0,1.0
630964,12.36,2.5503581079928885,1.0,1.0,1.0,1.0
630965,12.76,2.9204683645193708,1.0,1.0,1.0,1.0
630966,12.78,2.9105786210458504,1.0,1.0,1.0,1.0
630967,12.95,3.050688877572332,-1.0,1.0,-1.0,1.0
630968,12.87,2.940799134098814,1.0,1.0,1.0,1.0
630969,13.02,3.060909390625296,1.0,1.0,1.0,1.0
630970,13.15,3.161019647151779,1.0,1.0,1.0,1.0
630971,13.23,3.2111299036782612,1.0,1.0,1.0,1.0
630972,13.39,3.3412401602047432,1.0,1.0,1.0,1.0
630973,13.55,3.4713504167312252,-1.0,1.0,-1.0,1.0
630974,13.49,3.381460673257706,-1.0,1.0,-1.0,1.0
630975,13.04,2.901570929784187,1.0,1.0,1.0,1.0
630976,13.52,3.351681186310669,1.0,1.0,1.0,1.0
630977,13.67,3.4717914428371497,-1.0,1.0,-1.0,-1.0
630978,13.56,3.3319016993636317,-1.0,-1.0,-1.0,-1.0
630979,13.4,3.142011955890114,1.0,-1.0,1.0,-1.0
630980,13.44,3.1521222124165953,-1.0,1.0,1.0,1.0
630981,13.4,3.0822324689430776,-1.0,1.0,-1.0,1.0
630982,13.37,3.0223427254695583,-1.0,1.0,-1.0,1.0
630983,13.32,2.9424529819960408,1.0,-1.0,1.0,1.0
630984,13.37,2.962563238522522,1.0,-1.0,1.0,1.0
630985,13.74,3.3026734950490053,-1.0,-1.0,-1.0,-1.0
630986,13.67,3.2027837515754864,-1.0,-1.0,-1.0,-1.0
630987,13.54,3.0428940081019675,1.0,-1.0,1.0,-1.0
630988,14.03,3.5030042646284496,-1.0,-1.0,-1.0,-1.0
630989,13.97,3.4131145211549327,1.0,-1.0,1.0,-1.0
630990,14.0,3.413224777681413,1.0,-1.0,1.0,-1.0
630991,14.13,3.513335034207895,-1.0,-1.0,-1.0,-1.0
630992,14.11,3.463445290734376,1.0,-1.0,1.0,-1.0
630993,14.16,3.483555547260858,-1.0,-1.0,-1.0,-1.0
630994,14.1,3.3936658037873397,-1.0,-1.0,-1.0,-1.0
630995,14.02,3.2837760603138215,1.0,-1.0,1.0,-1.0
630996,14.18,3.413886316840303,1.0,-1.0,1.0,-1.0
630997,14.28,3.4839965733667846,1.0,-1.0,1.0,-1.0
630998,14.6,3.7741068298932663,1.0,-1.0,-1.0,-1.0
630999,14.63,3.7742170864197497,-1.0,-1.0,-1.0,-1.0
631000,14.6,3.7143273429462287,-1.0,-1.0,-1.0,-1.0
631001,14.28,3.3644375994727103,-1.0,-1.0,-1.0,-1.0
631002,14.07,3.124547855999193,1.0,1.0,1.0,1.0
631003,14.32,3.344658112525675,-1.0,1.0,-1.0,1.0
631004,14.0,2.9947683690521565,1.0,1.0,1.0,-1.0
631005,14.26,3.224878625578638,-1.0,1.0,-1.0,1.0
631006,13.76,2.69498888210512,-1.0,1.0,-1.0,-1.0
631007,13.75,2.655099138631602,-1.0,1.0,-1.0,1.0
631008,13.22,2.095209395158085,-1.0,1.0,-1.0,1.0
631009,12.88,1.7253196516845666,1.0,1.0,1.0,1.0
631010,13.46,2.2754299082110485,1.0,1.0,-1.0,1.0
631011,13.52,2.305540164737529,1.0,1.0,1.0,1.0
631012,13.56,2.315650421264012,-1.0,1.0,1.0,1.0
631013,13.19,1.9157606777904927,-1.0,1.0,-1.0,1.0
631014,13.07,1.7658709343169736,1.0,1.0,-1.0,1.0
631015,13.26,1.9259811908434568,-1.0,1.0,-1.0,1.0
631016,12.94,1.5760914473699366,-1.0,1.0,-1.0,1.0
631017,12.93,1.5362017038964186,1.0,1.0,1.0,1.0
631018,13.07,1.6463119604229008,1.0,1.0,1.0,1.0
631019,13.14,1.6864222169493832,-1.0,1.0,-1.0,1.0
631020,13.08,1.5965324734758646,1.0,1.0,1.0,1.0
631021,13.21,1.6966427300023472,-1.0,1.0,-1.0,1.0
631022,13.02,1.4767529865288278,1.0,1.0,1.0,1.0
631023,13.29,1.7168632430553077,-1.0,1.0,-1.0,1.0
631024,13.1,1.4969734995817898,1.0,1.0,1.0,1.0
631025,13.17,1.537083756108272,1.0,1.0,1.0,1.0
631026,13.6,1.937194012634753,1.0,1.0,1.0,1.0
631027,14.05,2.3573042691612365,-1.0,-1.0,-1.0,-1.0
