,Close,Target(1),Target(30),Prediction(1),Prediction(30)
638405,11.2,1.0,1.0,1.0,1.0
638406,11.27,-1.0,1.0,-1.0,1.0
638407,11.2,-1.0,1.0,-1.0,1.0
638408,11.04,-1.0,1.0,-1.0,1.0
638409,10.9,1.0,1.0,1.0,1.0
638410,11.12,1.0,1.0,1.0,1.0
638411,11.22,0.0,1.0,0.0,1.0
638412,11.22,-1.0,1.0,-1.0,1.0
638413,10.9,-1.0,1.0,-1.0,1.0
638414,10.85,1.0,1.0,-1.0,1.0
638415,10.96,1.0,1.0,1.0,1.0
638416,11.1,1.0,1.0,1.0,1.0
638417,11.18,1.0,1.0,1.0,1.0
638418,11.28,1.0,1.0,-1.0,1.0
638419,11.3,1.0,1.0,1.0,1.0
638420,11.44,1.0,1.0,1.0,1.0
638421,11.58,1.0,1.0,1.0,1.0
638422,11.63,1.0,1.0,1.0,1.0
638423,11.68,-1.0,1.0,-1.0,1.0
638424,11.45,-1.0,1.0,-1.0,1.0
638425,11.34,1.0,1.0,1.0,1.0
638426,11.54,-1.0,1.0,-1.0,1.0
638427,11.45,1.0,1.0,1.0,1.0
638428,11.46,1.0,1.0,1.0,1.0
638429,11.64,1.0,1.0,1.0,1.0
638430,11.66,-1.0,1.0,-1.0,1.0
638431,11.53,-1.0,1.0,-1.0,1.0
638432,11.46,1.0,1.0,1.0,1.0
638433,11.68,-1.0,1.0,-1.0,1.0
638434,11.66,1.0,1.0,1.0,1.0
638435,11.81,1.0,1.0,1.0,1.0
638436,12.12,1.0,1.0,1.0,1.0
638437,12.14,0.0,1.0,1.0,1.0
638438,12.14,1.0,1.0,1.0,1.0
638439,12.21,1.0,1.0,1.0,1.0
638440,12.64,1.0,1.0,1.0,1.0
638441,12.78,-1.0,1.0,-1.0,1.0
638442,12.51,-1.0,1.0,-1.0,1.0
638443,12.48,1.0,1.0,1.0,1.0
638444,12.62,1.0,1.0,1.0,1.0
638445,12.7,-1.0,1.0,-1.0,1.0
638446,12.64,-1.0,1.0,-1.0,1.0
638447,12.1,1.0,1.0,1.0,1.0
638448,12.3,0.0,1.0,-1.0,1.0
638449,12.3,-1.0,1.0,-1.0,1.0
638450,12.28,-1.0,1.0,-1.0,1.0
638451,12.14,1.0,1.0,-1.0,1.0
638452,12.3,0.0,1.0,0.0,1.0
638453,12.3,1.0,1.0,1.0,1.0
638454,12.46,-1.0,1.0,1.0,1.0
638455,12.42,-1.0,1.0,-1.0,1.0
638456,12.36,-1.0,1.0,-1.0,1.0
638457,12.24,1.0,1.0,-1.0,1.0
638458,12.36,1.0,1.0,1.0,1.0
638459,12.42,1.0,-1.0,1.0,-1.0
638460,12.56,-1.0,1.0,-1.0,1.0
638461,12.48,-1.0,1.0,-1.0,1.0
638462,12.45,1.0,1.0,1.0,1.0
638463,12.63,1.0,1.0,1.0,1.0
638464,12.7,1.0,1.0,1.0,1.0
638465,13.62,1.0,-1.0,1.0,-1.0
638466,13.63,1.0,-1.0,1.0,-1.0
638467,13.7,-1.0,-1.0,-1.0,-1.0
638468,13.26,-1.0,-1.0,-1.0,-1.0
638469,13.11,1.0,1.0,1.0,1.0
638470,13.3,-1.0,1.0,-1.0,1.0
638471,12.99,1.0,1.0,1.0,1.0
638472,13.59,-1.0,1.0,-1.0,1.0
638473,13.02,1.0,1.0,1.0,1.0
638474,13.11,-1.0,1.0,-1.0,1.0
638475,12.8,-1.0,1.0,-1.0,1.0
638476,12.73,1.0,1.0,1.0,1.0
638477,13.52,-1.0,1.0,-1.0,1.0
638478,13.35,1.0,1.0,1.0,1.0
638479,13.92,-1.0,-1.0,-1.0,-1.0
638480,13.72,-1.0,-1.0,-1.0,-1.0
638481,13.26,1.0,-1.0,-1.0,-1.0
638482,13.46,-1.0,-1.0,-1.0,-1.0
638483,13.29,-1.0,-1.0,-1.0,-1.0
638484,13.1,-1.0,-1.0,-1.0,-1.0
638485,12.55,1.0,-1.0,1.0,-1.0
638486,12.64,-1.0,-1.0,-1.0,-1.0
638487,12.54,-1.0,-1.0,-1.0,-1.0
638488,12.46,-1.0,-1.0,-1.0,-1.0
638489,12.36,1.0,1.0,1.0,1.0
638490,13.01,-1.0,-1.0,-1.0,1.0
638491,12.94,-1.0,1.0,1.0,1.0
638492,12.85,1.0,1.0,1.0,1.0
638493,13.29,1.0,-1.0,1.0,-1.0
638494,13.43,-1.0,-1.0,-1.0,-1.0
638495,13.08,-1.0,-1.0,-1.0,-1.0
638496,12.77,1.0,1.0,1.0,1.0
638497,12.92,1.0,-1.0,1.0,-1.0
638498,13.16,1.0,-1.0,-1.0,-1.0
638499,13.49,1.0,-1.0,1.0,-1.0
638500,13.58,1.0,-1.0,1.0,-1.0
638501,13.73,1.0,-1.0,1.0,-1.0
638502,13.96,1.0,-1.0,1.0,-1.0
638503,14.0,-1.0,-1.0,-1.0,-1.0
638504,13.99,1.0,-1.0,1.0,-1.0
638505,14.04,-1.0,-1.0,-1.0,-1.0
638506,14.01,-1.0,-1.0,-1.0,-1.0
638507,13.62,1.0,-1.0,1.0,-1.0
638508,13.66,-1.0,-1.0,-1.0,-1.0
638509,13.34,1.0,-1.0,1.0,-1.0
638510,13.4,-1.0,-1.0,-1.0,-1.0
638511,13.2,-1.0,-1.0,-1.0,-1.0
638512,12.5,-1.0,-1.0,-1.0,-1.0
638513,12.15,1.0,1.0,1.0,1.0
638514,12.33,-1.0,-1.0,-1.0,1.0
638515,12.18,-1.0,-1.0,1.0,-1.0
638516,11.81,1.0,1.0,1.0,1.0
638517,12.2,1.0,1.0,1.0,1.0
638518,12.42,1.0,-1.0,1.0,-1.0
638519,12.65,-1.0,-1.0,-1.0,-1.0
638520,12.64,1.0,-1.0,1.0,-1.0
638521,12.97,1.0,-1.0,1.0,-1.0
638522,13.0,1.0,-1.0,1.0,-1.0
638523,13.06,-1.0,-1.0,-1.0,-1.0
638524,12.68,1.0,-1.0,1.0,-1.0
638525,12.74,1.0,-1.0,1.0,-1.0
638526,12.88,-1.0,-1.0,1.0,-1.0
638527,12.58,0.0,-1.0,1.0,-1.0
638528,12.58,1.0,-1.0,1.0,-1.0
638529,12.69,1.0,-1.0,1.0,-1.0
638530,12.7,-1.0,-1.0,-1.0,-1.0
638531,12.59,-1.0,-1.0,-1.0,-1.0
638532,12.5,-1.0,-1.0,-1.0,-1.0
638533,12.41,1.0,1.0,1.0,1.0
638534,12.42,-1.0,1.0,-1.0,1.0
638535,12.34,1.0,1.0,1.0,1.0
638536,12.36,1.0,1.0,1.0,1.0
638537,12.59,0.0,1.0,0.0,1.0
638538,12.59,1.0,1.0,1.0,1.0
638539,12.66,1.0,1.0,1.0,1.0
638540,12.83,-1.0,1.0,-1.0,1.0
638541,12.7,-1.0,1.0,-1.0,1.0
638542,12.33,-1.0,1.0,-1.0,1.0
638543,12.23,-1.0,1.0,-1.0,1.0
638544,12.0,-1.0,1.0,-1.0,1.0
638545,11.91,1.0,1.0,1.0,1.0
638546,12.15,1.0,1.0,1.0,1.0
638547,12.25,-1.0,1.0,1.0,1.0
638548,12.02,0.0,1.0,0.0,1.0
638549,12.02,-1.0,1.0,-1.0,1.0
638550,11.84,-1.0,1.0,1.0,1.0
638551,11.41,1.0,1.0,1.0,1.0
638552,11.68,-1.0,1.0,-1.0,1.0
638553,11.64,1.0,1.0,1.0,1.0
638554,11.74,-1.0,1.0,-1.0,1.0
638555,11.72,-1.0,1.0,-1.0,1.0
638556,11.49,1.0,1.0,1.0,1.0
638557,11.84,1.0,1.0,1.0,1.0
638558,12.33,1.0,1.0,1.0,1.0
638559,12.54,-1.0,1.0,-1.0,1.0
638560,12.44,-1.0,1.0,-1.0,1.0
638561,12.39,1.0,1.0,1.0,1.0
638562,12.42,1.0,1.0,1.0,1.0
638563,12.7,1.0,1.0,1.0,1.0
638564,12.88,1.0,1.0,1.0,1.0
638565,12.89,-1.0,1.0,-1.0,1.0
638566,12.88,-1.0,1.0,-1.0,1.0
638567,12.86,-1.0,1.0,-1.0,1.0
638568,12.76,1.0,1.0,1.0,1.0
638569,13.14,-1.0,1.0,-1.0,1.0
638570,13.08,-1.0,1.0,-1.0,1.0
638571,12.96,-1.0,1.0,-1.0,1.0
638572,12.72,1.0,1.0,1.0,1.0
638573,13.06,1.0,1.0,1.0,1.0
638574,13.08,-1.0,1.0,-1.0,1.0
638575,13.07,-1.0,1.0,-1.0,1.0
638576,12.9,-1.0,1.0,-1.0,1.0
638577,12.78,1.0,1.0,-1.0,1.0
638578,12.97,-1.0,1.0,-1.0,1.0
638579,12.84,1.0,1.0,1.0,1.0
638580,13.12,-1.0,1.0,-1.0,1.0
638581,13.05,-1.0,1.0,-1.0,1.0
638582,13.04,0.0,1.0,0.0,1.0
638583,13.04,-1.0,1.0,-1.0,1.0
638584,13.0,1.0,1.0,1.0,1.0
638585,13.57,1.0,1.0,1.0,1.0
638586,13.63,1.0,1.0,1.0,1.0
638587,13.71,1.0,1.0,1.0,1.0
638588,13.77,-1.0,1.0,-1.0,1.0
638589,13.68,-1.0,1.0,1.0,1.0
638590,13.54,1.0,1.0,1.0,1.0
638591,13.72,-1.0,1.0,-1.0,1.0
638592,13.64,1.0,1.0,1.0,1.0
638593,14.24,-1.0,1.0,-1.0,1.0
638594,14.2,1.0,1.0,1.0,1.0
638595,14.26,-1.0,1.0,-1.0,1.0
638596,14.13,-1.0,1.0,-1.0,1.0
638597,14.12,1.0,1.0,1.0,1.0
638598,14.28,1.0,1.0,1.0,1.0
638599,14.4,1.0,1.0,1.0,1.0
638600,14.44,1.0,1.0,1.0,1.0
638601,14.55,1.0,1.0,1.0,1.0
638602,14.88,1.0,1.0,1.0,1.0
638603,15.44,-1.0,1.0,-1.0,1.0
638604,15.32,-1.0,1.0,-1.0,1.0
638605,15.08,1.0,1.0,1.0,1.0
638606,15.24,1.0,1.0,1.0,1.0
638607,15.37,-1.0,1.0,-1.0,1.0
638608,15.1,1.0,1.0,1.0,1.0
638609,15.39,-1.0,1.0,-1.0,1.0
638610,14.92,1.0,1.0,1.0,1.0
638611,15.0,1.0,1.0,1.0,1.0
638612,15.29,1.0,1.0,1.0,1.0
638613,15.38,1.0,1.0,1.0,1.0
638614,15.44,-1.0,1.0,-1.0,1.0
638615,15.2,1.0,1.0,1.0,1.0
638616,15.74,-1.0,1.0,-1.0,1.0
638617,15.57,-1.0,1.0,-1.0,1.0
638618,15.4,-1.0,1.0,-1.0,1.0
638619,15.3,1.0,1.0,1.0,1.0
638620,15.85,1.0,1.0,1.0,1.0
638621,16.38,-1.0,-1.0,-1.0,-1.0
638622,16.36,0.0,1.0,0.0,1.0
638623,16.36,1.0,1.0,1.0,1.0
638624,16.39,-1.0,1.0,-1.0,1.0
638625,16.29,-1.0,1.0,-1.0,1.0
638626,16.2,1.0,1.0,1.0,1.0
638627,16.3,-1.0,1.0,-1.0,1.0
638628,16.0,1.0,1.0,1.0,1.0
638629,16.05,-1.0,1.0,-1.0,1.0
638630,15.94,1.0,-1.0,1.0,-1.0
638631,16.3,1.0,-1.0,1.0,-1.0
638632,16.39,1.0,-1.0,1.0,-1.0
638633,16.46,-1.0,-1.0,-1.0,-1.0
638634,16.43,1.0,-1.0,1.0,-1.0
638635,16.46,-1.0,-1.0,-1.0,-1.0
638636,16.32,-1.0,-1.0,-1.0,-1.0
638637,16.24,-1.0,1.0,-1.0,1.0
638638,16.2,1.0,1.0,-1.0,1.0
638639,16.26,-1.0,1.0,-1.0,1.0
638640,16.2,-1.0,1.0,-1.0,1.0
638641,16.06,1.0,1.0,1.0,1.0
638642,16.62,-1.0,-1.0,-1.0,-1.0
638643,16.24,-1.0,1.0,-1.0,1.0
638644,16.18,-1.0,1.0,-1.0,1.0
638645,15.98,1.0,1.0,1.0,1.0
638646,16.39,-1.0,-1.0,-1.0,1.0
638647,16.38,-1.0,-1.0,-1.0,-1.0
638648,16.13,-1.0,-1.0,-1.0,-1.0
638649,16.1,1.0,1.0,1.0,1.0
638650,16.2,1.0,1.0,1.0,1.0
638651,16.35,1.0,-1.0,1.0,-1.0
638652,16.5,0.0,-1.0,0.0,-1.0
638653,16.5,1.0,0.0,1.0,0.0
638654,16.59,1.0,-1.0,1.0,-1.0
638655,16.6,1.0,1.0,1.0,1.0
638656,16.74,1.0,1.0,-1.0,1.0
638657,16.82,-1.0,1.0,-1.0,1.0
638658,16.54,-1.0,1.0,-1.0,1.0
638659,16.52,-1.0,1.0,-1.0,1.0
638660,15.86,-1.0,1.0,-1.0,1.0
638661,15.76,1.0,1.0,-1.0,1.0
638662,16.12,-1.0,1.0,-1.0,1.0
638663,16.1,1.0,1.0,1.0,1.0
638664,16.18,1.0,1.0,1.0,1.0
638665,16.29,-1.0,1.0,-1.0,1.0
638666,16.18,1.0,1.0,-1.0,1.0
638667,16.56,-1.0,1.0,-1.0,1.0
638668,16.49,1.0,1.0,1.0,1.0
638669,16.58,1.0,1.0,-1.0,1.0
638670,16.68,1.0,1.0,1.0,1.0
638671,16.79,-1.0,1.0,-1.0,1.0
638672,16.59,1.0,1.0,1.0,1.0
638673,16.78,-1.0,1.0,-1.0,1.0
638674,16.75,1.0,1.0,1.0,1.0
638675,17.0,-1.0,1.0,-1.0,1.0
638676,16.38,-1.0,1.0,-1.0,1.0
638677,15.96,0.0,1.0,0.0,1.0
638678,15.96,1.0,1.0,1.0,1.0
638679,16.25,1.0,1.0,1.0,1.0
638680,16.49,-1.0,1.0,-1.0,1.0
638681,16.2,-1.0,1.0,-1.0,1.0
638682,16.11,1.0,1.0,1.0,1.0
638683,16.5,1.0,1.0,1.0,1.0
638684,16.56,1.0,1.0,1.0,1.0
638685,16.8,1.0,1.0,1.0,1.0
638686,17.0,1.0,1.0,-1.0,1.0
638687,17.27,1.0,1.0,1.0,1.0
638688,18.98,-1.0,-1.0,-1.0,-1.0
638689,18.28,-1.0,1.0,-1.0,1.0
638690,17.86,0.0,1.0,0.0,1.0
638691,17.86,-1.0,1.0,-1.0,1.0
638692,17.5,1.0,1.0,1.0,1.0
638693,17.54,-1.0,1.0,-1.0,1.0
638694,17.48,1.0,1.0,1.0,1.0
638695,17.66,-1.0,1.0,-1.0,1.0
638696,17.48,1.0,1.0,1.0,1.0
638697,18.34,1.0,-1.0,1.0,-1.0
638698,18.79,-1.0,-1.0,-1.0,1.0
638699,18.45,-1.0,-1.0,-1.0,-1.0
638700,18.44,-1.0,-1.0,-1.0,-1.0
638701,18.43,-1.0,-1.0,-1.0,-1.0
638702,18.36,1.0,-1.0,1.0,-1.0
638703,18.48,1.0,-1.0,-1.0,-1.0
638704,18.62,-1.0,-1.0,-1.0,-1.0
638705,18.36,-1.0,-1.0,1.0,-1.0
638706,18.2,0.0,1.0,-1.0,1.0
638707,18.2,-1.0,1.0,-1.0,1.0
638708,17.95,-1.0,1.0,-1.0,1.0
638709,17.88,-1.0,1.0,1.0,1.0
638710,17.74,1.0,1.0,1.0,1.0
638711,17.88,1.0,1.0,1.0,1.0
638712,17.9,1.0,1.0,1.0,1.0
638713,17.98,1.0,1.0,1.0,1.0
638714,18.19,-1.0,1.0,-1.0,1.0
638715,17.9,1.0,1.0,1.0,1.0
638716,18.08,1.0,-1.0,1.0,-1.0
638717,18.44,1.0,-1.0,1.0,1.0
638718,18.5,-1.0,-1.0,-1.0,-1.0
638719,18.44,-1.0,-1.0,-1.0,-1.0
638720,18.3,1.0,-1.0,1.0,1.0
638721,18.6,-1.0,-1.0,-1.0,-1.0
638722,18.44,-1.0,-1.0,1.0,1.0
638723,18.1,1.0,-1.0,1.0,-1.0
638724,18.34,-1.0,-1.0,-1.0,-1.0
638725,18.15,1.0,-1.0,1.0,-1.0
638726,18.28,-1.0,-1.0,-1.0,-1.0
638727,18.25,1.0,-1.0,1.0,1.0
638728,18.26,-1.0,-1.0,-1.0,-1.0
638729,18.06,1.0,1.0,1.0,1.0
638730,18.12,-1.0,1.0,-1.0,1.0
638731,17.9,1.0,1.0,1.0,1.0
638732,18.22,-1.0,1.0,1.0,1.0
638733,18.08,-1.0,1.0,1.0,1.0
638734,17.58,1.0,1.0,1.0,1.0
638735,17.65,1.0,1.0,1.0,1.0
638736,18.3,1.0,1.0,1.0,1.0
638737,18.57,-1.0,1.0,-1.0,1.0
638738,18.3,-1.0,1.0,1.0,-1.0
638739,18.22,-1.0,1.0,-1.0,1.0
638740,18.14,-1.0,1.0,1.0,1.0
638741,18.06,1.0,1.0,1.0,1.0
638742,18.22,1.0,1.0,1.0,1.0
638743,18.23,1.0,1.0,1.0,1.0
638744,18.4,-1.0,1.0,-1.0,1.0
638745,17.99,-1.0,1.0,-1.0,1.0
638746,17.96,-1.0,1.0,-1.0,1.0
638747,17.58,1.0,1.0,1.0,1.0
638748,17.87,1.0,1.0,-1.0,1.0
638749,17.96,-1.0,1.0,-1.0,1.0
638750,17.87,-1.0,1.0,-1.0,1.0
638751,17.76,-1.0,1.0,-1.0,1.0
638752,17.56,-1.0,1.0,-1.0,1.0
638753,17.45,1.0,1.0,1.0,1.0
638754,17.64,-1.0,1.0,-1.0,1.0
