,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
640271,36.18,1.799139771376133,-1.0,1.0,-1.0,1.0
640272,36.05,1.6507392755336383,1.0,1.0,1.0,1.0
640273,36.07,1.6523387796911493,-1.0,1.0,-1.0,1.0
640274,35.78,1.343938283848665,-1.0,1.0,-1.0,1.0
640275,35.61,1.1555377880061712,1.0,1.0,1.0,1.0
640276,35.87,1.3971372921636769,1.0,1.0,1.0,1.0
640277,36.3,1.808736796321185,-1.0,1.0,-1.0,1.0
640278,36.02,1.5103363004786985,-1.0,1.0,-1.0,1.0
640279,35.21,0.6819358046362041,-1.0,1.0,-1.0,1.0
640280,35.12,0.5735353087937085,-1.0,1.0,-1.0,1.0
640281,34.73,0.1651348129512158,1.0,1.0,1.0,1.0
640282,35.01,0.4267343171087248,-1.0,1.0,-1.0,1.0
640283,34.63,0.02833382126623718,1.0,1.0,1.0,1.0
640284,34.96,0.3399333254237433,-1.0,1.0,-1.0,1.0
640285,34.55,-0.08846717041875253,1.0,1.0,-1.0,1.0
640286,35.25,0.5931323337387653,-1.0,1.0,-1.0,1.0
640287,35.03,0.3547318378962743,1.0,1.0,1.0,1.0
640288,35.4,0.7063313420537796,1.0,1.0,1.0,1.0
640289,36.25,1.5379308462112888,0.0,1.0,0.0,1.0
640290,36.25,1.5195303503687967,-1.0,1.0,-1.0,1.0
640291,36.22,1.4711298545263034,1.0,1.0,1.0,1.0
640292,36.43,1.6627293586838117,-1.0,1.0,-1.0,1.0
640293,36.3,1.5143288628413174,-1.0,1.0,1.0,1.0
640294,36.05,1.2459283669988253,1.0,1.0,1.0,1.0
640295,36.77,1.947527871156339,1.0,1.0,1.0,1.0
640296,37.27,2.429127375313847,1.0,1.0,1.0,1.0
640297,37.53,2.670726879471353,-1.0,1.0,1.0,1.0
640298,37.5,2.6223263836288666,1.0,1.0,1.0,1.0
640299,37.62,2.7239258877863723,-1.0,1.0,-1.0,1.0
640300,36.9,1.985525391943881,-1.0,1.0,1.0,1.0
640301,36.87,1.937124896101388,1.0,1.0,1.0,1.0
640302,36.88,1.9287244002589008,1.0,1.0,1.0,1.0
640303,37.05,2.080323904416403,-1.0,1.0,-1.0,1.0
640304,36.93,1.9419234085739132,1.0,1.0,1.0,1.0
640305,37.1,2.093522912731423,1.0,1.0,1.0,1.0
640306,37.4,2.375122416888928,1.0,1.0,1.0,1.0
640307,37.63,2.58672192104644,1.0,1.0,1.0,1.0
640308,37.74,2.6783214252039467,1.0,1.0,1.0,1.0
640309,37.91,2.8299209293614496,-1.0,1.0,-1.0,1.0
640310,37.74,2.6415204335189704,1.0,1.0,1.0,1.0
640311,37.99,2.8731199376764778,-1.0,1.0,-1.0,1.0
640312,37.59,2.454719441833987,1.0,-1.0,1.0,1.0
640313,37.63,2.476318945991494,1.0,-1.0,1.0,1.0
640314,37.67,2.497918450149001,1.0,1.0,1.0,1.0
640315,38.02,2.8295179543065103,-1.0,-1.0,-1.0,-1.0
640316,37.91,2.701117458464012,-1.0,-1.0,-1.0,-1.0
640317,37.59,2.3627169626215263,1.0,1.0,1.0,1.0
640318,38.27,3.0243164667790334,1.0,-1.0,1.0,-1.0
640319,38.45,3.185915970936541,1.0,-1.0,1.0,-1.0
640320,38.48,3.1975154750940438,-1.0,-1.0,-1.0,-1.0
640321,38.28,2.9791149792515625,-1.0,-1.0,-1.0,-1.0
640322,38.0,2.6807144834090693,1.0,-1.0,1.0,-1.0
640323,38.13,2.79231398756658,1.0,-1.0,1.0,-1.0
640324,38.3,2.943913491724082,-1.0,-1.0,-1.0,-1.0
640325,38.21,2.8355129958815937,1.0,-1.0,1.0,-1.0
640326,38.83,3.437112500039099,1.0,-1.0,1.0,-1.0
640327,38.93,3.518712004196608,-1.0,-1.0,-1.0,-1.0
640328,38.66,3.230311508354113,-1.0,-1.0,-1.0,-1.0
640329,38.54,3.091911012511624,1.0,-1.0,1.0,-1.0
640330,38.95,3.4835105166691345,1.0,-1.0,1.0,-1.0
640331,39.11,3.62511002082664,1.0,-1.0,-1.0,-1.0
640332,39.22,3.716709524984146,1.0,-1.0,1.0,-1.0
640333,39.4,3.878309029141661,-1.0,-1.0,-1.0,-1.0
640334,39.13,3.589908533299173,-1.0,-1.0,-1.0,-1.0
640335,38.28,2.72150803745668,1.0,-1.0,1.0,1.0
640336,38.72,3.143107541614185,1.0,-1.0,1.0,-1.0
640337,39.07,3.4747070457716944,1.0,-1.0,1.0,-1.0
640338,39.47,3.856306549929201,1.0,-1.0,1.0,-1.0
640339,39.93,4.2979060540867104,-1.0,-1.0,-1.0,-1.0
640340,39.01,3.359505558244216,-1.0,-1.0,-1.0,-1.0
640341,38.6,2.931105062401727,-1.0,-1.0,-1.0,-1.0
640342,37.14,1.4527045665592342,-1.0,1.0,-1.0,1.0
640343,36.78,1.0743040707167424,1.0,1.0,1.0,1.0
640344,38.22,2.495903574874248,-1.0,-1.0,-1.0,-1.0
640345,37.26,1.5175030790317618,1.0,-1.0,-1.0,-1.0
