,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
645589,58.92,16.097606995361602,1.0,1.0,1.0,1.0
645590,62.83,19.85628236660223,1.0,1.0,1.0,1.0
645591,63.87,20.744957737842867,-1.0,1.0,-1.0,1.0
645592,63.58,20.303633109083506,-1.0,1.0,-1.0,1.0
645593,63.35,19.92230848032414,1.0,1.0,1.0,1.0
645594,64.62,21.040983851564786,1.0,1.0,1.0,1.0
645595,65.56,21.829659222805414,-1.0,1.0,-1.0,1.0
645596,64.25,20.368334594046047,-1.0,1.0,-1.0,1.0
645597,63.85,19.817009965286687,1.0,1.0,1.0,1.0
645598,63.9,19.715685336527322,-1.0,1.0,-1.0,1.0
645599,63.2,18.864360707767965,1.0,1.0,1.0,1.0
645600,63.77,19.2830360790086,-1.0,1.0,-1.0,1.0
645601,62.98,18.341711450249225,1.0,1.0,1.0,1.0
645602,63.73,18.940386821489867,1.0,1.0,1.0,1.0
645603,63.95,19.009062192730504,1.0,1.0,1.0,1.0
645604,64.54,19.447737563971145,1.0,1.0,1.0,1.0
645605,65.04,19.796412935211784,1.0,1.0,1.0,1.0
645606,65.23,19.835088306452423,1.0,1.0,1.0,1.0
645607,65.37,19.82376367769305,-1.0,1.0,-1.0,1.0
645608,64.81,19.112439048933688,-1.0,1.0,-1.0,1.0
645609,64.13,18.28111442017432,1.0,1.0,1.0,1.0
645610,64.39,18.38978979141495,-1.0,1.0,-1.0,1.0
645611,64.34,18.1884651626556,-1.0,1.0,-1.0,1.0
645612,63.38,17.077140533896234,1.0,1.0,-1.0,1.0
645613,63.74,17.285815905136865,1.0,1.0,-1.0,1.0
645614,64.08,17.4744912763775,-1.0,1.0,-1.0,1.0
645615,64.01,17.253166647618144,1.0,1.0,1.0,1.0
645616,64.73,17.821842018858774,1.0,1.0,1.0,1.0
645617,65.16,18.100517390099405,1.0,1.0,1.0,1.0
645618,65.26,18.049192761340045,1.0,1.0,1.0,1.0
645619,65.5,18.13786813258068,-1.0,1.0,-1.0,1.0
645620,64.7,17.18654350382132,1.0,1.0,1.0,1.0
645621,65.25,17.585218875061955,1.0,1.0,1.0,1.0
645622,65.54,17.723894246302603,1.0,1.0,-1.0,1.0
645623,65.61,17.642569617543227,-1.0,1.0,-1.0,1.0
645624,65.07,16.951244988783856,1.0,1.0,1.0,1.0
645625,65.76,17.489920360024506,-1.0,1.0,1.0,1.0
645626,65.28,16.85859573126514,1.0,1.0,1.0,1.0
645627,65.3,16.727271102505767,1.0,1.0,1.0,1.0
645628,65.76,17.035946473746414,1.0,1.0,1.0,1.0
645629,66.46,17.58462184498704,-1.0,1.0,1.0,1.0
645630,65.85,16.823297216227672,1.0,1.0,1.0,1.0
645631,66.4,17.221972587468322,1.0,1.0,-1.0,1.0
645632,66.84,17.510647958708955,1.0,1.0,1.0,1.0
645633,67.01,17.529323329949587,-1.0,1.0,-1.0,1.0
645634,66.97,17.337998701190223,1.0,1.0,1.0,1.0
645635,67.68,17.89667407243087,1.0,1.0,1.0,1.0
645636,68.25,18.31534944367149,1.0,1.0,1.0,1.0
645637,68.99,18.904024814912127,1.0,1.0,1.0,1.0
645638,69.87,19.63270018615277,-1.0,1.0,-1.0,1.0
645639,69.85,19.461375557393406,1.0,1.0,1.0,1.0
645640,70.84,20.300050928634047,1.0,1.0,1.0,1.0
645641,71.21,20.518726299874672,1.0,1.0,-1.0,1.0
645642,72.31,21.46740167111532,1.0,1.0,1.0,1.0
645643,72.33,21.336077042355953,1.0,1.0,1.0,1.0
645644,72.79,21.644752413596592,1.0,1.0,1.0,1.0
645645,73.49,22.19342778483722,-1.0,1.0,-1.0,1.0
645646,72.96,21.512103156077856,1.0,1.0,1.0,1.0
645647,73.17,21.57077852731849,1.0,1.0,-1.0,1.0
645648,73.98,22.229453898559136,1.0,1.0,1.0,1.0
645649,74.31,22.408129269799765,1.0,1.0,1.0,1.0
645650,79.33,27.276804641040396,1.0,-1.0,1.0,-1.0
645651,79.54,27.33548001228105,1.0,-1.0,1.0,-1.0
645652,79.94,27.58415538352168,-1.0,-1.0,-1.0,-1.0
645653,79.41,26.902830754762306,-1.0,-1.0,-1.0,-1.0
645654,79.32,26.66150612600294,-1.0,-1.0,-1.0,-1.0
645655,79.15,26.34018149724359,-1.0,-1.0,-1.0,-1.0
645656,78.07,25.10885686848421,1.0,-1.0,1.0,-1.0
645657,80.01,26.89753223972486,-1.0,-1.0,-1.0,-1.0
645658,78.45,25.186207610965496,-1.0,-1.0,-1.0,-1.0
645659,77.05,23.63488298220613,-1.0,-1.0,-1.0,-1.0
645660,76.33,22.76355835344676,-1.0,-1.0,-1.0,-1.0
645661,75.95,22.232233724687404,1.0,1.0,1.0,-1.0
645662,79.45,25.58090909592805,1.0,-1.0,1.0,-1.0
645663,79.48,25.45958446716868,1.0,-1.0,1.0,-1.0
645664,80.42,26.24825983840931,-1.0,-1.0,-1.0,-1.0
645665,78.22,23.896935209649943,-1.0,-1.0,-1.0,-1.0
645666,77.74,23.26561058089058,1.0,-1.0,-1.0,-1.0
645667,79.12,24.494285952131218,-1.0,-1.0,-1.0,-1.0
645668,78.08,23.302961323371854,-1.0,-1.0,-1.0,-1.0
645669,77.93,23.001636694612497,-1.0,-1.0,-1.0,-1.0
645670,75.4,20.320312065853127,1.0,-1.0,1.0,-1.0
645671,75.72,20.488987437093762,1.0,-1.0,1.0,-1.0
