,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
649323,60.37,4.107764149204962,1.0,-1.0,1.0,-1.0
649324,60.71,4.403267099964439,1.0,-1.0,-1.0,-1.0
649325,61.14,4.788770050723912,-1.0,-1.0,-1.0,-1.0
649326,60.99,4.59427300148338,-1.0,-1.0,-1.0,-1.0
649327,60.07,3.6297759522428517,1.0,-1.0,1.0,-1.0
649328,61.12,4.635278903002323,1.0,-1.0,-1.0,-1.0
649329,62.35,5.8207818537618,-1.0,-1.0,-1.0,-1.0
649330,61.87,5.296284804521272,-1.0,-1.0,-1.0,-1.0
649331,60.3,3.681787755280745,-1.0,-1.0,1.0,-1.0
649332,59.51,2.8472907060402197,-1.0,1.0,1.0,1.0
649333,59.38,2.6727936567996977,1.0,1.0,-1.0,1.0
649334,60.04,3.2882966075591678,-1.0,1.0,-1.0,1.0
649335,59.71,2.913799558318644,-1.0,1.0,-1.0,1.0
649336,59.7,2.85930250907812,-1.0,1.0,-1.0,1.0
649337,59.02,2.134805459837594,1.0,1.0,-1.0,1.0
649338,59.85,2.9203084105970665,1.0,1.0,-1.0,1.0
649339,60.34,3.365811361356542,1.0,-1.0,1.0,-1.0
649340,60.9,3.8813143121160114,-1.0,-1.0,-1.0,-1.0
649341,60.55,3.4868172628754834,-1.0,-1.0,-1.0,-1.0
649342,60.39,3.2823202136349607,-1.0,1.0,-1.0,-1.0
649343,60.11,2.957823164394433,-1.0,1.0,1.0,1.0
649344,58.67,1.4733261151539097,1.0,1.0,1.0,1.0
649345,59.39,2.1488290659133824,1.0,1.0,1.0,1.0
649346,59.68,2.3943320166728554,-1.0,1.0,-1.0,1.0
649347,59.51,2.179834967432328,1.0,1.0,1.0,1.0
649348,59.85,2.4753379181918054,-1.0,1.0,-1.0,1.0
649349,59.56,2.14084086895128,1.0,1.0,1.0,1.0
649350,59.7,2.2363438197107537,-1.0,1.0,-1.0,1.0
649351,59.66,2.1518467704702218,-1.0,1.0,-1.0,1.0
649352,59.17,1.6173497212297008,1.0,1.0,-1.0,1.0
649353,59.2,1.6028526719891758,-1.0,1.0,1.0,1.0
649354,59.19,1.5483556227486446,-1.0,1.0,-1.0,1.0
649355,58.95,1.2638585735081236,1.0,1.0,1.0,1.0
649356,59.18,1.4493615242675943,1.0,1.0,-1.0,1.0
649357,59.38,1.6048644750270709,1.0,1.0,-1.0,1.0
649358,59.8,1.98036742578654,1.0,1.0,1.0,1.0
649359,60.23,2.365870376546006,-1.0,1.0,-1.0,1.0
649360,60.0,2.09137332730549,-1.0,1.0,-1.0,1.0
649361,59.79,1.836876278064956,1.0,1.0,-1.0,1.0
649362,60.51,2.5123792288244293,1.0,1.0,-1.0,1.0
649363,61.01,2.9678821795839028,-1.0,-1.0,-1.0,-1.0
649364,61.0,2.913385130343378,-1.0,-1.0,-1.0,-1.0
649365,60.6,2.468888081102854,-1.0,-1.0,-1.0,-1.0
649366,59.87,1.694391031862324,1.0,-1.0,1.0,-1.0
649367,60.06,1.8398939826218024,1.0,-1.0,1.0,-1.0
649368,60.35,2.085396933381276,-1.0,-1.0,-1.0,-1.0
649369,60.26,1.9508998841407459,1.0,-1.0,1.0,-1.0
649370,60.33,1.9764028349002205,1.0,-1.0,1.0,-1.0
649371,60.39,1.9919057856596964,1.0,-1.0,1.0,-1.0
649372,60.7,2.2574087364191726,1.0,-1.0,1.0,-1.0
649373,60.78,2.2929116871786452,1.0,-1.0,1.0,-1.0
649374,61.04,2.5084146379381167,1.0,-1.0,1.0,-1.0
649375,61.84,3.263917588697595,1.0,-1.0,1.0,-1.0
649376,62.25,3.629420539457065,1.0,-1.0,1.0,-1.0
649377,62.48,3.814923490216536,-1.0,-1.0,-1.0,-1.0
649378,62.4,3.690426440976012,-1.0,-1.0,-1.0,-1.0
649379,62.25,3.495929391735487,-1.0,-1.0,-1.0,-1.0
649380,62.04,3.24143234249496,1.0,-1.0,1.0,-1.0
649381,62.43,3.5869352932544345,1.0,-1.0,1.0,-1.0
649382,63.26,4.372438244013907,-1.0,-1.0,-1.0,-1.0
649383,63.05,4.11794119477338,-1.0,-1.0,-1.0,-1.0
649384,63.01,4.033444145532855,1.0,-1.0,1.0,-1.0
649385,63.24,4.2189470962923314,-1.0,-1.0,-1.0,-1.0
649386,62.62,3.5544500470518017,-1.0,-1.0,-1.0,-1.0
649387,61.38,2.2699529978112807,1.0,-1.0,1.0,-1.0
649388,61.7,2.545455948570755,1.0,-1.0,1.0,-1.0
649389,61.71,2.5109588993302268,-1.0,-1.0,-1.0,-1.0
649390,61.07,1.8264618500896999,-1.0,-1.0,-1.0,-1.0
649391,61.06,1.771964800849176,-1.0,-1.0,-1.0,-1.0
649392,60.59,1.2574677516086508,1.0,-1.0,1.0,-1.0
649393,60.62,1.2429707023681191,-1.0,1.0,-1.0,-1.0
649394,58.89,-0.5315263468724112,-1.0,1.0,-1.0,1.0
649395,58.43,-1.036023396112938,1.0,1.0,-1.0,1.0
649396,58.92,-0.5905204453534623,-1.0,1.0,-1.0,1.0
649397,58.68,-0.8750174945939904,-1.0,1.0,-1.0,1.0
649398,58.07,-1.529514543834516,1.0,1.0,-1.0,1.0
649399,58.21,-1.4340115930750414,-1.0,1.0,-1.0,1.0
649400,57.79,-1.8985086423155693,1.0,1.0,1.0,1.0
649401,58.24,-1.4930056915560923,-1.0,1.0,-1.0,1.0
649402,58.13,-1.647502740796618,-1.0,1.0,-1.0,1.0
649403,57.93,-1.891999790037147,-1.0,1.0,-1.0,1.0
649404,56.31,-3.5564968392776706,-1.0,1.0,-1.0,1.0
649405,55.95,-3.9609938885181966,-1.0,1.0,-1.0,1.0
649406,55.6,-4.355490937758724,-1.0,1.0,-1.0,1.0
649407,55.12,-4.879987986999254,1.0,1.0,1.0,1.0
649408,55.4,-4.644485036239779,1.0,1.0,1.0,1.0
649409,56.27,-3.8189820854803,-1.0,1.0,-1.0,1.0
649410,55.22,-4.913479134720831,-1.0,1.0,-1.0,1.0
649411,54.75,-5.4279761839613565,1.0,1.0,1.0,1.0
649412,55.76,-4.462473233201884,1.0,1.0,-1.0,1.0
649413,56.23,-4.036970282442411,-1.0,1.0,-1.0,1.0
649414,55.28,-5.031467331682934,-1.0,1.0,-1.0,1.0
649415,55.09,-5.2659643809234575,1.0,1.0,1.0,1.0
649416,55.28,-5.120461430163986,1.0,1.0,1.0,1.0
649417,55.38,-5.06495847940451,1.0,1.0,1.0,1.0
649418,56.34,-4.149455528645035,-1.0,1.0,-1.0,1.0
649419,56.07,-4.463952577885563,1.0,1.0,-1.0,1.0
649420,56.86,-3.718449627126091,1.0,1.0,1.0,1.0
649421,57.54,-3.0829466763666176,1.0,1.0,1.0,1.0
649422,57.75,-2.917443725607143,1.0,1.0,1.0,1.0
649423,61.55,0.8380592251523282,1.0,-1.0,1.0,-1.0
649424,62.1,1.3435621759118064,-1.0,-1.0,-1.0,-1.0
649425,61.87,1.0690651266712692,-1.0,-1.0,-1.0,-1.0
649426,61.82,0.9745680774307529,-1.0,-1.0,-1.0,-1.0
649427,61.46,0.5700710281902204,1.0,-1.0,1.0,-1.0
649428,62.62,1.6855739789496982,-1.0,-1.0,-1.0,-1.0
649429,62.02,1.0410769297091704,1.0,-1.0,-1.0,-1.0
649430,62.04,1.0165798804686474,-1.0,-1.0,-1.0,-1.0
649431,60.68,-0.3879171687718852,-1.0,-1.0,-1.0,-1.0
649432,60.22,-0.8924142180124122,-1.0,-1.0,-1.0,1.0
649433,59.9,-1.2569112672529386,-1.0,-1.0,-1.0,1.0
649434,59.68,-1.5214083164934635,1.0,-1.0,1.0,-1.0
