,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
654923,43.07,15.589483068508706,-1.0,1.0,-1.0,1.0
654924,42.67,15.107417454415874,-1.0,1.0,-1.0,1.0
654925,42.2,14.555351840323038,-1.0,1.0,-1.0,1.0
654926,41.26,13.5332862262302,-1.0,1.0,-1.0,1.0
654927,40.88,13.071220612137367,1.0,1.0,1.0,1.0
654928,41.69,13.799154998044527,1.0,1.0,-1.0,1.0
654929,42.99,15.0170893839517,-1.0,1.0,-1.0,1.0
654930,42.93,14.875023769858858,-1.0,1.0,1.0,1.0
654931,40.4,12.262958155766025,-1.0,1.0,-1.0,1.0
654932,40.31,12.090892541673194,-1.0,1.0,-1.0,1.0
654933,40.12,11.818826927580352,1.0,1.0,0.0,1.0
654934,41.01,12.62676131348752,0.0,1.0,0.0,1.0
654935,41.01,12.544695699394687,1.0,1.0,1.0,1.0
654936,41.43,12.882630085301852,1.0,1.0,1.0,1.0
654937,41.61,12.980564471209016,1.0,1.0,1.0,1.0
654938,42.25,13.53849885711618,1.0,1.0,1.0,1.0
654939,42.47,13.676433243023345,1.0,1.0,1.0,1.0
654940,42.57,13.694367628930511,1.0,1.0,1.0,1.0
654941,42.9,13.942302014837672,-1.0,1.0,-1.0,1.0
654942,42.87,13.83023640074484,-1.0,1.0,-1.0,1.0
654943,42.16,13.038170786652005,1.0,1.0,1.0,1.0
654944,42.27,13.06610517255917,-1.0,1.0,-1.0,1.0
654945,42.12,12.834039558466332,1.0,1.0,1.0,1.0
654946,42.22,12.8519739443735,1.0,1.0,1.0,1.0
654947,42.81,13.35990833028067,1.0,1.0,1.0,1.0
654948,43.02,13.487842716187837,-1.0,1.0,1.0,1.0
654949,42.96,13.345777102094994,1.0,1.0,1.0,1.0
654950,43.07,13.37371148800216,1.0,1.0,1.0,1.0
654951,43.45,13.671645873909329,-1.0,1.0,1.0,1.0
654952,43.17,13.309580259816492,1.0,1.0,1.0,1.0
654953,43.18,13.237514645723655,1.0,1.0,1.0,1.0
654954,43.65,13.625449031630822,-1.0,1.0,-1.0,1.0
654955,43.52,13.41338341753799,-1.0,1.0,-1.0,1.0
654956,43.31,13.121317803445153,-1.0,1.0,1.0,1.0
654957,43.17,12.89925218935232,1.0,1.0,1.0,1.0
654958,43.31,12.957186575259485,1.0,1.0,1.0,1.0
654959,43.53,13.095120961166645,1.0,1.0,1.0,1.0
654960,43.74,13.223055347073815,-1.0,1.0,-1.0,1.0
654961,42.88,12.280989732980974,1.0,1.0,-1.0,-1.0
654962,43.03,12.348924118888142,1.0,1.0,1.0,1.0
654963,43.38,12.61685850479531,-1.0,1.0,-1.0,-1.0
654964,42.93,12.084792890702472,-1.0,1.0,1.0,1.0
654965,42.61,11.682727276609635,1.0,1.0,1.0,1.0
654966,42.8,11.790661662516793,1.0,1.0,1.0,1.0
654967,43.06,11.968596048423967,1.0,1.0,1.0,1.0
654968,43.59,12.416530434331136,-1.0,1.0,-1.0,1.0
654969,43.34,12.084464820238301,1.0,1.0,1.0,1.0
654970,43.67,12.332399206145466,1.0,1.0,1.0,1.0
654971,44.42,13.000333592052627,1.0,1.0,1.0,1.0
654972,44.47,12.96826797795979,1.0,1.0,1.0,1.0
654973,44.56,12.97620236386696,1.0,-1.0,1.0,-1.0
654974,44.58,12.91413674977412,1.0,-1.0,1.0,-1.0
654975,44.9,13.152071135681286,1.0,-1.0,1.0,-1.0
654976,45.16,13.330005521588447,1.0,-1.0,1.0,-1.0
654977,45.3,13.387939907495616,1.0,-1.0,1.0,-1.0
654978,45.57,13.575874293402785,-1.0,-1.0,-1.0,-1.0
654979,45.43,13.35380867930995,-1.0,-1.0,-1.0,-1.0
654980,44.94,12.781743065217107,-1.0,-1.0,-1.0,-1.0
654981,44.8,12.559677451124273,1.0,-1.0,1.0,-1.0
654982,48.59,16.267611837031446,-1.0,-1.0,-1.0,-1.0
654983,48.42,16.01554622293861,1.0,-1.0,1.0,-1.0
654984,49.36,16.873480608845774,-1.0,-1.0,-1.0,-1.0
654985,49.22,16.651414994752933,-1.0,-1.0,-1.0,-1.0
654986,48.87,16.2193493806601,-1.0,-1.0,-1.0,-1.0
654987,47.94,15.207283766567265,1.0,-1.0,1.0,-1.0
654988,48.46,15.645218152474435,1.0,-1.0,1.0,-1.0
654989,49.54,16.6431525383816,-1.0,-1.0,-1.0,-1.0
654990,48.18,15.20108692428876,1.0,-1.0,1.0,-1.0
654991,48.76,15.699021310195926,-1.0,-1.0,-1.0,-1.0
654992,47.24,14.096955696103096,-1.0,-1.0,-1.0,-1.0
654993,46.31,13.08489008201026,-1.0,-1.0,-1.0,-1.0
654994,44.6,11.292824467917422,-1.0,-1.0,-1.0,-1.0
654995,43.5,10.110758853824585,1.0,1.0,1.0,1.0
654996,46.51,13.038693239731751,1.0,-1.0,1.0,-1.0
654997,46.54,12.986627625638913,1.0,-1.0,-1.0,-1.0
654998,47.57,13.934562011546085,-1.0,-1.0,-1.0,-1.0
654999,46.71,12.992496397453245,-1.0,-1.0,-1.0,-1.0
655000,45.72,11.920430783360407,1.0,-1.0,1.0,-1.0
655001,45.92,12.038365169267578,-1.0,-1.0,-1.0,-1.0
655002,44.93,10.966299555174745,-1.0,-1.0,-1.0,-1.0
655003,44.23,10.184233941081906,-1.0,-1.0,-1.0,-1.0
655004,42.19,8.062168326989068,1.0,-1.0,1.0,-1.0
655005,43.02,8.810102712896239,-1.0,-1.0,-1.0,1.0
655006,42.79,8.498037098803401,1.0,-1.0,1.0,-1.0
655007,43.01,8.635971484710566,1.0,-1.0,1.0,-1.0
655008,43.27,8.813905870617738,1.0,-1.0,1.0,-1.0
655009,44.58,10.041840256524893,-1.0,-1.0,-1.0,-1.0
655010,44.2,9.579774642432065,-1.0,-1.0,-1.0,-1.0
655011,42.82,8.117709028339227,1.0,1.0,1.0,1.0
655012,44.22,9.435643414246393,1.0,-1.0,1.0,-1.0
655013,44.28,9.413577800153561,-1.0,-1.0,-1.0,-1.0
655014,42.36,7.411512186060718,-1.0,-1.0,-1.0,-1.0
655015,40.88,5.8494465719678885,1.0,1.0,1.0,1.0
655016,41.19,6.07738095787505,1.0,1.0,1.0,1.0
655017,41.31,6.115315343782222,1.0,1.0,1.0,1.0
655018,42.66,7.383249729689382,1.0,1.0,1.0,1.0
655019,43.01,7.651184115596544,1.0,1.0,1.0,1.0
655020,43.21,7.769118501503713,1.0,1.0,-1.0,1.0
655021,44.09,8.567052887410881,-1.0,1.0,-1.0,1.0
655022,43.81,8.204987273318046,-1.0,1.0,-1.0,1.0
655023,43.75,8.06292165922521,1.0,1.0,1.0,1.0
655024,43.77,8.000856045132373,-1.0,1.0,-1.0,1.0
655025,43.7,7.848790431039539,-1.0,1.0,-1.0,1.0
655026,42.5,6.566724816946702,1.0,1.0,1.0,1.0
655027,42.59,6.574659202853872,-1.0,1.0,1.0,1.0
655028,41.86,5.762593588761035,1.0,1.0,1.0,1.0
655029,42.14,5.960527974668197,0.0,1.0,0.0,1.0
655030,42.14,5.878462360575362,-1.0,1.0,-1.0,1.0
655031,41.29,4.946396746482527,-1.0,1.0,-1.0,1.0
655032,40.91,4.484331132389691,1.0,1.0,1.0,1.0
655033,41.11,4.6022655182968615,-1.0,1.0,-1.0,1.0
655034,40.36,3.77019990420402,1.0,1.0,1.0,1.0
655035,40.57,3.8981342901111873,1.0,1.0,1.0,1.0
655036,42.09,5.336068676018357,1.0,-1.0,1.0,-1.0
655037,42.46,5.624003061925521,1.0,-1.0,1.0,1.0
655038,42.86,5.941937447832687,-1.0,-1.0,1.0,1.0
655039,42.68,5.6798718337398455,1.0,-1.0,1.0,1.0
655040,44.0,6.917806219647013,-1.0,-1.0,-1.0,-1.0
655041,43.81,6.645740605554181,-1.0,-1.0,-1.0,-1.0
655042,43.57,6.3236749914613455,-1.0,-1.0,-1.0,-1.0
655043,41.56,4.231609377368514,1.0,-1.0,1.0,-1.0
655044,42.16,4.749543763275668,1.0,-1.0,1.0,1.0
