,Close,Target(1),Target(30),Prediction(1),Prediction(30)
656790,44.15,-1.0,-1.0,-1.0,-1.0
656791,44.01,-1.0,-1.0,1.0,-1.0
656792,43.32,-1.0,-1.0,-1.0,-1.0
656793,43.07,-1.0,-1.0,-1.0,-1.0
656794,42.7,1.0,-1.0,1.0,-1.0
656795,43.63,1.0,-1.0,1.0,-1.0
656796,44.24,1.0,-1.0,1.0,-1.0
656797,44.49,-1.0,-1.0,-1.0,-1.0
656798,42.64,-1.0,-1.0,-1.0,-1.0
656799,42.14,-1.0,-1.0,-1.0,-1.0
656800,42.08,1.0,1.0,1.0,1.0
656801,43.76,-1.0,-1.0,-1.0,-1.0
656802,40.58,-1.0,1.0,-1.0,1.0
656803,38.86,-1.0,1.0,-1.0,1.0
656804,38.62,1.0,1.0,1.0,1.0
656805,39.25,1.0,1.0,1.0,1.0
656806,39.43,1.0,1.0,1.0,1.0
656807,39.44,1.0,1.0,1.0,1.0
656808,39.7,-1.0,1.0,1.0,1.0
656809,39.5,1.0,1.0,1.0,1.0
656810,40.16,-1.0,1.0,-1.0,1.0
656811,39.64,-1.0,1.0,-1.0,1.0
656812,39.53,1.0,1.0,1.0,1.0
656813,39.58,1.0,1.0,1.0,1.0
656814,40.21,-1.0,1.0,-1.0,1.0
656815,39.7,-1.0,1.0,-1.0,1.0
656816,39.37,1.0,1.0,1.0,-1.0
656817,39.43,1.0,1.0,1.0,1.0
656818,40.82,1.0,1.0,1.0,1.0
656819,40.94,-1.0,1.0,-1.0,1.0
656820,40.53,1.0,1.0,1.0,1.0
656821,41.1,1.0,1.0,-1.0,1.0
656822,41.36,1.0,1.0,1.0,1.0
656823,41.99,-1.0,1.0,-1.0,1.0
656824,41.57,1.0,1.0,1.0,1.0
656825,41.75,-1.0,1.0,-1.0,1.0
656826,41.47,-1.0,1.0,-1.0,1.0
656827,41.28,-1.0,1.0,-1.0,1.0
656828,41.25,1.0,1.0,1.0,1.0
656829,41.72,1.0,1.0,1.0,1.0
656830,42.46,1.0,1.0,1.0,1.0
656831,43.26,1.0,1.0,1.0,1.0
656832,43.49,1.0,1.0,-1.0,1.0
656833,43.85,1.0,1.0,1.0,1.0
656834,44.07,1.0,1.0,1.0,1.0
656835,44.58,-1.0,1.0,-1.0,1.0
656836,44.35,1.0,1.0,1.0,1.0
656837,44.57,0.0,1.0,0.0,1.0
656838,44.57,-1.0,1.0,-1.0,1.0
656839,43.43,-1.0,1.0,-1.0,1.0
656840,43.39,1.0,-1.0,1.0,-1.0
656841,43.98,-1.0,-1.0,1.0,-1.0
656842,43.77,-1.0,-1.0,-1.0,-1.0
656843,43.6,1.0,1.0,1.0,1.0
656844,44.12,-1.0,1.0,-1.0,1.0
656845,43.89,-1.0,1.0,-1.0,1.0
656846,43.38,1.0,1.0,1.0,1.0
656847,43.55,1.0,1.0,1.0,-1.0
656848,44.17,1.0,1.0,1.0,1.0
656849,44.32,1.0,1.0,1.0,1.0
656850,44.92,1.0,-1.0,1.0,-1.0
656851,45.27,-1.0,-1.0,-1.0,-1.0
656852,45.0,-1.0,-1.0,-1.0,-1.0
656853,44.19,-1.0,-1.0,-1.0,-1.0
656854,44.1,1.0,1.0,1.0,1.0
656855,44.68,1.0,1.0,1.0,1.0
656856,45.34,1.0,-1.0,1.0,-1.0
656857,46.49,-1.0,-1.0,-1.0,-1.0
656858,46.05,-1.0,-1.0,-1.0,-1.0
656859,45.55,-1.0,-1.0,-1.0,-1.0
656860,44.8,-1.0,1.0,-1.0,1.0
656861,44.09,1.0,1.0,1.0,1.0
656862,46.2,1.0,-1.0,1.0,-1.0
656863,46.95,1.0,-1.0,-1.0,-1.0
656864,47.97,-1.0,-1.0,-1.0,-1.0
656865,46.88,-1.0,-1.0,-1.0,-1.0
656866,46.33,0.0,-1.0,0.0,-1.0
656867,46.33,-1.0,-1.0,-1.0,-1.0
656868,46.23,-1.0,-1.0,-1.0,-1.0
656869,45.35,-1.0,-1.0,-1.0,-1.0
656870,43.2,1.0,-1.0,1.0,1.0
656871,43.52,1.0,-1.0,1.0,-1.0
656872,43.72,1.0,-1.0,1.0,-1.0
656873,44.07,1.0,-1.0,1.0,-1.0
656874,45.08,1.0,-1.0,1.0,-1.0
656875,45.93,-1.0,-1.0,1.0,-1.0
656876,45.18,-1.0,-1.0,-1.0,-1.0
656877,44.32,1.0,-1.0,1.0,-1.0
656878,46.25,1.0,-1.0,1.0,-1.0
656879,46.56,-1.0,-1.0,-1.0,-1.0
656880,44.73,-1.0,-1.0,-1.0,-1.0
656881,43.14,-1.0,-1.0,-1.0,-1.0
656882,42.84,1.0,-1.0,1.0,-1.0
656883,43.63,1.0,-1.0,1.0,-1.0
656884,44.98,1.0,-1.0,1.0,-1.0
656885,45.21,-1.0,-1.0,1.0,-1.0
656886,45.01,1.0,-1.0,1.0,-1.0
656887,45.77,-1.0,-1.0,-1.0,-1.0
656888,45.18,1.0,-1.0,1.0,-1.0
656889,45.53,-1.0,-1.0,-1.0,-1.0
656890,45.32,-1.0,-1.0,-1.0,-1.0
656891,44.92,-1.0,-1.0,1.0,-1.0
656892,43.9,-1.0,1.0,-1.0,1.0
656893,43.77,-1.0,1.0,-1.0,1.0
656894,42.37,1.0,1.0,1.0,1.0
656895,43.3,-1.0,1.0,1.0,1.0
656896,43.09,-1.0,1.0,-1.0,1.0
656897,41.27,-1.0,1.0,-1.0,1.0
656898,40.34,1.0,1.0,1.0,1.0
656899,40.43,1.0,1.0,1.0,1.0
656900,40.96,-1.0,1.0,-1.0,1.0
656901,40.84,1.0,1.0,1.0,1.0
656902,41.88,1.0,1.0,1.0,1.0
656903,42.05,-1.0,-1.0,-1.0,-1.0
656904,41.61,-1.0,-1.0,1.0,1.0
656905,41.43,1.0,-1.0,-1.0,-1.0
656906,42.13,-1.0,-1.0,-1.0,-1.0
656907,41.9,-1.0,-1.0,-1.0,-1.0
656908,41.5,-1.0,-1.0,-1.0,-1.0
656909,40.41,1.0,1.0,1.0,1.0
656910,40.76,1.0,-1.0,1.0,-1.0
656911,41.33,-1.0,-1.0,-1.0,-1.0
656912,40.41,1.0,1.0,1.0,1.0
656913,41.09,-1.0,1.0,-1.0,1.0
656914,41.0,1.0,1.0,1.0,1.0
656915,42.96,-1.0,-1.0,-1.0,-1.0
656916,42.24,-1.0,1.0,-1.0,1.0
656917,42.06,1.0,1.0,1.0,1.0
656918,42.52,1.0,1.0,1.0,1.0
656919,42.63,1.0,1.0,1.0,1.0
656920,43.76,1.0,1.0,1.0,1.0
656921,43.91,1.0,1.0,1.0,1.0
656922,44.44,1.0,1.0,1.0,1.0
656923,44.81,1.0,1.0,1.0,1.0
656924,44.82,-1.0,1.0,-1.0,1.0
656925,44.44,-1.0,1.0,-1.0,1.0
656926,44.09,-1.0,1.0,-1.0,1.0
656927,43.26,-1.0,1.0,-1.0,1.0
656928,42.37,-1.0,1.0,-1.0,1.0
656929,41.94,1.0,1.0,1.0,1.0
656930,42.0,1.0,1.0,1.0,1.0
656931,42.52,1.0,1.0,1.0,1.0
656932,42.54,-1.0,1.0,-1.0,1.0
656933,41.61,-1.0,1.0,-1.0,1.0
656934,41.33,-1.0,1.0,-1.0,1.0
656935,40.74,-1.0,1.0,-1.0,1.0
656936,40.07,1.0,1.0,1.0,1.0
656937,40.09,-1.0,1.0,-1.0,1.0
656938,40.05,1.0,1.0,1.0,1.0
656939,40.76,-1.0,1.0,-1.0,1.0
656940,40.38,-1.0,1.0,-1.0,1.0
656941,40.18,1.0,1.0,1.0,1.0
656942,41.81,1.0,1.0,1.0,-1.0
656943,42.33,1.0,1.0,-1.0,1.0
656944,43.18,-1.0,1.0,-1.0,1.0
656945,42.4,1.0,1.0,1.0,1.0
656946,42.56,1.0,1.0,1.0,1.0
656947,43.05,1.0,1.0,1.0,1.0
656948,43.72,1.0,1.0,1.0,1.0
656949,44.2,1.0,1.0,1.0,1.0
656950,45.0,1.0,1.0,1.0,1.0
656951,45.55,-1.0,1.0,1.0,1.0
656952,45.36,1.0,1.0,1.0,1.0
656953,45.65,1.0,1.0,1.0,1.0
656954,46.5,-1.0,1.0,-1.0,1.0
656955,45.75,-1.0,1.0,-1.0,1.0
656956,45.73,-1.0,1.0,-1.0,1.0
