,Close,Target(1),Target(30),Prediction(1),Prediction(30)
660431,32.8,1.0,-1.0,1.0,-1.0
660432,32.97,-1.0,-1.0,-1.0,-1.0
660433,32.91,-1.0,-1.0,-1.0,1.0
660434,31.95,1.0,1.0,1.0,1.0
660435,32.0,0.0,1.0,0.0,1.0
660436,32.0,1.0,1.0,-1.0,1.0
660437,32.15,-1.0,1.0,-1.0,1.0
660438,32.0,-1.0,1.0,-1.0,1.0
660439,31.58,1.0,1.0,1.0,1.0
660440,31.7,-1.0,1.0,-1.0,1.0
660441,31.13,1.0,1.0,1.0,1.0
660442,31.29,-1.0,1.0,-1.0,1.0
660443,31.28,1.0,1.0,1.0,1.0
660444,31.32,-1.0,1.0,-1.0,1.0
660445,31.17,1.0,1.0,1.0,1.0
660446,31.88,-1.0,1.0,-1.0,1.0
660447,31.64,1.0,1.0,1.0,1.0
660448,31.81,1.0,1.0,1.0,1.0
660449,32.29,1.0,1.0,1.0,1.0
660450,32.34,-1.0,1.0,1.0,1.0
660451,32.02,1.0,1.0,1.0,1.0
660452,32.13,-1.0,1.0,-1.0,1.0
660453,32.01,-1.0,1.0,-1.0,1.0
660454,31.77,1.0,1.0,1.0,1.0
660455,32.06,1.0,1.0,1.0,1.0
660456,32.23,-1.0,1.0,-1.0,1.0
660457,32.18,1.0,1.0,1.0,1.0
660458,32.29,-1.0,1.0,-1.0,1.0
660459,32.22,1.0,1.0,1.0,1.0
660460,32.35,-1.0,1.0,-1.0,1.0
660461,32.31,1.0,1.0,1.0,1.0
660462,32.36,1.0,1.0,1.0,1.0
660463,32.5,-1.0,1.0,-1.0,1.0
660464,32.48,1.0,1.0,1.0,1.0
660465,32.86,1.0,1.0,1.0,1.0
660466,33.21,1.0,1.0,1.0,1.0
660467,33.45,-1.0,1.0,-1.0,1.0
660468,33.38,-1.0,1.0,-1.0,1.0
660469,33.18,-1.0,1.0,-1.0,1.0
660470,33.11,1.0,1.0,-1.0,1.0
660471,33.35,-1.0,1.0,-1.0,1.0
660472,33.03,-1.0,1.0,-1.0,1.0
660473,33.01,1.0,1.0,1.0,1.0
660474,33.1,1.0,1.0,1.0,1.0
660475,33.34,-1.0,1.0,-1.0,1.0
660476,33.21,-1.0,1.0,-1.0,1.0
660477,33.16,1.0,1.0,1.0,1.0
660478,33.42,1.0,1.0,1.0,1.0
660479,33.49,1.0,1.0,1.0,1.0
660480,33.88,-1.0,1.0,-1.0,1.0
660481,33.56,-1.0,1.0,-1.0,1.0
660482,33.51,1.0,-1.0,1.0,1.0
660483,33.93,1.0,-1.0,1.0,1.0
660484,33.95,-1.0,-1.0,-1.0,-1.0
660485,33.91,1.0,-1.0,1.0,-1.0
660486,33.99,-1.0,-1.0,-1.0,-1.0
660487,33.95,-1.0,-1.0,-1.0,-1.0
660488,33.87,1.0,-1.0,1.0,1.0
660489,34.09,1.0,-1.0,1.0,-1.0
660490,34.4,1.0,-1.0,1.0,-1.0
660491,34.45,1.0,-1.0,-1.0,-1.0
660492,34.55,1.0,-1.0,1.0,-1.0
660493,34.73,1.0,-1.0,1.0,-1.0
660494,34.87,-1.0,-1.0,-1.0,-1.0
660495,34.5,1.0,-1.0,-1.0,-1.0
660496,35.26,-1.0,-1.0,1.0,-1.0
660497,34.64,-1.0,-1.0,-1.0,-1.0
660498,34.56,1.0,-1.0,1.0,-1.0
660499,34.61,-1.0,-1.0,-1.0,-1.0
660500,34.32,-1.0,-1.0,-1.0,-1.0
660501,34.02,-1.0,0.0,-1.0,0.0
660502,33.48,1.0,1.0,1.0,1.0
660503,33.92,1.0,0.0,1.0,0.0
660504,34.87,1.0,-1.0,1.0,-1.0
660505,34.88,1.0,-1.0,1.0,-1.0
660506,35.06,-1.0,-1.0,-1.0,-1.0
660507,34.63,-1.0,-1.0,-1.0,-1.0
660508,34.47,1.0,-1.0,1.0,-1.0
660509,34.63,-1.0,-1.0,1.0,-1.0
660510,34.27,-1.0,-1.0,-1.0,-1.0
660511,33.93,-1.0,-1.0,-1.0,-1.0
660512,33.41,1.0,-1.0,1.0,-1.0
660513,33.62,-1.0,-1.0,-1.0,-1.0
660514,33.11,-1.0,1.0,-1.0,1.0
