,Close,Target(1),Target(30),Prediction(1),Prediction(30)
662298,72.1,-1.0,1.0,-1.0,1.0
662299,71.81,1.0,1.0,1.0,1.0
662300,72.4,-1.0,1.0,-1.0,1.0
662301,72.08,-1.0,1.0,-1.0,1.0
662302,72.0,1.0,1.0,1.0,1.0
662303,73.57,1.0,1.0,1.0,1.0
662304,74.47,-1.0,1.0,-1.0,1.0
662305,72.8,-1.0,1.0,-1.0,1.0
662306,69.45,1.0,1.0,1.0,1.0
662307,73.36,-1.0,1.0,-1.0,1.0
662308,70.72,-1.0,1.0,-1.0,1.0
662309,70.59,-1.0,1.0,-1.0,1.0
662310,70.27,1.0,1.0,1.0,1.0
662311,71.27,1.0,1.0,1.0,1.0
662312,72.0,1.0,1.0,1.0,1.0
662313,74.82,1.0,1.0,1.0,1.0
662314,75.85,1.0,1.0,1.0,1.0
662315,77.22,1.0,1.0,1.0,1.0
662316,77.72,1.0,1.0,1.0,1.0
662317,78.64,-1.0,1.0,1.0,1.0
662318,77.91,-1.0,1.0,1.0,1.0
662319,77.53,1.0,1.0,1.0,1.0
662320,78.51,-1.0,1.0,-1.0,1.0
662321,78.29,1.0,1.0,1.0,1.0
662322,78.4,-1.0,1.0,-1.0,1.0
662323,78.01,-1.0,1.0,-1.0,1.0
662324,77.46,1.0,1.0,1.0,1.0
662325,77.61,1.0,1.0,1.0,1.0
662326,79.43,1.0,1.0,1.0,1.0
662327,79.79,1.0,1.0,1.0,1.0
662328,80.82,-1.0,1.0,-1.0,1.0
662329,80.77,1.0,1.0,1.0,1.0
662330,80.94,1.0,1.0,1.0,1.0
662331,82.08,-1.0,1.0,-1.0,1.0
662332,81.88,1.0,1.0,1.0,1.0
662333,84.18,1.0,1.0,-1.0,1.0
662334,85.65,-1.0,1.0,-1.0,1.0
662335,84.56,-1.0,1.0,-1.0,1.0
662336,83.54,1.0,1.0,1.0,1.0
662337,84.97,-1.0,1.0,-1.0,1.0
662338,84.43,1.0,1.0,1.0,1.0
662339,84.51,1.0,1.0,1.0,1.0
662340,85.53,-1.0,1.0,-1.0,1.0
662341,85.01,1.0,1.0,1.0,1.0
662342,85.15,1.0,1.0,1.0,1.0
662343,85.16,-1.0,1.0,-1.0,1.0
662344,83.9,1.0,1.0,1.0,1.0
662345,84.47,1.0,1.0,1.0,1.0
662346,86.14,1.0,1.0,1.0,1.0
662347,87.71,-1.0,-1.0,-1.0,-1.0
662348,84.53,1.0,-1.0,1.0,1.0
662349,84.73,1.0,-1.0,1.0,-1.0
662350,86.09,-1.0,-1.0,-1.0,-1.0
662351,85.03,1.0,-1.0,1.0,-1.0
662352,88.18,-1.0,-1.0,-1.0,-1.0
662353,87.95,-1.0,-1.0,-1.0,-1.0
662354,85.03,-1.0,1.0,-1.0,1.0
662355,82.27,1.0,1.0,1.0,1.0
662356,82.9,1.0,1.0,1.0,1.0
662357,84.66,1.0,1.0,1.0,1.0
662358,86.99,1.0,-1.0,1.0,-1.0
662359,88.39,1.0,-1.0,1.0,-1.0
662360,89.56,1.0,-1.0,1.0,-1.0
662361,90.59,-1.0,-1.0,-1.0,-1.0
662362,87.48,1.0,-1.0,1.0,-1.0
662363,87.63,1.0,-1.0,1.0,-1.0
662364,92.42,-1.0,-1.0,-1.0,-1.0
662365,89.02,1.0,-1.0,1.0,-1.0
662366,92.78,-1.0,-1.0,-1.0,-1.0
662367,90.09,-1.0,-1.0,-1.0,1.0
662368,88.48,-1.0,1.0,-1.0,1.0
662369,84.88,1.0,1.0,1.0,1.0
662370,85.68,1.0,1.0,1.0,1.0
662371,90.33,1.0,-1.0,1.0,-1.0
662372,90.62,1.0,-1.0,-1.0,-1.0
662373,91.31,-1.0,-1.0,-1.0,-1.0
662374,89.69,-1.0,-1.0,-1.0,-1.0
662375,86.7,-1.0,-1.0,-1.0,-1.0
662376,86.69,-1.0,-1.0,-1.0,1.0
662377,84.17,-1.0,-1.0,-1.0,1.0
662378,83.29,-1.0,-1.0,-1.0,-1.0
662379,81.09,1.0,-1.0,1.0,-1.0
662380,84.04,-1.0,-1.0,-1.0,1.0
662381,81.75,1.0,-1.0,1.0,-1.0
662382,82.66,-1.0,-1.0,1.0,1.0
662383,81.98,1.0,1.0,1.0,1.0
662384,86.43,-1.0,-1.0,1.0,-1.0
662385,85.03,-1.0,1.0,-1.0,1.0
662386,84.81,1.0,-1.0,1.0,1.0
662387,86.59,-1.0,-1.0,-1.0,-1.0
662388,86.13,-1.0,-1.0,-1.0,1.0
662389,81.5,-1.0,1.0,1.0,1.0
662390,80.97,1.0,1.0,1.0,1.0
662391,82.17,1.0,1.0,1.0,1.0
662392,82.19,1.0,1.0,1.0,1.0
662393,85.82,1.0,1.0,1.0,1.0
662394,87.08,1.0,1.0,1.0,1.0
662395,88.41,1.0,1.0,1.0,1.0
