,Close,Target(1),Target(30),Prediction(1),Prediction(30)
664165,33.4,1.0,1.0,1.0,1.0
664166,34.23,1.0,1.0,1.0,1.0
664167,35.71,-1.0,-1.0,-1.0,-1.0
664168,35.56,-1.0,-1.0,-1.0,-1.0
664169,35.45,-1.0,-1.0,1.0,-1.0
664170,35.44,1.0,-1.0,1.0,-1.0
664171,35.55,0.0,1.0,0.0,1.0
664172,35.55,-1.0,1.0,1.0,1.0
664173,34.37,-1.0,1.0,-1.0,1.0
664174,34.22,-1.0,1.0,1.0,1.0
664175,33.65,1.0,1.0,1.0,1.0
664176,34.01,-1.0,1.0,-1.0,1.0
664177,33.57,1.0,1.0,1.0,1.0
664178,34.07,1.0,1.0,-1.0,1.0
664179,34.17,1.0,1.0,1.0,1.0
664180,34.5,1.0,1.0,1.0,1.0
664181,34.75,1.0,1.0,1.0,1.0
664182,35.01,1.0,1.0,1.0,1.0
664183,35.33,-1.0,1.0,-1.0,-1.0
664184,34.8,-1.0,1.0,-1.0,1.0
664185,34.3,1.0,1.0,1.0,1.0
664186,34.6,-1.0,1.0,-1.0,1.0
664187,34.17,1.0,1.0,1.0,1.0
664188,34.2,1.0,1.0,1.0,1.0
664189,34.32,0.0,1.0,0.0,1.0
664190,34.32,-1.0,1.0,1.0,1.0
664191,34.29,1.0,1.0,1.0,1.0
664192,34.49,1.0,1.0,1.0,1.0
664193,35.28,1.0,-1.0,1.0,-1.0
664194,35.47,-1.0,-1.0,-1.0,-1.0
664195,35.3,-1.0,-1.0,1.0,-1.0
664196,35.04,1.0,-1.0,1.0,-1.0
664197,35.1,-1.0,-1.0,-1.0,-1.0
664198,35.05,1.0,-1.0,1.0,-1.0
664199,35.29,1.0,-1.0,1.0,-1.0
664200,35.33,1.0,-1.0,1.0,-1.0
664201,35.78,1.0,-1.0,1.0,-1.0
664202,36.1,-1.0,-1.0,-1.0,-1.0
664203,35.77,1.0,-1.0,1.0,-1.0
664204,35.93,1.0,-1.0,1.0,-1.0
664205,36.04,-1.0,-1.0,-1.0,-1.0
664206,35.87,-1.0,-1.0,-1.0,-1.0
664207,35.71,-1.0,-1.0,-1.0,-1.0
664208,35.62,1.0,-1.0,1.0,-1.0
664209,35.63,1.0,-1.0,1.0,-1.0
664210,35.84,-1.0,-1.0,-1.0,-1.0
664211,35.65,-1.0,-1.0,-1.0,-1.0
664212,35.6,1.0,-1.0,1.0,-1.0
664213,35.61,-1.0,-1.0,-1.0,-1.0
664214,35.51,-1.0,-1.0,-1.0,-1.0
664215,35.39,0.0,-1.0,0.0,-1.0
664216,35.39,1.0,-1.0,1.0,-1.0
664217,35.81,1.0,-1.0,1.0,-1.0
664218,36.03,1.0,-1.0,1.0,-1.0
664219,36.34,1.0,-1.0,1.0,-1.0
664220,36.82,-1.0,-1.0,1.0,1.0
664221,36.55,-1.0,-1.0,1.0,1.0
664222,34.76,-1.0,-1.0,-1.0,-1.0
664223,34.58,1.0,-1.0,-1.0,-1.0
664224,34.73,-1.0,-1.0,-1.0,-1.0
664225,34.43,-1.0,-1.0,-1.0,-1.0
664226,33.23,1.0,-1.0,1.0,-1.0
664227,33.25,1.0,-1.0,1.0,-1.0
664228,33.88,-1.0,-1.0,-1.0,-1.0
664229,33.65,-1.0,-1.0,-1.0,-1.0
664230,33.22,1.0,-1.0,1.0,-1.0
664231,34.12,-1.0,-1.0,-1.0,-1.0
664232,33.72,1.0,-1.0,1.0,-1.0
664233,33.79,-1.0,-1.0,-1.0,-1.0
664234,32.67,-1.0,-1.0,-1.0,-1.0
664235,31.91,-1.0,-1.0,-1.0,-1.0
664236,30.39,-1.0,-1.0,-1.0,-1.0
664237,30.28,-1.0,-1.0,-1.0,-1.0
664238,29.15,1.0,1.0,1.0,-1.0
664239,30.06,-1.0,1.0,-1.0,1.0
664240,29.96,-1.0,1.0,-1.0,1.0
664241,29.23,-1.0,1.0,-1.0,1.0
664242,28.98,1.0,1.0,1.0,1.0
664243,29.4,-1.0,-1.0,-1.0,-1.0
664244,28.95,1.0,-1.0,1.0,-1.0
664245,29.27,-1.0,-1.0,-1.0,-1.0
664246,28.07,1.0,-1.0,1.0,-1.0
664247,28.41,-1.0,-1.0,-1.0,-1.0
664248,28.28,-1.0,-1.0,-1.0,-1.0
664249,27.99,0.0,1.0,0.0,1.0
664250,27.99,1.0,1.0,1.0,1.0
664251,28.5,-1.0,1.0,-1.0,1.0
664252,27.8,-1.0,1.0,-1.0,1.0
664253,27.02,1.0,1.0,1.0,1.0
664254,28.04,-1.0,1.0,-1.0,1.0
664255,28.01,-1.0,1.0,-1.0,1.0
664256,27.34,1.0,1.0,1.0,1.0
664257,27.45,1.0,1.0,1.0,1.0
664258,28.21,-1.0,1.0,-1.0,1.0
664259,27.92,1.0,1.0,-1.0,1.0
664260,28.86,1.0,1.0,1.0,1.0
664261,28.87,-1.0,1.0,-1.0,1.0
664262,28.68,1.0,1.0,1.0,1.0
664263,30.32,1.0,-1.0,1.0,-1.0
664264,30.77,-1.0,-1.0,-1.0,1.0
664265,30.0,1.0,1.0,1.0,1.0
664266,30.1,-1.0,1.0,-1.0,1.0
664267,29.97,-1.0,1.0,-1.0,1.0
664268,29.72,1.0,1.0,1.0,1.0
664269,30.45,-1.0,1.0,-1.0,1.0
664270,30.25,-1.0,1.0,-1.0,1.0
664271,29.74,1.0,1.0,1.0,1.0
664272,29.85,-1.0,1.0,-1.0,1.0
664273,29.39,-1.0,1.0,1.0,1.0
664274,28.14,-1.0,1.0,-1.0,1.0
664275,28.13,-1.0,1.0,-1.0,1.0
664276,27.8,-1.0,1.0,-1.0,1.0
664277,27.7,1.0,1.0,1.0,1.0
664278,27.72,1.0,1.0,1.0,1.0
664279,29.54,-1.0,-1.0,-1.0,-1.0
664280,29.49,1.0,-1.0,1.0,-1.0
664281,29.78,1.0,-1.0,-1.0,-1.0
664282,30.67,-1.0,-1.0,-1.0,-1.0
664283,30.4,1.0,-1.0,1.0,-1.0
664284,30.57,-1.0,-1.0,-1.0,-1.0
664285,29.33,1.0,-1.0,1.0,-1.0
664286,29.65,1.0,-1.0,1.0,-1.0
664287,29.78,-1.0,-1.0,-1.0,-1.0
664288,29.22,1.0,-1.0,1.0,-1.0
664289,30.71,-1.0,-1.0,-1.0,-1.0
664290,29.66,1.0,1.0,1.0,1.0
664291,30.64,1.0,-1.0,-1.0,1.0
664292,30.68,-1.0,-1.0,-1.0,1.0
664293,30.2,-1.0,-1.0,-1.0,-1.0
664294,30.12,1.0,1.0,1.0,1.0
664295,30.69,1.0,-1.0,1.0,-1.0
664296,31.21,-1.0,-1.0,-1.0,-1.0
664297,30.52,1.0,-1.0,1.0,1.0
664298,30.75,1.0,-1.0,1.0,-1.0
664299,30.79,-1.0,-1.0,-1.0,-1.0
664300,30.58,1.0,1.0,1.0,1.0
664301,31.12,-1.0,1.0,-1.0,-1.0
664302,31.09,-1.0,1.0,-1.0,1.0
664303,30.04,-1.0,1.0,-1.0,1.0
664304,29.35,-1.0,1.0,-1.0,1.0
664305,29.03,-1.0,1.0,-1.0,1.0
664306,28.66,1.0,1.0,-1.0,1.0
664307,29.05,1.0,1.0,1.0,1.0
664308,29.24,-1.0,1.0,-1.0,1.0
664309,28.77,-1.0,1.0,-1.0,1.0
664310,28.18,-1.0,1.0,-1.0,1.0
664311,27.98,-1.0,1.0,-1.0,1.0
664312,27.93,-1.0,1.0,-1.0,1.0
664313,27.87,-1.0,1.0,-1.0,1.0
664314,27.86,1.0,1.0,1.0,1.0
664315,28.35,-1.0,1.0,-1.0,1.0
664316,27.64,1.0,1.0,1.0,1.0
664317,27.7,1.0,1.0,1.0,1.0
664318,28.5,1.0,1.0,1.0,1.0
664319,29.35,1.0,1.0,1.0,1.0
664320,29.68,-1.0,1.0,-1.0,1.0
664321,29.03,1.0,1.0,1.0,1.0
664322,29.12,1.0,1.0,1.0,1.0
664323,29.38,1.0,1.0,1.0,1.0
664324,30.24,1.0,1.0,1.0,1.0
664325,30.45,1.0,1.0,1.0,1.0
664326,30.46,-1.0,1.0,-1.0,1.0
