,Close,Target(1),Target(30),Prediction(1),Prediction(30)
666032,24.02,-1.0,-1.0,-1.0,-1.0
666033,23.87,-1.0,-1.0,-1.0,-1.0
666034,23.7,1.0,-1.0,1.0,-1.0
666035,23.71,-1.0,-1.0,-1.0,-1.0
666036,23.46,1.0,-1.0,1.0,-1.0
666037,23.5,1.0,1.0,1.0,1.0
666038,24.0,-1.0,-1.0,-1.0,-1.0
666039,23.84,-1.0,-1.0,-1.0,-1.0
666040,23.32,1.0,1.0,1.0,1.0
666041,23.47,-1.0,1.0,1.0,1.0
666042,23.19,1.0,1.0,1.0,1.0
666043,23.88,-1.0,-1.0,-1.0,-1.0
666044,23.74,1.0,-1.0,1.0,-1.0
666045,24.12,1.0,-1.0,1.0,-1.0
666046,24.18,1.0,-1.0,1.0,-1.0
666047,24.78,1.0,-1.0,1.0,-1.0
666048,25.05,1.0,-1.0,-1.0,-1.0
666049,25.27,1.0,-1.0,1.0,-1.0
666050,25.68,-1.0,-1.0,-1.0,-1.0
666051,25.54,-1.0,-1.0,-1.0,-1.0
666052,25.41,1.0,-1.0,1.0,-1.0
666053,25.69,1.0,-1.0,1.0,-1.0
666054,25.93,-1.0,-1.0,-1.0,-1.0
666055,25.76,1.0,-1.0,1.0,-1.0
666056,25.86,-1.0,-1.0,-1.0,-1.0
666057,23.25,-1.0,1.0,-1.0,1.0
666058,22.56,1.0,1.0,1.0,1.0
666059,22.95,1.0,1.0,1.0,1.0
666060,23.29,-1.0,1.0,-1.0,1.0
666061,22.75,1.0,1.0,1.0,-1.0
666062,22.91,1.0,1.0,1.0,1.0
666063,22.96,1.0,1.0,1.0,1.0
666064,23.14,1.0,1.0,1.0,1.0
666065,23.42,-1.0,1.0,-1.0,1.0
666066,23.41,1.0,1.0,1.0,1.0
666067,23.63,1.0,1.0,1.0,1.0
666068,23.72,1.0,-1.0,1.0,-1.0
666069,23.75,0.0,-1.0,0.0,-1.0
666070,23.75,1.0,-1.0,1.0,-1.0
666071,24.12,-1.0,-1.0,-1.0,-1.0
666072,24.06,-1.0,-1.0,-1.0,-1.0
666073,23.56,-1.0,-1.0,-1.0,-1.0
666074,23.54,1.0,-1.0,1.0,-1.0
666075,23.77,-1.0,-1.0,-1.0,-1.0
666076,23.75,-1.0,-1.0,-1.0,-1.0
666077,23.6,-1.0,-1.0,-1.0,-1.0
666078,23.41,1.0,-1.0,-1.0,-1.0
666079,24.05,-1.0,-1.0,-1.0,-1.0
666080,24.01,1.0,-1.0,-1.0,-1.0
666081,24.4,-1.0,-1.0,-1.0,-1.0
666082,24.19,1.0,-1.0,1.0,-1.0
666083,24.3,-1.0,-1.0,-1.0,-1.0
666084,24.2,-1.0,-1.0,-1.0,-1.0
666085,23.83,1.0,-1.0,1.0,-1.0
666086,24.38,1.0,-1.0,1.0,-1.0
666087,24.48,-1.0,-1.0,-1.0,-1.0
666088,24.26,-1.0,-1.0,-1.0,-1.0
666089,24.18,-1.0,-1.0,-1.0,-1.0
666090,24.01,1.0,-1.0,1.0,-1.0
666091,24.31,1.0,-1.0,1.0,-1.0
666092,24.43,1.0,-1.0,1.0,-1.0
666093,24.61,1.0,-1.0,1.0,-1.0
666094,24.86,-1.0,-1.0,-1.0,-1.0
666095,23.73,-1.0,-1.0,-1.0,-1.0
666096,23.56,1.0,-1.0,1.0,-1.0
666097,23.97,-1.0,-1.0,-1.0,-1.0
666098,23.54,1.0,-1.0,-1.0,-1.0
666099,23.73,-1.0,-1.0,-1.0,-1.0
666100,23.26,-1.0,-1.0,-1.0,-1.0
666101,23.19,-1.0,-1.0,-1.0,-1.0
666102,21.88,-1.0,1.0,-1.0,1.0
666103,21.66,1.0,-1.0,1.0,-1.0
666104,22.54,-1.0,-1.0,-1.0,-1.0
666105,22.38,1.0,-1.0,1.0,-1.0
666106,23.07,-1.0,-1.0,-1.0,-1.0
666107,22.25,-1.0,-1.0,-1.0,-1.0
666108,22.12,1.0,-1.0,1.0,-1.0
666109,22.2,-1.0,-1.0,-1.0,-1.0
666110,21.95,-1.0,-1.0,-1.0,-1.0
666111,21.54,-1.0,-1.0,1.0,-1.0
666112,21.38,1.0,-1.0,1.0,-1.0
666113,21.52,-1.0,-1.0,-1.0,-1.0
666114,21.28,1.0,-1.0,1.0,-1.0
666115,21.43,-1.0,-1.0,-1.0,-1.0
666116,21.08,1.0,-1.0,1.0,-1.0
666117,21.8,-1.0,-1.0,-1.0,-1.0
666118,21.52,-1.0,-1.0,-1.0,-1.0
666119,21.37,1.0,-1.0,1.0,-1.0
666120,21.7,1.0,-1.0,1.0,-1.0
666121,22.01,-1.0,-1.0,-1.0,-1.0
666122,21.14,-1.0,-1.0,-1.0,-1.0
666123,20.66,1.0,-1.0,1.0,-1.0
666124,21.19,-1.0,-1.0,-1.0,-1.0
666125,21.06,1.0,-1.0,1.0,-1.0
666126,21.89,-1.0,-1.0,-1.0,-1.0
666127,21.73,-1.0,-1.0,-1.0,-1.0
666128,21.72,1.0,-1.0,1.0,-1.0
666129,22.13,1.0,-1.0,1.0,-1.0
666130,22.5,-1.0,-1.0,-1.0,-1.0
666131,21.93,1.0,-1.0,-1.0,-1.0
666132,21.98,-1.0,-1.0,-1.0,-1.0
666133,21.61,-1.0,-1.0,-1.0,-1.0
666134,20.9,-1.0,-1.0,-1.0,-1.0
666135,20.53,-1.0,-1.0,-1.0,-1.0
666136,20.11,-1.0,1.0,-1.0,1.0
666137,20.09,-1.0,-1.0,-1.0,-1.0
666138,19.86,-1.0,1.0,-1.0,1.0
666139,19.29,-1.0,1.0,-1.0,1.0
666140,19.05,1.0,1.0,1.0,1.0
666141,19.27,-1.0,-1.0,-1.0,-1.0
666142,19.19,-1.0,-1.0,-1.0,1.0
666143,19.12,1.0,1.0,1.0,1.0
666144,19.43,-1.0,1.0,-1.0,1.0
666145,19.4,1.0,-1.0,1.0,-1.0
666146,19.67,-1.0,-1.0,-1.0,1.0
666147,19.63,1.0,-1.0,1.0,1.0
666148,20.24,-1.0,-1.0,-1.0,-1.0
666149,20.01,1.0,-1.0,-1.0,-1.0
666150,20.3,-1.0,-1.0,-1.0,-1.0
666151,19.31,1.0,-1.0,1.0,1.0
666152,19.59,1.0,-1.0,-1.0,-1.0
666153,19.78,-1.0,-1.0,-1.0,-1.0
666154,19.39,1.0,-1.0,-1.0,-1.0
666155,20.08,-1.0,-1.0,-1.0,-1.0
666156,20.0,1.0,-1.0,1.0,-1.0
666157,20.31,-1.0,-1.0,-1.0,-1.0
666158,20.17,-1.0,-1.0,-1.0,-1.0
666159,19.98,-1.0,-1.0,-1.0,-1.0
666160,19.85,1.0,-1.0,1.0,-1.0
666161,20.33,1.0,-1.0,-1.0,-1.0
666162,20.87,-1.0,-1.0,-1.0,-1.0
666163,19.94,1.0,-1.0,1.0,-1.0
666164,20.14,1.0,-1.0,1.0,-1.0
666165,20.2,-1.0,-1.0,-1.0,-1.0
666166,20.17,-1.0,-1.0,-1.0,-1.0
666167,20.05,-1.0,-1.0,1.0,-1.0
666168,20.04,-1.0,-1.0,-1.0,-1.0
666169,19.4,-1.0,1.0,-1.0,1.0
666170,19.32,-1.0,1.0,-1.0,1.0
666171,19.11,-1.0,1.0,-1.0,1.0
666172,19.1,1.0,1.0,1.0,1.0
666173,19.45,1.0,1.0,1.0,1.0
666174,19.65,-1.0,1.0,-1.0,1.0
666175,18.94,-1.0,1.0,-1.0,1.0
666176,18.93,-1.0,1.0,-1.0,1.0
666177,18.54,-1.0,1.0,1.0,1.0
666178,18.15,1.0,1.0,1.0,1.0
666179,18.21,-1.0,1.0,1.0,1.0
666180,17.9,1.0,1.0,-1.0,1.0
666181,18.04,-1.0,1.0,-1.0,1.0
666182,17.64,1.0,1.0,-1.0,1.0
666183,17.77,1.0,1.0,1.0,1.0
666184,18.41,1.0,1.0,1.0,1.0
666185,18.74,1.0,1.0,1.0,1.0
666186,19.14,-1.0,1.0,-1.0,1.0
666187,18.67,1.0,1.0,1.0,1.0
666188,19.04,1.0,1.0,1.0,1.0
666189,19.07,1.0,1.0,-1.0,1.0
666190,19.44,1.0,1.0,1.0,1.0
666191,19.55,1.0,1.0,1.0,-1.0
666192,19.66,1.0,1.0,1.0,1.0
666193,19.71,-1.0,1.0,-1.0,1.0
666194,19.39,1.0,1.0,1.0,1.0
666195,19.49,1.0,1.0,1.0,1.0
666196,19.68,1.0,1.0,1.0,1.0
666197,19.81,0.0,1.0,0.0,1.0
666198,19.81,1.0,1.0,1.0,1.0
666199,20.02,1.0,1.0,1.0,1.0
666200,20.59,-1.0,1.0,-1.0,1.0
666201,20.56,1.0,-1.0,1.0,-1.0
