,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
667898,54.27,-22.313887310168614,-1.0,1.0,-1.0,1.0
667899,53.81,-22.797865058430773,-1.0,1.0,-1.0,1.0
667900,53.77,-22.86184280669293,-1.0,1.0,-1.0,1.0
667901,53.42,-23.23582055495509,-1.0,1.0,-1.0,1.0
667902,52.91,-23.769798303217254,1.0,1.0,1.0,1.0
667903,53.48,-23.223776051479412,1.0,1.0,-1.0,1.0
667904,53.59,-23.13775379974156,1.0,1.0,1.0,1.0
667905,54.48,-22.271731548003718,-1.0,1.0,-1.0,1.0
667906,52.99,-23.78570929626589,-1.0,1.0,-1.0,1.0
667907,52.0,-24.799687044528042,-1.0,1.0,-1.0,1.0
667908,51.16,-25.663664792790197,1.0,1.0,1.0,1.0
667909,51.55,-25.297642541052355,-1.0,1.0,-1.0,1.0
667910,51.2,-25.671620289314504,1.0,1.0,1.0,1.0
667911,51.65,-25.245598037576666,-1.0,1.0,-1.0,1.0
667912,51.36,-25.559575785838827,1.0,1.0,1.0,1.0
667913,52.45,-24.493553534100986,1.0,1.0,1.0,1.0
667914,53.02,-23.947531282363137,1.0,1.0,1.0,1.0
667915,53.5,-23.49150903062529,1.0,1.0,1.0,1.0
667916,54.3,-22.71548677888745,1.0,1.0,1.0,1.0
667917,54.6,-22.439464527149614,-1.0,-1.0,-1.0,-1.0
667918,53.98,-23.083442275411773,1.0,1.0,-1.0,-1.0
667919,54.83,-22.25742002367393,1.0,-1.0,-1.0,-1.0
667920,55.93,-21.181397771936084,-1.0,-1.0,-1.0,-1.0
667921,55.18,-21.955375520198242,1.0,1.0,1.0,1.0
667922,55.57,-21.589353268460407,1.0,1.0,1.0,1.0
667923,56.14,-21.043331016722558,-1.0,-1.0,-1.0,-1.0
667924,55.78,-21.42730876498472,-1.0,-1.0,-1.0,-1.0
667925,55.3,-21.931286513246874,1.0,1.0,1.0,1.0
667926,55.35,-21.90526426150902,-1.0,1.0,-1.0,1.0
667927,54.68,-22.5992420097712,-1.0,1.0,-1.0,1.0
667928,54.65,-22.65321975803335,-1.0,1.0,-1.0,1.0
667929,54.38,-22.947197506295506,1.0,1.0,1.0,1.0
667930,54.56,-22.791175254557658,-1.0,1.0,-1.0,1.0
667931,54.49,-22.88515300281981,1.0,1.0,1.0,1.0
667932,54.93,-22.469130751081988,1.0,1.0,1.0,1.0
667933,55.27,-22.153108499344135,1.0,1.0,1.0,1.0
667934,55.49,-21.957086247606288,0.0,1.0,0.0,1.0
667935,55.49,-21.98106399586845,1.0,1.0,1.0,1.0
667936,55.61,-21.885041744130607,1.0,1.0,-1.0,1.0
667937,56.1,-21.41901949239277,1.0,1.0,1.0,1.0
667938,56.38,-21.162997240654928,-1.0,-1.0,-1.0,-1.0
667939,54.71,-22.856974988917077,-1.0,1.0,-1.0,1.0
667940,54.5,-23.090952737179236,0.0,1.0,0.0,1.0
667941,54.5,-23.114930485441388,1.0,1.0,-1.0,1.0
667942,55.04,-22.59890823370356,-1.0,1.0,-1.0,1.0
667943,54.9,-22.762885981965717,-1.0,1.0,-1.0,1.0
667944,54.5,-23.18686373022787,1.0,1.0,1.0,1.0
667945,55.08,-22.630841478490023,1.0,1.0,-1.0,1.0
667946,55.14,-22.594819226752183,-1.0,1.0,-1.0,1.0
667947,54.57,-23.188796975014352,-1.0,1.0,-1.0,1.0
667948,54.35,-23.432774723276506,1.0,1.0,-1.0,1.0
667949,54.58,-23.226752471538656,1.0,1.0,-1.0,1.0
667950,55.57,-22.26073021980081,1.0,1.0,1.0,1.0
