,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
669764,51.59,6.8588230217688775,-1.0,-1.0,-1.0,-1.0
669765,51.45,6.678887416894781,-1.0,-1.0,-1.0,-1.0
669766,51.08,6.268951812020682,-1.0,-1.0,-1.0,-1.0
669767,50.8,5.949016207146585,-1.0,-1.0,-1.0,-1.0
669768,50.75,5.859080602272493,1.0,-1.0,1.0,-1.0
669769,51.22,6.289144997398394,1.0,-1.0,-1.0,-1.0
669770,51.49,6.519209392524296,-1.0,-1.0,-1.0,-1.0
669771,50.83,5.8192737876501965,-1.0,-1.0,-1.0,-1.0
669772,49.57,4.519338182776104,1.0,1.0,-1.0,1.0
669773,49.68,4.589402577902007,-1.0,1.0,-1.0,1.0
669774,49.01,3.8794669730279097,1.0,1.0,1.0,-1.0
669775,49.59,4.41953136815382,-1.0,-1.0,1.0,-1.0
669776,49.26,4.049595763279719,1.0,-1.0,1.0,-1.0
669777,49.77,4.519660158405628,-1.0,-1.0,-1.0,-1.0
669778,49.48,4.189724553531526,-1.0,1.0,-1.0,-1.0
669779,49.0,3.6697889486574335,-1.0,1.0,-1.0,1.0
669780,48.19,2.819853343783336,-1.0,1.0,-1.0,1.0
669781,48.13,2.719917738909245,1.0,1.0,1.0,1.0
669782,48.95,3.4999821340351502,-1.0,1.0,-1.0,1.0
669783,48.63,3.1400465291610478,-1.0,1.0,-1.0,1.0
669784,48.24,2.710110924286951,1.0,1.0,1.0,1.0
669785,48.53,2.960175319412855,1.0,1.0,-1.0,1.0
669786,50.32,4.7102397145387584,-1.0,1.0,-1.0,1.0
669787,49.17,3.5203041096646643,1.0,1.0,1.0,1.0
669788,49.3,3.610368504790564,-1.0,1.0,1.0,1.0
669789,48.79,3.0604328999164707,1.0,1.0,-1.0,1.0
669790,48.94,3.1704972950423738,-1.0,1.0,-1.0,1.0
669791,48.81,3.000561690168283,1.0,1.0,1.0,1.0
669792,49.73,3.880626085294182,1.0,-1.0,1.0,-1.0
669793,51.0,5.1106904804200886,-1.0,-1.0,-1.0,-1.0
669794,50.65,4.7207548755459925,1.0,-1.0,1.0,-1.0
669795,50.68,4.710819270671899,-1.0,-1.0,-1.0,-1.0
669796,50.59,4.580883665797806,-1.0,-1.0,-1.0,-1.0
669797,50.27,4.220948060923703,-1.0,-1.0,-1.0,-1.0
