,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
679098,13.95,9.982672892044206,-1.0,1.0,-1.0,1.0
679099,13.37,9.357071316699397,1.0,1.0,1.0,1.0
679100,13.56,9.501469741354589,-1.0,1.0,1.0,1.0
679101,13.24,9.135868166009775,-1.0,1.0,-1.0,1.0
679102,12.69,8.540266590664963,1.0,1.0,1.0,1.0
679103,13.24,9.044665015320152,1.0,1.0,1.0,1.0
679104,13.68,9.43906343997534,1.0,1.0,1.0,1.0
679105,13.77,9.483461864630527,-1.0,1.0,-1.0,1.0
679106,13.39,9.057860289285717,1.0,1.0,1.0,1.0
679107,13.48,9.102258713940904,1.0,1.0,1.0,1.0
679108,13.51,9.086657138596095,1.0,1.0,1.0,1.0
679109,13.76,9.291055563251284,-1.0,1.0,-1.0,1.0
679110,13.75,9.235453987906473,1.0,1.0,1.0,1.0
679111,13.89,9.32985241256166,-1.0,1.0,-1.0,1.0
679112,13.87,9.26425083721685,1.0,1.0,1.0,1.0
679113,14.12,9.468649261872038,1.0,1.0,1.0,1.0
679114,14.32,9.623047686527226,1.0,1.0,1.0,1.0
679115,14.63,9.887446111182415,-1.0,1.0,-1.0,1.0
679116,14.58,9.791844535837603,1.0,1.0,1.0,1.0
679117,15.29,10.456242960492789,-1.0,1.0,-1.0,1.0
679118,14.75,9.87064138514798,1.0,1.0,1.0,1.0
679119,15.2,10.275039809803168,-1.0,1.0,-1.0,1.0
679120,14.97,9.999438234458356,1.0,1.0,1.0,1.0
679121,15.27,10.253836659113547,1.0,1.0,1.0,1.0
679122,15.67,10.608235083768736,1.0,1.0,1.0,1.0
679123,15.76,10.652633508423923,-1.0,1.0,-1.0,1.0
679124,15.54,10.387031933079113,-1.0,1.0,-1.0,1.0
679125,15.52,10.3214303577343,1.0,1.0,1.0,1.0
679126,15.77,10.525828782389489,1.0,1.0,1.0,1.0
679127,15.92,10.630227207044678,-1.0,1.0,-1.0,1.0
679128,15.8,10.464625631699867,-1.0,-1.0,-1.0,-1.0
679129,15.75,10.369024056355057,-1.0,-1.0,-1.0,-1.0
679130,15.63,10.203422481010245,-1.0,1.0,-1.0,1.0
