,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
681680,54.44,17.158996428252653,1.0,1.0,1.0,1.0
681681,54.56,17.23561629793732,-1.0,1.0,-1.0,1.0
681682,52.91,15.542236167621972,-1.0,1.0,-1.0,-1.0
681683,52.19,14.778856037306626,-1.0,1.0,1.0,1.0
681684,51.92,14.465475906991287,1.0,1.0,1.0,1.0
681685,52.2,14.702095776675947,1.0,1.0,-1.0,1.0
681686,53.15,15.6087156463606,-1.0,1.0,-1.0,1.0
681687,52.54,14.95533551604525,-1.0,1.0,-1.0,1.0
681688,51.09,13.461955385729913,-1.0,1.0,-1.0,1.0
681689,51.06,13.388575255414572,1.0,1.0,1.0,1.0
681690,51.43,13.715195125099227,1.0,1.0,-1.0,-1.0
681691,51.91,14.151814994783877,-1.0,1.0,1.0,1.0
681692,51.62,13.818434864468534,1.0,1.0,1.0,1.0
681693,52.17,14.325054734153197,-1.0,1.0,-1.0,1.0
681694,52.06,14.171674603837856,1.0,1.0,1.0,1.0
681695,52.8,14.868294473522505,1.0,1.0,1.0,-1.0
681696,53.07,15.094914343207163,1.0,1.0,-1.0,1.0
681697,53.24,15.221534212891823,-1.0,1.0,-1.0,1.0
681698,53.16,15.098154082576478,-1.0,1.0,-1.0,1.0
681699,53.09,14.984773952261136,-1.0,1.0,-1.0,1.0
681700,52.62,14.471393821945787,1.0,1.0,1.0,1.0
681701,52.89,14.698013691630448,-1.0,1.0,-1.0,1.0
681702,52.84,14.604633561315111,1.0,1.0,1.0,1.0
681703,53.1,14.82125343099976,1.0,1.0,-1.0,1.0
681704,53.82,15.497873300684418,1.0,1.0,1.0,1.0
681705,54.46,16.094493170369073,-1.0,1.0,-1.0,1.0
681706,54.11,15.701113040053734,-1.0,1.0,-1.0,1.0
681707,54.05,15.597732909738387,1.0,1.0,1.0,1.0
681708,55.04,16.544352779423047,1.0,1.0,1.0,1.0
681709,55.05,16.5109726491077,-1.0,1.0,-1.0,1.0
681710,55.0,16.41759251879236,1.0,1.0,1.0,1.0
681711,55.29,16.66421238847701,1.0,1.0,1.0,1.0
681712,55.73,17.060832258161668,-1.0,1.0,-1.0,1.0
681713,55.23,16.517452127846326,1.0,1.0,1.0,1.0
681714,55.42,16.66407199753099,1.0,1.0,1.0,1.0
681715,55.43,16.630691867215642,1.0,1.0,1.0,1.0
681716,56.27,17.4273117369003,1.0,1.0,1.0,1.0
681717,56.66,17.773931606584956,-1.0,1.0,-1.0,1.0
681718,56.64,17.71055147626961,1.0,1.0,1.0,1.0
681719,56.85,17.877171345954274,1.0,1.0,1.0,1.0
681720,57.0,17.983791215638927,1.0,1.0,1.0,1.0
681721,57.96,18.900411085323586,-1.0,-1.0,-1.0,-1.0
681722,57.68,18.577030955008237,-1.0,-1.0,-1.0,1.0
681723,56.71,17.563650824692893,1.0,1.0,1.0,1.0
681724,57.18,17.99027069437755,1.0,-1.0,1.0,-1.0
681725,57.51,18.276890564062207,-1.0,-1.0,1.0,-1.0
681726,57.22,17.943510433746862,1.0,1.0,1.0,1.0
681727,57.65,18.33013030343152,1.0,-1.0,-1.0,-1.0
681728,57.85,18.486750173116175,-1.0,-1.0,-1.0,-1.0
681729,57.78,18.37337004280084,-1.0,-1.0,-1.0,-1.0
681730,57.17,17.7199899124855,-1.0,-1.0,-1.0,-1.0
681731,57.1,17.606609782170146,1.0,-1.0,1.0,-1.0
681732,57.64,18.103229651854804,0.0,-1.0,-1.0,-1.0
681733,57.64,18.059849521539466,-1.0,-1.0,1.0,-1.0
681734,57.18,17.55646939122412,1.0,-1.0,1.0,-1.0
681735,57.71,18.043089260908765,1.0,-1.0,1.0,-1.0
