,Close,Target(1),Target(30),Prediction(1),Prediction(30)
683547,18.47,-1.0,-1.0,-1.0,-1.0
683548,18.46,1.0,-1.0,-1.0,-1.0
683549,18.61,-1.0,-1.0,-1.0,-1.0
683550,17.41,-1.0,1.0,-1.0,1.0
683551,16.95,1.0,1.0,1.0,1.0
683552,17.33,0.0,-1.0,0.0,1.0
683553,17.33,-1.0,-1.0,-1.0,1.0
683554,17.26,-1.0,1.0,-1.0,1.0
683555,16.93,1.0,1.0,1.0,1.0
683556,17.14,-1.0,1.0,-1.0,1.0
683557,17.01,1.0,1.0,1.0,1.0
683558,17.06,1.0,-1.0,1.0,-1.0
683559,17.09,1.0,-1.0,1.0,-1.0
683560,17.23,-1.0,-1.0,-1.0,-1.0
683561,16.83,1.0,1.0,1.0,1.0
683562,17.09,-1.0,-1.0,-1.0,-1.0
683563,16.94,1.0,-1.0,1.0,-1.0
683564,17.12,1.0,-1.0,1.0,-1.0
683565,17.17,-1.0,-1.0,-1.0,-1.0
683566,16.88,-1.0,-1.0,-1.0,-1.0
683567,16.64,-1.0,1.0,-1.0,1.0
683568,16.52,1.0,1.0,1.0,1.0
683569,16.54,1.0,1.0,1.0,1.0
683570,16.55,1.0,1.0,1.0,1.0
683571,16.68,-1.0,1.0,-1.0,1.0
683572,16.57,1.0,1.0,1.0,1.0
683573,16.66,1.0,1.0,1.0,1.0
683574,16.73,1.0,1.0,1.0,1.0
683575,16.97,-1.0,1.0,-1.0,1.0
683576,16.9,1.0,1.0,1.0,1.0
683577,17.2,1.0,1.0,-1.0,1.0
683578,17.45,-1.0,-1.0,-1.0,-1.0
683579,17.38,1.0,-1.0,1.0,-1.0
683580,17.47,-1.0,-1.0,-1.0,-1.0
683581,17.38,-1.0,-1.0,-1.0,-1.0
683582,17.28,-1.0,-1.0,-1.0,1.0
683583,17.12,1.0,-1.0,-1.0,-1.0
683584,17.46,-1.0,-1.0,-1.0,-1.0
683585,17.19,-1.0,-1.0,-1.0,-1.0
683586,17.17,-1.0,-1.0,-1.0,-1.0
683587,17.05,-1.0,-1.0,-1.0,-1.0
683588,16.97,1.0,-1.0,1.0,-1.0
683589,17.03,-1.0,-1.0,-1.0,-1.0
683590,16.84,1.0,-1.0,1.0,-1.0
683591,16.95,1.0,-1.0,1.0,-1.0
683592,17.05,-1.0,-1.0,-1.0,-1.0
683593,16.93,-1.0,-1.0,-1.0,-1.0
683594,16.83,-1.0,-1.0,-1.0,-1.0
683595,16.73,-1.0,-1.0,-1.0,-1.0
683596,16.69,-1.0,-1.0,-1.0,-1.0
683597,16.68,1.0,-1.0,1.0,-1.0
683598,17.08,1.0,-1.0,-1.0,-1.0
683599,17.16,-1.0,-1.0,-1.0,1.0
683600,16.71,1.0,-1.0,1.0,-1.0
683601,17.09,-1.0,-1.0,-1.0,-1.0
683602,16.98,-1.0,-1.0,-1.0,-1.0
683603,16.68,1.0,-1.0,1.0,-1.0
683604,16.81,1.0,-1.0,1.0,-1.0
683605,17.07,1.0,-1.0,1.0,1.0
683606,17.11,1.0,-1.0,1.0,-1.0
683607,17.22,1.0,-1.0,-1.0,-1.0
683608,17.41,-1.0,-1.0,-1.0,-1.0
683609,17.08,-1.0,-1.0,-1.0,-1.0
683610,16.95,1.0,-1.0,1.0,-1.0
683611,17.36,-1.0,-1.0,-1.0,-1.0
683612,17.14,-1.0,-1.0,-1.0,-1.0
683613,16.77,-1.0,-1.0,-1.0,-1.0
683614,16.64,-1.0,-1.0,-1.0,-1.0
683615,16.22,1.0,-1.0,1.0,-1.0
683616,16.25,1.0,-1.0,1.0,-1.0
683617,16.53,-1.0,-1.0,-1.0,-1.0
683618,15.62,1.0,-1.0,1.0,-1.0
683619,16.21,1.0,-1.0,1.0,-1.0
683620,16.29,1.0,-1.0,1.0,-1.0
683621,16.58,-1.0,-1.0,-1.0,-1.0
683622,16.37,-1.0,-1.0,-1.0,-1.0
683623,16.12,1.0,-1.0,1.0,1.0
683624,16.28,-1.0,-1.0,-1.0,-1.0
683625,15.95,-1.0,-1.0,-1.0,-1.0
683626,15.63,-1.0,-1.0,-1.0,-1.0
683627,14.76,-1.0,-1.0,-1.0,-1.0
683628,14.71,-1.0,-1.0,-1.0,-1.0
683629,14.43,-1.0,1.0,-1.0,1.0
683630,14.33,-1.0,1.0,-1.0,1.0
683631,14.14,1.0,1.0,1.0,1.0
683632,14.62,-1.0,1.0,-1.0,-1.0
683633,14.17,-1.0,1.0,1.0,1.0
683634,13.84,1.0,1.0,1.0,1.0
683635,14.28,1.0,1.0,1.0,1.0
683636,14.6,-1.0,-1.0,-1.0,-1.0
683637,13.92,-1.0,1.0,-1.0,1.0
683638,13.9,1.0,1.0,1.0,1.0
683639,14.05,-1.0,1.0,-1.0,1.0
683640,13.92,1.0,1.0,-1.0,1.0
683641,14.43,1.0,1.0,1.0,1.0
683642,14.67,-1.0,1.0,-1.0,1.0
683643,14.43,1.0,1.0,1.0,1.0
683644,15.01,1.0,-1.0,1.0,-1.0
683645,15.07,-1.0,-1.0,-1.0,-1.0
683646,15.04,1.0,-1.0,1.0,1.0
683647,15.16,-1.0,-1.0,-1.0,-1.0
683648,14.96,-1.0,-1.0,-1.0,-1.0
