,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
685413,27.76,3.7679340903962415,-1.0,1.0,-1.0,1.0
685414,27.6,3.594613952506922,1.0,1.0,1.0,1.0
685415,27.61,3.5912938146176034,-1.0,1.0,-1.0,1.0
685416,27.54,3.507973676728284,1.0,1.0,1.0,1.0
685417,27.99,3.9446535388389634,1.0,1.0,1.0,1.0
685418,28.37,4.31133340094965,-1.0,1.0,-1.0,1.0
685419,28.16,4.088013263060328,-1.0,1.0,-1.0,1.0
685420,27.8,3.71469312517101,-1.0,1.0,1.0,1.0
685421,27.29,3.1913729872816923,-1.0,1.0,-1.0,1.0
685422,27.21,3.0980528493923742,-1.0,1.0,-1.0,1.0
685423,27.0,2.8747327115030537,1.0,1.0,1.0,1.0
685424,27.33,3.191412573613736,1.0,1.0,1.0,1.0
685425,27.42,3.2680924357244194,1.0,1.0,1.0,1.0
685426,27.59,3.424772297835098,-1.0,1.0,-1.0,1.0
685427,27.54,3.3614521599457814,1.0,1.0,1.0,1.0
685428,28.18,3.9881320220564622,1.0,1.0,-1.0,1.0
685429,28.47,4.264811884167141,1.0,1.0,1.0,1.0
685430,28.51,4.291491746277829,1.0,1.0,1.0,1.0
685431,29.14,4.908171608388507,-1.0,1.0,-1.0,1.0
685432,29.0,4.754851470499187,-1.0,1.0,-1.0,1.0
685433,28.92,4.661531332609872,1.0,1.0,1.0,1.0
685434,28.97,4.69821119472055,1.0,1.0,-1.0,1.0
685435,29.21,4.924891056831232,-1.0,1.0,-1.0,1.0
685436,28.9,4.601570918941913,1.0,1.0,1.0,1.0
685437,28.97,4.658250781052594,1.0,1.0,1.0,1.0
685438,29.07,4.7449306431632765,-1.0,1.0,-1.0,1.0
685439,28.75,4.411610505273959,1.0,1.0,1.0,1.0
685440,28.98,4.628290367384639,1.0,1.0,1.0,1.0
685441,29.04,4.674970229495319,-1.0,1.0,-1.0,1.0
685442,28.95,4.571650091606003,-1.0,1.0,1.0,1.0
685443,28.7,4.308329953716683,-1.0,1.0,-1.0,1.0
685444,28.41,4.005009815827364,1.0,1.0,1.0,1.0
685445,28.65,4.231689677938046,-1.0,1.0,-1.0,1.0
685446,28.64,4.208369540048729,1.0,1.0,1.0,1.0
685447,28.68,4.235049402159408,-1.0,1.0,-1.0,1.0
685448,28.63,4.171729264270091,1.0,1.0,1.0,1.0
685449,29.06,4.588409126380771,-1.0,1.0,-1.0,1.0
685450,28.91,4.425088988491453,-1.0,1.0,-1.0,1.0
685451,28.77,4.271768850602136,1.0,1.0,1.0,1.0
685452,28.95,4.438448712712817,1.0,1.0,1.0,1.0
685453,29.43,4.905128574823497,-1.0,1.0,1.0,1.0
685454,29.09,4.551808436934182,-1.0,1.0,-1.0,1.0
685455,29.01,4.458488299044863,1.0,1.0,1.0,1.0
685456,29.17,4.605168161155543,1.0,1.0,1.0,1.0
