,Close,Target(1),Target(30),Prediction(1),Prediction(30)
689147,42.8,1.0,1.0,1.0,1.0
689148,42.91,-1.0,1.0,-1.0,1.0
689149,42.88,-1.0,1.0,-1.0,1.0
689150,42.46,-1.0,1.0,-1.0,1.0
689151,42.0,1.0,1.0,1.0,1.0
689152,42.5,-1.0,1.0,-1.0,1.0
689153,42.35,1.0,1.0,1.0,-1.0
689154,42.65,-1.0,1.0,1.0,1.0
689155,40.43,1.0,1.0,1.0,1.0
689156,41.22,1.0,1.0,1.0,1.0
689157,41.31,-1.0,1.0,-1.0,-1.0
689158,39.98,-1.0,1.0,1.0,1.0
689159,39.0,1.0,1.0,1.0,1.0
689160,39.44,-1.0,1.0,-1.0,1.0
689161,38.9,1.0,1.0,1.0,1.0
689162,39.88,1.0,1.0,1.0,1.0
689163,40.47,1.0,1.0,-1.0,1.0
689164,40.64,1.0,1.0,1.0,1.0
689165,41.11,1.0,1.0,1.0,1.0
689166,41.35,-1.0,1.0,-1.0,1.0
689167,40.86,1.0,1.0,1.0,1.0
689168,40.98,-1.0,1.0,-1.0,1.0
689169,40.85,-1.0,1.0,1.0,1.0
689170,40.38,1.0,1.0,1.0,1.0
689171,41.08,-1.0,1.0,-1.0,-1.0
689172,41.07,1.0,1.0,1.0,1.0
689173,41.32,1.0,1.0,1.0,1.0
689174,42.18,1.0,1.0,1.0,1.0
689175,42.81,-1.0,1.0,-1.0,1.0
689176,42.69,1.0,1.0,1.0,1.0
689177,42.94,1.0,1.0,1.0,1.0
689178,43.01,1.0,1.0,1.0,1.0
689179,43.13,1.0,1.0,-1.0,1.0
689180,43.15,-1.0,1.0,-1.0,1.0
689181,43.13,1.0,-1.0,-1.0,-1.0
689182,43.34,1.0,-1.0,-1.0,-1.0
689183,43.46,-1.0,1.0,-1.0,1.0
689184,43.32,1.0,1.0,-1.0,1.0
689185,43.36,-1.0,1.0,-1.0,1.0
689186,43.15,-1.0,1.0,-1.0,1.0
689187,43.0,-1.0,1.0,-1.0,1.0
689188,42.8,-1.0,0.0,-1.0,0.0
689189,42.66,-1.0,-1.0,-1.0,-1.0
689190,42.61,-1.0,1.0,-1.0,1.0
689191,41.73,1.0,1.0,1.0,-1.0
689192,42.13,-1.0,1.0,-1.0,1.0
689193,42.06,1.0,1.0,1.0,1.0
689194,43.1,1.0,-1.0,1.0,-1.0
689195,43.17,-1.0,-1.0,1.0,-1.0
689196,42.89,1.0,1.0,1.0,1.0
689197,42.92,1.0,1.0,1.0,-1.0
689198,43.05,1.0,-1.0,1.0,-1.0
689199,43.58,1.0,-1.0,1.0,-1.0
689200,44.01,1.0,-1.0,1.0,-1.0
689201,44.57,-1.0,-1.0,-1.0,-1.0
689202,44.56,-1.0,-1.0,1.0,-1.0
689203,44.46,-1.0,-1.0,-1.0,-1.0
689204,43.98,-1.0,-1.0,-1.0,-1.0
689205,43.76,1.0,-1.0,1.0,-1.0
689206,44.09,-1.0,-1.0,-1.0,-1.0
689207,43.98,1.0,-1.0,1.0,1.0
689208,44.01,1.0,-1.0,-1.0,-1.0
689209,44.14,-1.0,-1.0,-1.0,-1.0
689210,44.01,-1.0,-1.0,-1.0,-1.0
689211,42.95,-1.0,1.0,-1.0,1.0
689212,42.87,1.0,1.0,1.0,1.0
689213,44.65,-1.0,-1.0,1.0,-1.0
689214,44.36,1.0,-1.0,1.0,-1.0
689215,44.54,-1.0,-1.0,-1.0,-1.0
689216,44.13,-1.0,1.0,-1.0,1.0
689217,43.41,-1.0,1.0,-1.0,1.0
689218,42.8,-1.0,1.0,-1.0,1.0
689219,41.96,1.0,1.0,1.0,1.0
689220,42.9,-1.0,1.0,-1.0,1.0
689221,42.19,1.0,1.0,1.0,1.0
689222,42.46,1.0,1.0,1.0,1.0
689223,42.97,-1.0,1.0,-1.0,1.0
689224,42.7,1.0,1.0,1.0,1.0
689225,42.95,1.0,-1.0,1.0,-1.0
689226,43.6,-1.0,-1.0,-1.0,-1.0
689227,43.11,-1.0,-1.0,1.0,-1.0
689228,41.33,1.0,1.0,1.0,1.0
689229,41.89,-1.0,1.0,-1.0,1.0
689230,41.53,-1.0,1.0,-1.0,1.0
689231,40.75,-1.0,1.0,-1.0,1.0
689232,40.15,1.0,1.0,1.0,1.0
689233,40.59,1.0,1.0,1.0,1.0
689234,41.04,-1.0,1.0,1.0,1.0
689235,40.47,1.0,1.0,1.0,1.0
689236,41.7,1.0,1.0,1.0,1.0
689237,42.11,-1.0,1.0,-1.0,1.0
689238,41.64,1.0,1.0,1.0,1.0
689239,42.22,1.0,1.0,1.0,1.0
689240,42.95,1.0,1.0,1.0,1.0
689241,43.15,1.0,1.0,1.0,1.0
689242,43.93,-1.0,1.0,1.0,1.0
689243,43.68,1.0,1.0,1.0,1.0
689244,44.01,1.0,1.0,1.0,1.0
689245,44.34,1.0,1.0,1.0,1.0
689246,44.37,-1.0,1.0,-1.0,1.0
689247,44.35,1.0,1.0,1.0,1.0
689248,44.55,-1.0,1.0,-1.0,1.0
689249,43.99,1.0,1.0,-1.0,1.0
689250,44.13,1.0,1.0,1.0,1.0
689251,44.16,-1.0,1.0,-1.0,1.0
689252,43.89,-1.0,1.0,-1.0,1.0
689253,43.4,1.0,1.0,1.0,1.0
689254,43.61,-1.0,1.0,-1.0,1.0
689255,42.82,-1.0,1.0,-1.0,1.0
689256,42.36,1.0,1.0,1.0,1.0
689257,42.69,-1.0,1.0,1.0,1.0
689258,42.18,1.0,1.0,1.0,1.0
689259,42.53,1.0,1.0,1.0,1.0
689260,43.51,1.0,1.0,1.0,1.0
689261,43.95,1.0,1.0,1.0,1.0
689262,44.16,1.0,1.0,1.0,1.0
