,Close,Target(1),Target(30),Prediction(1),Prediction(30)
691014,27.93,1.0,1.0,1.0,1.0
691015,28.42,1.0,1.0,1.0,1.0
691016,28.58,-1.0,1.0,-1.0,1.0
691017,28.17,-1.0,1.0,-1.0,1.0
691018,27.97,1.0,1.0,1.0,1.0
691019,28.15,1.0,1.0,1.0,1.0
691020,28.81,-1.0,1.0,-1.0,1.0
691021,28.78,-1.0,1.0,-1.0,1.0
691022,27.8,-1.0,1.0,1.0,1.0
691023,27.66,1.0,1.0,1.0,1.0
691024,28.01,1.0,1.0,1.0,1.0
691025,28.25,1.0,1.0,1.0,1.0
691026,28.61,-1.0,-1.0,-1.0,-1.0
691027,28.35,1.0,1.0,1.0,-1.0
691028,28.72,1.0,1.0,1.0,1.0
691029,29.48,1.0,-1.0,1.0,-1.0
691030,29.58,1.0,-1.0,1.0,-1.0
691031,30.03,-1.0,-1.0,1.0,-1.0
691032,29.84,-1.0,-1.0,-1.0,1.0
691033,29.47,1.0,-1.0,1.0,-1.0
691034,29.6,1.0,-1.0,1.0,-1.0
691035,30.11,1.0,-1.0,1.0,-1.0
691036,30.22,1.0,-1.0,1.0,-1.0
691037,30.49,1.0,-1.0,1.0,-1.0
691038,30.91,-1.0,-1.0,-1.0,-1.0
691039,30.48,-1.0,-1.0,-1.0,-1.0
691040,29.88,1.0,1.0,1.0,1.0
691041,30.45,1.0,-1.0,1.0,-1.0
691042,30.5,-1.0,-1.0,-1.0,-1.0
691043,30.21,1.0,1.0,1.0,1.0
691044,30.35,-1.0,1.0,-1.0,1.0
691045,29.76,1.0,1.0,1.0,1.0
691046,29.85,-1.0,1.0,-1.0,1.0
691047,29.68,-1.0,1.0,-1.0,1.0
691048,29.67,-1.0,1.0,-1.0,1.0
691049,29.03,-1.0,1.0,-1.0,1.0
691050,28.98,1.0,1.0,1.0,1.0
691051,29.18,-1.0,-1.0,-1.0,1.0
691052,28.94,1.0,1.0,1.0,1.0
691053,29.27,1.0,-1.0,1.0,-1.0
691054,29.4,-1.0,-1.0,-1.0,-1.0
691055,28.82,-1.0,1.0,1.0,1.0
691056,28.24,1.0,1.0,1.0,1.0
691057,28.96,1.0,1.0,1.0,1.0
691058,29.18,-1.0,1.0,1.0,1.0
691059,29.16,-1.0,1.0,-1.0,-1.0
691060,28.89,1.0,1.0,1.0,1.0
691061,29.32,-1.0,1.0,-1.0,1.0
691062,29.3,-1.0,1.0,-1.0,1.0
691063,29.27,-1.0,1.0,-1.0,1.0
691064,28.65,-1.0,1.0,-1.0,-1.0
691065,28.37,-1.0,1.0,-1.0,1.0
691066,28.25,1.0,1.0,1.0,1.0
691067,28.63,1.0,1.0,1.0,1.0
691068,28.7,1.0,1.0,1.0,-1.0
691069,29.4,1.0,1.0,1.0,1.0
691070,30.49,-1.0,1.0,-1.0,1.0
691071,29.95,1.0,1.0,1.0,1.0
691072,30.23,1.0,1.0,1.0,1.0
691073,30.36,1.0,1.0,1.0,1.0
691074,30.61,-1.0,1.0,-1.0,1.0
691075,30.59,1.0,1.0,1.0,1.0
691076,30.6,1.0,1.0,1.0,1.0
691077,30.83,-1.0,1.0,-1.0,1.0
691078,29.97,1.0,1.0,1.0,1.0
691079,30.02,-1.0,1.0,-1.0,1.0
691080,29.84,-1.0,1.0,-1.0,1.0
691081,29.07,1.0,1.0,1.0,-1.0
691082,29.54,-1.0,1.0,-1.0,1.0
691083,28.87,1.0,1.0,1.0,1.0
691084,29.29,1.0,1.0,1.0,1.0
691085,30.19,-1.0,1.0,1.0,1.0
691086,29.41,1.0,1.0,1.0,1.0
691087,30.89,-1.0,1.0,-1.0,1.0
691088,30.5,1.0,1.0,1.0,1.0
691089,31.52,1.0,1.0,-1.0,1.0
691090,32.88,-1.0,1.0,-1.0,1.0
691091,32.3,-1.0,1.0,-1.0,1.0
691092,31.81,1.0,-1.0,-1.0,-1.0
691093,31.98,-1.0,-1.0,-1.0,-1.0
691094,31.97,-1.0,-1.0,-1.0,-1.0
691095,30.96,1.0,-1.0,-1.0,-1.0
691096,31.22,-1.0,-1.0,-1.0,-1.0
691097,31.15,-1.0,-1.0,-1.0,-1.0
691098,30.94,-1.0,1.0,-1.0,1.0
691099,30.74,1.0,1.0,-1.0,1.0
691100,32.0,-1.0,-1.0,-1.0,-1.0
691101,31.94,-1.0,-1.0,-1.0,-1.0
691102,31.79,1.0,1.0,-1.0,-1.0
691103,32.24,1.0,-1.0,1.0,-1.0
691104,32.84,-1.0,-1.0,1.0,-1.0
691105,31.57,-1.0,1.0,-1.0,-1.0
691106,30.64,1.0,1.0,1.0,1.0
691107,30.9,-1.0,1.0,1.0,1.0
691108,30.89,1.0,1.0,1.0,1.0
691109,32.47,1.0,1.0,1.0,1.0
691110,32.55,1.0,1.0,1.0,1.0
691111,32.98,1.0,1.0,1.0,1.0
691112,33.77,-1.0,-1.0,-1.0,1.0
691113,33.62,1.0,-1.0,-1.0,-1.0
691114,33.93,1.0,-1.0,1.0,-1.0
691115,33.98,-1.0,-1.0,-1.0,-1.0
691116,33.66,-1.0,-1.0,-1.0,1.0
691117,33.43,1.0,1.0,1.0,1.0
691118,33.84,-1.0,-1.0,-1.0,-1.0
691119,33.04,-1.0,-1.0,-1.0,-1.0
691120,32.89,-1.0,-1.0,-1.0,-1.0
691121,32.72,-1.0,-1.0,-1.0,-1.0
691122,31.28,-1.0,-1.0,-1.0,-1.0
691123,30.48,-1.0,-1.0,-1.0,-1.0
691124,30.15,-1.0,-1.0,-1.0,-1.0
691125,29.85,-1.0,1.0,-1.0,1.0
691126,29.62,1.0,1.0,1.0,1.0
691127,30.72,1.0,-1.0,1.0,-1.0
691128,31.15,0.0,-1.0,0.0,-1.0
691129,31.15,-1.0,-1.0,1.0,-1.0
691130,31.0,1.0,-1.0,1.0,-1.0
691131,31.4,1.0,-1.0,1.0,-1.0
691132,31.94,1.0,-1.0,1.0,-1.0
691133,32.07,-1.0,-1.0,-1.0,-1.0
691134,31.36,1.0,1.0,-1.0,1.0
691135,31.69,1.0,1.0,1.0,-1.0
691136,32.08,-1.0,1.0,-1.0,1.0
691137,31.67,1.0,1.0,1.0,1.0
691138,32.26,1.0,1.0,1.0,1.0
691139,32.96,1.0,1.0,1.0,-1.0
691140,33.58,-1.0,-1.0,-1.0,1.0
691141,33.27,-1.0,1.0,-1.0,1.0
691142,32.55,-1.0,1.0,-1.0,1.0
691143,32.11,-1.0,1.0,-1.0,1.0
691144,31.8,1.0,1.0,1.0,-1.0
691145,33.26,1.0,1.0,1.0,1.0
691146,33.43,1.0,1.0,1.0,1.0
691147,34.14,-1.0,1.0,-1.0,1.0
691148,32.68,-1.0,1.0,-1.0,1.0
691149,32.34,-1.0,1.0,1.0,1.0
691150,31.62,-1.0,1.0,-1.0,-1.0
691151,31.5,-1.0,1.0,-1.0,1.0
691152,30.47,-1.0,1.0,-1.0,1.0
691153,29.98,-1.0,1.0,-1.0,1.0
691154,29.8,1.0,1.0,1.0,1.0
691155,29.93,1.0,1.0,1.0,1.0
691156,30.37,1.0,1.0,1.0,1.0
691157,30.55,-1.0,1.0,-1.0,-1.0
691158,30.43,1.0,1.0,-1.0,1.0
691159,30.49,-1.0,1.0,-1.0,-1.0
691160,30.26,-1.0,1.0,1.0,1.0
691161,29.96,-1.0,1.0,-1.0,-1.0
691162,29.67,1.0,1.0,1.0,1.0
691163,31.39,1.0,1.0,1.0,1.0
691164,32.46,-1.0,1.0,-1.0,1.0
691165,31.83,1.0,1.0,1.0,1.0
691166,32.74,1.0,1.0,1.0,1.0
691167,33.75,1.0,1.0,1.0,1.0
691168,34.15,1.0,1.0,-1.0,1.0
691169,34.72,-1.0,1.0,-1.0,1.0
691170,33.09,1.0,1.0,-1.0,1.0
691171,34.15,1.0,1.0,1.0,1.0
691172,34.54,1.0,1.0,1.0,1.0
691173,34.73,1.0,1.0,-1.0,1.0
691174,35.12,-1.0,1.0,-1.0,1.0
691175,34.08,1.0,1.0,1.0,1.0
691176,34.51,1.0,1.0,1.0,1.0
691177,34.68,-1.0,1.0,-1.0,1.0
691178,34.47,1.0,1.0,1.0,1.0
691179,37.05,1.0,1.0,1.0,1.0
691180,37.39,-1.0,1.0,-1.0,1.0
691181,36.83,1.0,1.0,1.0,1.0
691182,36.96,1.0,1.0,1.0,1.0
691183,38.57,-1.0,1.0,-1.0,1.0
691184,37.85,1.0,1.0,1.0,1.0
691185,38.83,1.0,1.0,1.0,1.0
691186,38.96,-1.0,1.0,-1.0,1.0
691187,38.56,1.0,1.0,1.0,1.0
691188,39.08,-1.0,1.0,-1.0,1.0
691189,38.72,1.0,1.0,1.0,1.0
691190,39.7,-1.0,-1.0,-1.0,-1.0
691191,37.44,1.0,1.0,1.0,1.0
691192,37.45,1.0,1.0,1.0,1.0
691193,38.09,-1.0,1.0,-1.0,1.0
691194,37.85,1.0,1.0,1.0,1.0
691195,37.99,1.0,1.0,-1.0,1.0
691196,38.46,-1.0,1.0,-1.0,1.0
691197,38.33,1.0,1.0,1.0,1.0
691198,38.61,-1.0,1.0,-1.0,1.0
691199,38.25,-1.0,1.0,-1.0,1.0
691200,37.31,1.0,1.0,1.0,1.0
691201,37.8,1.0,1.0,1.0,1.0
691202,38.47,-1.0,1.0,-1.0,1.0
691203,38.35,1.0,1.0,1.0,1.0
691204,38.66,-1.0,1.0,-1.0,-1.0
691205,38.39,1.0,1.0,1.0,1.0
691206,39.09,-1.0,1.0,-1.0,1.0
691207,39.07,1.0,1.0,1.0,1.0
691208,39.36,1.0,1.0,1.0,1.0
691209,40.15,1.0,1.0,1.0,1.0
691210,40.86,-1.0,1.0,-1.0,1.0
691211,40.23,1.0,1.0,1.0,1.0
691212,40.41,1.0,1.0,1.0,1.0
691213,41.03,-1.0,1.0,-1.0,1.0
691214,40.74,1.0,1.0,1.0,1.0
691215,40.76,1.0,1.0,1.0,1.0
691216,41.04,1.0,1.0,1.0,1.0
691217,41.06,-1.0,1.0,1.0,1.0
691218,40.2,-1.0,1.0,1.0,1.0
