,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
692881,25.09,1.0442706457858968,1.0,1.0,1.0,1.0
692882,25.37,1.2973860443288956,1.0,1.0,1.0,1.0
692883,25.75,1.6505014428718958,-1.0,1.0,-1.0,1.0
692884,25.27,1.143616841414893,-1.0,1.0,-1.0,1.0
692885,24.88,0.7267322399578937,1.0,1.0,1.0,1.0
692886,25.53,1.3498476385008935,1.0,1.0,1.0,1.0
692887,25.67,1.4629630370438953,-1.0,1.0,-1.0,1.0
692888,25.44,1.2060784355868923,-1.0,1.0,-1.0,1.0
692889,24.79,0.5291938341298916,-1.0,1.0,-1.0,1.0
692890,24.6,0.3123092326728916,1.0,1.0,1.0,1.0
692891,24.68,0.3654246312158911,1.0,1.0,1.0,1.0
692892,24.89,0.5485400297588896,-1.0,1.0,-1.0,1.0
692893,24.69,0.32165542830189153,1.0,1.0,-1.0,1.0
692894,25.13,0.7347708268448869,1.0,1.0,1.0,1.0
692895,25.3,0.8778862253878899,1.0,1.0,1.0,1.0
692896,25.82,1.371001623930887,1.0,1.0,1.0,1.0
692897,26.21,1.7341170224738889,-1.0,1.0,-1.0,1.0
692898,26.17,1.6672324210168874,1.0,1.0,-1.0,1.0
692899,26.4,1.8703478195598853,-1.0,1.0,-1.0,1.0
692900,26.17,1.6134632181028865,-1.0,1.0,-1.0,1.0
692901,25.63,1.0465786166458848,1.0,1.0,1.0,1.0
692902,26.33,1.7196940151888818,-1.0,1.0,-1.0,1.0
692903,25.74,1.1028094137318831,-1.0,1.0,-1.0,1.0
692904,25.63,0.9659248122748814,1.0,1.0,1.0,1.0
692905,26.39,1.699040210817884,-1.0,1.0,-1.0,1.0
692906,25.82,1.1021556093608815,1.0,1.0,1.0,1.0
692907,25.86,1.1152710079038821,0.0,1.0,0.0,1.0
692908,25.86,1.0883864064468796,-1.0,1.0,0.0,1.0
692909,25.79,0.9915018049898804,1.0,1.0,1.0,1.0
692910,25.89,1.0646172035328796,-1.0,1.0,-1.0,1.0
692911,25.77,0.9177326020758798,1.0,1.0,1.0,1.0
692912,26.78,1.9008480006188793,-1.0,1.0,-1.0,1.0
692913,26.51,1.603963399161881,1.0,1.0,1.0,1.0
692914,26.64,1.7070787977048774,-1.0,1.0,-1.0,1.0
692915,26.53,1.5701941962478791,1.0,1.0,1.0,1.0
692916,26.71,1.7233095947908763,1.0,1.0,1.0,1.0
692917,27.41,2.396424993333877,-1.0,1.0,-1.0,1.0
692918,27.28,2.239540391876876,1.0,1.0,1.0,1.0
692919,27.5,2.432655790419876,1.0,1.0,1.0,1.0
692920,27.58,2.485771188962872,1.0,1.0,1.0,1.0
692921,28.22,3.098886587505873,-1.0,1.0,-1.0,1.0
692922,28.17,3.0220019860488736,-1.0,1.0,-1.0,1.0
692923,27.88,2.705117384591873,-1.0,1.0,-1.0,1.0
692924,27.68,2.478232783134871,1.0,1.0,1.0,1.0
692925,27.72,2.4913481816778718,1.0,1.0,1.0,1.0
692926,27.89,2.6344635802208707,-1.0,1.0,-1.0,1.0
692927,27.48,2.197578978763872,1.0,1.0,1.0,1.0
692928,27.6,2.2906943773068704,1.0,1.0,-1.0,1.0
692929,28.05,2.713809775849871,1.0,1.0,1.0,1.0
692930,28.28,2.916925174392869,1.0,-1.0,1.0,-1.0
692931,28.54,3.1500405729358683,1.0,-1.0,1.0,-1.0
692932,28.66,3.243155971478867,1.0,-1.0,1.0,-1.0
692933,29.05,3.6062713700218687,-1.0,-1.0,-1.0,-1.0
692934,28.85,3.3793867685648666,-1.0,-1.0,-1.0,-1.0
692935,28.43,2.9325021671078666,1.0,-1.0,1.0,-1.0
692936,29.19,3.665617565650866,-1.0,-1.0,-1.0,-1.0
692937,29.03,3.478732964193867,-1.0,1.0,-1.0,1.0
692938,28.49,2.911848362736862,-1.0,1.0,-1.0,1.0
692939,28.34,2.7349637612798645,1.0,-1.0,1.0,-1.0
692940,29.35,3.718079159822864,-1.0,-1.0,-1.0,-1.0
692941,28.92,3.261194558365865,1.0,1.0,1.0,1.0
692942,28.97,3.2843099569088596,1.0,-1.0,1.0,-1.0
692943,29.57,3.857425355451863,1.0,-1.0,1.0,-1.0
692944,30.1,4.3605407539948615,-1.0,-1.0,-1.0,-1.0
692945,29.2,3.4336561525378606,1.0,-1.0,-1.0,1.0
692946,30.76,4.9667715510808605,1.0,-1.0,-1.0,-1.0
692947,32.31,6.489886949623863,-1.0,-1.0,-1.0,-1.0
692948,32.12,6.273002348166855,1.0,-1.0,-1.0,-1.0
692949,32.85,6.9761177467098605,-1.0,-1.0,-1.0,-1.0
692950,31.59,5.689233145252861,-1.0,-1.0,-1.0,-1.0
692951,30.55,4.622348543795859,-1.0,-1.0,-1.0,-1.0
692952,29.01,3.055463942338857,-1.0,-1.0,-1.0,-1.0
692953,27.98,1.9985793408818573,1.0,1.0,1.0,1.0
692954,29.55,3.541694739424859,1.0,-1.0,-1.0,-1.0
692955,30.35,4.314810137967857,1.0,-1.0,-1.0,-1.0
