,Close,Target(1),Target(30),Prediction(1),Prediction(30)
702215,47.1,-1.0,1.0,-1.0,1.0
702216,46.49,-1.0,1.0,-1.0,1.0
702217,46.46,-1.0,1.0,-1.0,1.0
702218,46.3,-1.0,1.0,-1.0,1.0
702219,46.15,1.0,1.0,1.0,1.0
702220,46.92,1.0,1.0,1.0,1.0
702221,47.6,1.0,1.0,1.0,1.0
702222,48.41,-1.0,1.0,-1.0,1.0
702223,47.26,-1.0,1.0,-1.0,1.0
702224,47.0,-1.0,1.0,-1.0,1.0
702225,46.79,1.0,1.0,1.0,1.0
702226,47.68,-1.0,1.0,-1.0,1.0
702227,47.13,1.0,1.0,1.0,1.0
702228,47.31,-1.0,1.0,-1.0,1.0
702229,47.26,1.0,1.0,-1.0,1.0
702230,48.21,1.0,1.0,1.0,1.0
702231,48.71,1.0,1.0,1.0,1.0
702232,49.32,-1.0,1.0,1.0,1.0
702233,49.22,-1.0,1.0,-1.0,1.0
702234,48.1,1.0,1.0,1.0,1.0
702235,49.67,-1.0,1.0,-1.0,1.0
702236,48.39,1.0,1.0,-1.0,1.0
702237,49.28,-1.0,1.0,-1.0,1.0
702238,48.77,-1.0,1.0,-1.0,1.0
702239,48.65,1.0,1.0,1.0,1.0
702240,49.42,-1.0,1.0,-1.0,1.0
702241,49.14,-1.0,1.0,-1.0,1.0
702242,48.62,1.0,1.0,1.0,1.0
702243,49.49,1.0,1.0,1.0,1.0
702244,49.93,1.0,1.0,1.0,1.0
702245,50.23,1.0,1.0,1.0,1.0
702246,50.41,1.0,1.0,1.0,1.0
702247,50.84,-1.0,1.0,-1.0,1.0
702248,50.16,-1.0,1.0,-1.0,1.0
702249,49.94,-1.0,1.0,-1.0,1.0
702250,49.51,1.0,1.0,1.0,1.0
702251,49.97,-1.0,1.0,-1.0,1.0
702252,49.86,1.0,1.0,1.0,1.0
702253,49.88,1.0,1.0,1.0,1.0
702254,50.8,1.0,1.0,1.0,1.0
702255,50.85,-1.0,1.0,-1.0,1.0
702256,50.73,-1.0,1.0,-1.0,1.0
702257,50.4,-1.0,1.0,-1.0,1.0
702258,50.01,1.0,1.0,1.0,1.0
702259,50.51,1.0,1.0,1.0,1.0
702260,51.66,-1.0,1.0,-1.0,1.0
702261,51.44,1.0,1.0,1.0,1.0
702262,51.77,1.0,1.0,1.0,1.0
702263,51.87,-1.0,1.0,-1.0,1.0
702264,51.7,-1.0,1.0,-1.0,1.0
702265,51.58,-1.0,1.0,1.0,1.0
702266,51.43,1.0,-1.0,-1.0,-1.0
702267,52.28,-1.0,-1.0,-1.0,-1.0
702268,52.14,1.0,-1.0,1.0,-1.0
702269,52.31,1.0,-1.0,1.0,-1.0
702270,53.68,1.0,-1.0,1.0,-1.0
702271,54.13,-1.0,-1.0,-1.0,-1.0
702272,53.26,1.0,-1.0,1.0,1.0
702273,53.41,1.0,-1.0,1.0,-1.0
702274,54.2,-1.0,-1.0,-1.0,-1.0
702275,53.56,-1.0,-1.0,-1.0,-1.0
702276,53.42,1.0,-1.0,-1.0,-1.0
702277,53.7,1.0,-1.0,1.0,-1.0
702278,54.01,-1.0,-1.0,-1.0,-1.0
702279,53.68,1.0,-1.0,-1.0,-1.0
702280,55.93,1.0,-1.0,1.0,-1.0
702281,55.94,-1.0,-1.0,-1.0,-1.0
702282,55.28,1.0,-1.0,1.0,-1.0
702283,55.48,-1.0,-1.0,-1.0,-1.0
702284,54.49,1.0,-1.0,-1.0,1.0
702285,54.83,-1.0,-1.0,-1.0,-1.0
702286,53.33,-1.0,1.0,-1.0,1.0
