,Close,Target(1),Target(30),Prediction(1),Prediction(30)
705462,51.7,-1.0,1.0,-1.0,1.0
705463,51.37,1.0,1.0,-1.0,1.0
705464,52.63,-1.0,1.0,-1.0,1.0
705465,50.6,-1.0,1.0,-1.0,1.0
705466,49.62,1.0,1.0,1.0,1.0
705467,51.03,1.0,1.0,1.0,1.0
705468,51.17,-1.0,1.0,-1.0,1.0
705469,50.7,-1.0,1.0,-1.0,1.0
705470,48.27,1.0,1.0,1.0,1.0
705471,48.87,-1.0,1.0,-1.0,1.0
705472,48.13,1.0,1.0,1.0,1.0
705473,48.69,1.0,1.0,1.0,1.0
705474,49.07,-1.0,1.0,-1.0,1.0
705475,49.01,-1.0,1.0,-1.0,1.0
705476,48.94,1.0,1.0,1.0,1.0
705477,50.18,-1.0,1.0,-1.0,1.0
705478,49.92,-1.0,1.0,-1.0,1.0
705479,49.6,1.0,1.0,-1.0,1.0
705480,49.95,1.0,1.0,-1.0,1.0
705481,50.04,-1.0,1.0,-1.0,1.0
705482,49.6,1.0,1.0,-1.0,1.0
705483,50.63,-1.0,1.0,-1.0,1.0
705484,50.32,1.0,1.0,1.0,1.0
705485,50.69,1.0,1.0,1.0,1.0
705486,51.1,1.0,1.0,1.0,1.0
705487,51.4,1.0,1.0,1.0,1.0
705488,51.64,1.0,1.0,1.0,1.0
705489,52.56,1.0,1.0,1.0,1.0
705490,53.98,-1.0,1.0,-1.0,1.0
705491,53.36,1.0,1.0,1.0,1.0
705492,53.49,-1.0,1.0,1.0,1.0
705493,53.44,-1.0,1.0,-1.0,1.0
705494,53.4,-1.0,1.0,1.0,1.0
705495,53.33,1.0,1.0,1.0,1.0
705496,53.45,1.0,1.0,1.0,1.0
705497,53.85,1.0,1.0,1.0,1.0
705498,55.25,-1.0,1.0,-1.0,1.0
705499,55.22,-1.0,1.0,-1.0,1.0
705500,54.81,1.0,1.0,1.0,1.0
705501,55.46,1.0,1.0,1.0,1.0
705502,55.86,-1.0,-1.0,-1.0,-1.0
705503,55.0,1.0,-1.0,1.0,-1.0
705504,55.22,-1.0,-1.0,-1.0,-1.0
705505,55.08,1.0,-1.0,1.0,-1.0
705506,55.36,-1.0,-1.0,1.0,-1.0
705507,55.21,-1.0,-1.0,1.0,-1.0
705508,54.97,1.0,-1.0,1.0,-1.0
705509,55.86,1.0,-1.0,1.0,-1.0
705510,55.93,-1.0,-1.0,-1.0,-1.0
705511,55.54,1.0,-1.0,1.0,-1.0
705512,55.67,1.0,-1.0,1.0,-1.0
705513,56.52,-1.0,-1.0,-1.0,-1.0
705514,56.39,1.0,-1.0,1.0,-1.0
705515,57.16,1.0,-1.0,1.0,-1.0
705516,58.48,1.0,-1.0,1.0,-1.0
705517,58.7,-1.0,-1.0,-1.0,-1.0
705518,56.72,1.0,-1.0,-1.0,-1.0
705519,57.65,1.0,-1.0,-1.0,-1.0
705520,58.5,-1.0,-1.0,-1.0,-1.0
705521,58.21,1.0,-1.0,1.0,-1.0
705522,58.98,-1.0,-1.0,-1.0,-1.0
705523,58.88,-1.0,-1.0,-1.0,-1.0
705524,57.81,-1.0,-1.0,-1.0,-1.0
705525,56.26,1.0,-1.0,1.0,-1.0
705526,56.51,1.0,-1.0,1.0,-1.0
705527,58.89,-1.0,-1.0,-1.0,-1.0
705528,57.54,1.0,-1.0,1.0,-1.0
705529,58.58,-1.0,-1.0,-1.0,-1.0
705530,57.31,-1.0,-1.0,-1.0,-1.0
