,Close,Target(1),Target(30),Prediction(1),Prediction(30)
707328,48.89,1.0,1.0,1.0,1.0
707329,50.23,1.0,1.0,1.0,1.0
707330,50.9,-1.0,1.0,1.0,1.0
707331,50.27,1.0,1.0,1.0,1.0
707332,50.67,1.0,1.0,1.0,1.0
707333,50.69,1.0,1.0,1.0,1.0
707334,51.09,-1.0,1.0,-1.0,-1.0
707335,50.57,-1.0,1.0,-1.0,1.0
707336,49.73,1.0,1.0,1.0,1.0
707337,50.28,-1.0,1.0,-1.0,1.0
707338,49.05,1.0,1.0,1.0,1.0
707339,49.57,1.0,1.0,1.0,1.0
707340,49.69,1.0,1.0,1.0,1.0
707341,50.2,1.0,1.0,1.0,1.0
707342,50.45,1.0,1.0,-1.0,1.0
707343,51.61,1.0,1.0,1.0,1.0
707344,51.75,1.0,1.0,1.0,1.0
707345,52.74,1.0,1.0,1.0,1.0
707346,52.88,1.0,1.0,1.0,1.0
707347,53.04,-1.0,-1.0,-1.0,-1.0
707348,52.36,1.0,1.0,1.0,1.0
707349,52.79,-1.0,-1.0,-1.0,-1.0
707350,52.75,-1.0,-1.0,-1.0,-1.0
707351,52.59,1.0,-1.0,1.0,-1.0
707352,53.08,1.0,-1.0,1.0,-1.0
707353,53.29,-1.0,-1.0,1.0,-1.0
707354,53.12,1.0,-1.0,1.0,-1.0
707355,53.55,1.0,-1.0,1.0,-1.0
707356,53.94,-1.0,-1.0,-1.0,-1.0
707357,53.8,-1.0,-1.0,-1.0,-1.0
707358,53.57,-1.0,-1.0,-1.0,-1.0
707359,52.89,1.0,1.0,-1.0,-1.0
707360,53.62,-1.0,-1.0,-1.0,-1.0
707361,53.16,-1.0,-1.0,-1.0,-1.0
707362,52.73,1.0,-1.0,1.0,-1.0
707363,52.85,1.0,-1.0,1.0,-1.0
707364,52.99,1.0,-1.0,-1.0,-1.0
707365,53.38,1.0,-1.0,1.0,-1.0
707366,53.46,-1.0,-1.0,-1.0,-1.0
707367,53.39,1.0,-1.0,1.0,-1.0
707368,53.9,1.0,-1.0,-1.0,1.0
707369,54.06,1.0,-1.0,1.0,-1.0
707370,54.08,1.0,-1.0,1.0,-1.0
707371,54.35,1.0,-1.0,1.0,1.0
707372,54.76,-1.0,-1.0,-1.0,1.0
707373,53.93,1.0,-1.0,1.0,-1.0
707374,53.94,-1.0,-1.0,-1.0,-1.0
707375,53.92,-1.0,-1.0,-1.0,-1.0
707376,53.33,-1.0,-1.0,1.0,-1.0
707377,52.59,-1.0,-1.0,-1.0,-1.0
707378,52.5,-1.0,-1.0,-1.0,-1.0
707379,52.26,1.0,-1.0,1.0,-1.0
707380,52.4,-1.0,-1.0,-1.0,-1.0
707381,52.02,1.0,-1.0,1.0,-1.0
707382,52.22,1.0,-1.0,1.0,-1.0
707383,52.91,-1.0,-1.0,-1.0,-1.0
707384,52.88,-1.0,-1.0,-1.0,-1.0
707385,52.14,1.0,-1.0,1.0,-1.0
707386,53.19,-1.0,-1.0,-1.0,-1.0
707387,53.17,-1.0,-1.0,-1.0,-1.0
707388,52.8,1.0,-1.0,1.0,-1.0
707389,53.79,-1.0,-1.0,-1.0,-1.0
707390,53.38,-1.0,-1.0,-1.0,1.0
707391,51.92,-1.0,-1.0,1.0,-1.0
707392,50.53,1.0,-1.0,1.0,-1.0
707393,51.12,1.0,-1.0,1.0,-1.0
707394,51.42,-1.0,-1.0,-1.0,-1.0
707395,50.74,1.0,-1.0,1.0,-1.0
707396,51.21,-1.0,1.0,1.0,1.0
707397,50.0,1.0,1.0,1.0,1.0
707398,50.62,-1.0,1.0,-1.0,1.0
707399,49.8,-1.0,1.0,1.0,1.0
707400,49.26,1.0,1.0,-1.0,1.0
707401,50.09,-1.0,1.0,-1.0,1.0
707402,49.78,1.0,1.0,1.0,1.0
707403,50.19,-1.0,1.0,-1.0,-1.0
707404,50.17,-1.0,1.0,1.0,-1.0
707405,50.12,0.0,1.0,0.0,1.0
707406,50.12,-1.0,-1.0,-1.0,-1.0
707407,49.83,1.0,-1.0,1.0,-1.0
707408,50.14,-1.0,-1.0,-1.0,-1.0
707409,48.42,1.0,1.0,1.0,1.0
707410,49.23,-1.0,-1.0,-1.0,-1.0
707411,48.49,1.0,1.0,1.0,1.0
707412,48.67,-1.0,1.0,-1.0,1.0
707413,48.0,1.0,1.0,1.0,1.0
707414,49.73,-1.0,1.0,-1.0,1.0
707415,49.47,-1.0,1.0,1.0,1.0
707416,48.6,1.0,1.0,1.0,1.0
707417,49.78,-1.0,1.0,-1.0,1.0
707418,49.72,-1.0,-1.0,-1.0,-1.0
707419,48.61,-1.0,1.0,-1.0,1.0
707420,48.27,1.0,1.0,1.0,1.0
707421,49.09,-1.0,1.0,-1.0,1.0
707422,48.79,1.0,1.0,1.0,1.0
707423,49.99,1.0,1.0,1.0,1.0
707424,50.41,-1.0,1.0,-1.0,1.0
707425,50.05,1.0,1.0,1.0,1.0
707426,51.23,-1.0,-1.0,-1.0,-1.0
