,Close,Target(1),Target(30),Prediction(1),Prediction(30)
711150,0.69,1.0,1.0,1.0,1.0
711151,0.72,-1.0,-1.0,-1.0,-1.0
711185,0.69,-1.0,-1.0,-1.0,-1.0
711361,0.56,0.0,-1.0,0.0,-1.0
711451,0.61,-1.0,-1.0,-1.0,-1.0
711532,0.41,-1.0,-1.0,-1.0,-1.0
711533,0.4,1.0,-1.0,1.0,-1.0
711588,0.33,0.0,-1.0,0.0,-1.0
711599,0.34,0.0,-1.0,0.0,-1.0
711600,0.34,-1.0,-1.0,-1.0,1.0
711601,0.31,1.0,0.0,1.0,0.0
711602,0.33,0.0,-1.0,-1.0,-1.0
711603,0.33,-1.0,-1.0,-1.0,-1.0
711604,0.29,-1.0,1.0,-1.0,1.0
711605,0.28,-1.0,1.0,1.0,1.0
711606,0.27,0.0,1.0,0.0,1.0
711607,0.27,0.0,1.0,0.0,1.0
711608,0.27,1.0,1.0,1.0,1.0
711609,0.28,1.0,1.0,1.0,1.0
711610,0.3,-1.0,1.0,0.0,1.0
711611,0.28,1.0,1.0,1.0,1.0
711612,0.29,0.0,1.0,0.0,1.0
711613,0.29,-1.0,1.0,-1.0,1.0
711614,0.28,0.0,1.0,-1.0,1.0
711615,0.28,-1.0,1.0,-1.0,1.0
711616,0.27,1.0,1.0,1.0,1.0
711617,0.29,0.0,1.0,0.0,1.0
711618,0.29,0.0,1.0,0.0,1.0
711619,0.29,-1.0,1.0,-1.0,1.0
711620,0.28,1.0,1.0,1.0,1.0
711621,0.29,0.0,1.0,0.0,1.0
711622,0.29,-1.0,1.0,-1.0,1.0
711623,0.28,0.0,1.0,0.0,1.0
711624,0.28,-1.0,1.0,-1.0,1.0
711625,0.26,0.0,1.0,0.0,1.0
711626,0.26,1.0,1.0,1.0,1.0
711627,0.32,-1.0,-1.0,-1.0,-1.0
711628,0.31,1.0,0.0,1.0,0.0
711629,0.33,-1.0,-1.0,-1.0,-1.0
711630,0.31,0.0,0.0,0.0,-1.0
711631,0.31,0.0,0.0,0.0,0.0
711632,0.31,0.0,1.0,0.0,1.0
711633,0.31,0.0,0.0,0.0,0.0
711634,0.31,0.0,1.0,0.0,1.0
711635,0.31,0.0,1.0,0.0,1.0
711636,0.31,1.0,1.0,1.0,1.0
711637,0.32,1.0,0.0,1.0,0.0
711638,0.33,-1.0,-1.0,-1.0,-1.0
711639,0.32,0.0,0.0,0.0,0.0
711640,0.32,1.0,0.0,1.0,1.0
711641,0.34,-1.0,-1.0,-1.0,-1.0
711642,0.32,1.0,-1.0,0.0,-1.0
711643,0.34,-1.0,-1.0,-1.0,-1.0
711644,0.31,1.0,0.0,0.0,-1.0
711645,0.33,-1.0,-1.0,-1.0,-1.0
711646,0.31,0.0,0.0,0.0,-1.0
711647,0.31,0.0,-1.0,0.0,-1.0
711648,0.31,-1.0,0.0,-1.0,0.0
711649,0.3,0.0,1.0,0.0,1.0
711650,0.3,0.0,1.0,0.0,1.0
711651,0.3,0.0,1.0,0.0,1.0
711652,0.3,0.0,1.0,0.0,1.0
711653,0.3,0.0,1.0,0.0,1.0
711654,0.3,1.0,0.0,1.0,0.0
711655,0.32,-1.0,1.0,-1.0,1.0
711656,0.31,0.0,0.0,0.0,0.0
711657,0.31,0.0,0.0,0.0,0.0
711658,0.31,0.0,-1.0,0.0,-1.0
711659,0.31,0.0,-1.0,0.0,-1.0
711660,0.31,0.0,-1.0,0.0,-1.0
711661,0.31,1.0,-1.0,0.0,-1.0
711662,0.32,-1.0,-1.0,-1.0,-1.0
711663,0.31,1.0,-1.0,1.0,-1.0
711664,0.32,0.0,-1.0,0.0,-1.0
711665,0.32,0.0,-1.0,0.0,-1.0
711666,0.32,0.0,-1.0,0.0,-1.0
711667,0.32,0.0,-1.0,0.0,-1.0
711668,0.32,0.0,-1.0,0.0,-1.0
711669,0.32,0.0,-1.0,0.0,-1.0
711670,0.32,-1.0,-1.0,-1.0,-1.0
711671,0.31,0.0,-1.0,0.0,-1.0
711672,0.31,0.0,-1.0,0.0,0.0
711673,0.31,0.0,-1.0,0.0,-1.0
711674,0.31,0.0,-1.0,0.0,-1.0
711675,0.31,0.0,-1.0,0.0,-1.0
711676,0.31,-1.0,-1.0,-1.0,-1.0
711677,0.3,1.0,-1.0,1.0,1.0
711678,0.31,0.0,-1.0,0.0,-1.0
711679,0.31,0.0,-1.0,0.0,-1.0
711680,0.31,0.0,-1.0,0.0,-1.0
711681,0.31,0.0,-1.0,0.0,-1.0
711682,0.31,0.0,-1.0,0.0,-1.0
711683,0.31,-1.0,-1.0,-1.0,-1.0
711684,0.3,1.0,-1.0,1.0,-1.0
711685,0.34,-1.0,-1.0,-1.0,1.0
711686,0.31,0.0,-1.0,0.0,-1.0
711687,0.31,-1.0,-1.0,-1.0,-1.0
711688,0.27,0.0,-1.0,0.0,-1.0
711689,0.27,0.0,-1.0,-1.0,-1.0
711690,0.27,-1.0,-1.0,-1.0,-1.0
711691,0.26,1.0,0.0,1.0,0.0
711692,0.29,0.0,-1.0,-1.0,-1.0
711693,0.29,-1.0,-1.0,-1.0,-1.0
711694,0.28,-1.0,-1.0,-1.0,-1.0
711695,0.26,0.0,0.0,0.0,0.0
711696,0.26,1.0,0.0,1.0,0.0
711697,0.28,-1.0,-1.0,-1.0,-1.0
711698,0.26,0.0,1.0,0.0,1.0
711699,0.26,0.0,1.0,1.0,1.0
711700,0.26,1.0,1.0,1.0,1.0
711701,0.28,-1.0,1.0,-1.0,1.0
711702,0.26,1.0,1.0,0.0,1.0
711703,0.28,-1.0,1.0,-1.0,1.0
711704,0.26,0.0,1.0,0.0,1.0
711705,0.26,0.0,1.0,0.0,1.0
711706,0.26,0.0,1.0,0.0,1.0
711707,0.26,0.0,1.0,0.0,1.0
711708,0.26,0.0,1.0,0.0,1.0
711709,0.26,1.0,1.0,1.0,1.0
711710,0.27,-1.0,1.0,-1.0,1.0
711711,0.26,0.0,1.0,0.0,1.0
711712,0.26,1.0,1.0,1.0,1.0
711713,0.28,-1.0,1.0,-1.0,1.0
711714,0.26,0.0,1.0,0.0,1.0
711715,0.26,0.0,1.0,0.0,1.0
711716,0.26,0.0,1.0,0.0,1.0
711717,0.26,0.0,1.0,0.0,1.0
711718,0.26,0.0,1.0,0.0,1.0
711719,0.26,0.0,1.0,0.0,1.0
711720,0.26,0.0,1.0,0.0,1.0
711721,0.26,0.0,1.0,0.0,1.0
711722,0.26,0.0,1.0,0.0,1.0
711723,0.26,0.0,1.0,0.0,1.0
711724,0.26,0.0,1.0,0.0,1.0
711725,0.26,0.0,1.0,0.0,1.0
711726,0.26,0.0,1.0,0.0,1.0
711727,0.26,1.0,1.0,1.0,1.0
711729,0.27,1.0,1.0,1.0,1.0
711730,0.28,1.0,1.0,1.0,1.0
711731,0.29,0.0,1.0,0.0,1.0
711732,0.29,0.0,1.0,0.0,1.0
711733,0.29,0.0,1.0,0.0,1.0
711734,0.29,0.0,1.0,0.0,1.0
711735,0.29,0.0,1.0,0.0,1.0
711736,0.29,1.0,1.0,1.0,1.0
711737,0.32,1.0,1.0,1.0,1.0
711738,0.33,-1.0,1.0,0.0,1.0
711739,0.32,0.0,1.0,0.0,1.0
711740,0.32,0.0,1.0,0.0,1.0
711741,0.32,0.0,1.0,0.0,1.0
711742,0.32,0.0,1.0,0.0,1.0
711743,0.32,0.0,1.0,0.0,1.0
711744,0.32,0.0,1.0,0.0,1.0
711745,0.32,0.0,1.0,0.0,1.0
711746,0.32,0.0,1.0,0.0,1.0
711747,0.32,0.0,1.0,0.0,1.0
711748,0.32,0.0,1.0,1.0,1.0
711749,0.32,0.0,1.0,1.0,1.0
711750,0.32,1.0,1.0,1.0,1.0
711751,0.33,-1.0,1.0,-1.0,1.0
711752,0.31,1.0,1.0,1.0,1.0
711753,0.32,-1.0,1.0,-1.0,1.0
711754,0.31,0.0,1.0,0.0,-1.0
711755,0.31,0.0,1.0,0.0,0.0
711756,0.31,-1.0,1.0,0.0,-1.0
711757,0.3,0.0,1.0,0.0,1.0
711758,0.3,1.0,1.0,1.0,1.0
711759,0.31,0.0,1.0,0.0,1.0
711760,0.31,0.0,1.0,0.0,1.0
711761,0.31,0.0,1.0,1.0,1.0
711762,0.31,1.0,1.0,1.0,1.0
711763,0.32,0.0,1.0,-1.0,1.0
711764,0.32,1.0,1.0,1.0,1.0
711765,0.34,0.0,1.0,-1.0,-1.0
711766,0.34,-1.0,1.0,-1.0,1.0
711767,0.33,1.0,1.0,1.0,1.0
