,Close,Target(1),Target(30),Prediction(1),Prediction(30)
712690,13.01,-1.0,1.0,-1.0,-1.0
712691,12.96,-1.0,1.0,-1.0,1.0
712692,12.86,-1.0,1.0,-1.0,-1.0
712693,12.69,-1.0,1.0,-1.0,1.0
712694,12.5,1.0,1.0,1.0,1.0
712695,12.83,1.0,1.0,1.0,1.0
712696,12.98,-1.0,1.0,-1.0,1.0
712697,12.26,-1.0,1.0,-1.0,1.0
712698,11.91,1.0,1.0,1.0,1.0
712699,12.0,-1.0,1.0,-1.0,1.0
712700,11.81,1.0,1.0,1.0,1.0
712701,12.0,-1.0,1.0,-1.0,1.0
712702,11.92,-1.0,1.0,1.0,1.0
712703,11.79,1.0,1.0,1.0,1.0
712704,11.91,1.0,1.0,1.0,1.0
712705,12.15,-1.0,1.0,-1.0,1.0
712706,11.87,1.0,1.0,1.0,1.0
712707,12.02,1.0,1.0,1.0,1.0
712708,12.23,-1.0,1.0,1.0,1.0
712709,11.97,-1.0,1.0,-1.0,1.0
712710,11.7,1.0,1.0,1.0,1.0
712711,12.01,-1.0,1.0,1.0,1.0
712712,11.98,-1.0,1.0,-1.0,1.0
712713,11.92,-1.0,1.0,-1.0,1.0
712714,11.84,1.0,1.0,1.0,1.0
712715,12.44,1.0,1.0,1.0,1.0
712716,12.97,1.0,1.0,1.0,1.0
712717,13.16,1.0,-1.0,1.0,-1.0
712718,13.43,1.0,-1.0,1.0,-1.0
712719,13.58,-1.0,-1.0,-1.0,-1.0
712720,13.33,1.0,-1.0,1.0,-1.0
712721,13.9,-1.0,-1.0,-1.0,-1.0
712722,13.74,1.0,-1.0,1.0,-1.0
712723,13.77,-1.0,-1.0,-1.0,-1.0
712724,13.68,1.0,-1.0,1.0,-1.0
712725,13.92,1.0,-1.0,-1.0,-1.0
712726,14.22,-1.0,-1.0,-1.0,-1.0
712727,14.15,-1.0,-1.0,-1.0,-1.0
712728,13.84,-1.0,-1.0,-1.0,-1.0
712729,13.77,1.0,-1.0,1.0,-1.0
712730,13.8,1.0,-1.0,1.0,1.0
712731,14.29,-1.0,-1.0,-1.0,-1.0
712732,13.69,-1.0,-1.0,-1.0,-1.0
712733,13.64,1.0,-1.0,1.0,-1.0
712734,13.7,-1.0,-1.0,-1.0,-1.0
712735,13.61,1.0,-1.0,1.0,-1.0
712736,13.9,1.0,-1.0,1.0,-1.0
712737,14.39,-1.0,-1.0,-1.0,-1.0
712738,13.61,1.0,-1.0,-1.0,-1.0
712739,13.8,-1.0,-1.0,-1.0,-1.0
712740,13.3,-1.0,-1.0,-1.0,-1.0
712741,13.27,-1.0,-1.0,1.0,-1.0
712742,13.2,-1.0,-1.0,-1.0,-1.0
712743,13.13,-1.0,-1.0,-1.0,1.0
712744,13.05,1.0,-1.0,1.0,-1.0
712745,13.2,-1.0,-1.0,1.0,-1.0
712746,12.98,-1.0,-1.0,-1.0,-1.0
712747,12.55,-1.0,-1.0,-1.0,-1.0
712748,12.42,1.0,-1.0,1.0,-1.0
712749,12.78,1.0,-1.0,1.0,-1.0
712750,12.82,1.0,-1.0,1.0,-1.0
712751,12.9,1.0,-1.0,-1.0,-1.0
712752,13.25,1.0,-1.0,1.0,-1.0
712753,13.36,-1.0,-1.0,-1.0,-1.0
712754,12.98,1.0,-1.0,1.0,-1.0
712755,13.08,1.0,-1.0,1.0,-1.0
712756,13.41,-1.0,-1.0,-1.0,-1.0
712757,13.15,1.0,-1.0,1.0,-1.0
712758,13.66,-1.0,-1.0,-1.0,-1.0
712759,13.12,-1.0,-1.0,1.0,-1.0
712760,12.93,-1.0,-1.0,-1.0,-1.0
712761,12.9,-1.0,-1.0,-1.0,-1.0
712762,12.32,1.0,-1.0,1.0,-1.0
712763,12.79,-1.0,-1.0,-1.0,-1.0
712764,12.7,1.0,-1.0,1.0,-1.0
712765,13.22,-1.0,-1.0,-1.0,-1.0
712766,13.19,-1.0,-1.0,-1.0,-1.0
712767,12.94,-1.0,-1.0,-1.0,-1.0
712768,12.57,-1.0,-1.0,-1.0,-1.0
712769,12.42,1.0,-1.0,1.0,-1.0
712770,12.45,-1.0,-1.0,-1.0,-1.0
712771,12.0,-1.0,-1.0,-1.0,-1.0
712772,11.86,-1.0,-1.0,1.0,1.0
712773,11.4,-1.0,-1.0,-1.0,-1.0
712774,11.25,-1.0,1.0,1.0,1.0
712775,11.24,1.0,1.0,1.0,1.0
712776,11.65,1.0,-1.0,1.0,-1.0
712777,11.7,-1.0,1.0,-1.0,1.0
712778,11.4,1.0,1.0,1.0,1.0
712779,11.68,1.0,-1.0,1.0,-1.0
712780,12.07,-1.0,-1.0,-1.0,-1.0
712781,11.56,-1.0,-1.0,-1.0,-1.0
712782,11.32,1.0,1.0,1.0,1.0
712783,11.51,-1.0,1.0,-1.0,1.0
712784,10.92,1.0,1.0,1.0,1.0
712785,11.27,1.0,1.0,1.0,1.0
712786,11.37,1.0,1.0,1.0,1.0
712787,11.47,1.0,1.0,1.0,1.0
712788,11.86,1.0,1.0,1.0,1.0
712789,11.99,-1.0,1.0,-1.0,1.0
712790,11.86,1.0,1.0,1.0,1.0
712791,12.3,-1.0,1.0,-1.0,1.0
712792,12.19,-1.0,1.0,1.0,1.0
712793,12.07,1.0,1.0,1.0,1.0
712794,12.32,-1.0,1.0,-1.0,1.0
712795,12.21,1.0,1.0,1.0,1.0
712796,12.6,0.0,1.0,1.0,1.0
712797,12.6,-1.0,1.0,-1.0,1.0
712798,12.04,-1.0,1.0,-1.0,1.0
712799,11.67,-1.0,1.0,-1.0,1.0
712800,11.06,-1.0,1.0,-1.0,1.0
712801,10.75,-1.0,1.0,-1.0,1.0
712802,10.54,1.0,1.0,1.0,1.0
712803,10.82,1.0,1.0,1.0,1.0
712804,11.42,1.0,1.0,1.0,1.0
712805,11.45,-1.0,-1.0,-1.0,-1.0
712806,11.4,1.0,-1.0,1.0,-1.0
712807,11.91,-1.0,-1.0,-1.0,1.0
712808,11.47,1.0,-1.0,1.0,-1.0
712809,11.6,-1.0,-1.0,-1.0,-1.0
712810,11.35,1.0,1.0,1.0,1.0
712811,11.38,1.0,1.0,1.0,1.0
712812,11.78,1.0,-1.0,1.0,-1.0
712813,11.83,1.0,-1.0,-1.0,-1.0
712814,12.06,1.0,-1.0,1.0,-1.0
712815,12.31,1.0,-1.0,1.0,-1.0
712816,12.88,-1.0,-1.0,-1.0,-1.0
712817,12.78,-1.0,-1.0,-1.0,-1.0
712818,12.6,1.0,-1.0,1.0,-1.0
712819,12.78,1.0,-1.0,1.0,-1.0
712820,12.91,-1.0,-1.0,-1.0,-1.0
712821,12.72,1.0,1.0,1.0,1.0
712822,12.73,1.0,-1.0,1.0,-1.0
712823,13.12,-1.0,-1.0,-1.0,-1.0
712824,12.83,-1.0,-1.0,-1.0,-1.0
712825,12.77,1.0,1.0,-1.0,1.0
712826,13.16,-1.0,-1.0,-1.0,-1.0
712827,13.03,-1.0,-1.0,-1.0,-1.0
712828,12.32,-1.0,1.0,-1.0,1.0
712829,12.02,-1.0,1.0,-1.0,1.0
