,Close,Target(1),Target(30),Prediction(1),Prediction(30)
714557,14.54,1.0,1.0,1.0,-1.0
714558,14.93,-1.0,1.0,-1.0,1.0
714559,14.82,-1.0,1.0,-1.0,1.0
714560,14.67,-1.0,1.0,-1.0,1.0
714561,14.31,1.0,1.0,1.0,1.0
714562,14.54,1.0,1.0,1.0,1.0
714563,14.59,-1.0,1.0,-1.0,1.0
714564,14.48,1.0,1.0,1.0,1.0
714565,14.51,1.0,1.0,1.0,1.0
714566,14.56,-1.0,1.0,-1.0,1.0
714567,14.41,1.0,1.0,1.0,1.0
714568,14.56,-1.0,1.0,-1.0,1.0
714569,14.34,0.0,1.0,0.0,1.0
714570,14.34,-1.0,1.0,-1.0,1.0
714571,14.23,1.0,1.0,1.0,1.0
714572,14.37,-1.0,1.0,-1.0,1.0
714573,14.36,1.0,1.0,1.0,1.0
714574,14.37,1.0,1.0,1.0,1.0
714575,14.38,1.0,1.0,1.0,1.0
714576,14.4,1.0,1.0,1.0,1.0
714577,14.47,1.0,1.0,1.0,1.0
714578,14.5,-1.0,1.0,-1.0,1.0
714579,14.45,-1.0,1.0,-1.0,1.0
714580,14.24,1.0,1.0,1.0,1.0
714581,14.5,-1.0,1.0,-1.0,1.0
714582,14.4,1.0,1.0,1.0,1.0
714583,14.54,1.0,1.0,1.0,1.0
714584,14.55,1.0,1.0,-1.0,1.0
714585,14.89,1.0,1.0,1.0,1.0
714586,14.96,1.0,1.0,1.0,1.0
714587,15.04,0.0,1.0,1.0,1.0
714588,15.04,1.0,1.0,1.0,1.0
714589,15.09,1.0,1.0,1.0,1.0
714590,15.13,-1.0,1.0,-1.0,1.0
714591,15.12,1.0,1.0,1.0,1.0
714592,15.13,1.0,1.0,1.0,1.0
714593,15.3,-1.0,1.0,-1.0,1.0
714594,15.22,-1.0,1.0,-1.0,1.0
714595,15.16,1.0,1.0,1.0,1.0
714596,15.54,1.0,1.0,1.0,1.0
714597,15.61,-1.0,-1.0,-1.0,-1.0
714598,15.47,0.0,-1.0,0.0,-1.0
714599,15.47,1.0,-1.0,1.0,-1.0
714600,15.61,1.0,-1.0,1.0,-1.0
714601,15.73,1.0,-1.0,1.0,-1.0
714602,15.92,-1.0,-1.0,-1.0,-1.0
714603,15.66,1.0,-1.0,1.0,-1.0
714604,15.83,1.0,-1.0,1.0,-1.0
714605,16.03,1.0,-1.0,1.0,-1.0
714606,16.09,1.0,-1.0,1.0,-1.0
714607,16.11,-1.0,-1.0,-1.0,-1.0
714608,16.1,1.0,-1.0,1.0,-1.0
714609,16.33,-1.0,-1.0,1.0,-1.0
714610,16.25,-1.0,-1.0,-1.0,-1.0
714611,16.17,1.0,-1.0,1.0,-1.0
714612,16.41,1.0,-1.0,1.0,-1.0
714613,16.49,-1.0,-1.0,-1.0,-1.0
