,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
716424,27.41,3.811881599861756,-1.0,1.0,-1.0,1.0
716425,27.18,3.543608137727233,-1.0,1.0,-1.0,1.0
716426,26.95,3.275334675592706,-1.0,1.0,-1.0,1.0
716427,26.81,3.0970612134581788,1.0,1.0,1.0,1.0
716428,27.45,3.698787751323653,1.0,1.0,1.0,1.0
716429,28.05,4.2605142891891274,1.0,1.0,-1.0,1.0
716430,28.51,4.682240827054604,-1.0,1.0,-1.0,1.0
716431,27.9,4.033967364920073,-1.0,1.0,-1.0,1.0
716432,27.56,3.655693902785551,-1.0,1.0,-1.0,1.0
716433,27.03,3.0874204406510266,-1.0,1.0,-1.0,1.0
716434,26.92,2.9391469785165008,1.0,1.0,1.0,1.0
716435,27.41,3.3908735163819728,-1.0,1.0,-1.0,1.0
716436,27.38,3.3226000542474448,1.0,1.0,1.0,1.0
716437,27.78,3.6843265921129214,1.0,1.0,1.0,1.0
716438,27.88,3.7460531299783963,1.0,1.0,1.0,1.0
716439,28.7,4.52777966784387,1.0,1.0,1.0,1.0
716440,28.95,4.739506205709343,1.0,1.0,1.0,1.0
716441,29.08,4.831232743574817,1.0,1.0,1.0,1.0
716442,29.44,5.1529592814402925,-1.0,1.0,-1.0,1.0
716443,29.01,4.684685819305767,-1.0,1.0,1.0,1.0
716444,28.48,4.116412357171239,1.0,1.0,1.0,1.0
716445,28.68,4.278138895036714,1.0,1.0,1.0,1.0
716446,28.86,4.4198654329021885,1.0,1.0,1.0,1.0
716447,29.04,4.561591970767662,1.0,1.0,1.0,1.0
716448,29.6,5.083318508633138,1.0,1.0,1.0,1.0
716449,29.67,5.115045046498612,-1.0,1.0,-1.0,1.0
716450,29.61,5.016771584364085,1.0,1.0,1.0,1.0
716451,29.9,5.268498122229559,1.0,1.0,1.0,1.0
716452,30.54,5.870224660095032,1.0,1.0,1.0,1.0
716453,30.64,5.931951197960508,-1.0,1.0,-1.0,1.0
716454,30.6,5.853677735825982,-1.0,1.0,-1.0,1.0
716455,30.53,5.745404273691456,1.0,1.0,1.0,1.0
716456,30.66,5.8371308115569285,-1.0,1.0,-1.0,1.0
716457,30.54,5.678857349422405,-1.0,1.0,1.0,1.0
716458,30.46,5.56058388728788,1.0,1.0,1.0,1.0
716459,31.06,6.122310425153352,1.0,1.0,1.0,1.0
716460,31.2,6.2240369630188255,-1.0,1.0,-1.0,1.0
716461,31.16,6.145763500884299,1.0,1.0,1.0,1.0
716462,31.24,6.187490038749773,1.0,1.0,1.0,1.0
716463,31.28,6.1892165766152525,1.0,1.0,1.0,1.0
716464,31.29,6.160943114480723,-1.0,1.0,-1.0,1.0
716465,31.25,6.082669652346198,-1.0,-1.0,1.0,-1.0
716466,31.23,6.0243961902116725,1.0,-1.0,1.0,-1.0
716467,31.5,6.256122728077145,1.0,-1.0,1.0,-1.0
716468,31.56,6.277849265942618,-1.0,-1.0,-1.0,-1.0
