,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
718291,23.69,4.7853670437045785,-1.0,1.0,-1.0,1.0
718292,23.35,4.418525751192521,1.0,1.0,1.0,1.0
718293,23.53,4.571684458680469,-1.0,1.0,-1.0,1.0
718294,23.05,4.064843166168417,-1.0,1.0,-1.0,1.0
718295,22.5,3.4880018736563585,1.0,1.0,1.0,1.0
718296,23.05,4.011160581144306,1.0,1.0,1.0,1.0
718297,23.31,4.244319288632248,-1.0,1.0,-1.0,1.0
718298,23.2,4.107477996120196,-1.0,1.0,-1.0,1.0
718299,22.59,3.47063670360814,1.0,1.0,1.0,1.0
718300,22.97,3.8237954110960857,1.0,1.0,-1.0,1.0
718301,23.1,3.9269541185840353,1.0,1.0,1.0,1.0
718302,23.38,4.1801128260719755,1.0,1.0,1.0,1.0
718303,23.44,4.213271533559926,1.0,1.0,1.0,1.0
718304,23.77,4.5164302410478685,1.0,1.0,1.0,1.0
718306,24.79,5.482747656023762,-1.0,-1.0,-1.0,1.0
718307,24.71,5.375906363511707,1.0,-1.0,1.0,-1.0
718308,24.83,5.469065070999651,1.0,1.0,1.0,1.0
718309,25.01,5.622223778487598,-1.0,1.0,-1.0,1.0
718310,24.73,5.315382485975544,-1.0,1.0,-1.0,1.0
718311,24.3,4.858541193463491,1.0,1.0,1.0,1.0
718312,24.75,5.281699900951434,-1.0,1.0,-1.0,1.0
718313,24.52,5.024858608439381,-1.0,1.0,-1.0,1.0
718314,24.38,4.8580173159273246,1.0,1.0,1.0,1.0
718315,24.63,5.081176023415272,-1.0,1.0,-1.0,1.0
718316,24.48,4.904334730903216,-1.0,1.0,1.0,1.0
718317,24.4,4.797493438391161,1.0,1.0,1.0,1.0
718318,24.67,5.040652145879111,1.0,1.0,1.0,1.0
718319,24.97,5.313810853367052,-1.0,1.0,-1.0,1.0
718320,24.69,5.006969560855001,-1.0,1.0,-1.0,1.0
718321,24.19,4.480128268342946,1.0,1.0,1.0,1.0
718322,24.59,4.8532869758308905,-1.0,1.0,-1.0,1.0
718323,24.07,4.306445683318838,-1.0,1.0,-1.0,1.0
718324,24.0,4.209604390806781,-1.0,1.0,-1.0,1.0
718325,23.94,4.1227630982947305,1.0,1.0,1.0,1.0
718326,24.68,4.8359218057826725,1.0,1.0,-1.0,1.0
718327,24.91,5.039080513270619,-1.0,1.0,-1.0,1.0
718328,24.72,4.822239220758561,-1.0,1.0,-1.0,1.0
718329,24.36,4.435397928246509,1.0,1.0,1.0,1.0
718330,24.73,4.778556635734457,1.0,1.0,1.0,1.0
718331,25.45,5.4717153432224,-1.0,-1.0,-1.0,-1.0
718332,24.79,4.784874050710346,0.0,-1.0,0.0,-1.0
718333,24.79,4.75803275819829,-1.0,1.0,-1.0,1.0
718334,24.75,4.691191465686239,-1.0,1.0,-1.0,1.0
718335,24.73,4.6443501731741845,-1.0,1.0,-1.0,1.0
718336,24.61,4.497508880662128,-1.0,1.0,-1.0,1.0
718337,24.47,4.3306675881500745,1.0,1.0,1.0,1.0
718338,25.39,5.22382629563802,-1.0,1.0,-1.0,-1.0
718339,25.05,4.856985003125967,1.0,-1.0,1.0,-1.0
718340,25.32,5.1001437106139145,-1.0,-1.0,-1.0,-1.0
718341,24.72,4.473302418101857,1.0,-1.0,1.0,-1.0
718342,24.94,4.666461125589804,1.0,-1.0,1.0,-1.0
718343,25.69,5.389619833077749,1.0,-1.0,1.0,-1.0
718344,25.87,5.542778540565696,1.0,-1.0,1.0,-1.0
718345,26.9,6.54593724805364,1.0,-1.0,1.0,-1.0
718346,26.99,6.6090959555415845,-1.0,-1.0,-1.0,1.0
718347,26.58,6.1722546630295305,-1.0,-1.0,-1.0,-1.0
718348,26.43,5.995413370517476,1.0,-1.0,1.0,-1.0
718349,26.65,6.188572078005421,-1.0,-1.0,-1.0,-1.0
718350,26.42,5.931730785493366,1.0,-1.0,1.0,-1.0
718351,26.5,5.9848894929813135,1.0,-1.0,1.0,-1.0
718352,26.67,6.128048200469262,1.0,-1.0,1.0,-1.0
718353,27.16,6.591206907957204,-1.0,-1.0,-1.0,-1.0
718354,26.54,5.94436561544515,-1.0,-1.0,-1.0,-1.0
718355,26.4,5.777524322933093,1.0,-1.0,1.0,-1.0
718356,27.01,6.360683030421042,-1.0,-1.0,-1.0,-1.0
718357,26.01,5.333841737908988,1.0,-1.0,1.0,-1.0
718358,26.45,5.7470004453969326,-1.0,-1.0,1.0,-1.0
718359,25.74,5.010159152884878,1.0,-1.0,1.0,-1.0
718360,25.87,5.113317860372824,-1.0,-1.0,-1.0,-1.0
718361,25.07,4.28647656786077,-1.0,1.0,-1.0,1.0
718362,24.74,3.929635275348712,1.0,1.0,1.0,1.0
718363,25.82,4.982793982836661,-1.0,-1.0,-1.0,-1.0
718364,25.65,4.785952690324606,1.0,-1.0,1.0,-1.0
718365,26.1,5.209111397812553,-1.0,-1.0,-1.0,-1.0
718366,25.49,4.572270105300497,-1.0,-1.0,-1.0,-1.0
718367,24.88,3.9354288127884414,1.0,-1.0,1.0,-1.0
718368,25.42,4.448587520276392,-1.0,-1.0,1.0,-1.0
718369,24.54,3.5417462277643352,1.0,-1.0,1.0,-1.0
718370,24.65,3.6249049352522786,-1.0,-1.0,-1.0,-1.0
718371,24.26,3.2080636427402283,1.0,-1.0,1.0,-1.0
718372,24.57,3.4912223502281705,-1.0,-1.0,-1.0,-1.0
718373,24.24,3.134381057716116,1.0,1.0,-1.0,1.0
718374,24.4,3.267539765204063,-1.0,-1.0,-1.0,-1.0
718375,24.14,2.9806984726920085,1.0,1.0,1.0,1.0
718376,24.85,3.663857180179957,-1.0,-1.0,-1.0,1.0
718378,24.35,3.1101745951558466,1.0,1.0,1.0,1.0
718379,24.76,3.4933333026437907,1.0,1.0,-1.0,1.0
718380,25.04,3.746492010131736,-1.0,-1.0,-1.0,-1.0
718381,24.18,2.8596507176196795,-1.0,1.0,-1.0,1.0
