,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
720157,21.13,3.6256245250384755,-1.0,1.0,-1.0,-1.0
720158,20.57,3.0498886025194447,1.0,1.0,1.0,1.0
720159,21.0,3.4641526800004137,-1.0,1.0,-1.0,1.0
720160,19.58,2.0284167574813807,-1.0,1.0,-1.0,-1.0
720161,19.53,1.9626808349623523,1.0,1.0,1.0,1.0
720162,20.64,3.056944912443317,1.0,1.0,1.0,1.0
720163,20.68,3.0812089899242854,-1.0,1.0,-1.0,1.0
720164,20.46,2.845473067405255,-1.0,1.0,-1.0,1.0
720165,19.56,1.9297371448862213,-1.0,1.0,-1.0,1.0
720166,18.91,1.2640012223671917,-1.0,1.0,1.0,1.0
720167,18.71,1.0482652998481612,1.0,1.0,1.0,1.0
720168,18.9,1.222529377329124,-1.0,1.0,-1.0,1.0
720169,18.88,1.1867934548100934,1.0,1.0,1.0,1.0
720170,18.96,1.251057532291064,-1.0,1.0,-1.0,1.0
720171,18.32,0.5953216097720322,1.0,1.0,-1.0,1.0
720172,19.08,1.3395856872529992,-1.0,1.0,-1.0,1.0
720173,19.06,1.3038497647339682,1.0,1.0,1.0,1.0
720174,19.75,1.9781138422149347,-1.0,1.0,-1.0,1.0
720175,19.68,1.8923779196959032,1.0,1.0,-1.0,1.0
720176,19.88,2.0766419971768717,-1.0,1.0,-1.0,1.0
720177,19.53,1.7109060746578422,1.0,1.0,-1.0,1.0
720178,19.59,1.7551701521388097,-1.0,1.0,-1.0,1.0
720179,19.45,1.5994342296197743,1.0,1.0,1.0,1.0
720180,19.92,2.053698307100745,1.0,1.0,1.0,1.0
720181,20.21,2.327962384581713,1.0,1.0,1.0,1.0
720182,20.9,3.00222646206268,1.0,1.0,1.0,1.0
720183,21.24,3.3264905395436486,-1.0,1.0,-1.0,1.0
720184,21.06,3.1307546170246177,1.0,1.0,1.0,1.0
720185,21.81,3.865018694505583,-1.0,-1.0,-1.0,1.0
720186,21.74,3.779282771986552,-1.0,1.0,-1.0,1.0
720187,21.62,3.6435468494675223,1.0,-1.0,1.0,1.0
720188,21.81,3.817810926948489,1.0,1.0,1.0,1.0
720189,22.25,4.242075004429459,1.0,1.0,-1.0,1.0
720190,22.26,4.2363390819104305,-1.0,1.0,-1.0,1.0
720191,22.05,4.010603159391394,1.0,1.0,1.0,1.0
720192,22.4,4.3448672368723615,1.0,1.0,-1.0,1.0
720193,22.53,4.459131314353332,-1.0,1.0,-1.0,1.0
