,Close,Target(1),Target(30),Prediction(1),Prediction(30)
722024,42.0,1.0,-1.0,1.0,-1.0
722025,42.42,1.0,-1.0,1.0,-1.0
722026,43.0,-1.0,-1.0,1.0,-1.0
722027,42.76,1.0,-1.0,1.0,-1.0
722028,45.73,-1.0,-1.0,-1.0,-1.0
722029,45.06,-1.0,-1.0,-1.0,-1.0
722030,44.26,-1.0,-1.0,-1.0,-1.0
722031,43.95,-1.0,-1.0,-1.0,-1.0
722032,42.16,-1.0,-1.0,-1.0,-1.0
722033,41.89,-1.0,-1.0,-1.0,-1.0
722034,40.8,-1.0,-1.0,-1.0,-1.0
722035,40.27,-1.0,-1.0,-1.0,-1.0
722036,40.12,-1.0,-1.0,-1.0,-1.0
722037,37.39,1.0,-1.0,-1.0,-1.0
722038,37.49,-1.0,-1.0,-1.0,-1.0
722039,36.38,-1.0,-1.0,-1.0,-1.0
722040,36.31,1.0,-1.0,1.0,-1.0
722041,36.55,-1.0,-1.0,-1.0,-1.0
722042,35.23,-1.0,-1.0,-1.0,-1.0
722043,35.19,-1.0,-1.0,-1.0,-1.0
722044,34.71,-1.0,-1.0,-1.0,-1.0
722045,34.54,-1.0,-1.0,-1.0,-1.0
722046,34.47,-1.0,1.0,-1.0,-1.0
722047,34.22,1.0,1.0,-1.0,1.0
722048,34.85,1.0,1.0,1.0,1.0
722049,35.58,-1.0,-1.0,-1.0,-1.0
722050,34.83,1.0,1.0,1.0,1.0
722051,35.58,-1.0,1.0,-1.0,1.0
722052,35.48,-1.0,1.0,-1.0,1.0
722053,34.92,1.0,1.0,1.0,1.0
722054,35.06,-1.0,1.0,-1.0,1.0
722055,34.97,-1.0,1.0,-1.0,1.0
722056,33.72,1.0,1.0,1.0,-1.0
722057,34.22,-1.0,1.0,1.0,1.0
722058,34.16,1.0,1.0,1.0,-1.0
722059,34.4,1.0,1.0,1.0,1.0
722060,35.2,1.0,1.0,1.0,1.0
722061,36.44,-1.0,1.0,-1.0,1.0
722062,36.14,-1.0,1.0,-1.0,1.0
722063,35.79,-1.0,1.0,-1.0,1.0
722064,34.68,-1.0,1.0,-1.0,1.0
722065,34.4,1.0,1.0,1.0,1.0
722066,34.77,-1.0,1.0,-1.0,1.0
722067,33.48,1.0,1.0,1.0,-1.0
722068,34.14,1.0,1.0,1.0,1.0
722069,34.77,1.0,-1.0,1.0,-1.0
722070,34.92,-1.0,1.0,-1.0,1.0
722071,34.32,1.0,1.0,1.0,1.0
722072,34.67,-1.0,1.0,-1.0,1.0
