,Close,Target(1),Target(30),Prediction(1),Prediction(30)
729792,19.74,1.0,1.0,-1.0,1.0
729793,19.97,-1.0,1.0,-1.0,1.0
729794,19.91,-1.0,1.0,-1.0,1.0
729795,19.29,1.0,1.0,1.0,1.0
729796,19.4,1.0,1.0,1.0,1.0
729797,19.79,-1.0,1.0,1.0,1.0
729798,19.49,-1.0,1.0,-1.0,1.0
729799,19.12,-1.0,1.0,-1.0,1.0
729800,18.01,-1.0,1.0,-1.0,1.0
729801,17.92,-1.0,1.0,-1.0,1.0
729802,17.87,1.0,1.0,1.0,1.0
729803,17.94,-1.0,1.0,1.0,1.0
729804,17.29,1.0,1.0,1.0,1.0
729805,17.75,1.0,1.0,1.0,1.0
729806,17.86,1.0,1.0,1.0,1.0
729807,18.39,1.0,1.0,1.0,1.0
729808,18.45,-1.0,1.0,-1.0,1.0
729809,18.42,-1.0,1.0,-1.0,1.0
729810,17.94,1.0,1.0,1.0,1.0
729811,17.98,-1.0,1.0,-1.0,1.0
729812,17.72,1.0,1.0,1.0,1.0
729813,18.36,-1.0,1.0,-1.0,1.0
729814,18.1,1.0,1.0,1.0,1.0
729815,18.33,1.0,1.0,1.0,1.0
729816,19.12,1.0,1.0,1.0,1.0
729817,19.67,1.0,1.0,1.0,1.0
729818,19.97,1.0,1.0,1.0,1.0
729819,21.21,1.0,1.0,1.0,1.0
729820,21.4,-1.0,1.0,-1.0,1.0
729821,20.98,1.0,1.0,1.0,1.0
729822,21.17,1.0,1.0,1.0,1.0
729823,21.47,1.0,1.0,1.0,1.0
729824,21.54,1.0,1.0,1.0,1.0
729825,23.33,-1.0,-1.0,-1.0,-1.0
729826,22.11,1.0,1.0,1.0,1.0
729827,22.86,-1.0,1.0,-1.0,1.0
729828,22.49,1.0,1.0,1.0,1.0
729829,22.64,-1.0,1.0,-1.0,1.0
729830,21.7,1.0,1.0,1.0,1.0
729831,22.07,1.0,1.0,-1.0,1.0
729832,22.21,-1.0,-1.0,-1.0,-1.0
729833,21.97,1.0,-1.0,1.0,-1.0
729834,22.72,-1.0,1.0,-1.0,1.0
729835,22.5,1.0,1.0,1.0,1.0
729836,22.81,1.0,1.0,1.0,1.0
729837,23.21,-1.0,1.0,-1.0,1.0
729838,22.62,1.0,1.0,1.0,1.0
729839,22.63,1.0,1.0,1.0,1.0
729840,23.19,-1.0,1.0,-1.0,1.0
729841,22.2,-1.0,1.0,-1.0,1.0
729842,22.15,1.0,1.0,-1.0,1.0
729843,23.2,1.0,1.0,1.0,1.0
729844,23.22,-1.0,1.0,-1.0,1.0
729845,22.84,1.0,1.0,1.0,1.0
729846,23.26,1.0,1.0,1.0,1.0
729847,23.81,-1.0,1.0,-1.0,1.0
729848,23.61,-1.0,1.0,-1.0,1.0
729849,22.17,1.0,1.0,1.0,1.0
729850,22.82,1.0,1.0,1.0,1.0
729851,23.18,1.0,1.0,1.0,1.0
729852,24.59,1.0,-1.0,-1.0,-1.0
729853,25.36,-1.0,-1.0,-1.0,-1.0
