,Close,Target(1),Target(30),Prediction(1),Prediction(30)
731658,33.0,-1.0,1.0,-1.0,1.0
731659,32.44,1.0,1.0,1.0,1.0
731660,33.24,1.0,1.0,1.0,-1.0
731661,33.43,-1.0,-1.0,-1.0,-1.0
731662,33.0,1.0,-1.0,1.0,-1.0
731663,33.13,1.0,-1.0,1.0,-1.0
731664,34.05,-1.0,-1.0,-1.0,-1.0
731665,33.32,-1.0,1.0,-1.0,1.0
731666,32.46,1.0,1.0,1.0,1.0
731667,32.54,-1.0,1.0,-1.0,1.0
731668,32.41,1.0,1.0,-1.0,1.0
731669,33.0,-1.0,-1.0,1.0,-1.0
731670,32.71,1.0,1.0,1.0,1.0
731671,33.12,-1.0,-1.0,1.0,-1.0
731672,32.18,-1.0,1.0,-1.0,1.0
731673,31.63,1.0,1.0,1.0,1.0
731674,32.55,1.0,1.0,1.0,1.0
731675,32.69,-1.0,1.0,-1.0,1.0
731676,31.94,1.0,1.0,1.0,1.0
731677,33.08,-1.0,1.0,-1.0,1.0
731678,32.81,1.0,1.0,1.0,1.0
731679,33.62,-1.0,-1.0,1.0,-1.0
731680,33.45,1.0,-1.0,1.0,-1.0
731681,33.86,1.0,-1.0,1.0,-1.0
731682,34.04,-1.0,-1.0,-1.0,-1.0
731683,33.95,1.0,-1.0,1.0,-1.0
731684,34.1,-1.0,-1.0,-1.0,-1.0
731685,32.95,1.0,-1.0,1.0,-1.0
731686,33.74,-1.0,-1.0,-1.0,-1.0
731687,33.1,-1.0,-1.0,-1.0,1.0
731688,33.08,1.0,-1.0,1.0,-1.0
731689,33.24,1.0,-1.0,1.0,-1.0
731690,33.5,-1.0,-1.0,-1.0,-1.0
731691,32.91,-1.0,-1.0,-1.0,-1.0
731692,32.53,1.0,-1.0,1.0,-1.0
731693,33.05,-1.0,-1.0,-1.0,1.0
731694,32.75,1.0,-1.0,1.0,-1.0
731695,33.59,1.0,-1.0,1.0,-1.0
731696,34.39,-1.0,-1.0,-1.0,-1.0
731697,33.3,-1.0,-1.0,-1.0,-1.0
731698,33.16,-1.0,-1.0,-1.0,-1.0
731699,32.72,1.0,-1.0,1.0,-1.0
731700,33.12,-1.0,-1.0,-1.0,-1.0
731701,32.63,1.0,-1.0,1.0,1.0
731702,32.84,1.0,-1.0,1.0,-1.0
731703,33.06,-1.0,-1.0,-1.0,-1.0
731704,32.67,1.0,-1.0,1.0,-1.0
731705,32.99,1.0,-1.0,1.0,-1.0
731706,33.14,1.0,-1.0,1.0,1.0
731707,33.41,-1.0,-1.0,-1.0,-1.0
731708,32.93,-1.0,-1.0,-1.0,-1.0
731709,32.62,-1.0,-1.0,-1.0,1.0
731710,32.26,0.0,-1.0,0.0,1.0
731711,32.26,-1.0,-1.0,-1.0,-1.0
731712,32.16,-1.0,-1.0,-1.0,-1.0
731713,31.05,-1.0,-1.0,-1.0,-1.0
731714,30.63,1.0,-1.0,1.0,-1.0
731715,30.73,1.0,-1.0,1.0,-1.0
731716,31.23,-1.0,-1.0,-1.0,-1.0
731717,30.98,-1.0,-1.0,-1.0,-1.0
731718,30.26,1.0,1.0,1.0,1.0
731719,30.46,1.0,-1.0,1.0,-1.0
731720,30.95,-1.0,-1.0,-1.0,-1.0
731721,29.85,-1.0,1.0,-1.0,1.0
731722,29.8,1.0,1.0,1.0,1.0
731723,30.44,1.0,1.0,1.0,1.0
731724,31.3,-1.0,-1.0,-1.0,-1.0
731725,30.31,-1.0,1.0,-1.0,1.0
731726,30.26,-1.0,1.0,-1.0,1.0
731727,29.49,1.0,1.0,1.0,1.0
731728,30.0,-1.0,1.0,-1.0,1.0
731729,29.24,-1.0,1.0,-1.0,1.0
731730,29.02,1.0,1.0,1.0,1.0
731731,29.88,-1.0,1.0,-1.0,1.0
731732,29.85,1.0,1.0,1.0,1.0
731733,30.32,-1.0,-1.0,-1.0,1.0
731734,30.18,1.0,-1.0,1.0,-1.0
731735,30.39,1.0,-1.0,1.0,-1.0
731736,30.44,-1.0,-1.0,-1.0,-1.0
731737,30.18,-1.0,-1.0,-1.0,-1.0
731738,29.99,-1.0,-1.0,-1.0,-1.0
731739,28.96,-1.0,-1.0,-1.0,-1.0
731740,28.7,1.0,1.0,1.0,1.0
731741,28.83,1.0,1.0,1.0,1.0
731742,28.87,-1.0,1.0,-1.0,1.0
731743,28.79,1.0,1.0,1.0,1.0
731744,29.32,-1.0,1.0,-1.0,1.0
731745,29.07,-1.0,1.0,-1.0,1.0
731746,28.98,1.0,1.0,1.0,1.0
731747,29.91,1.0,1.0,1.0,1.0
731748,30.46,-1.0,-1.0,-1.0,-1.0
731749,30.34,1.0,1.0,1.0,1.0
731750,30.46,1.0,1.0,1.0,1.0
731751,30.89,-1.0,-1.0,-1.0,1.0
731752,30.53,1.0,1.0,1.0,1.0
731753,30.7,-1.0,1.0,-1.0,1.0
731754,30.67,-1.0,1.0,-1.0,1.0
731755,30.59,1.0,1.0,-1.0,1.0
731756,31.19,1.0,-1.0,-1.0,-1.0
731757,31.39,1.0,-1.0,1.0,-1.0
731758,31.5,-1.0,-1.0,-1.0,1.0
731759,31.33,-1.0,1.0,-1.0,-1.0
731760,31.15,-1.0,1.0,-1.0,1.0
731761,30.64,-1.0,1.0,-1.0,1.0
731762,30.21,-1.0,1.0,-1.0,1.0
731763,29.76,1.0,1.0,1.0,1.0
731764,29.88,-1.0,1.0,-1.0,1.0
731765,29.19,-1.0,1.0,-1.0,1.0
731766,28.63,-1.0,1.0,-1.0,1.0
731767,28.4,-1.0,1.0,1.0,1.0
731768,27.85,1.0,1.0,1.0,1.0
731769,28.3,1.0,1.0,1.0,1.0
731770,28.89,1.0,1.0,1.0,1.0
731771,29.2,1.0,1.0,1.0,1.0
731772,29.68,1.0,1.0,-1.0,1.0
731773,29.97,1.0,1.0,-1.0,1.0
731774,30.04,1.0,1.0,-1.0,1.0
731775,30.14,1.0,1.0,-1.0,1.0
731776,30.32,1.0,1.0,1.0,1.0
731777,30.88,-1.0,1.0,-1.0,1.0
731778,30.34,1.0,1.0,1.0,1.0
731779,30.82,1.0,1.0,1.0,1.0
731780,30.83,-1.0,1.0,-1.0,1.0
731781,30.7,1.0,1.0,1.0,1.0
731782,31.0,-1.0,1.0,-1.0,1.0
731783,30.92,1.0,1.0,1.0,1.0
731784,31.47,-1.0,1.0,1.0,1.0
731785,30.78,-1.0,1.0,-1.0,1.0
731786,30.33,1.0,1.0,1.0,1.0
731787,30.44,1.0,1.0,1.0,1.0
731788,30.45,1.0,1.0,1.0,1.0
731789,31.44,1.0,1.0,-1.0,1.0
731790,32.42,1.0,1.0,1.0,1.0
731791,32.91,1.0,1.0,1.0,1.0
731792,33.42,1.0,1.0,1.0,1.0
731793,33.45,1.0,1.0,1.0,1.0
731794,33.49,-1.0,1.0,-1.0,1.0
731795,33.33,-1.0,1.0,-1.0,1.0
731796,31.99,1.0,1.0,1.0,1.0
731797,32.13,-1.0,1.0,-1.0,1.0
731798,32.03,-1.0,1.0,-1.0,1.0
731799,31.9,1.0,1.0,1.0,1.0
731800,32.35,1.0,1.0,-1.0,1.0
731801,32.54,-1.0,1.0,-1.0,1.0
731802,31.79,-1.0,1.0,-1.0,1.0
731803,31.61,-1.0,1.0,-1.0,1.0
731804,31.5,-1.0,1.0,-1.0,1.0
731805,31.04,1.0,1.0,1.0,1.0
731806,31.96,-1.0,1.0,1.0,1.0
731807,31.85,1.0,1.0,-1.0,1.0
731808,32.37,-1.0,1.0,-1.0,1.0
731809,31.91,-1.0,1.0,-1.0,1.0
731810,31.72,1.0,1.0,1.0,1.0
731811,32.59,1.0,1.0,1.0,1.0
731812,32.86,1.0,1.0,1.0,1.0
731813,33.91,-1.0,1.0,-1.0,1.0
731814,33.78,1.0,1.0,1.0,1.0
731815,33.85,1.0,1.0,-1.0,1.0
731816,34.02,1.0,1.0,1.0,1.0
731817,34.49,1.0,1.0,1.0,1.0
731818,34.72,-1.0,1.0,-1.0,1.0
731819,34.61,-1.0,1.0,-1.0,1.0
731820,34.27,-1.0,1.0,-1.0,1.0
731821,34.24,-1.0,1.0,-1.0,1.0
731822,34.13,1.0,1.0,-1.0,1.0
731823,34.93,1.0,1.0,1.0,1.0
731824,35.26,1.0,1.0,1.0,1.0
731825,35.68,-1.0,1.0,1.0,1.0
731826,35.44,1.0,1.0,1.0,1.0
731827,35.73,-1.0,1.0,-1.0,1.0
731828,35.35,-1.0,1.0,-1.0,1.0
731829,35.04,1.0,1.0,-1.0,1.0
731830,35.2,-1.0,1.0,-1.0,1.0
731831,35.11,1.0,1.0,1.0,1.0
731832,35.43,-1.0,1.0,-1.0,1.0
731833,34.54,1.0,1.0,1.0,1.0
731834,35.07,-1.0,-1.0,-1.0,-1.0
731835,33.95,1.0,1.0,1.0,-1.0
731836,34.34,1.0,1.0,1.0,1.0
731837,34.35,1.0,1.0,1.0,1.0
731838,34.65,1.0,1.0,1.0,1.0
731839,35.02,1.0,1.0,1.0,1.0
731840,35.32,1.0,1.0,1.0,1.0
731841,35.78,1.0,1.0,1.0,1.0
731842,35.98,1.0,1.0,1.0,1.0
731843,36.25,-1.0,1.0,-1.0,1.0
731844,35.3,1.0,1.0,1.0,1.0
731845,36.73,-1.0,1.0,-1.0,1.0
731846,36.49,1.0,1.0,1.0,1.0
731847,37.26,1.0,1.0,1.0,1.0
731848,37.56,1.0,-1.0,1.0,1.0
731849,37.57,-1.0,-1.0,-1.0,-1.0
731850,35.93,1.0,1.0,1.0,1.0
731851,36.25,-1.0,1.0,-1.0,1.0
731852,36.05,1.0,1.0,1.0,1.0
731853,36.11,1.0,1.0,1.0,1.0
731854,37.0,-1.0,-1.0,-1.0,-1.0
731855,36.66,1.0,-1.0,1.0,-1.0
731856,36.8,1.0,-1.0,1.0,1.0
731857,36.86,1.0,-1.0,1.0,-1.0
731858,37.12,-1.0,-1.0,1.0,-1.0
731859,36.98,1.0,-1.0,1.0,-1.0
731860,37.16,1.0,-1.0,1.0,1.0
731861,37.47,-1.0,-1.0,1.0,-1.0
731862,36.67,-1.0,-1.0,-1.0,-1.0
731863,35.47,-1.0,1.0,-1.0,1.0
731864,35.01,1.0,1.0,1.0,1.0
731865,35.33,1.0,1.0,1.0,1.0
731866,35.63,1.0,1.0,1.0,1.0
731867,36.0,1.0,1.0,1.0,1.0
731868,36.46,-1.0,1.0,-1.0,1.0
731869,36.05,1.0,1.0,1.0,1.0
731870,36.18,-1.0,1.0,-1.0,1.0
731871,35.88,1.0,1.0,1.0,1.0
731872,36.59,-1.0,1.0,-1.0,1.0
731873,36.52,1.0,1.0,1.0,1.0
731874,37.67,1.0,1.0,1.0,1.0
731875,38.05,-1.0,1.0,-1.0,1.0
731876,37.82,-1.0,1.0,-1.0,1.0
731877,37.29,-1.0,1.0,-1.0,1.0
731878,36.77,1.0,1.0,1.0,1.0
731879,36.84,-1.0,1.0,-1.0,1.0
731880,36.65,1.0,1.0,1.0,1.0
731881,36.67,1.0,1.0,1.0,1.0
731882,36.9,-1.0,1.0,-1.0,1.0
731883,36.5,-1.0,1.0,-1.0,1.0
731884,35.45,1.0,1.0,1.0,1.0
731885,35.61,-1.0,1.0,-1.0,1.0
731886,35.05,1.0,1.0,-1.0,1.0
731887,35.18,1.0,1.0,1.0,1.0
731888,35.33,1.0,1.0,1.0,1.0
731889,35.84,-1.0,1.0,1.0,1.0
731890,35.77,-1.0,1.0,-1.0,1.0
731891,35.54,1.0,1.0,1.0,1.0
731892,35.72,1.0,1.0,1.0,1.0
731893,35.91,1.0,1.0,1.0,1.0
731894,35.94,1.0,1.0,1.0,1.0
731895,36.11,1.0,1.0,1.0,1.0
731896,37.13,1.0,1.0,1.0,1.0
731897,37.47,1.0,1.0,1.0,1.0
731898,37.59,1.0,1.0,1.0,1.0
731899,38.37,1.0,1.0,1.0,1.0
731900,38.45,0.0,1.0,0.0,1.0
731901,38.45,1.0,1.0,1.0,1.0
731902,39.08,-1.0,1.0,-1.0,1.0
731903,38.86,1.0,1.0,1.0,1.0
731904,39.6,1.0,1.0,1.0,1.0
731905,40.77,1.0,1.0,1.0,1.0
731906,40.88,-1.0,1.0,-1.0,1.0
731907,40.56,-1.0,1.0,-1.0,1.0
731908,40.31,1.0,1.0,1.0,1.0
731909,40.41,-1.0,1.0,-1.0,1.0
731910,39.81,1.0,1.0,1.0,1.0
731911,40.62,-1.0,1.0,-1.0,1.0
731912,40.25,1.0,1.0,1.0,1.0
731913,42.29,-1.0,1.0,-1.0,1.0
731914,40.93,1.0,1.0,1.0,1.0
731915,41.05,1.0,1.0,1.0,1.0
731916,42.07,-1.0,-1.0,-1.0,-1.0
731917,41.95,1.0,1.0,1.0,1.0
731918,43.04,-1.0,-1.0,-1.0,-1.0
731919,42.49,-1.0,1.0,-1.0,1.0
731920,41.81,1.0,1.0,1.0,1.0
731921,41.97,1.0,1.0,1.0,1.0
731922,42.07,1.0,1.0,1.0,1.0
731923,42.43,-1.0,1.0,-1.0,1.0
731924,42.38,1.0,1.0,1.0,1.0
731925,42.46,-1.0,1.0,-1.0,1.0
731926,42.03,1.0,1.0,1.0,1.0
731927,42.5,1.0,1.0,1.0,1.0
731928,42.59,1.0,1.0,1.0,1.0
731929,42.84,1.0,1.0,1.0,1.0
731930,42.96,-1.0,1.0,-1.0,1.0
731931,42.91,-1.0,1.0,-1.0,1.0
731932,42.75,-1.0,1.0,-1.0,1.0
731933,42.52,1.0,1.0,1.0,1.0
731934,42.58,-1.0,1.0,-1.0,1.0
731935,42.45,1.0,1.0,1.0,1.0
731936,43.56,1.0,1.0,-1.0,1.0
