,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
737259,58.75,-3.0450063862889394,-1.0,1.0,-1.0,1.0
737260,58.64,-3.1834377714877964,1.0,1.0,-1.0,1.0
737261,59.34,-2.5118691566866502,-1.0,1.0,-1.0,1.0
737262,58.96,-2.9203005418855095,-1.0,1.0,-1.0,1.0
737263,57.77,-4.138731927084366,1.0,1.0,1.0,1.0
737264,58.39,-3.5471633122832245,1.0,1.0,1.0,1.0
737265,58.62,-3.3455946974820847,1.0,1.0,1.0,1.0
737266,58.87,-3.124026082680942,-1.0,1.0,-1.0,1.0
737267,57.29,-4.732457467879796,-1.0,1.0,-1.0,1.0
737268,57.2,-4.850888853078652,-1.0,1.0,-1.0,1.0
737269,56.62,-5.459320238277513,1.0,1.0,1.0,1.0
737270,57.41,-4.697751623476371,-1.0,1.0,-1.0,1.0
737271,57.07,-5.066183008675225,-1.0,1.0,-1.0,1.0
737272,56.72,-5.444614393874082,-1.0,1.0,-1.0,1.0
737273,56.15,-6.0430457790729415,1.0,1.0,-1.0,1.0
737274,57.33,-4.891477164271798,1.0,1.0,1.0,1.0
737275,57.51,-4.739908549470655,-1.0,1.0,1.0,1.0
737276,57.17,-5.108339934669509,1.0,1.0,1.0,1.0
737277,57.81,-4.496771319868365,1.0,1.0,1.0,1.0
737278,57.95,-4.385202705067221,1.0,1.0,1.0,1.0
737279,58.4,-3.9636340902660834,1.0,1.0,1.0,1.0
737280,58.76,-3.6320654754649335,-1.0,1.0,-1.0,1.0
737281,58.42,-4.000496860663787,1.0,1.0,1.0,1.0
737282,58.74,-3.708928245862644,1.0,1.0,1.0,1.0
737283,58.85,-3.627359631061502,1.0,1.0,1.0,1.0
737284,59.16,-3.345791016260364,1.0,1.0,1.0,1.0
737285,59.18,-3.3542224014592184,1.0,1.0,1.0,1.0
737286,59.2,-3.362653786658072,1.0,1.0,1.0,1.0
737287,59.49,-3.1010851718569303,1.0,1.0,1.0,1.0
737288,59.8,-2.8195165570557923,1.0,1.0,1.0,1.0
737289,60.29,-2.357947942254647,1.0,1.0,1.0,1.0
737290,60.73,-1.9463793274535064,1.0,1.0,1.0,1.0
737291,62.47,-0.23481071265236156,-1.0,1.0,-1.0,1.0
737292,62.32,-0.4132420978512173,1.0,1.0,1.0,1.0
737293,62.7,-0.061673483050071816,-1.0,1.0,-1.0,1.0
737294,62.48,-0.3101048682489349,1.0,1.0,1.0,1.0
737295,62.88,0.06146374655221365,1.0,1.0,1.0,1.0
737296,64.42,1.5730323613533557,-1.0,1.0,-1.0,1.0
737297,64.33,1.4546009761544951,-1.0,1.0,-1.0,1.0
737298,63.96,1.0561695909556406,1.0,1.0,1.0,1.0
737299,64.62,1.6877382057567871,-1.0,1.0,-1.0,1.0
737300,63.77,0.8093068205579286,-1.0,1.0,-1.0,1.0
737301,63.65,0.6608754353590669,1.0,1.0,1.0,1.0
737302,63.67,0.6524440501602129,1.0,1.0,1.0,1.0
737303,64.13,1.0840126649613495,1.0,1.0,-1.0,1.0
737304,64.53,1.455581279762498,-1.0,1.0,-1.0,1.0
737305,64.41,1.3071498945636364,-1.0,1.0,-1.0,1.0
737306,64.15,1.0187185093647884,1.0,1.0,-1.0,1.0
737307,64.18,1.0202871241659324,1.0,1.0,1.0,1.0
737308,64.22,1.0318557389670673,-1.0,1.0,-1.0,1.0
737309,63.67,0.45342435376821294,1.0,1.0,1.0,1.0
737310,64.27,1.0249929685693502,1.0,-1.0,1.0,-1.0
737311,64.44,1.1665615833704948,1.0,-1.0,1.0,-1.0
737312,64.76,1.458130198171645,1.0,-1.0,1.0,-1.0
737313,64.88,1.5496988129727782,1.0,-1.0,-1.0,-1.0
737314,65.45,2.0912674277739285,1.0,-1.0,1.0,-1.0
737315,68.89,5.502836042575068,-1.0,-1.0,-1.0,-1.0
737316,68.21,4.794404657376205,1.0,-1.0,1.0,-1.0
737317,68.29,4.8459732721773605,-1.0,-1.0,-1.0,-1.0
737318,68.06,4.587541886978499,1.0,-1.0,1.0,-1.0
737319,68.12,4.6191105017796446,1.0,-1.0,1.0,-1.0
737320,68.26,4.730679116580788,1.0,-1.0,1.0,-1.0
737321,68.86,5.302247731381925,-1.0,-1.0,-1.0,-1.0
737322,68.52,4.9338163461830655,-1.0,-1.0,-1.0,-1.0
737323,66.22,2.6053849609842104,1.0,-1.0,1.0,-1.0
737324,68.31,4.666953575785356,1.0,-1.0,1.0,-1.0
737325,69.7,6.0285221905865,-1.0,-1.0,-1.0,-1.0
737326,69.14,5.440090805387642,1.0,-1.0,1.0,-1.0
737327,70.7,6.971659420188786,-1.0,-1.0,-1.0,-1.0
737328,68.94,5.183228034989924,-1.0,-1.0,-1.0,-1.0
737329,67.18,3.3947966497910755,-1.0,-1.0,-1.0,-1.0
737330,65.0,1.1863652645922116,-1.0,-1.0,-1.0,-1.0
737331,63.93,0.08793387939335418,1.0,-1.0,1.0,-1.0
737332,67.48,3.609502494194501,-1.0,-1.0,-1.0,-1.0
737333,66.99,3.091071108995635,1.0,-1.0,1.0,-1.0
737334,68.23,4.302639723796787,-1.0,-1.0,-1.0,-1.0
737335,66.79,2.8342083385979318,-1.0,-1.0,-1.0,-1.0
737336,65.75,1.7657769533990688,-1.0,-1.0,-1.0,-1.0
737337,65.55,1.5373455682002088,-1.0,-1.0,-1.0,-1.0
737338,65.29,1.2489141830013608,-1.0,-1.0,-1.0,1.0
