,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
742860,68.59,-3.0818514021329837,-1.0,1.0,-1.0,1.0
742861,68.47,-3.2261520021728667,-1.0,1.0,-1.0,1.0
742862,67.61,-4.110452602212746,-1.0,1.0,-1.0,1.0
742863,67.37,-4.374753202252606,1.0,1.0,1.0,1.0
742864,67.48,-4.289053802292487,1.0,1.0,1.0,1.0
742865,67.55,-4.243354402332372,1.0,1.0,1.0,1.0
742866,68.03,-3.7876550023722473,1.0,1.0,1.0,1.0
742867,68.24,-3.6019556024121187,-1.0,1.0,-1.0,1.0
742868,66.38,-5.4862562024519965,1.0,1.0,1.0,1.0
742869,66.5,-5.390556802491872,-1.0,1.0,-1.0,1.0
742870,65.4,-6.514857402531747,1.0,1.0,1.0,1.0
742871,66.52,-5.419158002571621,1.0,1.0,1.0,1.0
742872,66.64,-5.323458602611495,1.0,1.0,-1.0,1.0
742873,66.71,-5.2777592026513815,-1.0,1.0,-1.0,1.0
742874,65.69,-6.322059802691258,1.0,1.0,1.0,1.0
742875,66.33,-5.7063604027311206,1.0,1.0,-1.0,1.0
742876,67.35,-4.710661002771005,1.0,1.0,1.0,1.0
742877,68.11,-3.974961602810879,1.0,1.0,1.0,1.0
742878,68.52,-3.5892622028507617,-1.0,1.0,-1.0,1.0
742879,68.4,-3.7335628028906167,-1.0,1.0,-1.0,1.0
742880,67.79,-4.367863402930496,1.0,1.0,1.0,1.0
742881,68.62,-3.5621640029703774,1.0,1.0,1.0,1.0
742882,68.67,-3.5364646030102587,-1.0,1.0,-1.0,1.0
742883,68.65,-3.58076520305012,1.0,1.0,1.0,1.0
742884,69.64,-2.6150658030900047,1.0,1.0,-1.0,1.0
742885,69.75,-2.5293664031298846,-1.0,1.0,1.0,1.0
742886,69.6,-2.7036670031697696,1.0,1.0,1.0,1.0
742887,70.37,-1.9579676032096245,1.0,1.0,1.0,1.0
742888,71.25,-1.1022682032495084,-1.0,1.0,1.0,1.0
742889,70.76,-1.6165688032893826,1.0,1.0,1.0,1.0
742890,71.78,-0.6208694033292659,1.0,1.0,1.0,1.0
742891,71.79,-0.6351700033691259,1.0,1.0,1.0,1.0
742892,72.04,-0.4094706034090052,-1.0,1.0,1.0,1.0
742893,71.53,-0.9437712034488897,1.0,1.0,1.0,1.0
742894,71.84,-0.6580718034887667,1.0,1.0,1.0,1.0
742895,72.4,-0.12237240352862955,-1.0,1.0,-1.0,1.0
742896,72.19,-0.35667300356851683,1.0,1.0,1.0,1.0
742897,72.5,-0.07097360360839389,1.0,1.0,1.0,1.0
742898,73.24,0.6447257963517217,-1.0,1.0,-1.0,1.0
742899,72.61,-0.0095748036881389,1.0,1.0,1.0,1.0
742900,73.09,0.44612459627198575,-1.0,1.0,1.0,1.0
742901,73.04,0.3718239962321093,1.0,-1.0,1.0,-1.0
742902,73.27,0.5775233961922339,1.0,-1.0,1.0,-1.0
742903,73.62,0.9032227961523632,1.0,-1.0,1.0,-1.0
742904,74.0,1.2589221961124792,1.0,-1.0,1.0,-1.0
742905,74.13,1.3646215960725954,-1.0,-1.0,-1.0,-1.0
742906,73.61,0.8203209960327342,1.0,-1.0,1.0,-1.0
742907,74.13,1.3160203959928507,1.0,-1.0,1.0,-1.0
742908,74.85,2.0117197959529705,-1.0,-1.0,-1.0,-1.0
742909,74.67,1.8074191959130983,-1.0,-1.0,-1.0,-1.0
742910,73.99,1.1031185958732266,-1.0,-1.0,-1.0,-1.0
742911,73.7,0.7888179958333552,1.0,-1.0,1.0,-1.0
742912,73.99,1.0545173957934681,-1.0,-1.0,-1.0,-1.0
742913,73.76,0.8002167957535988,-1.0,-1.0,-1.0,-1.0
742914,73.46,0.4759161957137224,1.0,-1.0,1.0,-1.0
742915,74.0,0.9916155956738492,1.0,-1.0,1.0,-1.0
742916,74.61,1.5773149956339694,-1.0,-1.0,-1.0,-1.0
742917,73.69,0.6330143955940883,1.0,-1.0,1.0,-1.0
742918,73.76,0.6787137955542306,1.0,-1.0,1.0,-1.0
742919,74.2,1.0944131955143492,1.0,-1.0,-1.0,-1.0
742920,76.93,3.8001125954744737,-1.0,-1.0,-1.0,-1.0
742921,76.43,3.2758119954345943,1.0,-1.0,1.0,-1.0
742922,76.47,3.2915113953947213,-1.0,-1.0,-1.0,-1.0
742923,76.4,3.1972107953548488,-1.0,-1.0,-1.0,-1.0
742924,74.32,1.0929101953149571,1.0,-1.0,1.0,-1.0
742925,74.66,1.408609595275081,1.0,-1.0,-1.0,-1.0
742926,76.02,2.7443089952352158,-1.0,-1.0,-1.0,-1.0
742927,74.95,1.6500083951953428,1.0,-1.0,1.0,-1.0
742928,76.28,2.9557077951554622,-1.0,-1.0,-1.0,-1.0
742929,74.16,0.8114071951155779,-1.0,-1.0,1.0,-1.0
742930,73.59,0.2171065950757196,-1.0,-1.0,-1.0,-1.0
742931,71.24,-2.157194004964168,-1.0,-1.0,-1.0,-1.0
742932,69.46,-3.9614946050040487,1.0,-1.0,1.0,-1.0
742933,73.04,-0.4057952050439155,1.0,-1.0,1.0,-1.0
742934,73.13,-0.34009580508379145,1.0,-1.0,-1.0,-1.0
742935,73.15,-0.3443964051236605,-1.0,-1.0,-1.0,-1.0
742936,72.86,-0.6586970051635461,-1.0,-1.0,-1.0,1.0
742937,71.58,-1.9629976052034264,-1.0,-1.0,-1.0,1.0
742938,71.03,-2.5372982052432893,-1.0,-1.0,-1.0,-1.0
742939,70.68,-2.9115988052831625,-1.0,-1.0,-1.0,-1.0
742940,69.35,-4.2658994053230535,-1.0,-1.0,-1.0,-1.0
742941,66.43,-7.210200005362921,1.0,-1.0,-1.0,-1.0
742942,66.44,-7.224500605402795,-1.0,-1.0,-1.0,1.0
742943,66.13,-7.558801205442678,1.0,1.0,1.0,1.0
742944,66.16,-7.553101805482554,-1.0,1.0,-1.0,1.0
742945,66.15,-7.587402405522425,1.0,1.0,1.0,1.0
742946,68.11,-5.6517030055622985,-1.0,-1.0,-1.0,1.0
742947,67.38,-6.40600360560218,-1.0,1.0,-1.0,1.0
742948,66.05,-7.760304205642058,1.0,1.0,1.0,1.0
742949,67.46,-6.374604805681926,1.0,1.0,-1.0,1.0
742950,67.85,-6.008905405721805,-1.0,-1.0,-1.0,-1.0
742951,65.14,-8.743206005761678,-1.0,1.0,-1.0,1.0
742952,63.22,-10.68750660580156,1.0,1.0,1.0,1.0
742953,64.21,-9.721807205841444,-1.0,1.0,-1.0,1.0
742954,63.42,-10.5361078058813,1.0,1.0,1.0,1.0
742955,65.49,-8.490408405921187,1.0,1.0,1.0,1.0
742956,66.23,-7.774709005961058,1.0,1.0,1.0,1.0
742957,66.9,-7.1290096060009205,1.0,1.0,1.0,1.0
742958,68.6,-5.453310206040811,-1.0,1.0,1.0,1.0
742959,68.59,-5.487610806080681,-1.0,1.0,-1.0,1.0
742960,68.56,-5.541911406120561,1.0,1.0,-1.0,1.0
742961,69.18,-4.9462120061604224,1.0,1.0,-1.0,1.0
742962,69.37,-4.780512606200303,-1.0,1.0,-1.0,1.0
742963,67.99,-6.184813206240193,0.0,1.0,-1.0,1.0
742964,67.99,-6.2091138062800715,-1.0,1.0,-1.0,1.0
742965,67.35,-6.873414406319938,1.0,1.0,1.0,-1.0
742966,67.86,-6.387715006359812,-1.0,1.0,-1.0,1.0
742967,67.11,-7.1620156063996925,-1.0,1.0,-1.0,1.0
742968,64.97,-9.326316206439573,-1.0,1.0,1.0,1.0
742969,64.91,-9.410616806479439,-1.0,1.0,-1.0,1.0
742970,64.39,-9.954917406519314,-1.0,1.0,-1.0,1.0
742971,64.29,-10.079218006559188,1.0,1.0,1.0,1.0
742972,64.59,-9.80351860659907,1.0,1.0,-1.0,1.0
742973,66.55,-7.867819206638941,1.0,1.0,1.0,1.0
742974,67.23,-7.212119806678814,1.0,1.0,1.0,1.0
742975,67.51,-6.956420406718693,-1.0,1.0,-1.0,1.0
742976,66.68,-7.810721006758571,1.0,1.0,1.0,1.0
742977,67.76,-6.7550216067984366,1.0,-1.0,1.0,-1.0
742978,68.01,-6.529322206838317,1.0,-1.0,1.0,-1.0
742979,68.15,-6.413622806878195,-1.0,-1.0,-1.0,1.0
742980,66.03,-8.557923406918079,1.0,1.0,-1.0,1.0
742981,66.39,-8.222224006957944,1.0,-1.0,1.0,-1.0
742982,67.54,-7.096524606997818,-1.0,-1.0,-1.0,-1.0
742983,67.03,-7.630825207037701,1.0,1.0,1.0,1.0
742984,69.53,-5.155125807077582,1.0,-1.0,1.0,1.0
742985,70.9,-3.8094264071174417,1.0,-1.0,1.0,-1.0
742986,71.59,-3.143727007157324,-1.0,-1.0,-1.0,-1.0
742987,71.09,-3.668027607197203,1.0,-1.0,1.0,-1.0
742988,71.11,-3.6723282072370864,1.0,-1.0,1.0,1.0
742989,71.15,-3.656628807276945,-1.0,-1.0,1.0,1.0
742990,71.1,-3.730929407316837,1.0,-1.0,1.0,-1.0
742991,72.61,-2.2452300073567097,-1.0,-1.0,1.0,1.0
742992,72.03,-2.849530607396588,1.0,-1.0,1.0,1.0
742993,72.67,-2.2338312074364524,1.0,-1.0,1.0,-1.0
742994,73.2,-1.7281318074763306,-1.0,-1.0,1.0,-1.0
742995,72.73,-2.2224324075162087,1.0,-1.0,1.0,-1.0
742996,73.35,-1.6267330075560975,1.0,-1.0,1.0,-1.0
742997,73.39,-1.6110336075959566,-1.0,-1.0,1.0,1.0
742998,71.27,-3.755334207635841,-1.0,-1.0,-1.0,-1.0
742999,70.58,-4.4696348076757175,1.0,1.0,-1.0,1.0
743000,70.7,-4.373935407715591,-1.0,1.0,-1.0,1.0
743001,70.35,-4.748236007755466,1.0,1.0,-1.0,1.0
743002,70.51,-4.612536607795335,-1.0,1.0,-1.0,1.0
743003,69.93,-5.216837207835212,-1.0,1.0,-1.0,1.0
743004,68.51,-6.661137807875079,-1.0,1.0,-1.0,1.0
743005,68.12,-7.075438407914959,-1.0,1.0,-1.0,1.0
743006,67.22,-7.999739007954844,-1.0,1.0,-1.0,1.0
743007,65.66,-9.584039607994724,-1.0,1.0,-1.0,1.0
743008,65.26,-10.008340208034594,-1.0,1.0,-1.0,1.0
743009,65.05,-10.242640808074471,1.0,1.0,-1.0,1.0
743010,66.57,-8.746941408114353,-1.0,1.0,-1.0,1.0
743011,65.39,-9.951242008154225,-1.0,1.0,-1.0,1.0
743012,65.21,-10.155542608194096,1.0,1.0,1.0,1.0
743013,67.37,-8.019843208233965,1.0,1.0,1.0,1.0
743014,67.44,-7.974143808273852,1.0,1.0,1.0,1.0
743015,68.26,-7.178444408313722,-1.0,1.0,-1.0,1.0
743016,67.98,-7.4827450083536045,1.0,1.0,1.0,1.0
743017,68.47,-7.017045608393474,1.0,1.0,1.0,1.0
743018,68.62,-6.891346208433348,1.0,1.0,1.0,1.0
743019,68.89,-6.645646808473232,-1.0,1.0,-1.0,1.0
743020,68.79,-6.769947408513089,-1.0,1.0,-1.0,1.0
743021,68.72,-6.864248008552978,-1.0,1.0,-1.0,1.0
743022,68.27,-7.338548608592858,1.0,1.0,1.0,1.0
743023,68.53,-7.102849208632732,1.0,1.0,1.0,1.0
743024,69.53,-6.1271498086725975,1.0,1.0,1.0,1.0
743025,70.37,-5.311450408712473,1.0,1.0,-1.0,1.0
743026,70.6,-5.105751008752363,-1.0,1.0,-1.0,1.0
743027,70.58,-5.150051608792238,-1.0,1.0,-1.0,1.0
743028,69.8,-5.9543522088321055,1.0,1.0,1.0,1.0
743029,71.5,-4.278652808871982,-1.0,1.0,-1.0,1.0
743030,70.91,-4.892953408911866,1.0,1.0,1.0,1.0
743031,71.6,-4.227254008951746,-1.0,1.0,-1.0,1.0
743032,71.49,-4.361554608991612,-1.0,1.0,1.0,1.0
743033,71.23,-4.645855209031482,-1.0,1.0,-1.0,1.0
743034,71.13,-4.770155809071369,-1.0,1.0,-1.0,1.0
743035,70.53,-5.3944564091112435,1.0,1.0,-1.0,1.0
743036,72.51,-3.438757009151104,1.0,1.0,1.0,1.0
743037,72.87,-3.103057609190984,-1.0,1.0,-1.0,1.0
743038,72.78,-3.2173582092308664,1.0,1.0,1.0,1.0
743039,72.91,-3.1116588092707502,1.0,1.0,1.0,1.0
743040,72.93,-3.115959409310605,1.0,1.0,1.0,1.0
743041,72.98,-3.0902600093504877,1.0,1.0,1.0,1.0
743042,74.18,-1.914560609390364,-1.0,1.0,-1.0,1.0
743043,74.15,-1.968861209430244,-1.0,1.0,-1.0,1.0
743044,74.1,-2.0431618094701207,1.0,1.0,1.0,1.0
743045,74.56,-1.607462409509992,-1.0,1.0,-1.0,1.0
743046,73.61,-2.5817630095498743,1.0,1.0,1.0,1.0
743047,73.92,-2.2960636095897518,1.0,1.0,-1.0,1.0
743048,74.97,-1.2703642096296193,-1.0,1.0,-1.0,1.0
743049,74.94,-1.3246648096694995,1.0,1.0,1.0,1.0
743050,75.01,-1.2789654097093717,-1.0,1.0,-1.0,1.0
743051,74.67,-1.6432660097492544,-1.0,1.0,1.0,1.0
743052,74.46,-1.8775666097891277,1.0,1.0,1.0,1.0
743053,74.7,-1.6618672098289975,1.0,1.0,1.0,1.0
743054,74.77,-1.616167809868884,-1.0,1.0,-1.0,1.0
743055,74.64,-1.7704684099087586,1.0,1.0,1.0,1.0
743056,75.25,-1.1847690099486243,-1.0,1.0,-1.0,1.0
743057,75.05,-1.4090696099885065,1.0,1.0,1.0,1.0
743058,76.24,-0.2433702100283881,1.0,1.0,1.0,1.0
743059,76.75,0.2423291899317519,-1.0,1.0,-1.0,1.0
743060,76.63,0.09802858989186802,1.0,1.0,1.0,1.0
743061,76.69,0.13372798985199094,-1.0,1.0,-1.0,1.0
743062,76.15,-0.4305726101878804,-1.0,1.0,-1.0,1.0
743063,75.39,-1.2148732102277506,-1.0,1.0,-1.0,1.0
743064,74.88,-1.749173810267635,1.0,1.0,1.0,1.0
743065,75.31,-1.3434744103075076,-1.0,1.0,-1.0,1.0
743066,74.16,-2.5177750103473926,-1.0,1.0,-1.0,1.0
743067,73.64,-3.0620756103872537,1.0,1.0,1.0,1.0
743068,75.03,-1.6963762104271325,1.0,1.0,1.0,1.0
743069,75.31,-1.440676810467011,-1.0,1.0,-1.0,1.0
743070,75.11,-1.6649774105068929,-1.0,1.0,-1.0,1.0
743071,74.18,-2.6192780105467506,1.0,1.0,-1.0,1.0
743072,76.09,-0.7335786105866333,-1.0,1.0,-1.0,1.0
743073,75.28,-1.567879210626515,-1.0,1.0,-1.0,1.0
743074,74.8,-2.0721798106663982,1.0,1.0,1.0,1.0
743075,75.27,-1.6264804107062645,1.0,1.0,1.0,1.0
743076,78.26,1.3392189892538653,1.0,1.0,1.0,1.0
743077,78.7,1.7549183892139837,1.0,1.0,-1.0,1.0
743078,78.74,1.7706177891740964,-1.0,1.0,-1.0,1.0
743079,78.41,1.4163171891342332,1.0,1.0,1.0,1.0
743080,78.54,1.522016589094363,-1.0,1.0,-1.0,-1.0
743081,77.69,0.6477159890544755,-1.0,1.0,-1.0,1.0
743082,77.63,0.5634153890145939,1.0,1.0,1.0,1.0
743083,78.4,1.309114788974739,-1.0,1.0,-1.0,1.0
743084,78.15,1.0348141889348597,1.0,1.0,1.0,1.0
743085,78.85,1.710513588894969,1.0,1.0,1.0,1.0
743086,78.95,1.7862129888550982,1.0,1.0,1.0,1.0
743087,79.02,1.8319123888152264,-1.0,1.0,-1.0,-1.0
743088,78.8,1.587611788775348,1.0,1.0,-1.0,1.0
743089,78.9,1.6633111887354772,1.0,1.0,1.0,1.0
743090,79.35,2.0890105886955865,1.0,1.0,1.0,1.0
743091,79.52,2.234709988655723,-1.0,1.0,-1.0,1.0
743092,79.5,2.190409388615848,-1.0,1.0,-1.0,1.0
743093,79.27,1.9361087885759645,1.0,1.0,1.0,1.0
743094,79.29,1.9318081885360956,-1.0,1.0,-1.0,1.0
743095,79.1,1.7175075884962183,-1.0,1.0,-1.0,1.0
743096,78.85,1.4432069884563392,-1.0,1.0,-1.0,1.0
743097,78.72,1.2889063884164642,1.0,1.0,-1.0,1.0
743098,78.99,1.5346057883765951,1.0,1.0,1.0,1.0
743099,79.12,1.6403051883367257,1.0,1.0,1.0,1.0
743100,79.23,1.7260045882968456,-1.0,1.0,-1.0,1.0
743101,79.15,1.621703988256968,-1.0,1.0,-1.0,1.0
743102,79.08,1.5274033882170812,-1.0,1.0,-1.0,1.0
743103,78.46,0.8831027881772116,1.0,1.0,1.0,1.0
743104,78.92,1.3188021881373402,1.0,1.0,1.0,1.0
743105,79.43,1.804501588097466,1.0,1.0,1.0,1.0
743106,79.5,1.85020098805758,-1.0,1.0,-1.0,1.0
743107,79.08,1.4059003880177128,1.0,1.0,-1.0,1.0
743108,79.57,1.8715997879778288,1.0,1.0,-1.0,1.0
743109,79.91,2.1872991879379526,-1.0,1.0,-1.0,1.0
743110,79.55,1.8029985878980737,1.0,1.0,-1.0,1.0
743111,80.2,2.4286979878582144,1.0,1.0,-1.0,-1.0
743112,81.52,3.724397387818328,1.0,1.0,1.0,1.0
743113,81.73,3.910096787778457,-1.0,1.0,-1.0,1.0
743114,81.41,3.5657961877385844,1.0,-1.0,1.0,1.0
743115,82.59,4.721495587698712,-1.0,-1.0,-1.0,-1.0
743116,81.43,3.5371949876588364,-1.0,-1.0,1.0,-1.0
743117,81.3,3.382894387618947,1.0,-1.0,1.0,-1.0
743118,81.83,3.8885937875790693,1.0,-1.0,1.0,-1.0
743119,82.16,4.194293187539201,1.0,-1.0,1.0,-1.0
743120,82.22,4.229992587499325,1.0,-1.0,1.0,-1.0
743121,82.52,4.505691987459443,1.0,-1.0,1.0,-1.0
743122,83.66,5.621391387419578,1.0,-1.0,1.0,-1.0
743123,83.88,5.817090787379698,1.0,-1.0,1.0,-1.0
743124,83.98,5.892790187339827,1.0,-1.0,1.0,-1.0
743125,84.75,6.638489587299943,1.0,-1.0,1.0,-1.0
743126,85.2,7.0641889872600805,1.0,-1.0,1.0,-1.0
743127,85.21,7.049888387220192,-1.0,-1.0,-1.0,-1.0
743128,84.93,6.745587787180328,1.0,-1.0,1.0,-1.0
743129,85.06,6.851287187140442,-1.0,-1.0,1.0,-1.0
743130,84.54,6.306986587100582,1.0,1.0,1.0,-1.0
743131,85.01,6.7526859870607,-1.0,1.0,-1.0,1.0
743132,83.56,5.278385387020818,-1.0,1.0,1.0,1.0
743133,82.79,4.484084786980943,-1.0,1.0,-1.0,1.0
743134,82.72,4.389784186941071,1.0,1.0,-1.0,1.0
743135,83.37,5.0154835869011976,1.0,1.0,-1.0,1.0
743136,83.54,5.16118298686132,-1.0,1.0,-1.0,1.0
743137,82.08,3.6768823868214326,-1.0,1.0,-1.0,1.0
743138,82.05,3.6225817867815664,1.0,1.0,1.0,1.0
743139,83.85,5.398281186741683,-1.0,1.0,-1.0,1.0
743140,82.86,4.38398058670181,-1.0,1.0,1.0,1.0
743141,82.28,3.779679986661933,1.0,-1.0,1.0,-1.0
743142,83.26,4.735379386622071,-1.0,-1.0,-1.0,1.0
743143,82.89,4.3410787865821865,-1.0,1.0,-1.0,1.0
743144,80.92,2.346778186542309,1.0,1.0,1.0,1.0
743145,81.28,2.6824775865024293,-1.0,1.0,-1.0,1.0
743146,80.74,2.1181769864625584,-1.0,1.0,-1.0,1.0
743147,79.51,0.8638763864226888,-1.0,1.0,-1.0,1.0
743148,78.33,-0.3404242136171973,1.0,1.0,1.0,1.0
743149,79.49,0.7952751863429199,1.0,1.0,-1.0,1.0
743150,80.16,1.4409745863030563,1.0,1.0,-1.0,1.0
743151,81.46,2.7166739862631744,-1.0,1.0,-1.0,1.0
743152,80.88,2.1123733862232967,1.0,1.0,1.0,1.0
743153,81.86,3.068072786183436,1.0,1.0,1.0,1.0
743154,82.76,3.9437721861435624,1.0,1.0,1.0,1.0
743155,83.52,4.6794715861036735,-1.0,1.0,-1.0,1.0
743156,83.47,4.605170986063797,1.0,1.0,-1.0,1.0
743157,84.12,5.2308703860239225,1.0,1.0,1.0,1.0
743158,84.23,5.316569785984059,1.0,1.0,1.0,1.0
743159,84.65,5.712269185944179,1.0,1.0,1.0,1.0
743160,85.32,6.357968585904287,-1.0,1.0,-1.0,1.0
743161,85.23,6.243667985864433,1.0,1.0,1.0,1.0
743162,85.4,6.389367385824556,1.0,1.0,1.0,1.0
743163,85.66,6.625066785784668,-1.0,1.0,-1.0,1.0
743164,85.36,6.300766185744791,-1.0,1.0,-1.0,1.0
743165,84.81,5.726465585704916,1.0,1.0,1.0,-1.0
743166,84.98,5.872164985665052,-1.0,1.0,-1.0,1.0
743167,83.98,4.847864385625171,1.0,1.0,1.0,1.0
743168,84.21,5.053563785585283,-1.0,1.0,-1.0,1.0
743169,83.98,4.799263185545428,-1.0,1.0,-1.0,1.0
743170,83.45,4.244962585505547,-1.0,1.0,-1.0,1.0
743171,81.7,2.470661985465668,1.0,1.0,1.0,1.0
743172,82.36,3.106361385425785,1.0,1.0,1.0,1.0
743173,85.9,6.622060785385913,1.0,-1.0,-1.0,-1.0
743174,87.1,7.797760185346036,-1.0,-1.0,-1.0,-1.0
743175,86.54,7.213459585306167,1.0,-1.0,1.0,1.0
743176,87.86,8.509158985266282,0.0,-1.0,1.0,-1.0
743177,87.86,8.484858385226417,1.0,-1.0,1.0,-1.0
743178,89.01,9.610557785186543,1.0,-1.0,1.0,-1.0
743179,89.58,10.156257185146655,1.0,-1.0,1.0,-1.0
743180,90.0,10.55195658510678,-1.0,-1.0,-1.0,-1.0
743181,89.85,10.377655985066909,-1.0,-1.0,-1.0,-1.0
743182,89.38,9.883355385027029,-1.0,-1.0,1.0,-1.0
743183,88.53,9.009054784987157,1.0,-1.0,1.0,-1.0
743184,89.21,9.664754184947268,1.0,-1.0,1.0,-1.0
743185,89.52,9.950453584907407,1.0,-1.0,1.0,-1.0
743186,89.81,10.216152984867534,-1.0,-1.0,-1.0,-1.0
743187,89.52,9.901852384827649,1.0,-1.0,1.0,-1.0
743188,89.57,9.927551784787768,-1.0,-1.0,-1.0,-1.0
743189,88.98,9.313251184747912,-1.0,-1.0,-1.0,-1.0
743190,88.88,9.188950584708023,-1.0,-1.0,-1.0,-1.0
743191,87.82,8.104649984668143,-1.0,-1.0,-1.0,-1.0
743192,87.15,7.410349384628277,1.0,1.0,1.0,1.0
743193,88.1,8.3360487845884,-1.0,1.0,-1.0,1.0
743194,87.5,7.711748184548526,-1.0,1.0,-1.0,1.0
743195,86.09,6.27744758450865,-1.0,1.0,-1.0,1.0
743196,85.62,5.783146984468773,1.0,1.0,1.0,1.0
743197,86.26,6.398846384428908,1.0,1.0,1.0,1.0
743198,86.39,6.504545784389022,-1.0,1.0,-1.0,1.0
743199,86.33,6.420245184349143,1.0,1.0,1.0,1.0
743200,87.77,7.835944584309259,-1.0,1.0,-1.0,1.0
743201,84.3,4.341643984269397,-1.0,1.0,-1.0,1.0
743202,84.29,4.307343384229527,-1.0,1.0,-1.0,1.0
743203,83.24,3.2330427841896348,1.0,1.0,1.0,1.0
743204,83.71,3.6787421841497543,-1.0,1.0,-1.0,1.0
743205,83.25,3.1944415841098963,-1.0,1.0,1.0,1.0
743206,83.04,2.960140984070023,1.0,1.0,1.0,1.0
743207,84.09,3.9858403840301406,-1.0,1.0,-1.0,1.0
743208,82.7,2.571539783990275,1.0,1.0,1.0,1.0
743209,82.77,2.6172391839503892,1.0,1.0,1.0,1.0
743210,84.02,3.8429385839105095,-1.0,-1.0,-1.0,1.0
743211,83.27,3.0686379838706297,1.0,-1.0,1.0,1.0
743212,84.35,4.124337383830749,1.0,-1.0,1.0,-1.0
743213,84.57,4.320036783790884,1.0,-1.0,1.0,1.0
743214,85.54,5.265736183751017,1.0,-1.0,1.0,1.0
743215,85.56,5.261435583711133,-1.0,-1.0,-1.0,-1.0
743216,85.44,5.117134983671264,-1.0,-1.0,-1.0,1.0
743217,85.12,4.772834383631391,-1.0,-1.0,-1.0,-1.0
743218,84.33,3.9585337835915055,1.0,-1.0,1.0,-1.0
743219,85.33,4.934233183551626,1.0,-1.0,1.0,-1.0
743220,86.55,6.129932583511746,-1.0,-1.0,-1.0,-1.0
743221,86.47,6.025631983471882,1.0,-1.0,1.0,-1.0
743222,88.51,8.04133138343201,1.0,-1.0,1.0,-1.0
743223,90.13,9.63703078339212,-1.0,-1.0,-1.0,-1.0
743224,89.51,8.992730183352265,1.0,-1.0,1.0,-1.0
743225,90.42,9.878429583312382,1.0,-1.0,1.0,-1.0
743226,91.39,10.824128983272502,-1.0,-1.0,-1.0,-1.0
743227,90.35,9.759828383232618,-1.0,-1.0,-1.0,-1.0
743228,89.13,8.515527783192738,-1.0,-1.0,-1.0,-1.0
743229,88.46,7.821227183152871,-1.0,-1.0,-1.0,-1.0
743230,88.17,7.5069265831130005,-1.0,-1.0,-1.0,-1.0
743231,87.82,7.132625983073112,1.0,-1.0,1.0,-1.0
743232,88.32,7.608325383033247,-1.0,-1.0,-1.0,-1.0
743233,87.62,6.884024782993379,1.0,-1.0,1.0,-1.0
743234,88.82,8.059724182953488,-1.0,-1.0,-1.0,-1.0
743235,87.22,6.4354235829136135,1.0,-1.0,1.0,-1.0
743236,88.21,7.401122982873744,-1.0,-1.0,-1.0,-1.0
743237,87.7,6.866822382833874,-1.0,-1.0,-1.0,-1.0
743238,87.32,6.462521782793986,-1.0,-1.0,-1.0,-1.0
743239,86.18,5.298221182754119,-1.0,-1.0,-1.0,1.0
743240,83.74,2.8339205827142417,-1.0,-1.0,-1.0,-1.0
743241,82.92,1.9896199826743697,-1.0,-1.0,-1.0,-1.0
743242,82.84,1.8853193826344918,-1.0,-1.0,-1.0,-1.0
743243,82.34,1.3610187825946127,-1.0,-1.0,-1.0,-1.0
743244,78.93,-2.073281817445249,1.0,-1.0,1.0,-1.0
743245,79.31,-1.7175824174851329,-1.0,-1.0,-1.0,-1.0
743246,74.37,-6.68188301752501,-1.0,1.0,-1.0,1.0
743247,74.14,-6.936183617564893,-1.0,1.0,-1.0,1.0
743248,69.74,-11.360484217604766,1.0,1.0,1.0,1.0
743249,71.57,-9.554784817644645,-1.0,1.0,-1.0,1.0
743250,67.44,-13.70908541768452,1.0,1.0,1.0,1.0
743251,69.74,-11.433386017724402,1.0,-1.0,1.0,1.0
743252,72.45,-8.74768661776426,1.0,-1.0,1.0,1.0
743253,73.54,-7.681987217804135,-1.0,-1.0,-1.0,-1.0
743254,72.55,-8.696287817844022,-1.0,-1.0,-1.0,-1.0
743255,72.05,-9.220588417883905,-1.0,1.0,-1.0,1.0
743256,68.12,-13.17488901792376,-1.0,1.0,-1.0,1.0
743257,67.45,-13.869189617963643,1.0,1.0,1.0,1.0
743258,67.68,-13.663490218003517,1.0,1.0,1.0,1.0
743259,69.93,-11.437790818043394,1.0,-1.0,1.0,-1.0
743260,71.41,-9.982091418083273,-1.0,-1.0,-1.0,1.0
743261,70.75,-10.66639201812315,1.0,1.0,1.0,1.0
743262,71.56,-9.880692618163023,1.0,1.0,1.0,1.0
743263,73.87,-7.594993218202887,-1.0,-1.0,-1.0,-1.0
743264,73.76,-7.729293818242767,1.0,1.0,1.0,1.0
743265,74.25,-7.2635944182826515,-1.0,-1.0,-1.0,-1.0
743266,73.05,-8.487895018322533,-1.0,1.0,-1.0,1.0
