,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
750328,29.3,-18.427723829683284,1.0,1.0,1.0,1.0
750329,29.4,-18.33405122011365,-1.0,1.0,-1.0,1.0
750330,29.25,-18.49037861054402,-1.0,1.0,-1.0,1.0
750331,29.0,-18.74670600097439,1.0,1.0,1.0,1.0
750332,29.14,-18.613033391404766,1.0,1.0,1.0,1.0
750333,29.29,-18.46936078183513,1.0,1.0,1.0,1.0
750334,29.68,-18.085688172265503,1.0,1.0,1.0,1.0
750335,30.31,-17.462015562695868,-1.0,1.0,-1.0,1.0
750336,29.13,-18.64834295312624,-1.0,1.0,-1.0,1.0
750337,28.43,-19.354670343556613,-1.0,1.0,-1.0,1.0
750338,27.92,-19.870997733986982,1.0,1.0,1.0,1.0
750339,28.75,-19.047325124417355,-1.0,1.0,-1.0,1.0
750340,28.55,-19.253652514847726,-1.0,1.0,-1.0,1.0
750341,28.33,-19.4799799052781,1.0,1.0,1.0,1.0
750343,29.41,-18.412634686138833,1.0,1.0,1.0,1.0
750344,29.76,-18.068962076569203,0.0,1.0,0.0,1.0
750345,29.76,-18.075289466999575,1.0,1.0,1.0,1.0
750346,29.94,-17.901616857429946,-1.0,1.0,1.0,1.0
750347,29.8,-18.04794424786032,-1.0,1.0,-1.0,1.0
750348,29.31,-18.54427163829069,1.0,1.0,1.0,1.0
750349,29.45,-18.410599028721066,1.0,1.0,1.0,1.0
750350,29.69,-18.17692641915143,-1.0,1.0,1.0,1.0
750351,29.65,-18.223253809581802,0.0,1.0,-1.0,1.0
750352,29.65,-18.22958120001217,1.0,1.0,1.0,1.0
750353,29.7,-18.185908590442537,-1.0,1.0,-1.0,1.0
750354,29.58,-18.312235980872916,1.0,1.0,1.0,1.0
750355,29.75,-18.148563371303283,1.0,1.0,1.0,1.0
750356,30.34,-17.564890761733654,1.0,1.0,1.0,1.0
750357,30.39,-17.521218152164025,1.0,1.0,1.0,1.0
750358,30.75,-17.167545542594393,1.0,1.0,1.0,1.0
750359,31.13,-16.79387293302477,1.0,1.0,1.0,1.0
750360,31.23,-16.70020032345513,1.0,1.0,1.0,1.0
750361,31.35,-16.586527713885502,-1.0,1.0,1.0,1.0
750362,31.0,-16.942855104315875,1.0,1.0,1.0,1.0
750363,31.32,-16.629182494746242,-1.0,1.0,-1.0,1.0
750364,31.09,-16.865509885176618,1.0,1.0,1.0,1.0
750365,31.27,-16.69183727560699,1.0,1.0,1.0,1.0
750366,31.63,-16.338164666037358,1.0,1.0,1.0,1.0
750367,32.02,-15.954492056467727,1.0,1.0,1.0,1.0
750368,32.5,-15.480819446898096,1.0,1.0,1.0,1.0
750369,32.77,-15.217146837328466,1.0,-1.0,1.0,-1.0
750370,33.26,-14.733474227758839,1.0,1.0,1.0,1.0
750371,33.29,-14.70980161818921,1.0,1.0,1.0,1.0
750372,33.64,-14.36612900861958,-1.0,1.0,-1.0,1.0
750373,33.63,-14.38245639904995,1.0,1.0,1.0,1.0
