,Close,Target(1),Target(30),Prediction(1),Prediction(30)
759661,23.4,1.0,1.0,1.0,1.0
759662,23.52,1.0,1.0,1.0,1.0
759663,23.61,-1.0,1.0,-1.0,1.0
759664,23.08,-1.0,1.0,1.0,1.0
759665,22.91,1.0,1.0,1.0,1.0
759666,23.19,1.0,1.0,1.0,1.0
759667,23.42,-1.0,1.0,-1.0,1.0
759668,23.3,-1.0,1.0,-1.0,1.0
759669,23.04,1.0,1.0,1.0,1.0
759670,23.24,-1.0,1.0,-1.0,1.0
759671,22.98,1.0,1.0,1.0,1.0
759672,23.0,-1.0,1.0,1.0,1.0
759673,22.87,1.0,1.0,1.0,1.0
759674,23.35,-1.0,1.0,-1.0,1.0
759675,23.29,1.0,1.0,1.0,1.0
759676,23.61,1.0,1.0,1.0,1.0
759677,24.12,-1.0,1.0,-1.0,1.0
759678,23.98,1.0,1.0,1.0,1.0
759679,24.12,1.0,1.0,1.0,1.0
759680,24.32,1.0,1.0,1.0,1.0
759681,24.38,1.0,1.0,1.0,1.0
759682,24.65,1.0,1.0,1.0,1.0
759683,24.86,1.0,1.0,1.0,1.0
759684,24.92,1.0,1.0,1.0,1.0
759685,25.44,-1.0,1.0,-1.0,1.0
759686,25.26,1.0,1.0,1.0,1.0
759687,25.35,1.0,1.0,1.0,1.0
759688,26.25,1.0,1.0,1.0,1.0
759689,26.5,1.0,1.0,-1.0,1.0
759690,26.55,-1.0,1.0,-1.0,1.0
759691,26.51,1.0,1.0,1.0,1.0
759692,26.9,-1.0,1.0,-1.0,1.0
759693,26.73,-1.0,1.0,-1.0,1.0
759694,26.64,1.0,1.0,1.0,1.0
759695,26.86,-1.0,1.0,-1.0,1.0
759696,26.75,-1.0,1.0,-1.0,1.0
759697,26.72,1.0,1.0,1.0,1.0
759698,26.97,-1.0,1.0,-1.0,1.0
759699,26.8,-1.0,-1.0,-1.0,-1.0
759700,26.53,-1.0,1.0,-1.0,1.0
759701,26.42,-1.0,-1.0,-1.0,-1.0
759702,26.37,-1.0,-1.0,-1.0,1.0
759703,26.08,-1.0,1.0,-1.0,1.0
759704,25.94,-1.0,1.0,1.0,1.0
759705,25.79,1.0,1.0,1.0,1.0
759706,25.95,1.0,1.0,1.0,1.0
759707,26.02,1.0,1.0,1.0,1.0
759708,26.81,1.0,1.0,1.0,1.0
759709,26.92,-1.0,1.0,-1.0,1.0
759710,26.54,1.0,1.0,1.0,1.0
759711,26.6,1.0,1.0,1.0,1.0
759712,26.84,-1.0,1.0,-1.0,1.0
759713,26.68,-1.0,1.0,-1.0,1.0
759714,26.52,1.0,-1.0,1.0,1.0
759715,26.8,1.0,1.0,1.0,1.0
759716,26.85,-1.0,1.0,-1.0,1.0
759717,26.6,1.0,1.0,1.0,1.0
759718,26.84,1.0,1.0,1.0,1.0
759719,27.08,1.0,1.0,1.0,1.0
759720,27.39,1.0,1.0,1.0,1.0
759721,27.42,1.0,1.0,1.0,1.0
759722,27.43,-1.0,1.0,-1.0,1.0
759723,27.39,-1.0,1.0,-1.0,1.0
759724,27.11,-1.0,1.0,-1.0,1.0
759725,26.88,1.0,1.0,1.0,1.0
759726,27.51,-1.0,1.0,-1.0,1.0
759727,27.28,1.0,1.0,1.0,1.0
759728,27.71,-1.0,1.0,-1.0,1.0
759729,26.78,-1.0,1.0,-1.0,1.0
759730,26.76,-1.0,1.0,-1.0,1.0
759731,26.35,-1.0,1.0,-1.0,1.0
759732,24.95,1.0,1.0,1.0,1.0
759733,26.45,1.0,1.0,1.0,1.0
759734,26.52,1.0,1.0,1.0,1.0
759735,27.35,-1.0,1.0,-1.0,1.0
759736,27.13,-1.0,1.0,-1.0,1.0
759737,26.71,1.0,1.0,1.0,1.0
759738,26.84,1.0,-1.0,1.0,1.0
759739,28.23,-1.0,-1.0,-1.0,-1.0
759740,27.99,-1.0,-1.0,-1.0,-1.0
759741,27.56,-1.0,-1.0,-1.0,-1.0
759742,27.35,-1.0,-1.0,-1.0,-1.0
759743,27.1,-1.0,1.0,-1.0,1.0
759744,26.32,1.0,1.0,1.0,1.0
759745,26.83,1.0,1.0,1.0,1.0
759746,27.8,1.0,-1.0,1.0,-1.0
759747,27.91,-1.0,1.0,-1.0,1.0
759748,27.21,1.0,1.0,1.0,1.0
759749,27.88,1.0,1.0,1.0,1.0
759750,28.89,-1.0,-1.0,-1.0,1.0
759751,28.29,-1.0,-1.0,-1.0,-1.0
759752,27.66,-1.0,1.0,-1.0,1.0
759753,27.55,1.0,1.0,1.0,1.0
759754,27.96,1.0,1.0,1.0,1.0
759755,28.49,1.0,1.0,1.0,1.0
759756,28.74,-1.0,1.0,-1.0,1.0
759757,28.66,1.0,1.0,1.0,1.0
759758,29.25,1.0,-1.0,1.0,-1.0
759759,29.49,1.0,-1.0,1.0,-1.0
759760,29.52,-1.0,-1.0,-1.0,-1.0
759761,29.39,-1.0,-1.0,-1.0,-1.0
759762,29.02,-1.0,1.0,-1.0,1.0
759763,28.26,1.0,1.0,1.0,1.0
759764,28.46,-1.0,1.0,-1.0,1.0
759765,27.92,-1.0,1.0,-1.0,1.0
759766,27.73,1.0,1.0,-1.0,1.0
759767,27.87,-1.0,1.0,-1.0,1.0
759768,26.7,-1.0,1.0,-1.0,1.0
759769,26.55,-1.0,1.0,1.0,1.0
759770,26.29,-1.0,1.0,-1.0,1.0
759771,26.1,-1.0,1.0,-1.0,1.0
759772,25.94,1.0,1.0,1.0,1.0
759773,27.36,1.0,1.0,1.0,1.0
759774,27.99,-1.0,1.0,-1.0,1.0
759775,27.25,1.0,1.0,-1.0,1.0
759776,27.29,1.0,1.0,1.0,1.0
759777,28.49,1.0,-1.0,1.0,1.0
759778,28.92,-1.0,-1.0,-1.0,-1.0
759779,28.73,-1.0,1.0,-1.0,1.0
759780,27.9,1.0,1.0,1.0,1.0
759781,28.26,1.0,1.0,1.0,1.0
759782,28.46,-1.0,1.0,-1.0,1.0
