,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
761527,39.52,10.096179561945382,-1.0,1.0,-1.0,1.0
761528,39.02,9.548958462494163,-1.0,1.0,-1.0,1.0
761529,39.0,9.48173736304294,-1.0,1.0,-1.0,1.0
761530,38.65,9.084516263591722,-1.0,1.0,-1.0,1.0
761531,38.4,8.787295164140499,1.0,1.0,1.0,1.0
761532,39.34,9.680074064689283,1.0,1.0,1.0,1.0
761533,40.49,10.78285296523806,-1.0,1.0,-1.0,1.0
761534,40.23,10.475631865786834,-1.0,1.0,-1.0,1.0
761535,38.42,8.618410766335618,-1.0,1.0,-1.0,1.0
761536,37.61,7.761189666884397,-1.0,1.0,-1.0,1.0
761537,37.42,7.5239685674331795,1.0,1.0,-1.0,-1.0
761538,37.9,7.9567474679819545,-1.0,1.0,-1.0,-1.0
761539,37.5,7.509526368530736,1.0,1.0,1.0,-1.0
761540,38.1,8.062305269079516,1.0,1.0,1.0,1.0
761541,38.38,8.295084169628296,1.0,1.0,1.0,-1.0
761542,38.68,8.547863070177073,1.0,1.0,1.0,1.0
761543,39.78,9.600641970725857,1.0,1.0,1.0,1.0
761544,40.25,10.023420871274633,1.0,1.0,1.0,1.0
761545,40.7,10.426199771823416,-1.0,-1.0,-1.0,-1.0
761546,39.92,9.598978672372194,-1.0,1.0,-1.0,1.0
761547,39.42,9.051757572920971,1.0,1.0,-1.0,1.0
761548,40.36,9.94453647346975,-1.0,-1.0,-1.0,1.0
761549,40.14,9.67731537401853,1.0,-1.0,1.0,-1.0
761550,40.54,10.030094274567311,1.0,-1.0,1.0,-1.0
761551,41.43,10.87287317511609,1.0,-1.0,1.0,-1.0
761552,41.84,11.235652075664873,1.0,-1.0,1.0,-1.0
761553,41.98,11.328430976213644,-1.0,-1.0,-1.0,-1.0
761554,41.6,10.901209876762431,-1.0,-1.0,-1.0,-1.0
761555,41.52,10.77398877731121,-1.0,-1.0,-1.0,-1.0
761556,41.4,10.606767677859985,1.0,-1.0,-1.0,-1.0
761557,42.08,11.239546578408769,1.0,-1.0,-1.0,-1.0
761558,43.02,12.13232547895755,-1.0,-1.0,-1.0,-1.0
761559,43.0,12.065104379506328,1.0,-1.0,1.0,-1.0
761560,43.46,12.477883280055106,-1.0,-1.0,-1.0,-1.0
761561,43.24,12.210662180603885,1.0,-1.0,1.0,-1.0
761562,43.71,12.633441081152663,-1.0,-1.0,-1.0,-1.0
761563,42.4,11.276219981701438,-1.0,-1.0,-1.0,-1.0
761564,41.7,10.528998882250226,1.0,-1.0,1.0,-1.0
761565,42.72,11.501777782799005,-1.0,-1.0,-1.0,-1.0
761566,42.48,11.214556683347778,-1.0,-1.0,-1.0,-1.0
761567,42.18,10.867335583896564,-1.0,-1.0,-1.0,-1.0
761568,41.71,10.350114484445342,-1.0,-1.0,-1.0,-1.0
761569,41.55,10.142893384994117,1.0,-1.0,1.0,-1.0
761570,41.61,10.1556722855429,-1.0,-1.0,-1.0,-1.0
761571,41.16,9.658451186091678,-1.0,-1.0,1.0,1.0
761572,40.86,9.31123008664046,1.0,-1.0,1.0,-1.0
761573,40.87,9.274008987189237,-1.0,-1.0,-1.0,-1.0
761574,40.65,9.006787887738017,-1.0,-1.0,-1.0,-1.0
761575,40.47,8.779566788286798,1.0,-1.0,-1.0,-1.0
761576,40.49,8.752345688835579,-1.0,-1.0,-1.0,-1.0
761577,39.81,8.025124589384363,-1.0,-1.0,-1.0,-1.0
761578,39.68,7.847903489933138,-1.0,-1.0,-1.0,-1.0
761579,39.26,7.380682390481915,1.0,-1.0,1.0,-1.0
761580,40.01,8.083461291030693,-1.0,-1.0,-1.0,-1.0
761581,39.99,8.016240191579477,-1.0,-1.0,-1.0,-1.0
761582,39.66,7.639019092128251,1.0,-1.0,1.0,-1.0
761583,39.99,7.921797992677035,1.0,-1.0,1.0,-1.0
761584,40.04,7.9245768932258125,1.0,-1.0,1.0,-1.0
761585,40.5,8.33735579377459,-1.0,-1.0,-1.0,-1.0
761586,39.35,7.140134694323372,-1.0,-1.0,-1.0,-1.0
761587,38.09,5.832913594872153,1.0,-1.0,1.0,-1.0
761588,38.75,6.4456924954209365,-1.0,-1.0,-1.0,-1.0
761589,38.5,6.1484713959697155,1.0,-1.0,1.0,-1.0
761590,38.67,6.271250296518495,-1.0,-1.0,-1.0,-1.0
761591,38.54,6.094029197067273,1.0,-1.0,1.0,-1.0
761592,39.55,7.056808097616049,-1.0,-1.0,-1.0,1.0
761593,38.77,6.229586998164834,1.0,-1.0,1.0,-1.0
761594,38.97,6.3823658987136085,-1.0,-1.0,-1.0,-1.0
761595,38.47,5.835144799262388,-1.0,-1.0,-1.0,-1.0
761596,37.55,4.867923699811166,-1.0,-1.0,-1.0,-1.0
761597,36.9,4.170702600359944,-1.0,-1.0,-1.0,-1.0
761598,35.9,3.123481500908724,1.0,1.0,1.0,1.0
761599,37.55,4.726260401457502,1.0,-1.0,1.0,-1.0
761600,38.11,5.239039302006283,1.0,-1.0,1.0,-1.0
761601,38.77,5.851818202555072,-1.0,-1.0,-1.0,-1.0
761602,38.48,5.5145971031038465,-1.0,-1.0,-1.0,-1.0
761603,37.46,4.447376003652629,1.0,-1.0,1.0,-1.0
761604,37.56,4.500154904201409,-1.0,-1.0,-1.0,-1.0
761605,37.09,3.982933804750189,1.0,-1.0,1.0,-1.0
761606,37.42,4.265712705298967,-1.0,-1.0,-1.0,-1.0
761607,35.58,2.3784916058477417,-1.0,-1.0,-1.0,-1.0
761608,34.12,0.8712705063965203,1.0,-1.0,-1.0,-1.0
761609,34.26,0.9640494069452998,-1.0,-1.0,-1.0,-1.0
761610,33.95,0.6068283074940837,1.0,-1.0,1.0,-1.0
761611,34.74,1.3496072080428618,-1.0,-1.0,-1.0,-1.0
761612,34.44,1.0023861085916366,1.0,-1.0,1.0,-1.0
761613,34.59,1.1051650091404213,-1.0,-1.0,-1.0,-1.0
761614,34.19,0.6579439096891946,1.0,-1.0,1.0,-1.0
761615,35.41,1.8307228102379725,1.0,-1.0,1.0,-1.0
761616,35.54,1.9135017107867542,-1.0,-1.0,-1.0,-1.0
761617,34.45,0.7762806113355438,-1.0,-1.0,-1.0,-1.0
761618,34.12,0.39905951188431743,-1.0,-1.0,-1.0,-1.0
761619,33.05,-0.7181615875669038,-1.0,-1.0,-1.0,-1.0
761620,32.58,-1.2353826870181237,1.0,1.0,1.0,1.0
761621,34.09,0.2273962135306604,1.0,-1.0,1.0,-1.0
761622,35.01,1.100175114079434,-1.0,-1.0,-1.0,-1.0
761623,34.67,0.7129540146282167,1.0,-1.0,1.0,-1.0
761624,35.09,1.0857329151769974,-1.0,-1.0,-1.0,-1.0
761625,35.05,0.9985118157257702,1.0,-1.0,1.0,-1.0
761626,35.75,1.6512907162745518,1.0,-1.0,-1.0,-1.0
761627,36.82,2.6740696168233318,-1.0,-1.0,-1.0,-1.0
761628,36.78,2.5868485173721183,-1.0,-1.0,-1.0,1.0
761629,35.32,1.0796274179208964,-1.0,1.0,-1.0,1.0
