,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
763391,42.64,-9.646344562471015,-1.0,1.0,-1.0,1.0
763392,42.45,-9.845534586268952,1.0,1.0,1.0,1.0
763393,43.08,-9.2247246100669,-1.0,1.0,-1.0,1.0
763394,42.7,-9.613914633864836,-1.0,1.0,-1.0,1.0
763395,42.2,-10.123104657662779,1.0,1.0,1.0,1.0
763396,42.76,-9.572294681460725,1.0,1.0,1.0,1.0
763397,43.4,-8.941484705258668,-1.0,1.0,-1.0,1.0
763398,42.72,-9.630674729056617,-1.0,1.0,-1.0,1.0
763399,40.95,-11.409864752854553,1.0,1.0,1.0,1.0
763400,42.07,-10.299054776652495,-1.0,1.0,-1.0,1.0
763401,41.21,-11.168244800450436,-1.0,1.0,1.0,1.0
763402,41.08,-11.307434824248382,1.0,1.0,1.0,1.0
763403,41.39,-11.006624848046322,1.0,1.0,1.0,1.0
763404,41.87,-10.535814871844265,1.0,1.0,1.0,1.0
763405,41.88,-10.535004895642203,1.0,1.0,1.0,1.0
763406,43.3,-9.12419491944015,1.0,1.0,-1.0,1.0
763407,44.17,-8.263384943238087,1.0,1.0,-1.0,1.0
763408,44.96,-7.482574967036029,1.0,1.0,1.0,1.0
763409,45.09,-7.3617649908339695,-1.0,1.0,1.0,1.0
763410,45.03,-7.430955014631912,-1.0,1.0,-1.0,1.0
763411,44.72,-7.750145038429856,1.0,1.0,-1.0,1.0
763412,44.9,-7.579335062227805,-1.0,1.0,-1.0,1.0
763413,44.45,-8.038525086025743,-1.0,1.0,-1.0,1.0
763414,44.19,-8.307715109823691,1.0,1.0,1.0,1.0
763415,44.49,-8.016905133621629,-1.0,1.0,1.0,1.0
763416,44.45,-8.066095157419568,-1.0,1.0,1.0,1.0
763417,44.31,-8.21528518121751,1.0,1.0,1.0,1.0
763418,44.37,-8.164475205015457,1.0,-1.0,1.0,1.0
763419,45.12,-7.423665228813398,1.0,-1.0,1.0,1.0
763420,45.39,-7.162855252611338,1.0,1.0,1.0,1.0
763421,45.69,-6.872045276409281,-1.0,1.0,1.0,1.0
763422,45.41,-7.161235300207224,1.0,1.0,1.0,1.0
763423,45.91,-6.6704253240051665,1.0,1.0,1.0,1.0
763424,46.49,-6.099615347803103,1.0,1.0,1.0,1.0
763425,46.65,-5.948805371601048,1.0,1.0,1.0,1.0
763426,47.42,-5.187995395398993,1.0,-1.0,1.0,-1.0
763427,47.92,-4.697185419196933,-1.0,1.0,-1.0,-1.0
763428,47.54,-5.0863754429948775,-1.0,-1.0,-1.0,-1.0
763429,47.41,-5.225565466792823,1.0,1.0,1.0,1.0
763430,48.62,-4.024755490590763,-1.0,-1.0,-1.0,-1.0
763431,48.48,-4.173945514388706,1.0,-1.0,1.0,1.0
763432,48.65,-4.0131355381866465,-1.0,-1.0,-1.0,1.0
763433,48.52,-4.152325561984584,-1.0,-1.0,-1.0,1.0
763434,48.1,-4.581515585782526,1.0,1.0,1.0,1.0
763435,48.14,-4.5507056095804685,0.0,1.0,0.0,1.0
763436,48.14,-4.55989563337841,-1.0,1.0,-1.0,1.0
763437,47.48,-5.229085657176356,-1.0,1.0,-1.0,1.0
763438,47.39,-5.3282756809742935,1.0,1.0,1.0,1.0
763439,48.15,-4.577465704772237,1.0,-1.0,1.0,-1.0
763440,48.86,-3.8766557285701855,-1.0,-1.0,-1.0,-1.0
763441,47.88,-4.865845752368124,-1.0,-1.0,-1.0,-1.0
763442,47.31,-5.4450357761660655,-1.0,-1.0,-1.0,-1.0
763443,47.0,-5.7642257999640085,-1.0,-1.0,-1.0,-1.0
763444,46.71,-6.063415823761951,1.0,-1.0,-1.0,-1.0
763445,47.32,-5.4626058475598915,-1.0,-1.0,-1.0,-1.0
763446,46.7,-6.091795871357832,-1.0,-1.0,-1.0,1.0
763447,45.64,-7.160985895155775,-1.0,1.0,-1.0,1.0
763448,44.3,-8.510175918953719,1.0,1.0,-1.0,1.0
763449,44.6,-8.219365942751656,1.0,1.0,1.0,1.0
763450,45.65,-7.178555966549602,1.0,1.0,1.0,1.0
763451,46.08,-6.757745990347544,1.0,1.0,-1.0,1.0
763452,47.16,-5.686936014145488,1.0,-1.0,-1.0,-1.0
763453,47.99,-4.866126037943424,1.0,-1.0,1.0,-1.0
763454,48.49,-4.375316061741373,-1.0,-1.0,-1.0,-1.0
763455,47.39,-5.484506085539316,-1.0,-1.0,-1.0,-1.0
763456,47.37,-5.5136961093372605,1.0,1.0,1.0,1.0
763457,48.94,-3.952886133135202,-1.0,-1.0,-1.0,-1.0
