,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
765258,30.68,-2.4831505919112193,-1.0,-1.0,-1.0,-1.0
765259,30.17,-3.0047833182945425,-1.0,-1.0,-1.0,-1.0
765260,29.87,-3.3164160446778763,-1.0,-1.0,-1.0,-1.0
765261,29.33,-3.8680487710612033,1.0,1.0,-1.0,1.0
765262,29.42,-3.7896814974445263,1.0,1.0,1.0,1.0
765263,29.61,-3.611314223827861,1.0,1.0,1.0,1.0
765264,29.73,-3.502946950211186,-1.0,1.0,-1.0,1.0
765265,29.19,-4.0545796765945115,-1.0,1.0,-1.0,1.0
765266,28.63,-4.6262124029778455,1.0,1.0,1.0,1.0
765267,28.74,-4.527845129361172,-1.0,1.0,-1.0,1.0
765268,28.37,-4.909477855744496,1.0,1.0,-1.0,1.0
765269,28.75,-4.541110582127828,1.0,1.0,1.0,1.0
765270,28.87,-4.432743308511154,1.0,1.0,1.0,1.0
765271,29.04,-4.27437603489448,-1.0,1.0,-1.0,1.0
765272,28.93,-4.3960087612778125,1.0,1.0,1.0,1.0
765273,29.18,-4.157641487661138,-1.0,1.0,1.0,1.0
765274,29.14,-4.209274214044463,1.0,1.0,1.0,1.0
765275,29.15,-4.2109069404277975,-1.0,1.0,-1.0,1.0
765276,29.02,-4.352539666811122,-1.0,1.0,1.0,1.0
765277,29.0,-4.384172393194446,-1.0,1.0,-1.0,1.0
765278,28.74,-4.6558051195777805,1.0,1.0,1.0,1.0
765279,28.96,-4.4474378459611055,-1.0,1.0,-1.0,1.0
765280,28.88,-4.539070572344432,1.0,1.0,1.0,1.0
765281,28.93,-4.500703298727764,1.0,1.0,1.0,1.0
765282,28.99,-4.452336025111091,1.0,1.0,1.0,1.0
765283,29.26,-4.193968751494413,-1.0,1.0,-1.0,1.0
765284,29.13,-4.3356014778777485,1.0,1.0,1.0,1.0
765285,29.27,-4.2072342042610735,-1.0,1.0,-1.0,1.0
765286,29.23,-4.258866930644397,1.0,1.0,1.0,1.0
765287,29.63,-3.870499657027733,1.0,1.0,-1.0,-1.0
765288,29.91,-3.6021323834110563,-1.0,-1.0,-1.0,-1.0
765289,29.75,-3.7737651097943834,1.0,-1.0,1.0,1.0
765290,29.84,-3.6953978361777153,-1.0,-1.0,-1.0,-1.0
765291,29.73,-3.81703056256104,1.0,-1.0,-1.0,-1.0
765292,29.86,-3.6986632889443665,1.0,-1.0,1.0,-1.0
765293,29.93,-3.6402960153276993,1.0,-1.0,1.0,1.0
765294,30.15,-3.4319287417110265,1.0,-1.0,1.0,-1.0
765295,30.3,-3.293561468094349,1.0,-1.0,1.0,-1.0
765296,30.41,-3.1951941944776827,1.0,-1.0,1.0,-1.0
765297,30.65,-2.96682692086101,1.0,-1.0,1.0,-1.0
765298,30.98,-2.6484596472443336,-1.0,-1.0,-1.0,-1.0
765299,30.46,-3.1800923736276663,-1.0,-1.0,-1.0,-1.0
765300,30.31,-3.341725100010993,1.0,-1.0,1.0,-1.0
765301,30.37,-3.2933578263943173,1.0,-1.0,1.0,-1.0
765302,30.45,-3.2249905527776512,1.0,-1.0,1.0,-1.0
765303,31.23,-2.456623279160976,-1.0,-1.0,-1.0,-1.0
765304,31.02,-2.6782560055443017,1.0,-1.0,1.0,-1.0
765305,31.28,-2.429888731927633,1.0,-1.0,1.0,-1.0
765306,31.46,-2.261521458310959,-1.0,-1.0,-1.0,1.0
765307,31.2,-2.5331541846942858,-1.0,-1.0,-1.0,-1.0
765308,30.24,-3.50478691107762,-1.0,-1.0,-1.0,-1.0
765309,30.16,-3.596419637460944,-1.0,-1.0,-1.0,-1.0
765310,30.08,-3.6880523638442715,-1.0,-1.0,-1.0,1.0
765311,29.94,-3.8396850902276007,1.0,-1.0,1.0,-1.0
765312,30.07,-3.7213178166109273,-1.0,-1.0,-1.0,-1.0
765313,29.85,-3.952950542994252,-1.0,-1.0,-1.0,-1.0
765314,29.54,-4.274583269377587,1.0,-1.0,1.0,-1.0
765315,29.58,-4.246215995760913,1.0,-1.0,1.0,-1.0
765316,29.73,-4.107848722144237,1.0,-1.0,1.0,-1.0
765317,29.76,-4.089481448527569,-1.0,-1.0,-1.0,-1.0
765318,29.56,-4.3011141749108965,-1.0,-1.0,-1.0,1.0
765319,29.28,-4.59274690129422,-1.0,-1.0,-1.0,-1.0
765320,29.05,-4.834379627677553,-1.0,-1.0,-1.0,-1.0
765321,28.94,-4.956012354060878,-1.0,-1.0,-1.0,-1.0
765322,28.75,-5.157645080444205,1.0,-1.0,1.0,-1.0
765323,29.12,-4.799277806827536,1.0,-1.0,1.0,-1.0
765324,29.22,-4.710910533210863,-1.0,-1.0,1.0,-1.0
765325,28.9,-5.042543259594191,1.0,-1.0,1.0,-1.0
765326,29.29,-4.664175985977521,-1.0,-1.0,-1.0,-1.0
765327,28.75,-5.215808712360847,-1.0,1.0,-1.0,1.0
765328,28.68,-5.297441438744173,-1.0,1.0,-1.0,1.0
765329,28.01,-5.979074165127504,1.0,1.0,1.0,1.0
765330,28.19,-5.810706891510828,1.0,1.0,1.0,1.0
765331,28.61,-5.402339617894157,-1.0,1.0,-1.0,1.0
765332,28.4,-5.62397234427749,1.0,1.0,1.0,1.0
765333,28.7,-5.335605070660815,-1.0,1.0,-1.0,1.0
765334,28.69,-5.357237797044139,-1.0,-1.0,-1.0,-1.0
765335,28.51,-5.548870523427472,1.0,1.0,1.0,1.0
765336,28.66,-5.410503249810798,-1.0,-1.0,-1.0,-1.0
765337,28.42,-5.662135976194122,1.0,-1.0,1.0,-1.0
765338,28.51,-5.583768702577455,-1.0,-1.0,-1.0,-1.0
765339,27.76,-6.3454014289607805,1.0,-1.0,-1.0,-1.0
765340,27.96,-6.157034155344107,-1.0,-1.0,-1.0,-1.0
765341,27.49,-6.638666881727443,-1.0,-1.0,-1.0,-1.0
765342,27.4,-6.740299608110767,-1.0,-1.0,-1.0,-1.0
765343,26.93,-7.221932334494093,1.0,-1.0,1.0,-1.0
765344,27.58,-6.583565060877426,-1.0,-1.0,-1.0,-1.0
765345,27.52,-6.65519778726075,-1.0,-1.0,-1.0,-1.0
