,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
767125,59.23,-0.5668794685172571,-1.0,1.0,-1.0,-1.0
767126,58.04,-1.804870698145116,-1.0,1.0,-1.0,1.0
767127,57.85,-2.042861927772968,-1.0,1.0,1.0,1.0
767128,57.82,-2.1208531574008305,-1.0,1.0,1.0,1.0
767129,56.98,-3.008844387028688,1.0,1.0,1.0,1.0
767130,57.18,-2.8568356166565465,1.0,1.0,1.0,1.0
767131,58.03,-2.0548268462843997,-1.0,1.0,-1.0,1.0
767132,57.86,-2.2728180759122623,-1.0,1.0,-1.0,1.0
767133,56.18,-4.000809305540116,1.0,1.0,1.0,1.0
767134,57.47,-2.7588005351679783,1.0,1.0,1.0,1.0
767135,57.87,-2.4067917647958343,1.0,1.0,1.0,1.0
767136,58.2,-2.12478299442369,-1.0,1.0,1.0,1.0
767137,57.51,-2.862774224051549,1.0,1.0,1.0,1.0
767138,57.88,-2.540765453679405,1.0,1.0,1.0,1.0
767139,58.26,-2.2087566833072643,1.0,1.0,1.0,1.0
767140,58.9,-1.616747912935125,1.0,1.0,1.0,1.0
767141,58.92,-1.6447391425629758,1.0,1.0,1.0,1.0
767142,59.14,-1.4727303721908385,-1.0,1.0,1.0,1.0
767143,58.78,-1.8807216018186919,1.0,1.0,1.0,1.0
767144,59.22,-1.4887128314465483,-1.0,1.0,-1.0,1.0
767145,58.71,-2.0467040610744083,1.0,1.0,1.0,1.0
767146,59.31,-1.4946952907022606,1.0,1.0,1.0,1.0
767147,59.91,-0.9426865203301276,-1.0,1.0,-1.0,1.0
767148,59.66,-1.2406777499579815,1.0,1.0,1.0,1.0
767149,61.7,0.7513310204141632,1.0,1.0,1.0,1.0
767150,62.08,1.0833397907863045,1.0,1.0,1.0,1.0
767151,62.24,1.195348561158447,-1.0,1.0,-1.0,1.0
767152,61.62,0.5273573315305882,1.0,1.0,-1.0,1.0
767153,64.21,3.069366101902723,-1.0,1.0,-1.0,1.0
767154,63.6,2.4113748722748767,1.0,1.0,1.0,1.0
767155,64.04,2.80338364264702,1.0,1.0,1.0,1.0
767156,65.07,3.7853924130191534,1.0,1.0,1.0,1.0
767157,65.33,3.997401183391297,-1.0,1.0,-1.0,1.0
767158,64.84,3.459409953763448,-1.0,1.0,-1.0,1.0
767159,64.55,3.12141872413558,1.0,1.0,1.0,1.0
767160,65.07,3.5934274945077216,1.0,1.0,1.0,1.0
767161,65.42,3.895436264879869,1.0,1.0,1.0,1.0
767162,66.01,4.4374450352520185,-1.0,1.0,-1.0,1.0
767163,65.06,3.4394538056241544,1.0,1.0,-1.0,1.0
767164,65.45,3.7814625759963008,1.0,1.0,1.0,1.0
767165,66.82,5.10347134636843,1.0,1.0,1.0,1.0
767166,66.91,5.145480116740579,1.0,1.0,1.0,1.0
767167,66.98,5.167488887112725,-1.0,-1.0,-1.0,-1.0
767168,66.79,4.929497657484873,1.0,1.0,1.0,1.0
767169,67.55,5.641506427857003,1.0,1.0,1.0,1.0
767170,67.89,5.933515198229152,-1.0,1.0,-1.0,1.0
767171,67.54,5.5355239686012965,1.0,1.0,1.0,1.0
767172,67.85,5.7975327389734295,1.0,1.0,1.0,1.0
767173,67.99,5.8895415093455705,-1.0,1.0,1.0,-1.0
767174,67.82,5.671550279717714,-1.0,-1.0,-1.0,1.0
767175,67.34,5.143559050089864,1.0,-1.0,1.0,-1.0
767176,67.73,5.485567820462009,1.0,-1.0,-1.0,-1.0
767177,69.23,6.937576590834155,-1.0,-1.0,-1.0,-1.0
767178,68.8,6.459585361206287,1.0,-1.0,1.0,-1.0
767179,69.14,6.751594131578437,1.0,-1.0,1.0,-1.0
767180,70.05,7.613602901950571,1.0,-1.0,1.0,-1.0
767181,70.65,8.165611672322726,-1.0,-1.0,-1.0,-1.0
767182,70.48,7.947620442694862,1.0,-1.0,1.0,-1.0
767183,70.93,8.349629213067011,1.0,-1.0,1.0,-1.0
767184,71.09,8.461637983439147,-1.0,-1.0,-1.0,-1.0
767185,70.06,7.383646753811291,-1.0,1.0,-1.0,1.0
767186,68.85,6.125655524183422,1.0,-1.0,1.0,-1.0
767187,70.03,7.257664294555575,1.0,-1.0,1.0,-1.0
767188,70.05,7.229673064927709,1.0,-1.0,1.0,-1.0
767189,70.33,7.461681835299856,1.0,-1.0,1.0,-1.0
767190,73.13,10.213690605671992,0.0,-1.0,-1.0,-1.0
767191,73.13,10.165699376044136,-1.0,-1.0,-1.0,-1.0
767192,71.99,8.977708146416276,1.0,-1.0,1.0,-1.0
767193,72.97,9.909716916788426,-1.0,-1.0,-1.0,-1.0
767194,71.0,7.891725687160566,-1.0,-1.0,1.0,-1.0
767195,70.81,7.653734457532713,-1.0,1.0,-1.0,1.0
767196,68.42,5.215743227904851,-1.0,1.0,-1.0,-1.0
767197,66.11,2.857751998276996,1.0,1.0,-1.0,-1.0
767198,70.01,6.709760768649139,1.0,1.0,-1.0,-1.0
767199,70.2,6.8517695390212845,1.0,-1.0,-1.0,-1.0
767200,71.6,8.203778309393414,-1.0,-1.0,-1.0,-1.0
767201,70.37,6.92578707976557,-1.0,-1.0,-1.0,-1.0
767202,68.18,4.687795850137711,-1.0,1.0,-1.0,-1.0
767203,68.14,4.5998046205098495,-1.0,-1.0,-1.0,-1.0
767204,67.77,4.181813390881985,-1.0,-1.0,-1.0,-1.0
767205,66.61,2.973822161254134,-1.0,-1.0,-1.0,-1.0
767206,63.86,0.1758309316262725,1.0,-1.0,1.0,-1.0
767207,65.5,1.7678397019984189,1.0,-1.0,1.0,-1.0
767208,66.21,2.429848472370552,1.0,-1.0,1.0,-1.0
767209,66.97,3.1418572427427023,-1.0,-1.0,-1.0,-1.0
767210,66.44,2.5638660131148465,1.0,-1.0,-1.0,-1.0
767211,69.98,6.055874783486992,-1.0,-1.0,-1.0,-1.0
767212,68.44,4.467883553859124,-1.0,-1.0,-1.0,-1.0
767213,67.51,3.4898923242312776,1.0,-1.0,1.0,-1.0
767214,69.59,5.521901094603422,1.0,-1.0,1.0,-1.0
767215,70.5,6.383909864975563,-1.0,-1.0,-1.0,-1.0
767216,66.54,2.3759186353477015,-1.0,-1.0,-1.0,-1.0
767217,66.33,2.1179274057198403,-1.0,-1.0,-1.0,-1.0
767218,66.18,1.9199361760919944,1.0,-1.0,1.0,-1.0
767219,66.86,2.5519449464641326,1.0,-1.0,-1.0,-1.0
767220,68.74,4.38395371683626,1.0,-1.0,1.0,-1.0
767221,68.91,4.505962487208407,-1.0,-1.0,-1.0,-1.0
767222,68.85,4.397971257580552,1.0,-1.0,1.0,-1.0
767223,70.32,5.8199800279526945,1.0,-1.0,1.0,-1.0
767224,70.91,6.36198879832483,1.0,-1.0,1.0,-1.0
767225,71.81,7.213997568696983,-1.0,-1.0,-1.0,-1.0
767226,71.71,7.06600633906912,-1.0,-1.0,-1.0,-1.0
767227,71.39,6.698015109441272,-1.0,-1.0,1.0,-1.0
767228,71.09,6.350023879813406,-1.0,-1.0,-1.0,-1.0
767229,69.94,5.1520326501855465,-1.0,-1.0,-1.0,-1.0
767230,68.41,3.5740414205576916,1.0,-1.0,1.0,-1.0
767231,69.15,4.266050190929846,-1.0,-1.0,-1.0,-1.0
767232,68.76,3.828058961301977,-1.0,-1.0,-1.0,-1.0
767233,65.49,0.5100677316741127,-1.0,-1.0,-1.0,-1.0
767234,64.7,-0.32792349795373354,-1.0,-1.0,-1.0,-1.0
767235,63.56,-1.5159147275815883,-1.0,-1.0,-1.0,-1.0
767236,63.11,-2.0139059572094595,1.0,-1.0,1.0,-1.0
767237,64.03,-1.141897186837312,-1.0,1.0,-1.0,1.0
767238,63.31,-1.909888416465165,1.0,1.0,1.0,1.0
767239,64.09,-1.177879646093018,1.0,-1.0,1.0,-1.0
767240,64.4,-0.9158708757208842,-1.0,-1.0,-1.0,-1.0
767241,63.81,-1.5538621053487418,1.0,-1.0,-1.0,-1.0
767242,64.93,-0.4818533349765914,-1.0,-1.0,-1.0,-1.0
767243,64.73,-0.7298445646044485,1.0,-1.0,1.0,-1.0
767244,65.07,-0.4378357942323135,-1.0,-1.0,-1.0,-1.0
767245,63.02,-2.535827023860172,1.0,-1.0,1.0,1.0
767246,63.5,-2.1038182534880288,1.0,-1.0,1.0,1.0
767247,63.99,-1.6618094831158814,-1.0,-1.0,-1.0,-1.0
767248,62.89,-2.809800712743737,1.0,1.0,-1.0,1.0
767249,64.49,-1.2577919423716108,1.0,-1.0,-1.0,-1.0
767250,64.59,-1.2057831719994567,1.0,1.0,1.0,1.0
767251,65.96,0.11622559837267946,-1.0,-1.0,-1.0,-1.0
767252,62.74,-3.1517656312551665,1.0,1.0,1.0,1.0
767253,65.66,-0.2797568608830403,-1.0,-1.0,-1.0,-1.0
767254,64.78,-1.20774809051089,-1.0,1.0,-1.0,1.0
767255,64.16,-1.875739320138749,1.0,1.0,1.0,1.0
767256,65.56,-0.5237305497665972,1.0,1.0,1.0,-1.0
767257,66.01,-0.12172177939446273,1.0,1.0,1.0,1.0
767258,66.84,0.6602869909776814,-1.0,1.0,-1.0,1.0
767259,66.36,0.13229576134982324,1.0,1.0,1.0,1.0
767260,66.42,0.14430453172197133,1.0,1.0,1.0,1.0
767261,66.85,0.5263133020940955,-1.0,1.0,-1.0,1.0
767262,66.37,-0.0016779275337484025,-1.0,1.0,1.0,1.0
767263,64.68,-1.7396691571616003,-1.0,1.0,1.0,1.0
767264,63.06,-3.407660386789459,-1.0,1.0,-1.0,1.0
767265,62.39,-4.125651616417329,-1.0,1.0,1.0,1.0
767266,61.95,-4.613642846045182,1.0,1.0,1.0,1.0
767267,64.43,-2.1816340756730312,1.0,1.0,1.0,1.0
767268,64.52,-2.139625305300896,-1.0,1.0,1.0,1.0
767269,62.53,-4.17761653492876,1.0,1.0,1.0,1.0
767270,62.68,-4.075607764556615,-1.0,1.0,1.0,1.0
767271,62.67,-4.133598994184466,-1.0,1.0,-1.0,1.0
767272,61.03,-5.821590223812323,1.0,1.0,1.0,1.0
767273,61.85,-5.04958145344019,-1.0,1.0,1.0,1.0
767274,61.28,-5.6675726830680455,1.0,1.0,1.0,1.0
767275,62.15,-4.845563912695901,-1.0,1.0,-1.0,1.0
767276,60.88,-6.1635551423237525,-1.0,1.0,-1.0,1.0
767277,60.52,-6.571546371951605,1.0,1.0,1.0,1.0
767278,62.96,-4.179537601579476,1.0,1.0,1.0,1.0
767279,63.69,-3.497528831207333,1.0,1.0,1.0,1.0
767280,64.78,-2.4555200608351844,-1.0,1.0,-1.0,1.0
767281,64.2,-3.0835112904630506,1.0,1.0,1.0,1.0
767282,64.42,-2.911502520090906,1.0,1.0,1.0,1.0
767283,65.25,-2.129493749718762,1.0,1.0,1.0,1.0
767284,65.97,-1.4574849793466171,1.0,1.0,1.0,1.0
767285,67.05,-0.42547620897447297,1.0,1.0,1.0,1.0
767286,67.7,0.17653256139766427,1.0,1.0,1.0,1.0
767287,68.33,0.7585413317698055,1.0,1.0,1.0,1.0
767288,68.49,0.8705501021419481,1.0,1.0,1.0,1.0
767289,68.93,1.2625588725140915,1.0,1.0,1.0,1.0
767290,69.88,2.164567642886226,1.0,1.0,1.0,1.0
767291,70.29,2.5265764132583826,1.0,1.0,1.0,1.0
767292,70.8,2.9885851836305197,-1.0,1.0,-1.0,1.0
767293,69.7,1.8405939540026708,1.0,1.0,1.0,1.0
767294,71.49,3.5826027243747944,-1.0,1.0,-1.0,1.0
767295,70.85,2.89461149474694,1.0,1.0,1.0,1.0
767296,70.92,2.916620265119093,1.0,1.0,1.0,1.0
767297,71.12,3.0686290354912416,-1.0,1.0,-1.0,1.0
767298,70.78,2.6806378058633697,1.0,1.0,1.0,1.0
767299,70.89,2.742646576235515,-1.0,1.0,-1.0,1.0
767300,69.87,1.6746553466076648,1.0,1.0,1.0,1.0
767301,71.52,3.2766641169798016,-1.0,1.0,-1.0,1.0
767302,70.53,2.2386728873519393,1.0,1.0,1.0,1.0
767303,70.62,2.280681657724088,1.0,1.0,-1.0,1.0
767304,70.79,2.402690428096236,1.0,1.0,1.0,1.0
767305,70.91,2.474699198468372,1.0,1.0,1.0,1.0
767306,71.61,3.126707968840506,1.0,1.0,-1.0,1.0
767307,72.46,3.9287167392126463,-1.0,1.0,-1.0,1.0
767308,71.44,2.8607255095847965,1.0,1.0,1.0,1.0
767309,72.06,3.4327342799569465,1.0,1.0,1.0,1.0
767310,72.46,3.784743050329084,-1.0,1.0,-1.0,1.0
767311,70.92,2.1967518207012238,1.0,1.0,1.0,1.0
