,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
769602,41.49,9.988436602262766,-1.0,-1.0,-1.0,-1.0
769603,40.86,9.329638225499878,-1.0,-1.0,-1.0,-1.0
769604,40.64,9.080839848736991,-1.0,-1.0,-1.0,-1.0
769605,39.48,7.892041471974102,-1.0,-1.0,-1.0,-1.0
769606,37.99,6.373243095211223,1.0,1.0,1.0,1.0
769607,39.7,8.054444718448337,1.0,-1.0,1.0,-1.0
769608,40.47,8.795646341685448,1.0,-1.0,1.0,-1.0
769609,40.49,8.786847964922565,-1.0,-1.0,-1.0,-1.0
769610,38.72,6.988049588159676,1.0,-1.0,1.0,-1.0
769611,39.43,7.669251211396791,1.0,1.0,1.0,1.0
769612,39.65,7.860452834633904,1.0,1.0,1.0,1.0
769613,40.38,8.561654457871022,-1.0,1.0,-1.0,1.0
769614,40.07,8.222856081108134,1.0,1.0,-1.0,-1.0
769615,40.29,8.414057704345247,-1.0,-1.0,-1.0,-1.0
769617,42.58,10.646460950819474,1.0,-1.0,1.0,-1.0
769618,42.64,10.67766257405659,1.0,-1.0,-1.0,-1.0
769619,43.4,11.408864197293706,-1.0,-1.0,-1.0,-1.0
769620,43.15,11.130065820530817,-1.0,-1.0,-1.0,-1.0
769621,42.37,10.32126744376793,-1.0,-1.0,-1.0,-1.0
769622,40.84,8.76246906700505,-1.0,-1.0,-1.0,-1.0
769623,38.99,6.8836706902421625,1.0,1.0,1.0,1.0
769624,39.1,6.964872313479277,-1.0,1.0,-1.0,1.0
769625,38.63,6.466073936716392,1.0,1.0,1.0,1.0
769626,40.48,8.2872755599535,-1.0,1.0,-1.0,-1.0
769627,39.61,7.388477183190616,-1.0,1.0,-1.0,1.0
769628,38.64,6.389678806427733,1.0,1.0,1.0,1.0
769629,39.43,7.150880429664844,-1.0,1.0,-1.0,1.0
769630,39.25,6.942082052901959,1.0,1.0,1.0,-1.0
769631,39.6,7.263283676139076,-1.0,1.0,-1.0,1.0
769632,38.79,6.424485299376188,-1.0,1.0,-1.0,1.0
769633,38.07,5.675686922613303,1.0,1.0,-1.0,1.0
769634,38.86,6.436888545850415,-1.0,1.0,-1.0,-1.0
769635,38.38,5.9280901690875325,-1.0,1.0,-1.0,1.0
769636,38.25,5.769291792324643,1.0,1.0,1.0,1.0
769637,38.58,6.0704934155617565,1.0,1.0,1.0,1.0
769638,39.16,6.621695038798869,-1.0,1.0,-1.0,1.0
769639,39.01,6.4428966620359835,-1.0,1.0,-1.0,1.0
769640,38.14,5.544098285273101,1.0,1.0,1.0,1.0
769641,40.64,8.015299908510215,1.0,1.0,1.0,-1.0
769642,42.02,9.366501531747325,-1.0,-1.0,-1.0,-1.0
769643,41.69,9.007703154984434,-1.0,-1.0,-1.0,-1.0
769644,40.68,7.96890477822155,-1.0,-1.0,-1.0,-1.0
769645,39.55,6.810106401458661,1.0,1.0,1.0,1.0
769646,39.97,7.201308024695778,-1.0,1.0,1.0,-1.0
769647,39.35,6.552509647932893,-1.0,1.0,-1.0,1.0
769648,38.99,6.163711271170008,1.0,-1.0,1.0,-1.0
769649,40.63,7.774912894407122,1.0,-1.0,1.0,-1.0
769650,41.05,8.166114517644232,-1.0,-1.0,-1.0,-1.0
769651,40.28,7.36731614088135,1.0,-1.0,1.0,-1.0
769652,40.34,7.398517764118466,1.0,-1.0,-1.0,-1.0
769653,41.39,8.419719387355578,-1.0,-1.0,-1.0,-1.0
769654,41.08,8.080921010592691,-1.0,-1.0,-1.0,-1.0
769655,40.15,7.122122633829804,1.0,-1.0,1.0,-1.0
769656,41.45,8.393324257066924,1.0,-1.0,1.0,-1.0
769657,41.77,8.684525880304037,-1.0,-1.0,-1.0,-1.0
769658,40.44,7.325727503541144,-1.0,-1.0,-1.0,-1.0
769659,39.58,6.436929126778259,1.0,-1.0,1.0,-1.0
769660,40.22,7.048130750015375,1.0,-1.0,1.0,-1.0
769661,40.29,7.089332373252488,1.0,-1.0,1.0,-1.0
769662,40.68,7.450533996489604,1.0,-1.0,-1.0,1.0
769663,44.71,11.451735619726719,-1.0,-1.0,-1.0,-1.0
769664,44.11,10.822937242963832,-1.0,-1.0,-1.0,-1.0
769665,42.8,9.484138866200944,-1.0,-1.0,-1.0,-1.0
769666,42.76,9.41534048943806,1.0,-1.0,1.0,-1.0
769667,42.93,9.556542112675173,-1.0,-1.0,-1.0,-1.0
769668,41.09,7.687743735912293,1.0,-1.0,-1.0,-1.0
769669,41.74,8.308945359149405,-1.0,-1.0,-1.0,-1.0
769670,40.53,7.070146982386517,1.0,-1.0,1.0,-1.0
769671,40.66,7.171348605623628,-1.0,-1.0,-1.0,-1.0
769672,38.75,5.232550228860744,-1.0,-1.0,1.0,-1.0
769673,38.34,4.793751852097864,1.0,-1.0,1.0,-1.0
769674,39.95,6.374953475334977,-1.0,-1.0,-1.0,-1.0
769675,39.65,6.046155098572086,1.0,-1.0,1.0,-1.0
769676,40.59,6.957356721809205,-1.0,-1.0,-1.0,-1.0
769677,39.68,6.0185583450463165,-1.0,-1.0,-1.0,-1.0
769678,38.56,4.869759968283431,1.0,-1.0,-1.0,-1.0
769679,39.08,5.3609615915205415,-1.0,-1.0,-1.0,-1.0
769680,36.73,2.9821632147576547,-1.0,-1.0,-1.0,-1.0
769681,36.06,2.283364837994774,-1.0,-1.0,-1.0,-1.0
769682,35.23,1.4245664612318834,1.0,-1.0,1.0,-1.0
769683,36.01,2.1757680844689986,-1.0,-1.0,-1.0,-1.0
769684,35.55,1.686969707706112,-1.0,-1.0,1.0,-1.0
769685,35.16,1.2681713309432254,-1.0,-1.0,-1.0,-1.0
769686,34.36,0.4393729541803424,1.0,-1.0,1.0,-1.0
769687,36.31,2.36057457741746,-1.0,-1.0,1.0,-1.0
