,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
776830,76.72,17.569024492461097,-1.0,1.0,-1.0,1.0
776831,76.1,16.876588559078634,-1.0,1.0,-1.0,1.0
776832,75.88,16.584152625696174,-1.0,1.0,-1.0,1.0
776833,75.68,16.311716692313723,-1.0,1.0,-1.0,1.0
776834,75.18,15.739280758931265,1.0,1.0,1.0,1.0
776835,76.06,16.546844825548796,1.0,1.0,1.0,1.0
776836,82.23,22.64440889216634,-1.0,1.0,-1.0,1.0
776837,82.08,22.42197295878388,-1.0,1.0,-1.0,1.0
776838,78.63,18.899537025401408,-1.0,1.0,-1.0,1.0
776839,76.12,16.317101092018962,-1.0,1.0,-1.0,1.0
776840,75.61,15.734665158636494,1.0,1.0,1.0,1.0
776841,77.88,17.932229225254027,-1.0,1.0,-1.0,1.0
776842,77.64,17.619793291871574,1.0,1.0,1.0,1.0
776843,80.34,20.24735735848911,1.0,1.0,1.0,1.0
776844,81.17,21.004921425106648,1.0,1.0,1.0,1.0
776845,82.31,22.072485491724194,1.0,1.0,1.0,1.0
776846,83.06,22.750049558341733,1.0,1.0,-1.0,1.0
776847,84.56,24.177613624959267,1.0,1.0,1.0,1.0
776848,84.67,24.21517769157681,-1.0,1.0,-1.0,1.0
776849,84.52,23.99274175819434,-1.0,1.0,-1.0,1.0
776850,82.92,22.320305824811893,1.0,1.0,-1.0,1.0
776851,83.55,22.87786989142942,1.0,1.0,1.0,1.0
776852,83.61,22.865433958046964,1.0,1.0,1.0,1.0
776853,84.16,23.342998024664503,1.0,1.0,1.0,1.0
776854,85.89,25.00056209128204,1.0,1.0,1.0,1.0
776855,86.38,25.41812615789958,1.0,1.0,1.0,1.0
776856,86.69,25.655690224517123,-1.0,1.0,-1.0,1.0
776857,85.5,24.393254291134657,1.0,1.0,1.0,1.0
776858,86.67,25.490818357752204,1.0,1.0,1.0,1.0
776859,86.87,25.61838242436974,1.0,1.0,1.0,1.0
776860,87.25,25.925946490987283,-1.0,1.0,-1.0,1.0
776861,86.94,25.54351055760482,-1.0,1.0,-1.0,1.0
776862,86.53,25.06107462422236,-1.0,1.0,-1.0,1.0
776863,86.0,24.458638690839898,1.0,1.0,1.0,1.0
776864,86.29,24.676202757457446,1.0,1.0,1.0,1.0
776865,88.07,26.383766824074968,1.0,1.0,1.0,1.0
776866,88.61,26.85133089069252,1.0,1.0,1.0,1.0
776867,88.9,27.068894957310057,-1.0,1.0,-1.0,1.0
776868,86.28,24.376459023927595,1.0,1.0,1.0,1.0
776869,88.45,26.47402309054514,1.0,1.0,1.0,1.0
776870,89.83,27.781587157162672,-1.0,1.0,-1.0,1.0
776871,89.14,27.019151223780213,-1.0,1.0,1.0,1.0
776872,89.13,26.936715290397743,1.0,1.0,1.0,1.0
776873,90.01,27.74427935701529,1.0,1.0,-1.0,1.0
776874,90.08,27.741843423632826,-1.0,1.0,-1.0,1.0
776875,89.0,26.589407490250373,-1.0,1.0,-1.0,1.0
776876,87.25,24.766971556867908,1.0,1.0,1.0,1.0
776877,87.77,25.21453562348545,1.0,1.0,1.0,1.0
776878,90.74,28.112099690102983,1.0,1.0,1.0,1.0
776879,91.48,28.779663756720534,-1.0,1.0,-1.0,1.0
776880,89.11,26.33722782333807,1.0,1.0,-1.0,1.0
776881,92.06,29.21479188995561,1.0,1.0,1.0,1.0
776882,93.31,30.392355956573148,1.0,1.0,1.0,1.0
776883,94.44,31.44992002319068,-1.0,1.0,-1.0,1.0
776884,92.13,29.067484089808215,1.0,1.0,1.0,1.0
776885,92.86,29.72504815642576,1.0,1.0,1.0,1.0
776886,93.22,30.0126122230433,1.0,1.0,1.0,1.0
776887,93.41,30.13017628966084,1.0,1.0,1.0,1.0
776888,93.6,30.24774035627837,1.0,1.0,-1.0,1.0
776889,96.09,32.66530442289592,1.0,1.0,1.0,1.0
776890,98.77,35.272868489513456,1.0,1.0,1.0,-1.0
776891,101.12,37.550432556131,1.0,-1.0,1.0,-1.0
776892,102.22,38.57799662274853,1.0,-1.0,1.0,-1.0
776893,112.42,48.705560689366074,-1.0,-1.0,-1.0,-1.0
776894,107.73,43.94312475598362,1.0,-1.0,1.0,-1.0
776895,110.68,46.820688822601156,1.0,-1.0,1.0,-1.0
776896,110.76,46.8282528892187,-1.0,-1.0,-1.0,-1.0
776897,108.87,44.86581695583624,1.0,-1.0,1.0,-1.0
776898,111.71,47.633381022453754,-1.0,-1.0,-1.0,-1.0
776899,109.14,44.990945089071325,-1.0,-1.0,-1.0,-1.0
776900,104.21,39.98850915568885,-1.0,-1.0,-1.0,-1.0
776901,102.9,38.60607322230639,-1.0,-1.0,-1.0,-1.0
776902,98.14,33.773637288923936,1.0,1.0,-1.0,1.0
776903,106.64,42.20120135554147,-1.0,-1.0,-1.0,-1.0
776904,105.24,40.728765422159,1.0,-1.0,-1.0,-1.0
776905,111.41,46.826329488776544,-1.0,-1.0,-1.0,-1.0
776906,108.73,44.07389355539409,-1.0,-1.0,-1.0,-1.0
776907,106.69,41.96145762201162,1.0,-1.0,-1.0,-1.0
776908,108.12,43.31902168862917,-1.0,-1.0,-1.0,-1.0
776909,104.47,39.596585755246714,-1.0,-1.0,-1.0,-1.0
776910,99.62,34.674149821864255,-1.0,-1.0,-1.0,-1.0
776911,93.15,28.131713888481784,1.0,-1.0,-1.0,-1.0
776912,99.04,33.94927795509933,-1.0,-1.0,-1.0,-1.0
776913,97.36,32.19684202171686,1.0,-1.0,-1.0,-1.0
776914,99.04,33.804406088334396,-1.0,-1.0,-1.0,-1.0
776915,99.0,33.691970154951946,1.0,-1.0,1.0,-1.0
776916,104.66,39.27953422156948,-1.0,-1.0,-1.0,-1.0
776917,104.44,38.987098288187006,-1.0,-1.0,-1.0,-1.0
776918,98.98,33.45466235480457,1.0,-1.0,1.0,-1.0
776919,103.54,37.9422264214221,-1.0,-1.0,-1.0,-1.0
776920,101.29,35.61979048803964,-1.0,-1.0,-1.0,-1.0
776921,95.65,29.90735455465717,-1.0,-1.0,-1.0,-1.0
776922,92.35,26.534918621274713,1.0,-1.0,1.0,-1.0
776923,94.1,28.21248268789225,1.0,-1.0,1.0,-1.0
776924,94.96,29.000046754509782,1.0,-1.0,1.0,-1.0
776925,99.77,33.737610821127326,-1.0,-1.0,-1.0,-1.0
776926,98.24,32.13517488774487,-1.0,-1.0,-1.0,-1.0
776927,98.23,32.05273895436241,1.0,-1.0,1.0,-1.0
776928,102.48,36.23030302097996,1.0,-1.0,1.0,-1.0
776929,102.8,36.477867087597495,-1.0,-1.0,-1.0,-1.0
776930,101.86,35.46543115421502,-1.0,-1.0,1.0,-1.0
776931,101.36,34.892995220832574,1.0,-1.0,1.0,-1.0
776932,103.53,36.99055928745011,-1.0,-1.0,-1.0,-1.0
776933,97.94,31.32812335406764,-1.0,-1.0,-1.0,-1.0
776934,97.71,31.025687420685173,-1.0,-1.0,1.0,-1.0
776935,94.29,27.53325148730273,1.0,-1.0,1.0,-1.0
776936,96.65,29.82081555392027,-1.0,-1.0,-1.0,-1.0
776937,95.64,28.7383796205378,-1.0,-1.0,-1.0,-1.0
776938,89.94,22.96594368715534,-1.0,-1.0,-1.0,-1.0
776939,87.82,20.77350775377288,-1.0,-1.0,-1.0,-1.0
776940,85.35,18.23107182039041,-1.0,-1.0,-1.0,-1.0
776941,84.1,16.90863588700796,-1.0,-1.0,-1.0,-1.0
776942,83.45,16.186199953625504,1.0,-1.0,1.0,-1.0
776943,90.14,22.80376402024304,1.0,-1.0,1.0,-1.0
776944,90.29,22.88132808686059,1.0,-1.0,1.0,-1.0
776945,92.39,24.90889215347812,-1.0,-1.0,-1.0,-1.0
776946,90.64,23.08645622009566,1.0,-1.0,1.0,-1.0
776947,94.6,26.9740202867132,1.0,-1.0,1.0,-1.0
776948,95.68,27.981584353330746,-1.0,-1.0,-1.0,-1.0
776949,94.38,26.60914841994827,-1.0,-1.0,-1.0,-1.0
776950,90.41,22.56671248656582,1.0,-1.0,1.0,-1.0
776951,91.36,23.44427655318336,-1.0,-1.0,-1.0,-1.0
776952,88.7,20.711840619800896,-1.0,-1.0,-1.0,-1.0
776953,86.17,18.109404686418443,1.0,-1.0,-1.0,-1.0
776954,86.2,18.066968753035983,-1.0,-1.0,-1.0,-1.0
