,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
778697,71.58,-12.940262879745688,-1.0,1.0,-1.0,1.0
778698,70.89,-13.655443736661725,-1.0,1.0,-1.0,1.0
778699,70.52,-14.050624593577766,-1.0,1.0,-1.0,1.0
778700,69.35,-15.245805450493805,1.0,1.0,1.0,1.0
778701,69.48,-15.140986307409833,1.0,1.0,1.0,1.0
778702,69.93,-14.716167164325867,1.0,1.0,1.0,1.0
778703,71.42,-13.251348021241924,1.0,1.0,-1.0,1.0
778704,72.64,-12.056528878157964,1.0,1.0,1.0,1.0
778705,74.78,-9.941709735074001,-1.0,1.0,-1.0,1.0
778706,74.46,-10.286890591990042,-1.0,1.0,-1.0,1.0
778707,73.59,-11.182071448906072,1.0,1.0,1.0,1.0
778708,73.83,-10.967252305822118,-1.0,1.0,1.0,1.0
778709,73.67,-11.152433162738149,1.0,1.0,1.0,1.0
778710,73.72,-11.127614019654189,-1.0,1.0,1.0,1.0
778711,73.51,-11.36279487657022,1.0,1.0,1.0,1.0
778712,73.85,-11.047975733486282,1.0,1.0,1.0,1.0
778713,74.83,-10.093156590402316,-1.0,1.0,-1.0,1.0
778714,74.65,-10.298337447318346,1.0,1.0,1.0,1.0
778715,76.03,-8.943518304234386,1.0,1.0,1.0,1.0
778716,76.72,-8.278699161150428,1.0,1.0,1.0,1.0
778717,77.51,-7.513880018066459,1.0,1.0,1.0,1.0
778718,77.85,-7.199060874982507,1.0,1.0,1.0,1.0
778719,77.93,-7.144241731898532,1.0,1.0,1.0,1.0
778720,78.89,-6.20942258881459,1.0,1.0,1.0,1.0
778721,79.92,-5.204603445730626,1.0,1.0,1.0,1.0
778722,80.32,-4.829784302646672,-1.0,1.0,1.0,1.0
778723,79.97,-5.204965159562704,1.0,1.0,1.0,1.0
778724,80.69,-4.510146016478743,1.0,1.0,1.0,1.0
778725,81.17,-4.055326873394777,1.0,1.0,1.0,1.0
778726,81.48,-3.7705077303108108,1.0,1.0,1.0,1.0
778727,82.81,-2.4656885872268504,-1.0,1.0,1.0,1.0
778728,82.68,-2.6208694441428837,1.0,1.0,1.0,1.0
778729,82.91,-2.4160503010589447,1.0,1.0,1.0,1.0
778730,83.26,-2.091231157974974,1.0,1.0,1.0,1.0
778731,83.34,-2.036412014891013,1.0,1.0,1.0,1.0
778732,84.08,-1.3215928718070558,1.0,1.0,1.0,1.0
