,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
782430,22.69,-5.026311815209041,-1.0,1.0,-1.0,1.0
782431,22.19,-5.532506583305409,-1.0,1.0,-1.0,1.0
782432,21.98,-5.748701351401774,-1.0,1.0,-1.0,1.0
782433,21.7,-6.034896119498138,-1.0,1.0,1.0,1.0
782434,20.84,-6.901090887594505,1.0,1.0,1.0,1.0
782435,21.49,-6.257285655690872,1.0,1.0,1.0,1.0
782436,21.96,-5.7934804237872335,-1.0,1.0,-1.0,1.0
782437,21.66,-6.099675191883597,-1.0,1.0,-1.0,1.0
782438,20.47,-7.295869959979968,-1.0,1.0,-1.0,1.0
782439,20.26,-7.5120647280763295,1.0,1.0,1.0,1.0
782440,20.5,-7.2782594961726925,1.0,1.0,1.0,1.0
782441,21.06,-6.724454264269062,1.0,1.0,1.0,1.0
782442,21.15,-6.640649032365428,1.0,1.0,1.0,1.0
782443,21.69,-6.10684380046179,-1.0,1.0,-1.0,1.0
782444,21.64,-6.163038568558153,1.0,1.0,1.0,1.0
782445,22.37,-5.439233336654521,1.0,1.0,1.0,1.0
782446,22.39,-5.4254281047508846,-1.0,1.0,-1.0,1.0
782447,22.16,-5.661622872847249,1.0,1.0,1.0,1.0
782448,22.24,-5.587817640943619,-1.0,1.0,-1.0,1.0
782449,21.58,-6.254012409039984,-1.0,1.0,-1.0,1.0
782450,21.22,-6.620207177136347,1.0,1.0,1.0,1.0
782451,21.6,-6.246401945232709,1.0,1.0,1.0,1.0
782452,21.73,-6.122596713329076,-1.0,1.0,-1.0,1.0
782453,21.54,-6.318791481425443,1.0,1.0,1.0,1.0
782454,22.06,-5.804986249521807,1.0,1.0,1.0,1.0
782455,22.28,-5.591181017618172,1.0,1.0,1.0,1.0
782456,22.59,-5.287375785714538,-1.0,1.0,-1.0,1.0
782457,22.55,-5.333570553810902,1.0,1.0,1.0,1.0
782458,23.13,-4.7597653219072695,-1.0,1.0,-1.0,1.0
782459,22.86,-5.035960090003633,-1.0,1.0,-1.0,1.0
782460,22.8,-5.102154858099997,-1.0,1.0,-1.0,1.0
782461,22.72,-5.188349626196364,1.0,1.0,1.0,1.0
782462,22.81,-5.1045443942927315,1.0,1.0,1.0,1.0
782463,22.88,-5.040739162389095,-1.0,1.0,-1.0,1.0
782464,22.7,-5.226933930485457,1.0,1.0,1.0,1.0
782465,23.11,-4.823128698581826,-1.0,1.0,-1.0,1.0
782466,23.1,-4.839323466678189,-1.0,1.0,-1.0,1.0
782467,22.82,-5.125518234774552,-1.0,1.0,-1.0,1.0
782468,22.53,-5.421713002870916,-1.0,1.0,-1.0,1.0
782469,22.51,-5.4479077709672845,1.0,1.0,-1.0,1.0
782470,22.83,-5.134102539063652,1.0,-1.0,1.0,-1.0
782471,22.87,-5.1002973071600115,-1.0,-1.0,-1.0,-1.0
782472,22.7,-5.276492075256382,1.0,-1.0,1.0,-1.0
782473,22.75,-5.232686843352745,1.0,-1.0,1.0,-1.0
782474,22.98,-5.008881611449108,1.0,-1.0,1.0,-1.0
782475,23.13,-4.8650763795454735,-1.0,-1.0,-1.0,-1.0
782476,23.1,-4.90127114764184,1.0,-1.0,1.0,-1.0
782477,23.38,-4.627465915738206,1.0,-1.0,1.0,-1.0
782478,23.83,-4.183660683834571,1.0,-1.0,1.0,-1.0
782479,24.08,-3.9398554519309386,-1.0,-1.0,1.0,-1.0
782480,23.73,-4.2960502200273005,1.0,-1.0,1.0,-1.0
782481,23.93,-4.1022449881236644,1.0,-1.0,1.0,-1.0
782482,24.12,-3.9184397562200286,1.0,-1.0,1.0,-1.0
782483,24.22,-3.824634524316398,-1.0,-1.0,-1.0,-1.0
782484,23.98,-4.0708292924127605,1.0,-1.0,1.0,-1.0
782485,24.2,-3.8570240605091257,1.0,-1.0,1.0,-1.0
782486,24.23,-3.833218828605492,-1.0,-1.0,-1.0,-1.0
782487,23.57,-4.4994135967018565,1.0,-1.0,1.0,1.0
782488,23.66,-4.415608364798222,1.0,-1.0,1.0,-1.0
782489,23.92,-4.161803132894587,-1.0,-1.0,-1.0,-1.0
782490,23.68,-4.407997900990953,1.0,-1.0,1.0,-1.0
782491,23.74,-4.354192669087318,1.0,-1.0,1.0,-1.0
782492,24.5,-3.6003874371836813,-1.0,-1.0,-1.0,-1.0
782493,24.46,-3.646582205280048,-1.0,-1.0,-1.0,1.0
782494,23.53,-4.582776973376411,1.0,-1.0,1.0,-1.0
782495,23.68,-4.438971741472777,1.0,-1.0,1.0,-1.0
782496,23.77,-4.355166509569145,-1.0,-1.0,-1.0,-1.0
782497,23.61,-4.521361277665509,1.0,-1.0,-1.0,-1.0
782498,24.13,-4.0075560457618735,-1.0,-1.0,-1.0,-1.0
782499,23.33,-4.813750813858238,-1.0,-1.0,-1.0,-1.0
782500,22.22,-5.929945581954605,-1.0,-1.0,-1.0,-1.0
782501,21.05,-7.106140350050968,-1.0,1.0,-1.0,1.0
782502,20.33,-7.832335118147334,1.0,1.0,-1.0,1.0
782503,21.48,-6.6885298862437,1.0,-1.0,1.0,-1.0
782504,21.81,-6.3647246543400655,1.0,-1.0,1.0,-1.0
782505,22.41,-5.770919422436428,-1.0,-1.0,-1.0,-1.0
782506,22.25,-5.937114190532792,-1.0,-1.0,-1.0,-1.0
782507,21.64,-6.55330895862916,-1.0,-1.0,-1.0,-1.0
782508,21.14,-7.059503726725524,-1.0,-1.0,-1.0,-1.0
782509,20.84,-7.365698494821888,-1.0,-1.0,-1.0,1.0
782510,20.2,-8.011893262918258,-1.0,-1.0,-1.0,-1.0
782511,19.11,-9.108088031014619,1.0,-1.0,1.0,1.0
782512,19.4,-8.824282799110986,-1.0,-1.0,-1.0,-1.0
782513,19.01,-9.22047756720735,1.0,-1.0,1.0,-1.0
782514,19.13,-9.106672335303717,1.0,-1.0,1.0,-1.0
782515,19.28,-8.962867103400077,1.0,-1.0,1.0,-1.0
782516,20.12,-8.129061871496443,-1.0,-1.0,-1.0,1.0
782517,19.75,-8.505256639592812,-1.0,-1.0,1.0,-1.0
782518,18.89,-9.371451407689175,1.0,1.0,1.0,1.0
782519,19.49,-8.777646175785543,1.0,-1.0,1.0,-1.0
782520,20.11,-8.163840943881908,-1.0,-1.0,-1.0,-1.0
782521,19.24,-9.040035711978273,-1.0,-1.0,-1.0,-1.0
782522,18.8,-9.486230480074637,1.0,1.0,1.0,-1.0
782523,19.23,-9.062425248171001,-1.0,-1.0,1.0,-1.0
782524,19.17,-9.128620016267368,1.0,1.0,1.0,1.0
782525,19.96,-8.34481478436373,1.0,-1.0,1.0,1.0
782526,20.02,-8.291009552460096,-1.0,-1.0,-1.0,-1.0
782527,19.94,-8.377204320556462,1.0,-1.0,1.0,-1.0
782528,21.08,-7.243399088652829,-1.0,-1.0,-1.0,-1.0
782529,20.9,-7.429593856749192,1.0,-1.0,-1.0,-1.0
782530,21.07,-7.2657886248455545,1.0,-1.0,-1.0,-1.0
782531,21.42,-6.921983392941923,-1.0,-1.0,-1.0,-1.0
782532,21.18,-7.168178161038287,-1.0,-1.0,-1.0,-1.0
782533,20.27,-8.084372929134652,-1.0,1.0,-1.0,-1.0
782534,20.15,-8.210567697231019,-1.0,1.0,-1.0,1.0
782535,19.79,-8.576762465327382,1.0,1.0,1.0,1.0
782536,19.82,-8.552957233423747,-1.0,1.0,-1.0,1.0
782537,19.43,-8.949152001520114,-1.0,1.0,-1.0,1.0
782538,18.51,-9.875346769616476,-1.0,1.0,-1.0,1.0
782539,18.28,-10.111541537712842,-1.0,1.0,-1.0,1.0
782540,17.9,-10.497736305809207,-1.0,1.0,-1.0,1.0
782541,17.67,-10.733931073905572,1.0,1.0,1.0,1.0
782542,17.83,-10.58012584200194,1.0,1.0,1.0,1.0
782543,18.78,-9.636320610098302,1.0,1.0,1.0,1.0
782544,19.1,-9.322515378194666,1.0,-1.0,1.0,-1.0
782545,19.13,-9.298710146291036,1.0,-1.0,1.0,-1.0
782546,19.22,-9.2149049143874,1.0,-1.0,1.0,-1.0
782547,19.47,-8.971099682483764,-1.0,-1.0,-1.0,-1.0
782548,19.29,-9.157294450580133,-1.0,-1.0,-1.0,-1.0
782549,19.28,-9.173489218676494,-1.0,-1.0,-1.0,-1.0
782550,18.67,-9.789683986772856,1.0,-1.0,1.0,-1.0
782551,18.75,-9.715878754869227,1.0,-1.0,1.0,-1.0
782552,19.23,-9.24207352296559,-1.0,-1.0,-1.0,-1.0
782553,19.01,-9.468268291061953,1.0,-1.0,1.0,-1.0
782554,19.52,-8.964463059158321,1.0,-1.0,1.0,1.0
782555,19.66,-8.830657827254688,1.0,-1.0,1.0,-1.0
782556,19.83,-8.666852595351052,-1.0,-1.0,-1.0,-1.0
782557,19.74,-8.763047363447416,-1.0,-1.0,-1.0,-1.0
782558,19.45,-9.059242131543783,-1.0,-1.0,-1.0,-1.0
782559,19.14,-9.375436899640146,1.0,1.0,1.0,1.0
782560,19.41,-9.11163166773651,1.0,1.0,1.0,1.0
782561,20.19,-8.337826435832874,1.0,-1.0,1.0,-1.0
782562,20.26,-8.274021203929241,1.0,-1.0,1.0,-1.0
782563,20.49,-8.050215972025608,1.0,-1.0,1.0,-1.0
782564,20.8,-7.74641074012197,1.0,-1.0,1.0,-1.0
782565,20.84,-7.712605508218338,-1.0,-1.0,-1.0,-1.0
782566,20.77,-7.788800276314702,-1.0,-1.0,-1.0,-1.0
782567,20.48,-8.084995044411066,-1.0,-1.0,-1.0,-1.0
782568,19.62,-8.951189812507431,-1.0,-1.0,-1.0,-1.0
782569,19.45,-9.1273845806038,-1.0,-1.0,-1.0,-1.0
782570,19.44,-9.14357934870016,0.0,-1.0,0.0,-1.0
782571,19.44,-9.149774116796523,1.0,-1.0,1.0,-1.0
782572,19.69,-8.905968884892893,-1.0,-1.0,-1.0,1.0
782573,19.38,-9.22216365298926,-1.0,-1.0,-1.0,1.0
782574,18.9,-9.708358421085624,-1.0,1.0,-1.0,1.0
782575,18.65,-9.964553189181991,-1.0,1.0,-1.0,1.0
782576,18.49,-10.130747957278356,-1.0,1.0,-1.0,1.0
782577,18.09,-10.536942725374717,1.0,1.0,1.0,1.0
782578,18.16,-10.473137493471082,0.0,1.0,-1.0,1.0
782579,18.16,-10.47933226156745,1.0,1.0,-1.0,1.0
782580,18.51,-10.135527029663812,-1.0,1.0,-1.0,1.0
782581,18.17,-10.481721797760175,-1.0,1.0,-1.0,1.0
782582,18.13,-10.527916565856547,1.0,1.0,1.0,1.0
782583,18.86,-9.80411133395291,1.0,1.0,1.0,1.0
782584,19.13,-9.540306102049275,1.0,1.0,1.0,1.0
782585,19.32,-9.356500870145636,-1.0,1.0,-1.0,-1.0
782586,19.0,-9.682695638242006,1.0,1.0,1.0,1.0
782587,19.21,-9.478890406338367,1.0,1.0,1.0,1.0
782588,19.28,-9.415085174434733,-1.0,1.0,-1.0,1.0
782589,19.26,-9.4412799425311,1.0,1.0,1.0,-1.0
782590,19.68,-9.027474710627466,-1.0,1.0,1.0,1.0
782591,19.34,-9.37366947872383,-1.0,1.0,-1.0,1.0
782592,19.1,-9.619864246820194,-1.0,1.0,-1.0,1.0
782593,18.44,-10.28605901491656,-1.0,1.0,-1.0,1.0
782594,18.4,-10.332253783012927,1.0,1.0,1.0,1.0
782595,18.86,-9.878448551109289,-1.0,1.0,-1.0,1.0
782596,18.81,-9.93464331920566,-1.0,1.0,-1.0,1.0
782597,18.65,-10.100838087302023,-1.0,1.0,-1.0,1.0
782598,18.5,-10.257032855398387,1.0,1.0,1.0,1.0
782599,18.85,-9.913227623494748,-1.0,1.0,-1.0,1.0
782600,18.73,-10.039422391591117,1.0,1.0,1.0,1.0
782601,18.89,-9.885617159687481,1.0,1.0,1.0,1.0
782602,19.06,-9.721811927783849,1.0,1.0,1.0,1.0
782603,19.11,-9.678006695880212,1.0,1.0,1.0,1.0
782604,19.37,-9.424201463976576,-1.0,1.0,-1.0,-1.0
782605,19.02,-9.780396232072944,1.0,1.0,-1.0,1.0
782606,19.27,-9.536591000169311,1.0,1.0,1.0,1.0
782607,19.32,-9.492785768265671,0.0,1.0,0.0,1.0
782608,19.32,-9.498980536362037,1.0,1.0,-1.0,1.0
782609,19.72,-9.105175304458404,-1.0,1.0,-1.0,-1.0
782610,19.71,-9.121370072554766,-1.0,1.0,-1.0,1.0
782611,19.61,-9.227564840651134,1.0,1.0,1.0,1.0
782612,21.53,-7.313759608747497,-1.0,1.0,-1.0,1.0
782613,21.29,-7.559954376843866,-1.0,1.0,-1.0,1.0
782614,21.24,-7.6161491449402305,1.0,1.0,1.0,1.0
782615,21.51,-7.352343913036591,-1.0,1.0,-1.0,1.0
782616,21.01,-7.858538681132956,1.0,1.0,1.0,1.0
782617,21.38,-7.494733449229326,-1.0,1.0,-1.0,1.0
782618,21.19,-7.690928217325688,-1.0,1.0,-1.0,1.0
782619,20.99,-7.897122985422055,-1.0,1.0,-1.0,1.0
782620,20.83,-8.063317753518422,-1.0,1.0,-1.0,1.0
782621,20.44,-8.459512521614784,1.0,1.0,1.0,1.0
782622,20.71,-8.195707289711148,1.0,1.0,1.0,1.0
782623,21.15,-7.761902057807517,1.0,1.0,1.0,1.0
782624,21.51,-7.408096825903879,-1.0,1.0,-1.0,1.0
782625,21.18,-7.744291594000245,1.0,1.0,1.0,1.0
782626,21.57,-7.360486362096609,-1.0,1.0,-1.0,1.0
782627,21.43,-7.506681130192977,1.0,1.0,1.0,1.0
782628,22.23,-6.712875898289339,1.0,1.0,-1.0,1.0
782629,22.34,-6.609070666385706,1.0,1.0,1.0,1.0
782630,22.6,-6.355265434482072,1.0,1.0,-1.0,1.0
782631,22.95,-6.011460202578437,-1.0,1.0,-1.0,1.0
782632,22.71,-6.2576549706748,1.0,1.0,-1.0,1.0
782633,23.61,-5.363849738771165,-1.0,1.0,-1.0,1.0
782634,23.05,-5.9300445068675325,-1.0,1.0,-1.0,1.0
782635,22.83,-6.156239274963897,-1.0,1.0,1.0,1.0
782636,22.7,-6.292434043060262,1.0,1.0,1.0,1.0
782637,23.16,-5.838628811156628,1.0,1.0,1.0,1.0
782638,23.49,-5.514823579252994,1.0,1.0,1.0,1.0
782639,23.51,-5.501018347349355,-1.0,1.0,-1.0,1.0
782640,23.41,-5.60721311544572,-1.0,1.0,-1.0,1.0
782641,22.95,-6.07340788354209,1.0,1.0,1.0,1.0
782642,23.27,-5.759602651638452,-1.0,1.0,-1.0,1.0
782643,22.9,-6.135797419734818,-1.0,1.0,1.0,1.0
782644,22.86,-6.1819921878311845,-1.0,1.0,1.0,1.0
782645,22.81,-6.2381869559275485,1.0,1.0,1.0,1.0
