,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
792253,54.07,-7.319090760981737,-1.0,1.0,-1.0,1.0
792254,53.56,-7.864357073920125,-1.0,1.0,-1.0,1.0
792255,52.63,-8.829623386858524,-1.0,1.0,-1.0,1.0
792256,51.61,-9.884889699796917,-1.0,1.0,-1.0,1.0
792257,49.21,-12.32015601273531,1.0,1.0,1.0,1.0
792258,51.1,-10.465422325673707,1.0,1.0,1.0,1.0
792259,52.08,-9.5206886386121,-1.0,1.0,-1.0,1.0
792260,51.86,-9.775954951550496,-1.0,1.0,1.0,1.0
792261,49.41,-12.261221264488888,1.0,1.0,1.0,1.0
792262,50.56,-11.14648757742728,1.0,1.0,1.0,1.0
792263,52.29,-9.451753890365673,1.0,1.0,1.0,1.0
792264,54.34,-7.4370202033040655,-1.0,1.0,-1.0,1.0
792265,54.01,-7.802286516242468,1.0,1.0,1.0,1.0
792266,55.47,-6.377552829180857,1.0,1.0,1.0,1.0
792267,55.87,-6.012819142119255,1.0,1.0,1.0,1.0
792268,56.84,-5.078085455057639,1.0,1.0,1.0,1.0
792269,57.01,-4.943351767996042,1.0,1.0,1.0,1.0
792270,58.74,-3.248618080934428,1.0,1.0,1.0,1.0
792271,59.98,-2.0438843938728297,-1.0,1.0,1.0,1.0
792272,57.94,-4.119150706811226,-1.0,1.0,-1.0,1.0
792273,56.65,-5.444417019749615,1.0,1.0,1.0,1.0
792274,57.3,-4.829683332688012,1.0,1.0,1.0,1.0
792275,58.13,-4.034949645626398,1.0,1.0,1.0,1.0
792276,59.76,-2.4402159585648,1.0,1.0,1.0,1.0
792277,61.25,-0.9854822715031945,-1.0,1.0,-1.0,1.0
792278,60.82,-1.450748584441584,-1.0,1.0,-1.0,1.0
792279,60.17,-2.1360148973799795,-1.0,1.0,-1.0,1.0
792280,59.8,-2.541281210318374,1.0,1.0,1.0,1.0
792281,60.68,-1.6965475232567684,1.0,1.0,1.0,1.0
792282,60.91,-1.5018138361951614,-1.0,1.0,1.0,1.0
792283,60.17,-2.2770801491335533,1.0,1.0,1.0,1.0
792284,61.74,-0.74234646207195,1.0,1.0,1.0,1.0
792285,62.06,-0.4576127750103396,1.0,1.0,1.0,1.0
792286,62.42,-0.13287908794873715,-1.0,1.0,-1.0,1.0
792287,61.17,-1.4181454008871268,1.0,1.0,1.0,1.0
792288,62.18,-0.443411713825526,-1.0,1.0,-1.0,1.0
792289,61.29,-1.3686780267639236,-1.0,1.0,-1.0,1.0
792290,58.96,-3.733944339702312,-1.0,1.0,-1.0,1.0
792291,57.9,-4.829210652640711,1.0,1.0,1.0,1.0
792292,58.19,-4.574476965579102,1.0,1.0,1.0,1.0
792293,59.58,-3.2197432785174978,-1.0,1.0,-1.0,1.0
792294,58.88,-3.955009591455884,-1.0,1.0,-1.0,1.0
792295,57.13,-5.740275904394281,-1.0,1.0,-1.0,1.0
792296,56.86,-6.045542217332682,1.0,1.0,1.0,1.0
792297,58.67,-4.2708085302710685,1.0,1.0,1.0,1.0
792298,58.72,-4.256074843209468,1.0,1.0,1.0,1.0
792299,59.38,-3.631341156147855,1.0,1.0,1.0,1.0
792300,60.35,-2.6966074690862527,1.0,1.0,1.0,1.0
792301,61.82,-1.2618737820246435,1.0,1.0,1.0,1.0
792302,62.36,-0.7571400949630416,-1.0,1.0,-1.0,1.0
792303,61.15,-2.0024064079014394,1.0,1.0,-1.0,1.0
792304,61.47,-1.7176727208398292,1.0,1.0,1.0,1.0
792305,62.89,-0.3329390337782243,1.0,1.0,1.0,1.0
792306,63.18,-0.07820534671661505,-1.0,1.0,-1.0,1.0
792307,62.31,-0.9834716596550096,1.0,1.0,1.0,1.0
792308,63.6,0.27126202740659977,1.0,1.0,1.0,1.0
792309,64.53,1.1659957144682025,-1.0,1.0,-1.0,1.0
792310,63.84,0.4407294015298078,1.0,1.0,1.0,1.0
792311,64.74,1.3054630885914094,1.0,1.0,1.0,1.0
792312,65.21,1.7401967756530112,-1.0,1.0,-1.0,1.0
792313,64.07,0.5649304627146208,1.0,1.0,1.0,1.0
792314,64.42,0.8796641497762323,1.0,1.0,1.0,1.0
792315,67.44,3.8643978368378384,-1.0,1.0,-1.0,1.0
792316,66.54,2.9291315238994504,-1.0,1.0,-1.0,1.0
792317,65.77,2.1238652109610427,1.0,1.0,1.0,1.0
792318,66.87,3.1885988980226614,1.0,1.0,1.0,1.0
792319,67.13,3.4133325850842557,1.0,1.0,-1.0,1.0
792320,68.08,4.328066272145868,1.0,1.0,1.0,1.0
792321,69.46,5.672799959207468,-1.0,1.0,-1.0,1.0
792322,67.85,4.02753364626907,-1.0,1.0,-1.0,1.0
792323,67.72,3.862267333330685,-1.0,1.0,-1.0,1.0
792324,65.04,1.1470010203922951,-1.0,1.0,-1.0,1.0
792325,61.19,-2.738265292546103,1.0,1.0,1.0,1.0
792326,67.1,3.1364683945154965,1.0,1.0,1.0,1.0
792327,68.16,4.161202081577109,1.0,1.0,1.0,1.0
792328,71.58,7.545935768638714,1.0,1.0,1.0,1.0
792329,71.95,7.880669455700327,-1.0,1.0,-1.0,1.0
792330,70.72,6.615403142761919,-1.0,1.0,-1.0,1.0
792331,69.66,5.520136829823529,-1.0,1.0,-1.0,1.0
792332,68.65,4.474870516885146,-1.0,1.0,1.0,1.0
792333,67.17,2.9596042039467534,-1.0,1.0,-1.0,1.0
792334,62.95,-1.2956621089916496,1.0,1.0,1.0,1.0
792335,65.85,1.5690715780699518,-1.0,1.0,-1.0,1.0
792336,65.62,1.3038052651315724,1.0,1.0,1.0,1.0
792337,66.07,1.7185389521931569,1.0,1.0,1.0,1.0
792338,67.61,3.2232726392547733,1.0,1.0,1.0,1.0
792339,72.45,8.028006326316387,1.0,1.0,1.0,1.0
792340,73.48,9.022740013377998,1.0,1.0,1.0,1.0
792341,74.34,9.847473700439592,1.0,1.0,1.0,-1.0
792342,78.66,14.132207387501195,-1.0,-1.0,-1.0,-1.0
792343,77.33,12.766941074562807,-1.0,-1.0,1.0,-1.0
792344,74.35,9.7516747616244,1.0,-1.0,1.0,-1.0
792345,75.28,10.646408448686016,-1.0,-1.0,-1.0,-1.0
792346,75.0,10.331142135747626,1.0,-1.0,1.0,-1.0
792347,75.64,10.935875822809225,1.0,1.0,1.0,1.0
792348,77.79,13.050609509870839,1.0,-1.0,1.0,1.0
792349,79.21,14.435343196932434,1.0,-1.0,1.0,-1.0
792350,79.8,14.99007688399405,1.0,-1.0,1.0,-1.0
792351,80.23,15.384810571055652,-1.0,-1.0,1.0,-1.0
792352,79.67,14.78954425811726,-1.0,-1.0,-1.0,-1.0
792353,79.32,14.404277945178864,1.0,-1.0,1.0,-1.0
792354,79.66,14.70901163224046,-1.0,-1.0,-1.0,-1.0
792355,77.5,12.513745319302075,-1.0,-1.0,-1.0,-1.0
792356,73.13,8.108479006363678,1.0,1.0,1.0,-1.0
792357,73.56,8.503212693425297,-1.0,-1.0,-1.0,-1.0
792358,71.95,6.857946380486894,1.0,1.0,1.0,1.0
792359,72.95,7.822680067548504,1.0,-1.0,1.0,-1.0
792360,73.37,8.207413754610117,-1.0,-1.0,-1.0,-1.0
792361,71.69,6.4921474416717055,-1.0,-1.0,-1.0,-1.0
