,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
796204,24.38,-1.1723459056599488,-1.0,1.0,-1.0,1.0
796205,24.22,-1.3483790381905827,1.0,1.0,1.0,1.0
796206,24.48,-1.1044121707212151,-1.0,1.0,-1.0,1.0
796207,24.01,-1.5904453032518509,-1.0,1.0,1.0,1.0
796208,23.58,-2.036478435782488,1.0,1.0,1.0,1.0
796209,23.98,-1.6525115683131195,1.0,1.0,1.0,1.0
796210,24.27,-1.378544700843758,1.0,1.0,1.0,1.0
796211,24.51,-1.1545778333743897,-1.0,1.0,-1.0,1.0
796212,23.28,-2.400610965905024,1.0,1.0,1.0,1.0
796213,23.62,-2.0766440984356613,-1.0,1.0,-1.0,1.0
796214,23.46,-2.2526772309662952,1.0,1.0,1.0,1.0
796215,23.81,-1.9187103634969347,1.0,1.0,1.0,1.0
796216,23.95,-1.794743496027568,1.0,1.0,1.0,1.0
796217,24.46,-1.3007766285582,1.0,1.0,1.0,1.0
796218,24.56,-1.2168097610888395,1.0,1.0,1.0,1.0
796219,25.04,-0.7528428936194729,1.0,1.0,1.0,1.0
796220,25.1,-0.7088760261501044,1.0,1.0,1.0,1.0
796221,25.52,-0.30490915868074353,1.0,1.0,1.0,1.0
796222,25.71,-0.13094229121137602,-1.0,1.0,-1.0,1.0
796223,25.5,-0.3569754237420142,-1.0,1.0,-1.0,1.0
796224,25.15,-0.7230085562726494,1.0,1.0,1.0,1.0
796225,25.91,0.020958311196718427,1.0,1.0,1.0,1.0
796226,25.98,0.0749251786660814,-1.0,1.0,-1.0,1.0
796227,25.83,-0.0911079538645545,1.0,1.0,1.0,1.0
796228,26.4,0.462858913604812,-1.0,1.0,-1.0,1.0
796229,26.38,0.4268257810741751,-1.0,1.0,-1.0,1.0
796230,26.2,0.23079264854354165,1.0,1.0,1.0,1.0
796231,26.22,0.23475951601290745,1.0,1.0,1.0,1.0
796232,26.71,0.7087263834822721,-1.0,1.0,-1.0,1.0
796233,26.63,0.6126932509516365,-1.0,1.0,-1.0,1.0
796234,26.62,0.5866601184210047,1.0,1.0,1.0,1.0
796235,26.9,0.8506269858903649,-1.0,1.0,-1.0,1.0
796236,26.5,0.4345938533597327,1.0,1.0,1.0,1.0
796237,26.61,0.5285607208290948,-1.0,-1.0,-1.0,-1.0
796238,26.35,0.252527588298463,1.0,1.0,1.0,1.0
796239,26.93,0.8164944557678275,1.0,-1.0,-1.0,-1.0
796240,27.31,1.1804613232371892,-1.0,-1.0,-1.0,-1.0
796241,27.06,0.9144281907065556,-1.0,-1.0,-1.0,-1.0
796242,26.6,0.4383950581759244,1.0,-1.0,1.0,-1.0
796243,27.07,0.8923619256452859,1.0,-1.0,1.0,-1.0
796244,27.32,1.1263287931146522,-1.0,-1.0,-1.0,-1.0
796245,25.81,-0.3997043394159867,-1.0,-1.0,-1.0,1.0
796246,25.45,-0.7757374719466199,-1.0,-1.0,1.0,-1.0
796247,25.4,-0.8417706044772544,1.0,-1.0,1.0,-1.0
796248,25.71,-0.5478037370078894,1.0,-1.0,1.0,-1.0
796249,25.72,-0.5538368695385252,-1.0,-1.0,-1.0,-1.0
796250,25.5,-0.7898700020691578,1.0,-1.0,1.0,-1.0
796251,26.34,0.034096865400204734,1.0,-1.0,1.0,-1.0
796252,26.53,0.20806373286957225,1.0,-1.0,1.0,-1.0
796253,26.58,0.24203060033893564,-1.0,-1.0,-1.0,-1.0
796254,26.22,-0.1340025321917011,1.0,-1.0,1.0,1.0
796255,26.38,0.00996433527766527,1.0,-1.0,1.0,-1.0
796256,26.63,0.24393120274702795,1.0,-1.0,1.0,-1.0
796257,26.84,0.43789807021639504,1.0,-1.0,1.0,-1.0
796258,27.65,1.23186493768576,1.0,-1.0,-1.0,-1.0
796259,27.73,1.2958318051551243,-1.0,-1.0,-1.0,-1.0
796260,27.49,1.0397986726244888,-1.0,-1.0,-1.0,-1.0
796261,27.26,0.7937655400938581,1.0,-1.0,1.0,-1.0
796262,27.62,1.1377324075632202,-1.0,-1.0,-1.0,-1.0
796263,27.21,0.7116992750325863,1.0,-1.0,-1.0,-1.0
796264,27.52,1.0056661425019475,-1.0,-1.0,-1.0,-1.0
796265,27.3,0.7696330099713151,-1.0,-1.0,-1.0,-1.0
796266,27.23,0.6835998774406811,-1.0,-1.0,-1.0,-1.0
796267,26.3,-0.262433255089956,1.0,-1.0,1.0,-1.0
796268,26.63,0.05153361237940857,1.0,-1.0,1.0,-1.0
796269,26.79,0.19550047984877492,-1.0,-1.0,-1.0,-1.0
796270,25.79,-0.8205326526818624,1.0,-1.0,1.0,-1.0
796271,26.35,-0.27656578521249386,-1.0,1.0,1.0,1.0
796272,25.48,-1.1625989177431286,-1.0,1.0,-1.0,1.0
796273,25.32,-1.3386320502737659,-1.0,1.0,-1.0,1.0
796274,24.72,-1.9546651828044013,-1.0,1.0,-1.0,1.0
796275,24.44,-2.250698315335036,1.0,1.0,-1.0,1.0
796276,25.23,-1.4767314478656708,-1.0,1.0,-1.0,1.0
796277,25.06,-1.6627645803963065,1.0,1.0,-1.0,1.0
796278,25.69,-1.048797712926941,-1.0,1.0,-1.0,1.0
796279,24.65,-2.104830845457577,-1.0,1.0,-1.0,1.0
796280,24.05,-2.720863977988209,1.0,1.0,1.0,1.0
796281,24.78,-2.006897110518846,-1.0,1.0,-1.0,1.0
796282,24.06,-2.742930243049482,1.0,1.0,1.0,1.0
796283,24.25,-2.5689633755801182,-1.0,1.0,-1.0,1.0
796284,23.91,-2.9249965081107523,1.0,1.0,1.0,1.0
796285,24.34,-2.5110296406413855,-1.0,1.0,1.0,1.0
796286,23.68,-3.187062773172024,1.0,1.0,1.0,1.0
796287,23.74,-3.1430959057026584,1.0,1.0,1.0,1.0
796288,23.78,-3.119129038233289,1.0,1.0,1.0,1.0
796289,24.88,-2.035162170763929,-1.0,1.0,-1.0,1.0
796290,24.45,-2.4811953032945624,-1.0,1.0,-1.0,1.0
796291,23.9,-3.0472284358251964,1.0,1.0,1.0,1.0
796292,24.66,-2.3032615683558326,1.0,1.0,-1.0,1.0
796293,25.24,-1.739294700886468,-1.0,1.0,-1.0,1.0
796294,24.96,-2.035327833417103,-1.0,1.0,-1.0,1.0
796295,24.29,-2.7213609659477385,-1.0,1.0,-1.0,1.0
796296,24.15,-2.8773940984783732,-1.0,1.0,-1.0,1.0
796297,23.79,-3.253427231009009,1.0,1.0,1.0,1.0
796298,24.59,-2.4694603635396426,1.0,1.0,-1.0,1.0
796299,25.07,-2.005493496070276,-1.0,1.0,1.0,1.0
796300,24.85,-2.241526628600912,1.0,1.0,1.0,1.0
796301,26.36,-0.7475597611315479,1.0,1.0,-1.0,1.0
796302,26.66,-0.4635928936621845,0.0,1.0,0.0,1.0
796303,26.66,-0.4796260261928182,1.0,1.0,1.0,1.0
796304,26.8,-0.35565915872345144,-1.0,1.0,-1.0,1.0
796305,26.31,-0.8616922912540907,-1.0,1.0,-1.0,1.0
796306,26.02,-1.1677254237847237,1.0,1.0,-1.0,1.0
796307,26.26,-0.9437585563153554,-1.0,1.0,-1.0,1.0
796308,25.91,-1.3097916888459942,-1.0,1.0,-1.0,1.0
796309,25.9,-1.3358248213766295,1.0,1.0,-1.0,1.0
796310,26.05,-1.2018579539072611,-1.0,1.0,-1.0,1.0
796311,25.28,-1.9878910864378982,-1.0,1.0,-1.0,1.0
796312,25.26,-2.023924218968532,1.0,1.0,1.0,1.0
796313,25.54,-1.7599573514991675,-1.0,-1.0,-1.0,-1.0
796314,25.33,-1.9859904840298055,1.0,-1.0,1.0,-1.0
796315,25.39,-1.9420236165604368,1.0,1.0,1.0,1.0
796316,26.91,-0.43805674909107495,1.0,-1.0,1.0,-1.0
796317,27.02,-0.3440898816217093,1.0,-1.0,1.0,-1.0
796318,27.62,0.2398769858476584,1.0,-1.0,1.0,-1.0
796319,27.84,0.4438438533170199,1.0,-1.0,1.0,-1.0
796320,28.64,1.2278107207863869,-1.0,-1.0,-1.0,-1.0
796321,28.18,0.7517775882557487,1.0,-1.0,1.0,-1.0
796322,28.54,1.0957444557251144,-1.0,-1.0,-1.0,-1.0
796323,27.59,0.1297113231944813,1.0,-1.0,1.0,-1.0
796324,28.71,1.233678190663845,-1.0,-1.0,-1.0,-1.0
796325,28.45,0.9576450581332095,-1.0,-1.0,-1.0,-1.0
796326,27.8,0.2916119256025773,1.0,-1.0,1.0,-1.0
796327,28.78,1.2555787930719404,1.0,-1.0,1.0,-1.0
796328,29.2,1.6595456605413048,1.0,-1.0,1.0,-1.0
796329,29.28,1.7235125280106731,-1.0,-1.0,1.0,-1.0
796330,28.93,1.3574793954800342,-1.0,-1.0,-1.0,-1.0
796331,28.5,0.9114462629494008,-1.0,-1.0,-1.0,-1.0
796332,27.81,0.20541313041876566,1.0,-1.0,1.0,-1.0
796333,27.92,0.2993799978881313,1.0,-1.0,1.0,-1.0
796334,28.06,0.42334686535749455,-1.0,-1.0,-1.0,-1.0
796335,27.87,0.2173137328268595,1.0,-1.0,-1.0,-1.0
796336,28.04,0.3712806002962239,-1.0,-1.0,-1.0,-1.0
796337,27.87,0.185247467765592,1.0,-1.0,1.0,-1.0
796338,27.91,0.2092143352349538,-1.0,-1.0,-1.0,-1.0
796339,27.73,0.013181202704320329,-1.0,-1.0,-1.0,-1.0
796340,27.56,-0.1728519298263187,-1.0,-1.0,-1.0,-1.0
796341,26.85,-0.8988850623569498,-1.0,-1.0,-1.0,-1.0
796342,25.5,-2.264918194887585,-1.0,1.0,-1.0,1.0
796343,25.04,-2.740951327418223,1.0,1.0,1.0,1.0
796344,25.11,-2.6869844599488566,1.0,1.0,1.0,1.0
796345,25.4,-2.4130175924794908,1.0,1.0,1.0,1.0
796346,25.64,-2.1890507250101265,-1.0,1.0,-1.0,1.0
796347,25.3,-2.5450838575407597,1.0,1.0,-1.0,1.0
796348,25.45,-2.411116990071396,-1.0,1.0,-1.0,1.0
796349,25.05,-2.8271501226020312,-1.0,1.0,-1.0,1.0
796350,24.89,-3.003183255132665,1.0,1.0,-1.0,1.0
796351,24.95,-2.9592163876633,-1.0,1.0,-1.0,1.0
796352,24.48,-3.4452495201939364,1.0,1.0,-1.0,1.0
796353,24.93,-3.0112826527245713,-1.0,1.0,-1.0,1.0
796354,24.31,-3.647315785255209,-1.0,1.0,-1.0,1.0
796355,24.14,-3.833348917785841,1.0,1.0,-1.0,1.0
796356,24.67,-3.3193820503164737,1.0,1.0,1.0,1.0
796357,25.18,-2.825415182847113,1.0,1.0,1.0,1.0
796358,25.39,-2.6314483153777464,-1.0,1.0,1.0,1.0
796359,24.97,-3.0674814479083814,1.0,1.0,-1.0,1.0
796360,25.13,-2.9235145804390186,-1.0,1.0,-1.0,1.0
796361,24.76,-3.3095477129696502,-1.0,1.0,-1.0,1.0
796362,24.67,-3.415580845500287,1.0,1.0,1.0,1.0
796363,25.28,-2.8216139780309213,1.0,1.0,1.0,1.0
796364,26.13,-1.9876471105615567,-1.0,-1.0,-1.0,1.0
796365,26.06,-2.0736802430921952,1.0,1.0,1.0,1.0
796366,26.27,-1.879713375622828,1.0,-1.0,1.0,-1.0
796367,26.45,-1.7157465081534615,-1.0,1.0,1.0,1.0
796368,26.18,-2.001779640684098,-1.0,1.0,-1.0,1.0
796369,26.02,-2.1778127732147325,-1.0,1.0,-1.0,1.0
796370,25.33,-2.883845905745368,1.0,1.0,-1.0,1.0
796371,25.34,-2.889879038276004,1.0,1.0,1.0,1.0
796372,26.54,-1.7059121708066378,-1.0,1.0,1.0,1.0
796373,26.18,-2.081945303337271,1.0,1.0,1.0,1.0
796374,26.81,-1.467978435867909,1.0,1.0,-1.0,1.0
796375,27.05,-1.244011568398541,-1.0,1.0,-1.0,1.0
796376,26.64,-1.6700447009291786,-1.0,-1.0,-1.0,1.0
796377,26.35,-1.9760778334598117,-1.0,1.0,-1.0,1.0
796378,25.75,-2.5921109659904467,1.0,1.0,1.0,1.0
796379,26.35,-2.0081440985210826,-1.0,-1.0,-1.0,-1.0
796380,25.71,-2.664177231051717,1.0,1.0,1.0,1.0
796381,25.93,-2.460210363582356,1.0,1.0,1.0,1.0
796382,26.08,-2.3262434961129905,1.0,1.0,1.0,1.0
796383,26.61,-1.8122766286436232,1.0,1.0,1.0,1.0
796384,26.83,-1.6083097611742616,-1.0,1.0,-1.0,1.0
796385,26.57,-1.8843428937048932,-1.0,1.0,-1.0,1.0
796386,26.48,-1.9903760262355268,0.0,1.0,0.0,1.0
796387,26.48,-2.0064091587661643,-1.0,1.0,-1.0,1.0
796388,26.34,-2.1624422912967987,0.0,1.0,-1.0,1.0
796389,26.34,-2.1784754238274324,-1.0,1.0,-1.0,1.0
796390,26.01,-2.5245085563580685,-1.0,1.0,-1.0,1.0
796391,25.17,-3.3805416888887017,1.0,1.0,1.0,1.0
796392,25.2,-3.366574821419338,1.0,1.0,1.0,1.0
796393,25.45,-3.132607953949975,-1.0,1.0,-1.0,1.0
796394,25.31,-3.288641086480609,1.0,1.0,1.0,1.0
796395,26.12,-2.4946742190112445,1.0,1.0,1.0,1.0
796396,26.22,-2.4107073515418804,1.0,1.0,1.0,1.0
796397,26.8,-1.8467404840725123,1.0,1.0,1.0,1.0
796398,26.83,-1.8327736166031519,1.0,1.0,1.0,1.0
796399,27.15,-1.5288067491337856,1.0,1.0,1.0,1.0
796400,27.24,-1.454839881664423,1.0,1.0,1.0,1.0
796401,27.85,-0.8608730141950538,-1.0,1.0,1.0,1.0
796402,27.73,-0.9969061467256886,1.0,1.0,1.0,1.0
796403,27.82,-0.9229392792563259,-1.0,1.0,1.0,1.0
796404,27.37,-1.3889724117869588,1.0,1.0,1.0,1.0
796405,27.42,-1.355005544317592,-1.0,1.0,-1.0,1.0
796406,26.5,-2.291038676848231,1.0,1.0,1.0,1.0
796407,26.64,-2.1670718093788643,-1.0,1.0,-1.0,1.0
796408,26.45,-2.3731049419094994,-1.0,1.0,-1.0,1.0
796409,26.3,-2.5391380744401357,1.0,1.0,1.0,1.0
796410,26.7,-2.1551712069707705,1.0,1.0,1.0,1.0
796411,27.02,-1.8512043395014042,1.0,1.0,1.0,1.0
796412,27.18,-1.7072374720320411,1.0,1.0,1.0,1.0
796413,27.27,-1.633270604562675,1.0,1.0,1.0,1.0
796414,27.28,-1.6393037370933108,1.0,1.0,1.0,1.0
796415,27.68,-1.2553368696239462,-1.0,1.0,-1.0,1.0
796416,27.52,-1.43137000215458,-1.0,1.0,-1.0,1.0
796417,27.43,-1.5374031346852168,-1.0,1.0,-1.0,1.0
796418,27.13,-1.8534362672158515,1.0,1.0,-1.0,1.0
796419,27.99,-1.009469399746486,1.0,1.0,1.0,1.0
796420,28.53,-0.4855025322771205,1.0,1.0,1.0,1.0
796421,28.87,-0.1615356648077544,-1.0,1.0,-1.0,1.0
796422,28.61,-0.4375687973383933,-1.0,1.0,-1.0,1.0
796423,28.59,-0.4736019298690266,1.0,1.0,1.0,1.0
796424,28.85,-0.2296350623996588,-1.0,1.0,-1.0,1.0
796425,28.5,-0.5956681949302975,1.0,1.0,1.0,1.0
796426,28.65,-0.4617013274609327,-1.0,1.0,-1.0,1.0
796427,28.51,-0.6177344599915635,1.0,1.0,-1.0,1.0
796428,28.53,-0.6137675925222013,-1.0,1.0,-1.0,1.0
796429,28.23,-0.9298007250528356,1.0,1.0,1.0,1.0
796430,28.66,-0.5158338575834698,-1.0,1.0,-1.0,1.0
796431,28.21,-0.9818669901141064,-1.0,1.0,-1.0,1.0
796432,28.11,-1.0979001226447416,1.0,1.0,1.0,1.0
796433,28.39,-0.8339332551753778,1.0,1.0,-1.0,-1.0
796434,28.63,-0.6099663877060131,1.0,1.0,1.0,1.0
796435,28.83,-0.4259995202366476,1.0,1.0,1.0,1.0
796436,28.99,-0.28203265276728473,1.0,1.0,1.0,1.0
