,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
798070,65.85,-9.654992716630957,1.0,1.0,1.0,1.0
798071,65.92,-9.594173778809946,-1.0,1.0,-1.0,1.0
798072,65.54,-9.983354840988936,-1.0,1.0,-1.0,1.0
798073,64.96,-10.572535903167946,-1.0,1.0,-1.0,1.0
798074,64.43,-11.111716965346945,1.0,1.0,1.0,1.0
798075,66.18,-9.37089802752594,1.0,1.0,1.0,1.0
798076,66.96,-8.600079089704947,-1.0,1.0,-1.0,1.0
798077,66.6,-8.969260151883958,-1.0,1.0,-1.0,1.0
798078,64.72,-10.858441214062948,1.0,1.0,1.0,1.0
798079,64.8,-10.787622276241946,-1.0,1.0,-1.0,1.0
798080,64.35,-11.24680333842096,1.0,1.0,1.0,-1.0
798081,65.2,-10.405984400599946,-1.0,1.0,-1.0,1.0
798082,64.85,-10.765165462778953,1.0,1.0,-1.0,1.0
798083,65.24,-10.384346524957964,-1.0,1.0,-1.0,1.0
798084,64.8,-10.833527587136958,1.0,1.0,1.0,1.0
798085,66.28,-9.362708649315948,-1.0,1.0,-1.0,1.0
798086,65.76,-9.891889711494938,1.0,1.0,1.0,1.0
798087,65.96,-9.701070773673962,-1.0,1.0,-1.0,1.0
798088,65.87,-9.800251835852947,-1.0,1.0,-1.0,1.0
798089,65.4,-10.279432898031942,-1.0,1.0,-1.0,1.0
798090,64.94,-10.74861396021096,1.0,1.0,1.0,1.0
798091,65.55,-10.147795022389957,-1.0,1.0,-1.0,1.0
798092,65.14,-10.56697608456895,-1.0,1.0,-1.0,1.0
798093,65.0,-10.71615714674796,1.0,1.0,1.0,1.0
798094,65.4,-10.325338208926949,1.0,1.0,1.0,1.0
798095,65.49,-10.244519271105958,-1.0,1.0,-1.0,1.0
798096,65.43,-10.313700333284944,-1.0,1.0,-1.0,1.0
798097,65.4,-10.352881395463953,1.0,1.0,1.0,1.0
798098,66.47,-9.292062457642958,1.0,1.0,-1.0,1.0
798099,66.48,-9.291243519821947,1.0,1.0,1.0,-1.0
798100,66.78,-9.000424582000962,1.0,1.0,1.0,1.0
798101,67.22,-8.569605644179957,0.0,1.0,-1.0,1.0
798102,67.22,-8.578786706358954,-1.0,1.0,-1.0,1.0
798103,66.8,-9.007967768537966,-1.0,1.0,-1.0,1.0
798104,66.3,-9.517148830716962,1.0,1.0,-1.0,1.0
798105,66.57,-9.256329892895963,1.0,1.0,1.0,1.0
798106,67.36,-8.475510955074968,1.0,1.0,1.0,1.0
798107,67.39,-8.45469201725396,-1.0,1.0,-1.0,1.0
798108,67.04,-8.813873079432954,-1.0,1.0,-1.0,1.0
798109,66.97,-8.893054141611955,-1.0,-1.0,-1.0,-1.0
798110,66.95,-8.922235203790963,-1.0,-1.0,-1.0,-1.0
798111,66.5,-9.38141626596996,-1.0,-1.0,-1.0,-1.0
798112,66.3,-9.590597328148961,1.0,-1.0,1.0,-1.0
798113,66.54,-9.359778390327962,1.0,-1.0,1.0,-1.0
798114,67.3,-8.608959452506966,-1.0,-1.0,-1.0,-1.0
798115,67.05,-8.868140514685964,-1.0,-1.0,-1.0,-1.0
798116,66.98,-8.947321576864965,1.0,-1.0,1.0,-1.0
798117,67.61,-8.326502639043966,1.0,-1.0,1.0,-1.0
798118,68.19,-7.755683701222964,-1.0,-1.0,-1.0,-1.0
798119,67.9,-8.054864763401952,-1.0,-1.0,-1.0,-1.0
798120,67.34,-8.624045825580964,1.0,-1.0,1.0,-1.0
798121,67.86,-8.113226887759962,1.0,-1.0,1.0,-1.0
798122,68.76,-7.2224079499389555,-1.0,-1.0,-1.0,-1.0
798123,68.71,-7.281589012117977,-1.0,-1.0,-1.0,-1.0
798124,68.66,-7.3407700742969695,-1.0,-1.0,-1.0,-1.0
798125,68.61,-7.399951136475963,-1.0,-1.0,-1.0,-1.0
798126,68.26,-7.759132198654967,-1.0,-1.0,-1.0,-1.0
798127,67.93,-8.098313260833963,1.0,-1.0,1.0,-1.0
798128,68.23,-7.80749432301296,1.0,-1.0,1.0,-1.0
798129,68.97,-7.076675385191977,-1.0,-1.0,-1.0,-1.0
798130,68.92,-7.135856447370969,-1.0,-1.0,-1.0,-1.0
798131,68.56,-7.505037509549965,1.0,-1.0,1.0,-1.0
798132,69.24,-6.834218571728967,1.0,-1.0,1.0,1.0
798133,69.29,-6.793399633907968,-1.0,-1.0,-1.0,1.0
798134,68.27,-7.822580696086973,1.0,-1.0,1.0,-1.0
798135,69.19,-6.911761758265968,-1.0,-1.0,-1.0,1.0
798136,68.66,-7.450942820444978,-1.0,-1.0,-1.0,-1.0
798137,67.77,-8.350123882623976,1.0,-1.0,1.0,-1.0
798138,67.84,-8.289304944802964,-1.0,-1.0,-1.0,-1.0
798139,66.47,-9.668486006981981,-1.0,-1.0,-1.0,-1.0
798140,66.17,-9.977667069160972,-1.0,-1.0,-1.0,-1.0
798141,63.89,-12.26684813133997,-1.0,-1.0,-1.0,-1.0
798142,63.7,-12.466029193518965,1.0,-1.0,1.0,-1.0
798143,65.23,-10.945210255697972,-1.0,-1.0,-1.0,-1.0
798144,64.46,-11.72439131787698,1.0,-1.0,1.0,-1.0
798145,64.91,-11.283572380055974,-1.0,-1.0,-1.0,-1.0
