,Close,Target(1),Target(30),Prediction(1),Prediction(30)
799937,34.48,-1.0,1.0,-1.0,1.0
799938,34.23,-1.0,1.0,-1.0,1.0
799939,34.06,-1.0,1.0,-1.0,1.0
799940,33.44,1.0,1.0,1.0,1.0
799941,33.53,1.0,1.0,1.0,1.0
799942,33.58,1.0,1.0,-1.0,1.0
799943,34.51,-1.0,1.0,-1.0,1.0
799944,33.87,-1.0,1.0,-1.0,1.0
799945,32.79,-1.0,1.0,-1.0,1.0
799946,32.69,1.0,1.0,-1.0,-1.0
799947,33.1,1.0,1.0,-1.0,1.0
799948,33.94,-1.0,1.0,-1.0,1.0
799949,33.79,-1.0,1.0,-1.0,1.0
799950,33.01,-1.0,1.0,-1.0,1.0
799951,32.64,1.0,1.0,1.0,1.0
799952,33.01,1.0,1.0,-1.0,1.0
799953,33.12,1.0,1.0,1.0,1.0
799954,33.31,-1.0,1.0,-1.0,1.0
799955,32.94,-1.0,1.0,-1.0,1.0
799956,32.81,1.0,1.0,-1.0,1.0
799957,32.83,1.0,1.0,1.0,1.0
799958,33.0,-1.0,1.0,-1.0,1.0
799959,32.94,1.0,1.0,1.0,1.0
799960,33.09,1.0,1.0,1.0,1.0
799961,33.56,1.0,1.0,1.0,1.0
799962,33.84,-1.0,1.0,-1.0,1.0
799963,33.81,1.0,1.0,1.0,1.0
799964,33.85,1.0,1.0,1.0,1.0
799965,34.33,-1.0,1.0,1.0,1.0
799966,34.29,1.0,1.0,1.0,1.0
799967,34.6,1.0,1.0,1.0,1.0
799968,34.67,1.0,1.0,1.0,1.0
799969,34.8,-1.0,1.0,-1.0,1.0
799970,34.77,0.0,1.0,0.0,1.0
799971,34.77,-1.0,1.0,-1.0,1.0
799972,34.63,1.0,1.0,1.0,1.0
799973,34.67,-1.0,1.0,-1.0,1.0
799974,34.45,-1.0,1.0,1.0,1.0
799975,34.14,1.0,1.0,1.0,1.0
799976,34.52,1.0,1.0,1.0,1.0
799977,34.58,-1.0,1.0,1.0,1.0
799978,34.26,1.0,-1.0,1.0,-1.0
799979,34.39,-1.0,1.0,-1.0,1.0
799980,34.17,1.0,1.0,1.0,1.0
799981,34.48,1.0,1.0,1.0,1.0
799982,34.8,1.0,1.0,1.0,1.0
799983,34.88,-1.0,1.0,-1.0,1.0
799984,34.59,1.0,1.0,1.0,1.0
799985,34.86,-1.0,-1.0,-1.0,-1.0
799986,34.37,-1.0,-1.0,-1.0,-1.0
799987,34.33,1.0,-1.0,1.0,1.0
799988,34.64,-1.0,-1.0,-1.0,1.0
799989,34.53,1.0,-1.0,1.0,-1.0
799990,34.86,1.0,-1.0,1.0,-1.0
799991,35.19,1.0,-1.0,1.0,-1.0
799992,35.44,-1.0,-1.0,-1.0,1.0
799993,34.95,-1.0,-1.0,-1.0,-1.0
799994,34.74,1.0,-1.0,1.0,-1.0
799995,35.28,-1.0,-1.0,-1.0,-1.0
799996,35.26,1.0,-1.0,1.0,-1.0
799997,35.49,1.0,-1.0,1.0,-1.0
799998,35.96,1.0,-1.0,1.0,-1.0
799999,36.33,1.0,-1.0,1.0,-1.0
800000,36.41,1.0,-1.0,1.0,-1.0
800001,36.77,1.0,-1.0,1.0,1.0
800002,37.96,-1.0,-1.0,-1.0,-1.0
800003,36.65,1.0,-1.0,1.0,-1.0
800004,36.69,-1.0,-1.0,-1.0,-1.0
800005,35.94,-1.0,-1.0,-1.0,-1.0
800006,35.65,-1.0,-1.0,-1.0,-1.0
800007,34.7,-1.0,-1.0,1.0,-1.0
800008,33.81,1.0,-1.0,1.0,1.0
800009,35.71,1.0,-1.0,1.0,-1.0
800010,35.91,1.0,-1.0,1.0,-1.0
800011,36.57,-1.0,-1.0,-1.0,-1.0
