,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
803670,26.62,4.445327820033928,-1.0,-1.0,-1.0,-1.0
803671,26.39,4.196708581376772,-1.0,-1.0,-1.0,-1.0
803672,25.19,2.9780893427196133,-1.0,-1.0,-1.0,-1.0
803673,24.6,2.3694701040624544,1.0,-1.0,1.0,-1.0
803674,24.94,2.6908508654052947,-1.0,-1.0,-1.0,-1.0
803675,23.89,1.6222316267481394,-1.0,1.0,-1.0,1.0
803676,23.65,1.3636123880909778,1.0,1.0,1.0,1.0
803677,23.79,1.484993149433819,1.0,1.0,1.0,1.0
803678,23.93,1.6063739107766608,1.0,1.0,1.0,1.0
803679,23.99,1.6477546721195004,1.0,1.0,1.0,1.0
803680,24.12,1.7591354334623477,-1.0,1.0,1.0,1.0
803681,23.85,1.4705161948051888,1.0,1.0,1.0,1.0
803682,23.93,1.531896956148028,-1.0,1.0,-1.0,1.0
803683,23.62,1.2032777174908702,1.0,1.0,1.0,1.0
803684,23.63,1.194658478833713,1.0,1.0,1.0,1.0
803685,23.68,1.2260392401765543,-1.0,1.0,-1.0,1.0
803686,23.0,0.5274200015193955,1.0,1.0,1.0,1.0
803687,23.49,0.9988007628622348,-1.0,1.0,-1.0,1.0
803688,23.27,0.7601815242050804,1.0,1.0,1.0,1.0
803689,23.9,1.3715622855479204,1.0,1.0,1.0,1.0
803690,24.27,1.7229430468907625,-1.0,1.0,-1.0,1.0
803691,24.25,1.6843238082336036,1.0,1.0,1.0,1.0
803692,25.09,2.5057045695764484,-1.0,1.0,1.0,1.0
803693,24.83,2.2270853309192877,-1.0,1.0,-1.0,1.0
803694,24.57,1.9484660922621304,-1.0,1.0,-1.0,1.0
803695,23.88,1.2398468536049698,1.0,1.0,1.0,1.0
803696,24.35,1.6912276149478132,-1.0,1.0,-1.0,1.0
803697,23.92,1.242608376290658,-1.0,1.0,-1.0,1.0
803698,23.85,1.1539891376334983,-1.0,1.0,-1.0,1.0
803699,23.41,0.6953698989763382,1.0,1.0,-1.0,1.0
803700,23.92,1.1867506603191806,1.0,1.0,1.0,1.0
803701,24.67,1.9181314216620249,-1.0,1.0,-1.0,1.0
803702,24.25,1.4795121830048643,1.0,1.0,1.0,1.0
803703,24.31,1.520892944347704,1.0,1.0,1.0,1.0
803704,24.92,2.1122737056905483,-1.0,1.0,-1.0,1.0
803705,24.83,2.0036544670333853,1.0,1.0,-1.0,1.0
803706,24.91,2.065035228376232,1.0,1.0,1.0,1.0
803707,25.05,2.186415989719073,1.0,1.0,-1.0,1.0
803708,25.56,2.677796751061912,1.0,1.0,-1.0,1.0
803709,25.95,3.049177512404753,-1.0,1.0,-1.0,1.0
803710,25.69,2.7705582737476004,-1.0,1.0,-1.0,1.0
803711,25.14,2.2019390350904398,1.0,1.0,1.0,1.0
803712,25.97,3.0133197964332794,-1.0,1.0,-1.0,1.0
803713,25.6,2.624700557776123,-1.0,1.0,-1.0,1.0
803714,25.17,2.176081319118968,1.0,1.0,-1.0,1.0
803715,25.27,2.2574620804618064,1.0,1.0,1.0,-1.0
803716,25.58,2.548842841804646,1.0,1.0,1.0,1.0
803717,26.06,3.0102236031474874,-1.0,1.0,1.0,1.0
803718,25.7,2.6316043644903324,-1.0,1.0,-1.0,1.0
803719,25.63,2.5429851258331735,0.0,1.0,1.0,1.0
803720,25.63,2.5243658871760144,1.0,1.0,1.0,1.0
803721,26.99,3.8657466485188543,-1.0,-1.0,-1.0,-1.0
803722,26.62,3.4771274098616978,-1.0,-1.0,-1.0,1.0
803723,26.36,3.1985081712045407,-1.0,-1.0,-1.0,-1.0
803724,25.75,2.5698889325473817,1.0,1.0,1.0,1.0
803725,26.14,2.941269693890224,1.0,1.0,1.0,1.0
803726,26.6,3.3826504552330654,-1.0,1.0,-1.0,1.0
803727,25.94,2.7040312165759097,-1.0,1.0,-1.0,1.0
803728,25.81,2.555411977918748,1.0,1.0,1.0,1.0
803729,25.92,2.6467927392615915,-1.0,1.0,-1.0,1.0
803730,25.91,2.6181735006044318,1.0,1.0,1.0,1.0
803731,26.82,3.5095542619472724,-1.0,1.0,-1.0,1.0
803732,26.65,3.320935023290115,1.0,1.0,1.0,1.0
803733,27.03,3.682315784632959,-1.0,1.0,-1.0,1.0
803734,26.78,3.4136965459757995,1.0,1.0,1.0,1.0
803735,27.22,3.835077307318638,1.0,1.0,1.0,1.0
803736,27.39,3.986458068661484,-1.0,-1.0,-1.0,-1.0
803737,27.13,3.707838830004324,-1.0,1.0,-1.0,1.0
803738,27.07,3.6292195913471663,-1.0,1.0,-1.0,1.0
803739,27.03,3.570600352690008,-1.0,1.0,-1.0,1.0
803740,26.92,3.4419811140328527,1.0,1.0,-1.0,1.0
803741,27.0,3.5033618753756914,1.0,1.0,1.0,1.0
803742,27.15,3.6347426367185314,1.0,1.0,1.0,1.0
803743,27.59,4.056123398061374,1.0,1.0,1.0,1.0
803744,27.82,4.267504159404215,-1.0,1.0,-1.0,1.0
803745,27.53,3.95888492074706,1.0,1.0,-1.0,1.0
803746,27.78,4.190265682089901,-1.0,1.0,-1.0,1.0
803747,27.26,3.6516464434327434,1.0,1.0,1.0,1.0
803748,27.36,3.733027204775581,-1.0,-1.0,-1.0,-1.0
803749,26.84,3.194407966118426,-1.0,1.0,-1.0,1.0
803750,25.98,2.315788727461268,1.0,1.0,-1.0,1.0
803751,26.69,3.0071694888041094,-1.0,1.0,-1.0,1.0
803752,26.6,2.8985502501469504,-1.0,1.0,-1.0,1.0
803753,26.22,2.4999310114897924,-1.0,1.0,-1.0,1.0
803754,25.85,2.111311772832636,1.0,1.0,1.0,1.0
803755,26.21,2.452692534175476,1.0,1.0,1.0,1.0
803756,26.62,2.844073295518317,1.0,1.0,1.0,1.0
803757,27.25,3.4554540568611567,1.0,-1.0,1.0,-1.0
803758,27.53,3.7168348182040023,1.0,-1.0,1.0,-1.0
803759,28.42,4.588215579546843,-1.0,-1.0,-1.0,-1.0
803760,28.36,4.509596340889684,1.0,-1.0,1.0,-1.0
803761,28.73,4.860977102232526,-1.0,-1.0,-1.0,-1.0
803762,28.19,4.30235786357537,-1.0,-1.0,-1.0,-1.0
803763,27.94,4.033738624918212,-1.0,-1.0,-1.0,-1.0
803764,27.31,3.3851193862610494,1.0,1.0,1.0,1.0
803765,27.33,3.3865001476038903,-1.0,-1.0,-1.0,-1.0
803766,27.22,3.2578809089467318,-1.0,-1.0,-1.0,-1.0
803767,27.2,3.219261670289576,1.0,-1.0,1.0,-1.0
803768,27.85,3.8506424316324193,1.0,-1.0,1.0,-1.0
803769,27.99,3.972023192975257,-1.0,-1.0,-1.0,-1.0
803770,27.96,3.9234039543181036,-1.0,-1.0,-1.0,1.0
803771,27.66,3.604784715660944,1.0,-1.0,1.0,-1.0
803772,27.75,3.6761654770037855,1.0,-1.0,1.0,-1.0
803773,28.32,4.227546238346627,-1.0,-1.0,-1.0,-1.0
803774,28.25,4.138926999689467,-1.0,-1.0,-1.0,-1.0
803775,27.8,3.670307761032312,1.0,-1.0,1.0,-1.0
803776,27.97,3.8216885223751516,-1.0,-1.0,1.0,-1.0
803777,27.36,3.1930692837179926,-1.0,-1.0,1.0,-1.0
803778,26.94,2.754450045060836,1.0,-1.0,-1.0,-1.0
803779,27.0,2.7958308064036785,1.0,-1.0,-1.0,-1.0
803780,27.32,3.09721156774652,-1.0,-1.0,-1.0,-1.0
803781,26.83,2.5885923290893587,1.0,-1.0,1.0,-1.0
803782,26.9,2.6399730904322003,1.0,-1.0,1.0,-1.0
803783,27.2,2.921353851775041,1.0,-1.0,1.0,-1.0
803784,27.65,3.352734613117885,-1.0,-1.0,1.0,-1.0
803785,27.1,2.7841153744607285,1.0,-1.0,-1.0,-1.0
803786,27.36,3.0254961358035684,-1.0,-1.0,-1.0,-1.0
803787,26.89,2.53687689714641,1.0,-1.0,1.0,-1.0
803788,27.1,2.7282576584892557,1.0,-1.0,1.0,-1.0
803789,27.7,3.3096384198320936,1.0,-1.0,-1.0,-1.0
803790,28.1,3.691019181174937,1.0,-1.0,1.0,-1.0
803791,28.38,3.952399942517776,-1.0,-1.0,-1.0,-1.0
803792,27.88,3.4337807038606165,-1.0,-1.0,-1.0,-1.0
803793,27.66,3.1951614652034617,1.0,-1.0,1.0,-1.0
803794,27.76,3.2765422265463044,-1.0,-1.0,-1.0,-1.0
803795,27.3,2.7979229878891445,-1.0,-1.0,-1.0,-1.0
803796,26.45,1.929303749231984,-1.0,-1.0,-1.0,-1.0
803797,26.21,1.6706845105748303,1.0,-1.0,1.0,-1.0
803798,26.36,1.8020652719176693,-1.0,-1.0,-1.0,-1.0
803799,26.13,1.55344603326051,1.0,-1.0,1.0,-1.0
803800,26.14,1.5448267946033525,-1.0,-1.0,-1.0,-1.0
803801,26.03,1.4162075559461942,-1.0,-1.0,-1.0,-1.0
803802,25.43,0.797588317289037,-1.0,-1.0,-1.0,-1.0
803803,25.21,0.5589690786318791,1.0,-1.0,1.0,-1.0
803804,25.37,0.7003498399747201,-1.0,-1.0,1.0,-1.0
803805,24.42,-0.2682693986824347,1.0,1.0,1.0,1.0
803806,24.67,-0.0368886373395938,1.0,1.0,1.0,1.0
803807,25.34,0.6144921240032453,1.0,1.0,1.0,1.0
803808,25.59,0.8458728853460862,1.0,-1.0,1.0,-1.0
803809,25.79,1.0272536466889264,1.0,-1.0,1.0,-1.0
803810,26.14,1.3586344080317725,-1.0,-1.0,1.0,-1.0
803811,25.65,0.8500151693746112,1.0,-1.0,1.0,-1.0
803812,25.89,1.071395930717454,-1.0,-1.0,-1.0,-1.0
803813,25.45,0.6127766920602937,-1.0,-1.0,-1.0,-1.0
803814,25.33,0.4741574534031372,-1.0,-1.0,-1.0,-1.0
803815,24.48,-0.39446178525401976,1.0,-1.0,1.0,-1.0
803816,24.51,-0.3830810239111777,1.0,-1.0,1.0,-1.0
803817,24.58,-0.3317002625683401,1.0,-1.0,1.0,-1.0
803818,25.49,0.559680498774501,1.0,-1.0,1.0,-1.0
803819,25.74,0.7910612601173455,1.0,-1.0,1.0,-1.0
803820,25.92,0.9524420214601896,-1.0,-1.0,1.0,-1.0
803821,25.51,0.5238227828030304,1.0,-1.0,1.0,-1.0
803822,25.58,0.5752035441458679,-1.0,-1.0,-1.0,-1.0
803823,25.17,0.14658430548871593,-1.0,-1.0,-1.0,-1.0
803824,25.0,-0.04203493316844487,1.0,-1.0,1.0,-1.0
803825,25.32,0.25934582817439633,-1.0,-1.0,-1.0,-1.0
803826,25.13,0.05072658951723597,-1.0,-1.0,-1.0,-1.0
803827,25.08,-0.01789264913992383,-1.0,-1.0,-1.0,-1.0
803828,24.72,-0.3965118877970788,-1.0,-1.0,-1.0,-1.0
803829,24.28,-0.8551311264542356,-1.0,-1.0,-1.0,-1.0
803830,24.02,-1.1337503651113965,-1.0,1.0,1.0,1.0
803831,23.61,-1.5623696037685517,1.0,1.0,1.0,1.0
803832,23.92,-1.2709888424257088,1.0,1.0,1.0,1.0
803833,24.29,-0.9196080810828704,1.0,1.0,1.0,1.0
803834,24.59,-0.6382273197400288,1.0,-1.0,1.0,-1.0
803835,25.17,-0.07684655839718603,-1.0,-1.0,-1.0,-1.0
803836,25.04,-0.2254657970543441,1.0,-1.0,1.0,-1.0
803837,25.68,0.3959149642884974,-1.0,-1.0,-1.0,-1.0
803838,25.53,0.2272957256313397,-1.0,-1.0,-1.0,-1.0
803839,25.2,-0.12132351302582126,-1.0,-1.0,-1.0,-1.0
803840,25.0,-0.33994275168297605,-1.0,1.0,-1.0,1.0
803841,24.36,-0.9985619903401356,-1.0,1.0,-1.0,1.0
803842,23.93,-1.4471812289972945,-1.0,1.0,-1.0,1.0
803843,23.18,-2.2158004676544536,1.0,1.0,1.0,1.0
803844,23.31,-2.1044197063116137,-1.0,1.0,-1.0,1.0
803845,23.16,-2.2730389449687682,1.0,1.0,1.0,1.0
803846,23.65,-1.8016581836259284,1.0,1.0,1.0,1.0
803847,23.93,-1.5402774222830864,1.0,1.0,1.0,1.0
803848,24.12,-1.3688966609402442,-1.0,-1.0,-1.0,-1.0
803849,23.79,-1.7175158995974016,1.0,1.0,1.0,1.0
803850,23.88,-1.6461351382545608,-1.0,1.0,-1.0,1.0
803851,23.59,-1.9547543769117188,1.0,1.0,1.0,1.0
803852,23.91,-1.653373615568878,-1.0,1.0,-1.0,1.0
803853,23.73,-1.8519928542260369,1.0,1.0,1.0,1.0
