,Close,Target(1),Target(30),Prediction(1),Prediction(30)
805088,15.86,1.0,1.0,1.0,1.0
805089,15.99,-1.0,1.0,-1.0,1.0
805090,15.98,-1.0,1.0,-1.0,1.0
805091,15.44,-1.0,1.0,-1.0,1.0
805092,15.01,1.0,1.0,1.0,1.0
805093,15.05,1.0,1.0,1.0,1.0
805094,15.17,1.0,1.0,1.0,1.0
805095,15.46,-1.0,1.0,-1.0,-1.0
805096,15.01,1.0,1.0,1.0,1.0
805097,15.19,-1.0,1.0,1.0,1.0
805098,14.99,1.0,1.0,1.0,1.0
805099,15.07,-1.0,1.0,-1.0,1.0
805100,14.8,1.0,1.0,1.0,1.0
805101,15.22,-1.0,1.0,-1.0,1.0
805102,15.17,1.0,1.0,1.0,1.0
805103,15.41,1.0,1.0,1.0,1.0
805104,15.44,1.0,1.0,1.0,1.0
805105,15.54,1.0,1.0,-1.0,1.0
805106,15.58,-1.0,1.0,-1.0,-1.0
805107,15.49,-1.0,1.0,-1.0,1.0
805108,15.38,1.0,1.0,1.0,1.0
805109,15.59,-1.0,1.0,-1.0,1.0
805110,15.24,1.0,1.0,1.0,1.0
805111,15.31,1.0,1.0,1.0,1.0
805112,15.79,-1.0,1.0,-1.0,1.0
805113,15.73,-1.0,1.0,-1.0,1.0
805114,15.57,1.0,1.0,1.0,1.0
805115,15.81,1.0,1.0,1.0,1.0
805116,16.06,1.0,1.0,1.0,1.0
805117,16.52,1.0,1.0,1.0,1.0
805118,16.53,1.0,1.0,1.0,1.0
805119,16.79,-1.0,1.0,-1.0,1.0
805120,16.53,-1.0,1.0,-1.0,1.0
805121,16.32,1.0,1.0,1.0,1.0
805122,16.46,-1.0,1.0,-1.0,1.0
805123,16.36,1.0,1.0,-1.0,1.0
805124,16.5,1.0,1.0,1.0,1.0
805125,16.56,-1.0,1.0,-1.0,1.0
805126,16.44,-1.0,-1.0,-1.0,-1.0
805127,16.34,-1.0,1.0,-1.0,1.0
805128,16.03,1.0,-1.0,1.0,-1.0
805129,16.09,1.0,-1.0,1.0,-1.0
805130,16.32,1.0,1.0,1.0,1.0
805131,16.54,1.0,-1.0,1.0,-1.0
805132,16.56,1.0,-1.0,1.0,-1.0
805133,16.61,-1.0,-1.0,-1.0,-1.0
805134,16.53,-1.0,-1.0,1.0,-1.0
805135,16.51,1.0,-1.0,1.0,-1.0
805136,16.92,-1.0,-1.0,-1.0,-1.0
805137,16.87,1.0,-1.0,-1.0,-1.0
805138,17.35,1.0,-1.0,1.0,-1.0
805139,17.52,1.0,-1.0,1.0,-1.0
805140,17.64,1.0,-1.0,1.0,-1.0
805141,18.18,1.0,-1.0,1.0,1.0
805142,18.38,1.0,-1.0,1.0,-1.0
805143,18.97,-1.0,-1.0,-1.0,1.0
805144,18.17,1.0,-1.0,1.0,-1.0
805145,18.39,-1.0,-1.0,-1.0,-1.0
805146,18.38,-1.0,-1.0,-1.0,-1.0
805147,17.45,1.0,-1.0,1.0,-1.0
805148,17.72,-1.0,-1.0,-1.0,-1.0
805149,17.64,-1.0,-1.0,1.0,-1.0
805150,17.39,-1.0,-1.0,-1.0,-1.0
805151,16.92,-1.0,-1.0,-1.0,-1.0
805152,16.75,1.0,-1.0,1.0,1.0
805153,16.97,-1.0,-1.0,-1.0,-1.0
