,Close,Target(1),Target(30),Prediction(1),Prediction(30)
806954,34.28,1.0,1.0,1.0,1.0
806955,34.33,1.0,1.0,1.0,1.0
806956,34.81,-1.0,1.0,-1.0,1.0
806957,34.34,-1.0,1.0,-1.0,1.0
806958,34.21,1.0,1.0,1.0,1.0
806959,35.42,1.0,1.0,1.0,1.0
806960,35.82,-1.0,1.0,-1.0,1.0
806961,35.34,-1.0,1.0,-1.0,1.0
806962,33.4,-1.0,1.0,-1.0,1.0
806963,32.98,-1.0,1.0,-1.0,1.0
806964,32.72,1.0,1.0,1.0,1.0
806965,33.07,1.0,1.0,1.0,1.0
806966,33.16,1.0,1.0,1.0,1.0
806967,33.39,-1.0,1.0,1.0,1.0
806968,33.36,1.0,1.0,1.0,1.0
806969,33.6,1.0,1.0,1.0,1.0
806970,33.66,1.0,1.0,1.0,1.0
806971,33.67,1.0,1.0,1.0,1.0
806972,33.79,-1.0,1.0,1.0,1.0
806973,33.68,-1.0,1.0,1.0,1.0
806974,33.58,1.0,1.0,1.0,1.0
806975,33.71,-1.0,1.0,1.0,1.0
806976,33.7,1.0,1.0,1.0,1.0
806977,33.72,1.0,1.0,1.0,1.0
806978,33.88,1.0,1.0,1.0,1.0
806979,34.08,-1.0,1.0,-1.0,1.0
806980,33.97,1.0,1.0,1.0,1.0
806981,34.02,1.0,1.0,1.0,1.0
806982,34.87,1.0,1.0,1.0,1.0
806983,35.41,1.0,1.0,1.0,1.0
806984,36.6,1.0,1.0,1.0,1.0
806985,36.88,1.0,1.0,1.0,1.0
806986,37.3,1.0,1.0,1.0,1.0
806987,37.47,1.0,1.0,1.0,1.0
806988,37.68,-1.0,1.0,-1.0,1.0
806989,37.63,1.0,1.0,1.0,1.0
806990,38.64,-1.0,1.0,1.0,1.0
806991,38.15,-1.0,1.0,-1.0,1.0
806992,37.94,1.0,1.0,1.0,1.0
806993,38.15,1.0,1.0,1.0,1.0
806994,38.25,-1.0,1.0,-1.0,1.0
806995,37.92,1.0,1.0,1.0,1.0
806996,38.05,1.0,1.0,1.0,1.0
806997,38.27,-1.0,1.0,-1.0,1.0
806998,38.18,1.0,1.0,1.0,1.0
806999,38.38,-1.0,1.0,-1.0,1.0
807000,38.33,1.0,1.0,1.0,1.0
807001,39.2,1.0,1.0,1.0,1.0
807002,40.04,-1.0,1.0,-1.0,1.0
807003,39.8,1.0,1.0,1.0,1.0
807004,40.15,-1.0,1.0,-1.0,1.0
807005,40.07,1.0,-1.0,1.0,-1.0
807006,40.7,1.0,-1.0,1.0,-1.0
807007,40.78,1.0,-1.0,1.0,-1.0
807008,41.16,1.0,-1.0,1.0,-1.0
807009,41.68,1.0,-1.0,1.0,-1.0
807010,42.78,-1.0,-1.0,-1.0,-1.0
807011,42.7,-1.0,-1.0,-1.0,-1.0
807012,42.68,1.0,-1.0,1.0,-1.0
807013,43.1,1.0,-1.0,1.0,-1.0
807014,43.11,1.0,-1.0,1.0,-1.0
807015,43.18,1.0,-1.0,1.0,-1.0
807016,43.44,1.0,-1.0,1.0,-1.0
807017,43.94,-1.0,-1.0,-1.0,-1.0
807018,42.78,-1.0,-1.0,1.0,-1.0
807019,42.35,1.0,-1.0,1.0,-1.0
807020,42.77,-1.0,-1.0,-1.0,-1.0
807021,42.42,1.0,-1.0,1.0,-1.0
807022,43.07,-1.0,1.0,-1.0,1.0
807023,41.68,-1.0,1.0,1.0,1.0
807024,41.36,-1.0,1.0,-1.0,1.0
807025,40.07,-1.0,1.0,-1.0,1.0
807026,39.61,1.0,1.0,1.0,1.0
807027,42.08,-1.0,-1.0,1.0,-1.0
807028,41.81,1.0,-1.0,1.0,-1.0
807029,42.41,-1.0,-1.0,-1.0,-1.0
807030,41.46,-1.0,-1.0,-1.0,-1.0
807031,40.57,1.0,-1.0,1.0,-1.0
807032,41.13,-1.0,-1.0,1.0,-1.0
807033,41.1,-1.0,-1.0,-1.0,-1.0
807034,40.85,-1.0,-1.0,-1.0,1.0
807035,39.64,1.0,-1.0,1.0,-1.0
807036,40.15,-1.0,-1.0,-1.0,-1.0
807037,39.76,1.0,-1.0,1.0,-1.0
807038,39.97,1.0,1.0,1.0,1.0
807039,39.99,1.0,1.0,1.0,1.0
807040,41.4,-1.0,-1.0,-1.0,1.0
807041,40.95,-1.0,1.0,-1.0,1.0
807042,40.49,1.0,1.0,1.0,1.0
807043,41.41,1.0,-1.0,1.0,-1.0
807044,41.92,-1.0,-1.0,-1.0,1.0
807045,40.86,-1.0,-1.0,-1.0,-1.0
807046,39.77,1.0,1.0,1.0,1.0
807047,40.89,1.0,-1.0,1.0,-1.0
807048,41.21,1.0,-1.0,1.0,-1.0
807049,42.05,-1.0,-1.0,-1.0,1.0
807050,42.0,1.0,1.0,1.0,1.0
807051,42.18,1.0,-1.0,1.0,-1.0
807052,43.38,-1.0,-1.0,-1.0,-1.0
807053,42.73,-1.0,-1.0,-1.0,-1.0
807054,42.58,-1.0,-1.0,-1.0,-1.0
807055,42.49,1.0,-1.0,-1.0,-1.0
807056,42.79,-1.0,-1.0,-1.0,-1.0
807057,41.99,-1.0,-1.0,-1.0,1.0
807058,41.41,-1.0,1.0,-1.0,1.0
807059,40.97,-1.0,1.0,-1.0,1.0
807060,40.96,-1.0,1.0,-1.0,1.0
807061,40.52,-1.0,1.0,-1.0,1.0
807062,39.37,-1.0,1.0,-1.0,1.0
807063,39.04,1.0,1.0,1.0,1.0
807064,39.09,-1.0,1.0,-1.0,1.0
807065,38.53,1.0,1.0,1.0,1.0
807066,38.7,1.0,1.0,1.0,1.0
807067,39.71,1.0,1.0,1.0,1.0
807068,39.98,1.0,1.0,1.0,1.0
807069,40.27,1.0,1.0,1.0,1.0
807070,40.87,1.0,1.0,1.0,1.0
807071,41.71,-1.0,-1.0,-1.0,-1.0
807072,41.0,1.0,1.0,1.0,1.0
807073,41.2,-1.0,1.0,-1.0,1.0
807074,40.07,-1.0,1.0,-1.0,1.0
807075,40.0,1.0,1.0,1.0,1.0
807076,41.15,-1.0,1.0,-1.0,1.0
807077,39.86,1.0,1.0,1.0,1.0
807078,41.17,1.0,1.0,1.0,1.0
807079,41.62,1.0,1.0,1.0,1.0
807080,42.14,-1.0,1.0,-1.0,1.0
807081,41.94,-1.0,1.0,1.0,1.0
807082,41.52,-1.0,1.0,1.0,1.0
807083,41.33,-1.0,1.0,1.0,1.0
807084,41.3,1.0,1.0,1.0,1.0
807085,42.04,-1.0,1.0,-1.0,1.0
807086,41.39,1.0,1.0,1.0,1.0
807087,41.75,1.0,1.0,1.0,1.0
807088,42.41,-1.0,1.0,1.0,1.0
807089,42.36,1.0,1.0,1.0,1.0
807090,42.69,-1.0,1.0,-1.0,1.0
807091,42.39,-1.0,1.0,-1.0,1.0
807092,41.15,-1.0,1.0,-1.0,1.0
807093,41.0,-1.0,1.0,-1.0,1.0
807094,40.85,1.0,1.0,1.0,1.0
807095,40.93,1.0,1.0,1.0,1.0
807096,42.02,1.0,1.0,1.0,1.0
807097,42.17,-1.0,1.0,1.0,1.0
807098,41.91,1.0,1.0,-1.0,1.0
807099,42.32,-1.0,1.0,1.0,1.0
807100,41.91,-1.0,1.0,1.0,1.0
807101,41.59,1.0,1.0,1.0,1.0
807102,42.32,1.0,1.0,-1.0,1.0
807103,42.36,-1.0,1.0,-1.0,1.0
807104,42.32,-1.0,1.0,-1.0,1.0
807105,41.7,0.0,1.0,-1.0,1.0
807106,41.7,1.0,1.0,1.0,1.0
807107,42.6,1.0,1.0,1.0,-1.0
807108,43.85,1.0,1.0,1.0,1.0
807109,44.35,-1.0,1.0,-1.0,1.0
807110,44.28,1.0,1.0,1.0,1.0
807111,44.51,-1.0,1.0,1.0,1.0
807112,43.85,1.0,1.0,1.0,1.0
807113,44.52,1.0,1.0,-1.0,1.0
807114,45.54,-1.0,1.0,-1.0,1.0
807115,45.52,1.0,1.0,1.0,1.0
807116,45.92,-1.0,1.0,-1.0,1.0
807117,45.82,-1.0,1.0,-1.0,1.0
807118,45.75,1.0,1.0,1.0,1.0
807119,46.58,-1.0,1.0,-1.0,1.0
807120,46.44,1.0,1.0,1.0,1.0
807121,46.47,-1.0,1.0,-1.0,1.0
807122,45.82,1.0,1.0,-1.0,1.0
807123,46.5,-1.0,1.0,-1.0,1.0
807124,46.37,1.0,1.0,1.0,1.0
807125,46.44,-1.0,1.0,-1.0,1.0
807126,46.28,-1.0,1.0,-1.0,1.0
807127,46.06,1.0,1.0,1.0,1.0
807128,46.48,-1.0,1.0,1.0,1.0
807129,46.42,1.0,1.0,1.0,1.0
807130,46.8,1.0,1.0,-1.0,1.0
807131,47.36,-1.0,1.0,-1.0,1.0
807132,47.21,1.0,1.0,1.0,1.0
807133,47.65,-1.0,1.0,1.0,1.0
807134,47.58,1.0,1.0,1.0,1.0
807135,47.9,1.0,1.0,1.0,1.0
807136,47.96,1.0,1.0,1.0,1.0
807137,48.42,1.0,1.0,-1.0,1.0
807138,48.85,-1.0,1.0,-1.0,1.0
807139,48.62,-1.0,1.0,1.0,1.0
807140,47.69,1.0,1.0,1.0,1.0
807141,48.44,1.0,1.0,1.0,1.0
807142,48.8,1.0,1.0,1.0,1.0
807143,49.57,1.0,1.0,1.0,1.0
807144,49.88,-1.0,1.0,-1.0,1.0
807145,49.81,-1.0,1.0,1.0,1.0
807146,49.04,1.0,1.0,1.0,1.0
807147,49.26,1.0,1.0,1.0,1.0
807148,49.56,1.0,-1.0,1.0,1.0
807149,49.8,1.0,-1.0,1.0,-1.0
807150,50.54,1.0,-1.0,1.0,-1.0
807151,50.84,1.0,-1.0,1.0,-1.0
807152,51.48,-1.0,-1.0,-1.0,1.0
807153,51.33,1.0,-1.0,1.0,-1.0
807154,51.69,-1.0,-1.0,-1.0,-1.0
807155,50.66,1.0,-1.0,1.0,1.0
807156,51.39,1.0,-1.0,1.0,-1.0
807157,51.9,-1.0,-1.0,-1.0,1.0
807158,50.79,1.0,-1.0,1.0,-1.0
807159,51.12,-1.0,-1.0,-1.0,1.0
807160,49.28,1.0,1.0,1.0,1.0
807161,49.64,1.0,-1.0,1.0,1.0
807162,50.55,1.0,-1.0,1.0,-1.0
807163,50.79,-1.0,-1.0,-1.0,-1.0
807164,50.64,-1.0,-1.0,-1.0,-1.0
807165,49.7,1.0,-1.0,-1.0,-1.0
807166,50.56,-1.0,-1.0,-1.0,-1.0
807167,50.05,-1.0,-1.0,-1.0,-1.0
807168,50.02,1.0,-1.0,1.0,-1.0
807169,50.08,1.0,-1.0,1.0,-1.0
807170,50.41,1.0,-1.0,-1.0,-1.0
807171,50.94,-1.0,-1.0,-1.0,-1.0
807172,50.57,-1.0,-1.0,-1.0,-1.0
807173,49.91,1.0,-1.0,1.0,-1.0
807174,50.42,-1.0,-1.0,-1.0,-1.0
807175,50.27,-1.0,-1.0,-1.0,-1.0
807176,49.66,1.0,-1.0,1.0,-1.0
807177,50.26,-1.0,-1.0,-1.0,-1.0
807178,49.47,-1.0,-1.0,-1.0,-1.0
807179,49.46,-1.0,-1.0,-1.0,-1.0
807180,49.34,1.0,-1.0,1.0,-1.0
807181,50.02,1.0,-1.0,1.0,-1.0
807182,50.05,-1.0,-1.0,-1.0,-1.0
807183,49.62,1.0,-1.0,-1.0,-1.0
807184,50.02,1.0,-1.0,1.0,-1.0
807185,50.09,-1.0,-1.0,-1.0,-1.0
807186,49.66,-1.0,-1.0,-1.0,-1.0
807187,49.52,-1.0,1.0,-1.0,1.0
807188,49.23,1.0,1.0,1.0,1.0
807189,49.6,-1.0,1.0,-1.0,1.0
807190,49.31,-1.0,1.0,-1.0,1.0
807191,49.05,1.0,1.0,1.0,1.0
807192,49.09,-1.0,1.0,-1.0,1.0
807193,48.34,1.0,1.0,1.0,1.0
807194,48.57,1.0,1.0,1.0,1.0
807195,48.91,1.0,1.0,1.0,1.0
807196,49.52,1.0,1.0,1.0,1.0
807197,49.59,-1.0,-1.0,-1.0,-1.0
807198,49.27,-1.0,1.0,-1.0,1.0
807199,49.15,-1.0,1.0,-1.0,1.0
807200,48.9,-1.0,1.0,-1.0,1.0
807201,47.84,1.0,1.0,1.0,1.0
807202,49.25,1.0,1.0,1.0,1.0
807203,49.29,-1.0,1.0,-1.0,1.0
807204,48.64,-1.0,1.0,-1.0,1.0
807205,48.27,1.0,1.0,1.0,1.0
807206,48.3,-1.0,1.0,-1.0,1.0
807207,48.0,-1.0,1.0,-1.0,1.0
807208,47.77,-1.0,1.0,-1.0,1.0
807209,47.59,-1.0,1.0,-1.0,1.0
807210,46.4,1.0,1.0,1.0,1.0
807211,46.76,1.0,1.0,1.0,1.0
807212,47.42,1.0,1.0,1.0,1.0
807213,47.73,1.0,1.0,1.0,1.0
807214,49.23,1.0,1.0,-1.0,1.0
807215,49.3,1.0,1.0,1.0,1.0
807216,49.4,1.0,1.0,1.0,1.0
807217,49.59,-1.0,1.0,-1.0,1.0
807218,49.5,1.0,1.0,1.0,1.0
807219,49.74,1.0,1.0,1.0,1.0
807220,49.77,1.0,1.0,1.0,1.0
807221,50.3,1.0,1.0,1.0,1.0
807222,50.73,1.0,1.0,1.0,1.0
807223,51.18,1.0,1.0,1.0,1.0
807224,51.38,-1.0,1.0,-1.0,-1.0
807225,51.17,-1.0,-1.0,-1.0,-1.0
807226,49.72,-1.0,1.0,1.0,1.0
807227,49.27,1.0,1.0,1.0,1.0
807228,49.37,1.0,1.0,1.0,-1.0
807229,50.01,1.0,-1.0,1.0,-1.0
807230,50.33,-1.0,-1.0,-1.0,-1.0
807231,49.85,-1.0,1.0,-1.0,1.0
807232,49.48,1.0,1.0,1.0,1.0
807233,50.66,1.0,1.0,1.0,1.0
807234,50.97,-1.0,1.0,-1.0,1.0
807235,50.84,1.0,-1.0,1.0,-1.0
807236,52.15,1.0,-1.0,1.0,-1.0
807237,52.66,1.0,-1.0,1.0,-1.0
807238,52.85,-1.0,1.0,-1.0,1.0
807239,52.58,-1.0,1.0,-1.0,-1.0
807240,51.9,-1.0,1.0,-1.0,1.0
807241,50.95,-1.0,1.0,1.0,1.0
807242,50.85,1.0,1.0,1.0,1.0
807243,50.99,1.0,1.0,1.0,1.0
807244,51.0,1.0,1.0,1.0,1.0
807245,51.25,-1.0,1.0,-1.0,1.0
807246,50.82,1.0,1.0,1.0,1.0
807247,51.09,1.0,1.0,1.0,1.0
807248,51.9,-1.0,1.0,-1.0,1.0
807249,51.84,-1.0,1.0,-1.0,1.0
807250,51.47,-1.0,1.0,-1.0,1.0
807251,51.3,1.0,1.0,1.0,1.0
807252,51.73,-1.0,1.0,1.0,1.0
807253,51.38,1.0,1.0,1.0,1.0
807254,51.4,-1.0,1.0,-1.0,1.0
807255,50.87,-1.0,1.0,-1.0,1.0
807256,49.96,1.0,1.0,1.0,1.0
807257,50.1,-1.0,1.0,-1.0,1.0
807258,49.42,1.0,1.0,1.0,1.0
807259,49.58,1.0,1.0,1.0,1.0
807260,49.97,-1.0,1.0,-1.0,1.0
807261,49.86,1.0,1.0,1.0,1.0
807262,49.98,1.0,1.0,1.0,1.0
807263,50.68,1.0,1.0,1.0,1.0
807264,51.12,-1.0,1.0,-1.0,1.0
807265,50.38,1.0,1.0,1.0,1.0
807266,50.89,1.0,1.0,1.0,1.0
807267,51.55,1.0,1.0,1.0,1.0
807268,53.65,-1.0,1.0,-1.0,1.0
807269,53.2,-1.0,1.0,-1.0,1.0
807270,52.18,1.0,1.0,1.0,1.0
807271,52.3,1.0,1.0,1.0,1.0
807272,52.83,1.0,-1.0,1.0,-1.0
807273,53.64,-1.0,-1.0,1.0,-1.0
807274,53.5,1.0,1.0,1.0,1.0
807275,53.97,-1.0,1.0,-1.0,1.0
807276,53.43,-1.0,1.0,-1.0,1.0
807277,53.25,1.0,1.0,1.0,1.0
807278,53.64,1.0,1.0,1.0,1.0
807279,54.34,1.0,1.0,1.0,1.0
807280,54.88,-1.0,-1.0,1.0,-1.0
807281,54.59,1.0,-1.0,1.0,-1.0
807282,54.73,1.0,-1.0,1.0,-1.0
807283,54.86,-1.0,-1.0,-1.0,-1.0
807284,54.08,1.0,1.0,1.0,1.0
807285,54.66,1.0,1.0,1.0,1.0
807286,55.62,1.0,-1.0,1.0,-1.0
807287,56.69,-1.0,1.0,-1.0,1.0
807288,56.26,-1.0,1.0,-1.0,1.0
807289,55.81,-1.0,1.0,-1.0,1.0
807290,55.67,1.0,-1.0,1.0,-1.0
807291,55.86,1.0,-1.0,1.0,-1.0
807292,56.07,-1.0,-1.0,-1.0,-1.0
807293,55.45,-1.0,-1.0,1.0,-1.0
807294,55.32,-1.0,1.0,1.0,1.0
807295,54.46,1.0,1.0,1.0,1.0
807296,54.49,-1.0,1.0,-1.0,1.0
807297,54.42,-1.0,1.0,-1.0,1.0
807298,53.88,1.0,1.0,1.0,1.0
807299,54.15,-1.0,1.0,-1.0,1.0
807300,53.56,1.0,1.0,-1.0,1.0
807301,53.7,-1.0,1.0,-1.0,1.0
807302,52.8,1.0,1.0,1.0,1.0
807303,53.03,1.0,1.0,1.0,1.0
807304,53.98,1.0,-1.0,1.0,-1.0
807305,54.03,1.0,-1.0,1.0,-1.0
807306,54.43,1.0,-1.0,1.0,-1.0
807307,54.83,-1.0,-1.0,-1.0,-1.0
807308,54.57,1.0,-1.0,1.0,-1.0
807309,55.49,-1.0,-1.0,-1.0,-1.0
807310,54.74,-1.0,-1.0,-1.0,-1.0
807311,54.4,-1.0,-1.0,-1.0,-1.0
807312,53.84,1.0,-1.0,1.0,-1.0
807313,54.4,1.0,-1.0,1.0,-1.0
807314,55.37,-1.0,-1.0,-1.0,1.0
807315,55.23,1.0,-1.0,1.0,-1.0
807316,55.24,1.0,-1.0,1.0,-1.0
807317,56.75,-1.0,-1.0,-1.0,1.0
807318,56.6,-1.0,-1.0,-1.0,-1.0
807319,56.15,-1.0,-1.0,-1.0,1.0
807320,55.59,1.0,-1.0,1.0,-1.0
807321,55.61,-1.0,-1.0,1.0,-1.0
807322,55.51,-1.0,-1.0,-1.0,-1.0
807323,55.23,1.0,-1.0,1.0,-1.0
807324,55.58,1.0,-1.0,1.0,-1.0
807325,56.37,-1.0,-1.0,-1.0,1.0
807326,55.51,-1.0,-1.0,-1.0,-1.0
807327,54.85,1.0,-1.0,1.0,-1.0
807328,55.16,-1.0,-1.0,-1.0,1.0
807329,54.34,1.0,1.0,1.0,1.0
807330,54.5,1.0,-1.0,1.0,-1.0
807331,54.57,-1.0,-1.0,-1.0,-1.0
807332,53.84,-1.0,-1.0,-1.0,1.0
807333,53.73,-1.0,1.0,-1.0,1.0
807334,52.4,1.0,1.0,1.0,1.0
807335,52.68,1.0,-1.0,1.0,-1.0
807336,52.82,-1.0,-1.0,-1.0,-1.0
807337,52.66,-1.0,-1.0,-1.0,-1.0
807338,50.98,1.0,1.0,1.0,1.0
807339,51.05,-1.0,1.0,-1.0,1.0
807340,50.39,1.0,1.0,1.0,1.0
807341,50.71,-1.0,1.0,-1.0,1.0
807342,47.82,1.0,1.0,1.0,1.0
807343,50.34,-1.0,1.0,-1.0,1.0
807344,48.27,1.0,1.0,1.0,1.0
807345,51.45,-1.0,1.0,-1.0,1.0
807346,51.34,1.0,1.0,-1.0,1.0
807347,51.6,-1.0,1.0,-1.0,1.0
807348,51.03,1.0,1.0,1.0,1.0
807349,51.34,-1.0,-1.0,-1.0,-1.0
807350,48.93,1.0,1.0,-1.0,1.0
807351,49.41,1.0,-1.0,1.0,-1.0
807352,49.95,1.0,-1.0,-1.0,-1.0
807353,51.63,1.0,-1.0,-1.0,-1.0
807354,53.05,-1.0,-1.0,-1.0,-1.0
807355,51.71,1.0,-1.0,1.0,-1.0
807356,52.77,1.0,-1.0,1.0,1.0
807357,54.0,1.0,-1.0,-1.0,-1.0
807358,54.02,1.0,-1.0,1.0,-1.0
807359,54.37,-1.0,-1.0,-1.0,-1.0
807360,53.85,-1.0,-1.0,1.0,-1.0
807361,52.65,-1.0,-1.0,-1.0,-1.0
807362,52.52,1.0,-1.0,1.0,-1.0
807363,53.78,-1.0,-1.0,-1.0,1.0
807364,53.37,-1.0,-1.0,-1.0,-1.0
807365,51.53,1.0,1.0,1.0,1.0
807366,52.06,1.0,1.0,1.0,1.0
807367,52.23,1.0,1.0,1.0,1.0
807368,53.3,1.0,-1.0,1.0,-1.0
807369,53.65,1.0,1.0,1.0,1.0
807370,53.85,1.0,1.0,1.0,1.0
807371,54.77,-1.0,-1.0,-1.0,-1.0
807372,54.54,-1.0,-1.0,1.0,-1.0
807373,52.55,-1.0,1.0,-1.0,1.0
807374,50.97,1.0,1.0,1.0,1.0
807375,51.66,1.0,1.0,1.0,1.0
807376,52.6,1.0,1.0,1.0,1.0
807377,53.36,-1.0,1.0,1.0,1.0
807378,52.57,-1.0,1.0,-1.0,1.0
807379,49.54,-1.0,1.0,-1.0,1.0
807380,49.39,-1.0,1.0,-1.0,1.0
807381,48.45,1.0,1.0,1.0,1.0
807382,49.44,-1.0,1.0,-1.0,1.0
807383,48.12,1.0,1.0,1.0,1.0
807384,49.33,-1.0,1.0,-1.0,1.0
807385,49.24,1.0,1.0,1.0,1.0
807386,50.9,1.0,1.0,1.0,1.0
807387,51.88,-1.0,1.0,-1.0,1.0
807388,51.03,1.0,1.0,1.0,1.0
807389,52.61,-1.0,1.0,-1.0,-1.0
807390,52.14,-1.0,1.0,-1.0,1.0
807391,51.13,1.0,1.0,1.0,1.0
807392,52.28,-1.0,1.0,-1.0,1.0
807393,51.62,1.0,1.0,1.0,1.0
807394,52.16,1.0,1.0,1.0,1.0
807395,53.74,-1.0,1.0,-1.0,1.0
807396,53.47,-1.0,1.0,-1.0,1.0
807397,52.84,1.0,1.0,1.0,1.0
807398,53.05,1.0,1.0,1.0,1.0
807399,54.39,-1.0,1.0,-1.0,1.0
807400,54.14,-1.0,1.0,-1.0,-1.0
807401,53.57,-1.0,1.0,-1.0,1.0
807402,52.62,1.0,1.0,1.0,1.0
807403,53.15,1.0,1.0,1.0,1.0
807404,54.04,-1.0,1.0,-1.0,1.0
807405,53.98,1.0,1.0,-1.0,1.0
807406,54.63,1.0,1.0,1.0,1.0
807407,55.63,-1.0,1.0,1.0,-1.0
807408,54.81,-1.0,1.0,-1.0,1.0
807409,54.74,1.0,1.0,1.0,1.0
807410,55.81,-1.0,1.0,-1.0,1.0
807411,55.29,1.0,1.0,1.0,1.0
807412,55.41,-1.0,1.0,1.0,1.0
807413,54.49,-1.0,1.0,-1.0,1.0
807414,53.77,1.0,1.0,1.0,1.0
807415,53.84,-1.0,1.0,-1.0,1.0
807416,53.49,1.0,1.0,1.0,1.0
807417,54.51,-1.0,1.0,-1.0,1.0
