,Close,Target(1),Target(30),Prediction(1),Prediction(30)
812554,32.59,-1.0,1.0,-1.0,1.0
812555,32.07,-1.0,1.0,-1.0,1.0
812556,32.04,1.0,1.0,1.0,1.0
812557,32.32,1.0,1.0,1.0,1.0
812558,33.45,1.0,-1.0,1.0,-1.0
812559,34.6,-1.0,-1.0,-1.0,-1.0
812560,34.35,-1.0,-1.0,-1.0,-1.0
812561,34.29,-1.0,-1.0,1.0,-1.0
812562,33.85,1.0,-1.0,1.0,-1.0
812563,34.56,-1.0,-1.0,-1.0,-1.0
812564,34.09,1.0,-1.0,1.0,-1.0
812565,34.18,-1.0,-1.0,-1.0,-1.0
812566,33.82,1.0,-1.0,1.0,-1.0
812567,34.0,1.0,-1.0,1.0,-1.0
812568,34.64,-1.0,-1.0,1.0,-1.0
812569,33.44,-1.0,-1.0,-1.0,-1.0
812570,32.84,-1.0,1.0,1.0,1.0
812571,32.8,1.0,1.0,1.0,1.0
812572,33.51,-1.0,-1.0,-1.0,-1.0
812573,33.47,-1.0,-1.0,-1.0,-1.0
812574,33.12,-1.0,-1.0,1.0,-1.0
812575,32.46,1.0,1.0,1.0,1.0
812576,32.51,1.0,1.0,1.0,1.0
812577,32.74,1.0,1.0,-1.0,1.0
812578,33.4,-1.0,-1.0,-1.0,-1.0
812579,32.59,-1.0,1.0,-1.0,1.0
812580,32.55,-1.0,1.0,-1.0,-1.0
812581,32.53,-1.0,1.0,-1.0,1.0
812582,31.84,1.0,1.0,1.0,1.0
812583,31.96,1.0,1.0,1.0,1.0
812584,32.92,1.0,1.0,1.0,1.0
812585,33.44,-1.0,-1.0,1.0,-1.0
812586,33.15,1.0,1.0,1.0,1.0
812587,33.16,1.0,-1.0,1.0,-1.0
812588,33.23,-1.0,1.0,-1.0,-1.0
812589,32.24,1.0,1.0,1.0,1.0
812590,33.21,-1.0,-1.0,-1.0,1.0
812591,32.89,-1.0,-1.0,1.0,1.0
812592,32.47,1.0,-1.0,1.0,-1.0
812593,32.71,-1.0,1.0,-1.0,1.0
812594,32.66,-1.0,-1.0,-1.0,1.0
812595,31.7,-1.0,1.0,1.0,1.0
812596,30.62,1.0,1.0,1.0,1.0
812597,31.55,1.0,-1.0,1.0,-1.0
812598,32.64,1.0,-1.0,1.0,1.0
812599,32.66,1.0,-1.0,1.0,1.0
812600,33.02,1.0,-1.0,-1.0,-1.0
812601,33.39,-1.0,-1.0,-1.0,-1.0
812602,33.28,-1.0,-1.0,-1.0,-1.0
812603,33.21,-1.0,-1.0,-1.0,-1.0
812604,32.94,-1.0,-1.0,-1.0,-1.0
812605,32.88,1.0,-1.0,1.0,-1.0
812606,33.26,1.0,-1.0,1.0,-1.0
812607,33.55,-1.0,-1.0,-1.0,-1.0
812608,33.18,-1.0,-1.0,-1.0,-1.0
